"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume","SRE.Adjusted"
"1",100.93,101.260002,99.849998,101.129997,1113200,86.931335
"2",101.389999,103.139999,101.169998,102,1389100,87.679176
"3",102,102.260002,100.120003,101.760002,2008100,87.472862
"4",101.449997,103.160004,101.209999,102.919998,934600,88.469994
"5",102.93,103.629997,101.279999,101.379997,1005100,87.146225
"6",101.040001,101.699997,100.089996,101.059998,929300,86.87117
"7",100.919998,102.519997,100.800003,102.129997,1469200,87.790916
"8",102.139999,102.900002,101.279999,101.839996,806800,87.541641
"9",101.589996,102.330002,101.169998,101.769997,636000,87.481468
"10",101.989998,103.480003,101.68,103.400002,771700,88.882614
"11",103.5,104.25,103.410004,103.779999,1015400,89.209267
"12",103.620003,103.620003,101.769997,102.080002,740200,87.747948
"13",102.220001,102.949997,101.599998,102.440002,789900,88.057388
"14",102.620003,103.480003,101.980003,102.199997,1207700,87.851089
"15",102.099998,102.889999,101.870003,102.669998,1228900,88.255104
"16",102.650002,102.690002,101.589996,102.57,1013400,88.169128
"17",102.389999,103.010002,101.599998,102.279999,845400,87.919861
"18",102.580002,102.589996,101.120003,101.440002,576100,87.197815
"19",101.779999,101.779999,99.709999,100.82,1151600,86.664825
"20",100.93,102.510002,100.639999,102.389999,947600,88.01442
"21",101.589996,102.220001,100.790001,101.419998,681000,87.180595
"22",101.589996,102.760002,100.800003,102.720001,637000,88.298088
"23",102.970001,103.230003,102.639999,102.790001,571800,88.358253
"24",103,103.279999,101.959999,102.599998,461900,88.194931
"25",102.650002,102.959999,102.089996,102.550003,533300,88.151962
"26",102.5,104.43,102.5,104.209999,795800,89.578896
"27",104.279999,104.639999,103.5,103.650002,751100,89.097511
"28",103.349998,104.519997,103.349998,104.349998,632200,89.699219
"29",104.389999,105.220001,104.290001,105.160004,538300,90.395508
"30",104.760002,105.169998,103.809998,104.330002,576700,89.682045
"31",103.339996,104.370003,103.190002,104.32,690800,89.673447
"32",104.550003,105.919998,104.449997,105.900002,662100,91.031616
"33",105.910004,106.139999,104.879997,105.849998,893700,90.988617
"34",105.620003,106.720001,105.300003,106.480003,777600,91.530174
"35",106.629997,107.57,106.209999,107.150002,637300,92.106102
"36",107.629997,109.120003,107.32,108.510002,921000,93.275169
"37",108.370003,109.330002,108.370003,109.089996,1082800,93.77372
"38",109.089996,109.099998,108.330002,108.809998,879600,93.533051
"39",109.110001,110.949997,108.669998,110.290001,2057900,94.805237
"40",109.860001,110.650002,108.730003,109.650002,1182600,94.255112
"41",109.279999,110.279999,108.959999,109.75,1152400,94.341064
"42",109.82,109.82,108.339996,109.230003,771100,93.894089
"43",108.940002,109.959999,108.629997,109.940002,1033500,94.504395
"44",109.790001,111.019997,109.519997,110.580002,1122700,95.054543
"45",109.290001,109.760002,108.260002,108.440002,858700,93.214989
"46",108.519997,109.389999,107.889999,108.050003,756200,92.879738
"47",108.910004,109.540001,108.339996,109.400002,812100,94.040207
"48",109.400002,109.919998,109.07,109.760002,645900,94.34967
"49",109.260002,109.860001,108.849998,109.160004,524400,93.8339
"50",109.660004,111.830002,109.459999,111.230003,916600,95.613266
"51",111.559998,111.559998,109.669998,110.160004,791100,94.693497
"52",110.440002,111.510002,110.400002,110.760002,1361400,95.209267
"53",110.910004,111.25,109.800003,110.389999,901500,94.89122
"54",109.650002,111.580002,109.230003,111.260002,1002000,96.357452
"55",111.620003,112.57,111.389999,111.940002,1104300,96.946381
"56",112.029999,113.080002,111.190002,111.580002,976700,96.634583
"57",111.629997,112.790001,111.400002,112.470001,940100,97.405388
"58",112.230003,113.150002,111.25,111.599998,769900,96.651909
"59",111.5,112.18,111.330002,112.07,786900,97.058945
"60",111.760002,112,111.099998,111.279999,812200,96.374779
"61",110.790001,110.879997,110.089996,110.230003,886200,95.465431
"62",110.089996,111.160004,110.089996,110.5,1271300,95.699249
"63",110.480003,110.779999,109.160004,109.860001,1301400,95.144974
"64",109.989998,110.849998,109.720001,110.379997,858400,95.595322
"65",110.5,110.650002,107.860001,109.440002,2483000,94.781227
"66",109.260002,109.860001,108.699997,109.75,1431700,95.049713
"67",109.980003,110.919998,109.610001,109.68,1339500,94.989082
"68",109.68,110.870003,109.360001,110.650002,1107100,95.829163
"69",110.5,110.849998,109.739998,110.480003,792100,95.681931
"70",110.080002,111.5,109.93,111.459999,949300,96.53067
"71",111.349998,111.980003,110.870003,111.5,984800,96.565308
"72",111.529999,112.260002,110.940002,112.260002,1226100,97.223511
"73",112.349998,112.559998,111.709999,112.5,1054300,97.431358
"74",112.379997,112.809998,111.220001,111.5,1545200,96.565308
"75",111.5,112.769997,110.25,112.290001,2381800,97.249489
"76",112.349998,113.279999,112.309998,112.519997,1471900,97.448677
"77",112.739998,113.639999,111.970001,113.300003,1350700,98.124207
"78",112.910004,113.68,112.769997,113.610001,899300,98.39267
"79",113.050003,113.940002,112.910004,112.989998,1015400,97.855736
"80",112.900002,113.959999,112.900002,113.410004,1000100,98.219475
"81",113.330002,113.5,112.440002,113.019997,1232900,97.881714
"82",113.190002,113.370003,111.400002,111.790001,1044200,96.816467
"83",111.980003,112.339996,111.550003,112.139999,657000,97.119568
"84",111.889999,112.379997,111.339996,111.419998,685400,96.49601
"85",111.029999,111.650002,110.730003,111.370003,899200,96.452728
"86",111.879997,112.290001,111.610001,112.150002,1264700,97.128258
"87",112.080002,112.379997,111.459999,111.940002,1042500,96.946381
"88",111.889999,112.860001,111.139999,111.529999,815600,96.591293
"89",111.709999,112.93,110.93,111.650002,1487100,96.695206
"90",111.32,111.419998,110.410004,111.370003,828500,96.452728
"91",111.32,112.040001,111.309998,111.610001,1007300,96.660576
"92",111.559998,112.230003,111.339996,111.959999,887100,96.963692
"93",112.080002,112.489998,110.580002,110.620003,730400,95.803177
"94",110.620003,111.440002,110.029999,110.559998,2533700,95.751213
"95",110.919998,111.919998,110.129997,110.760002,1400000,95.924416
"96",110.489998,111.639999,110.199997,111.5,2589500,96.565308
"97",111.57,113.029999,111.440002,112.870003,1175500,97.751808
"98",112.949997,114.029999,112.309998,113.269997,2394500,98.098228
"99",113.309998,113.849998,113.300003,113.760002,983800,98.522598
"100",113.669998,114.82,113.57,114.550003,685800,99.206779
"101",114.550003,114.769997,114.129997,114.480003,560200,99.146164
"102",114.379997,116.57,114.18,115.660004,1932100,100.168106
"103",115.910004,116.959999,115.900002,116.489998,1463400,100.886917
"104",116.470001,117.150002,116.25,117.139999,924200,101.449867
"105",117.709999,117.919998,117.169998,117.5,904900,101.761658
"106",117.389999,117.809998,116.839996,117.43,1156600,101.701012
"107",117.589996,117.589996,116.870003,117.07,1224900,101.389252
"108",117.129997,117.970001,117.029999,117.459999,1844900,101.726997
"109",117.459999,117.459999,115.07,115.529999,2593300,100.055511
"110",115.169998,115.919998,113.870003,115,3991800,99.596504
"111",115.120003,115.309998,114.5,114.709999,1919000,99.345367
"112",114.720001,114.720001,113.870003,114.449997,978700,99.120163
"113",115.309998,115.860001,113.919998,114.410004,1711200,99.085526
"114",114.139999,115.169998,114.089996,114.980003,1857100,99.57917
"115",115.360001,116.470001,115.230003,116.389999,1528400,100.800308
"116",116.419998,116.419998,115.43,115.980003,936100,100.445251
