"","HSIC.Open","HSIC.High","HSIC.Low","HSIC.Close","HSIC.Volume","HSIC.Adjusted"
"1",60.486275,61.321568,59.219608,61.149021,2188665,61.149021
"2",61.325489,61.643139,60.933334,61.392159,1066665,61.392159
"3",61.286274,61.423531,60.709805,61.062744,740520,61.062744
"4",61.066666,61.368626,60.658825,61.247059,1056465,61.247059
"5",61.231373,61.713726,60.784313,61.666668,1102620,61.666668
"6",61.721569,62.494118,61.509804,61.996078,1689885,61.996078
"7",61.803921,62.25098,61.074509,61.866669,1576665,61.866669
"8",61.513725,61.737255,60.905884,61.61961,1135005,61.61961
"9",61.588234,62.392159,61.588234,62.372547,1161525,62.372547
"10",62.203922,62.490196,61.988235,62.266666,887655,62.266666
"11",62.494118,62.690197,62.094116,62.623528,922335,62.623528
"12",62.466667,62.576469,61.768627,61.8549,827475,61.8549
"13",62.019608,62.22353,61.164707,61.529411,1749300,61.529411
"14",61.529411,61.815685,60.690197,60.92157,963135,60.92157
"15",61.019608,61.650982,60.533333,61.537254,987870,61.537254
"16",61.725491,62.937256,61.537254,62.858826,1333395,62.858826
"17",62.725491,62.819607,62.113724,62.439217,1253070,62.439217
"18",62.599998,62.635296,62.058823,62.607841,893265,62.607841
"19",62.501961,62.650982,61.82745,62.086273,1313250,62.086273
"20",62.05098,62.721569,61.701962,62.690197,1305090,62.690197
"21",62.741177,62.901962,62.105881,62.690197,1164585,62.690197
"22",62.572548,63.298038,62.266666,63.22353,1031220,63.22353
"23",63.576469,63.894119,63.098038,63.788235,881280,63.788235
"24",63.533333,63.792156,63.141174,63.760784,1015410,63.760784
"25",63.819607,64.337257,63.615685,64.305885,1833450,64.305885
"26",64.168625,64.560783,63.964706,64.160782,1628175,64.160782
"27",64.109802,64.898041,63.850979,64.647057,1215075,64.647057
"28",64.498039,64.988235,63.52549,64.73333,708900,64.73333
"29",65.066666,65.15686,64.443138,64.749023,1242615,64.749023
"30",64.803925,65.537254,64.752937,65.352943,1224000,65.352943
"31",65.101959,65.890198,65.019608,65.84314,1284945,65.84314
"32",65.800003,65.988235,65.254906,65.588234,1827075,65.588234
"33",65.450981,65.933334,64.901962,65.925491,2296785,65.925491
"34",67.058823,69.215683,66.666664,67.847061,3250740,67.847061
"35",67.862747,68.596077,67.694115,67.701958,1696260,67.701958
"36",67.784317,67.92157,67.258827,67.419609,1589925,67.419609
"37",67.337257,68.070587,67.086273,68.05098,1047795,68.05098
"38",68.105881,68.360786,67.890198,68.054901,989145,68.054901
"39",67.768623,67.803925,66.854904,67.278435,2041020,67.278435
"40",67.627449,67.776474,67.113724,67.450981,1790100,67.450981
"41",67.011765,67.298042,66.725487,67.070587,1660050,67.070587
"42",67.05098,67.400002,66.909805,67.282356,960075,67.282356
"43",66.835297,67.254906,66.623528,67.019608,1058760,67.019608
"44",66.854904,67.196075,66.619606,67.082352,1056465,67.082352
"45",67.082352,67.403923,66.874512,67.015686,916470,67.015686
"46",67.015686,67.360786,66.835297,67.035294,681615,67.035294
"47",67.313728,67.737251,66.847061,67.517647,1201050,67.517647
"48",67.454903,67.599998,67.015686,67.537254,927180,67.537254
"49",67.482353,67.482353,66.839218,67.15686,708900,67.15686
"50",67.258827,67.894119,66.929413,67.73333,865980,67.73333
"51",67.647057,67.800003,66.73333,67.125488,1505520,67.125488
"52",67.309807,67.450981,66.741173,67.15686,2316930,67.15686
"53",67.003922,67.647057,66.650978,67.219604,935340,67.219604
"54",67.450981,67.803925,66.87059,66.980392,1189575,66.980392
"55",67.199997,67.55294,66.596077,67.392159,823395,67.392159
"56",67.372551,68.039215,67.090195,67.23922,870825,67.23922
"57",67.360786,67.690193,66.968628,67.15686,702525,67.15686
"58",66.780396,67.458824,66.721565,67.160782,672435,67.160782
"59",67.07843,67.278435,66.909805,67.094116,990420,67.094116
"60",67.203918,67.298042,66.694115,67.015686,790245,67.015686
"61",66.831375,67.113724,66.784317,66.992157,487050,66.992157
"62",66.803925,66.960785,66.55294,66.6549,758370,66.6549
"63",66.752937,67.117645,66.176468,66.294121,1138065,66.294121
"64",66.364708,66.55294,65.952942,66.203918,793815,66.203918
"65",66.149017,66.956863,65.886276,65.956863,1337475,65.956863
"66",66.058823,66.294121,65.607841,66.235291,906015,66.235291
"67",66.254906,66.439217,65.670586,65.705879,876435,65.705879
"68",65.768623,66.44706,65.631371,66.243134,981240,66.243134
"69",66.105881,66.784317,66.105881,66.690193,1017705,66.690193
"70",65.184311,66.443138,65.184311,66.168625,1166370,66.168625
"71",66.313728,66.31765,65.776474,65.823532,554880,65.823532
"72",65.992157,66.364708,65.725487,66.223526,643620,66.223526
"73",66.054901,66.066666,65.403923,65.764709,794580,65.764709
"74",66.027451,66.215683,65.435295,65.874512,717570,65.874512
"75",65.945099,66.572548,65.462746,66.431374,1288515,66.431374
"76",66.494118,66.611763,65.73333,65.925491,759390,65.925491
"77",66.658821,66.749023,66.086273,66.588234,866745,66.588234
"78",66.741173,67.058823,66.529411,66.752937,1024080,66.752937
"79",66.803925,67.984314,66.749023,67.913727,1549125,67.913727
"80",68.027451,68.505882,67.933334,68.305885,913665,68.305885
"81",68.141174,68.407845,67.933334,68.15686,908055,68.15686
"82",68.176468,68.262749,67.745094,68.07843,617865,68.07843
"83",68.047058,68.874512,68.047058,68.79216,793305,68.79216
"84",68.725487,69.133331,68.701958,68.898041,1171470,68.898041
"85",69.086273,69.866669,68.913727,69.835297,921060,69.835297
"86",70.125488,70.313728,69.639214,69.941177,810645,69.941177
"87",69.94902,70.086273,68.313728,68.635292,1603695,68.635292
"88",70.588234,71.560783,69.011765,69.572548,2151435,69.572548
"89",69.545097,69.662743,68.839218,69.05098,1251795,69.05098
"90",68.752937,69.231377,68.356865,69.176468,905760,69.176468
"91",68.94902,69.20784,68.572548,68.87059,832065,68.87059
"92",68.741173,69.105881,68.643135,69.066666,736950,69.066666
"93",69.199997,69.407845,68.886276,69.349022,1054425,69.349022
"94",68.952942,69.372551,68.372551,68.454903,811410,68.454903
"95",68.533333,69.666664,68.368629,69.431374,1413465,69.431374
"96",69.349022,70.109802,69.007843,69.729408,1526175,69.729408
"97",69.721565,71.074509,69.619606,70.945099,1290810,70.945099
"98",70.976471,71.470589,70.545097,71.411766,795345,71.411766
"99",71.607841,71.713722,71.031372,71.227448,775965,71.227448
"100",71.380394,72.094116,71.243134,71.866669,809115,71.866669
"101",71.862747,71.937256,71.403923,71.639214,545700,71.639214
"102",71.537254,71.839218,71.313728,71.721565,468690,71.721565
"103",71.76078,72.188232,71.431374,72.145096,858840,72.145096
"104",72.254906,73.192154,72.188232,73.141174,824670,73.141174
"105",73.047058,73.219604,72.862747,73.164703,740010,73.164703
"106",73.066666,73.113724,72.419609,72.631371,753525,72.631371
"107",72.635292,73.219604,72.133331,72.176468,1154640,72.176468
"108",72.498039,73.039215,72.05098,72.705879,1111035,72.705879
"109",72.203918,73.113724,71.882355,72.227448,788205,72.227448
"110",72.388237,73.329414,72.388237,72.84314,1439475,72.84314
"111",72.52549,73.121567,71.854904,72.164703,793560,72.164703
"112",71.917648,72.364708,71.784317,72.058823,732360,72.058823
"113",72.454903,73.125488,71.847061,72.164703,607410,72.164703
"114",71.945099,72.054901,71.431374,72.023529,578850,72.023529
"115",71.607841,72.235291,71.152939,71.658821,1501950,71.658821
"116",72.121567,72.650978,71.803925,72.572548,1209975,72.572548
"117",72.576469,72.576469,71.325493,71.419609,836910,71.419609
"118",71.215683,71.956863,71.215683,71.87059,786165,71.87059
"119",72.05098,72.486275,71.705879,72.258827,691305,72.258827
"120",72.301964,72.450981,72.023529,72.223526,1123020,72.223526
"121",72.490196,72.756866,72.26667,72.533333,637500,72.533333
"122",72.31765,72.635292,71.698036,71.713722,1034280,71.713722
"123",72.015686,72.494118,71.690193,72.26667,694365,72.26667
"124",72.227448,72.564705,71.372551,71.521568,736440,71.521568
"125",71.917648,72.329414,71.258827,71.772552,932790,71.772552
"126",72.054901,72.117645,71.313728,71.360786,399075,71.360786
"127",71.55294,72.07843,71.180389,72.031372,864450,72.031372
"128",71.607841,72.356865,70.772552,71.023529,851190,71.023529
"129",71.160782,72.105881,71.082352,71.701958,790245,71.701958
"130",71.76078,71.882355,70.741173,70.831375,802485,70.831375
"131",70.886276,70.960785,70.26667,70.854904,529125,70.854904
"132",71.290199,72.027451,71.290199,71.831375,636735,71.831375
"133",72.054901,72.384315,71.047058,71.541176,876180,71.541176
"134",71.686272,72.6549,71.686272,72.360786,675240,72.360786
"135",72.380394,72.866669,72.07843,72.749023,752505,72.749023
"136",72.800003,72.815689,72.019608,72.305885,771120,72.305885
"137",72.403923,72.764709,71.788239,72.627449,1057995,72.627449
"138",72.694115,72.694115,71.803925,72.329414,1068960,72.329414
"139",72.176468,72.87059,72.090195,72.517647,697935,72.517647
"140",72.568626,72.917648,72.423531,72.819611,582675,72.819611
"141",72.917648,73.05098,71.945099,72.44706,1038615,72.44706
"142",70.403923,72.780396,70.403923,72.44706,705330,72.44706
"143",72.26667,72.380394,71.352943,71.698036,801720,71.698036
"144",71.529411,71.94902,71.286278,71.729408,813450,71.729408
"145",70.698036,71.960785,70.698036,71.454903,589815,71.454903
"146",70.862747,71.607841,68.137253,71.086273,902190,71.086273
"147",70.984314,71.015686,69.905884,70.313728,1102875,70.313728
"148",70.254906,70.431374,69.878433,70.26667,882810,70.26667
"149",70.55294,70.55294,69.619606,70.082352,1134240,70.082352
"150",70.784317,72.6549,70.686272,72.074509,2364105,72.074509
"151",69.411766,70.392159,67.686272,68.243134,3149760,68.243134
"152",67.874512,68.074509,65.929413,66.529411,2759610,66.529411
"153",66.086273,66.505882,65.062744,65.615685,1611345,65.615685
"154",65.937256,67.160782,65.784317,66.894119,1600890,66.894119
"155",67.274513,67.431374,66.301964,66.380394,896580,66.380394
"156",66.176468,66.372551,65.360786,65.858826,1390515,65.858826
"157",66.160782,66.964706,65.76078,66.788239,1623330,66.788239
"158",66.823532,67.466667,66.498039,66.513725,1946415,66.513725
"159",66.431374,67.015686,66.215683,66.466667,1339770,66.466667
"160",66.478432,67.698036,66.478432,66.988235,1576155,66.988235
"161",67.05098,67.886276,66.992157,67.176468,1163820,67.176468
"162",66.811768,67.062744,66.368629,66.847061,1464465,66.847061
"163",66.956863,67.815689,66.937256,67.082352,1818150,67.082352
"164",67.403923,67.635292,66.972549,67.282356,1234200,67.282356
"165",67.254906,67.47451,66.415688,66.501961,1074315,66.501961
"166",66.666664,66.831375,65.800003,66.05098,1523115,66.05098
"167",65.898041,66.549019,65.568626,66.517647,1788570,66.517647
"168",66.737251,68.203918,66.68235,68.109802,1590435,68.109802
"169",68.231377,68.513725,67.505882,68.05098,1307895,68.05098
"170",67.674507,68.23922,67.015686,67.588234,1477725,67.588234
"171",67.588234,67.776474,67.247063,67.623528,1331865,67.623528
"172",67.803925,68.831375,67.352943,68.560783,1051110,68.560783
"173",68.650978,68.976471,68.505882,68.76078,1005210,68.76078
"174",69.199997,70.070587,69.058823,69.635292,1258425,69.635292
"175",69.631371,69.756866,68.866669,68.988235,1673055,68.988235
"176",68.92157,69.011765,66.074509,66.227448,2880735,66.227448
"177",66.019608,66.019608,62.878429,63.196079,5672220,63.196079
"178",64.509804,66.564705,64.439217,65.003922,3728227,65.003922
"179",65.380394,65.607841,63.098038,63.450981,3941407,63.450981
"180",63.505882,63.858826,61.843136,62.070587,3217845,62.070587
"181",62.290195,63.121571,61.850979,63.05098,3429622,63.05098
"182",63.058823,63.247059,62.149021,62.211765,1432080,62.211765
"183",61.882355,62.478432,61.615685,62.431374,1865452,62.431374
"184",62.345097,63.521568,62.101959,63.011765,2284800,63.011765
"185",63.192158,63.498039,62.815685,63.05098,1343085,63.05098
"186",63.152943,63.694118,62.799999,63.631374,1178100,63.631374
"187",63.349018,63.835293,62.956863,63.419609,1444575,63.419609
"188",63.184315,64.352943,63.066666,64.305885,2224110,64.305885
"189",64.462746,64.494118,63.30196,63.55294,1960695,63.55294
"190",63.607841,64.188232,63.521568,63.984314,1340663,63.984314
"191",64.047058,64.258827,63.850979,64.109802,865215,64.109802
"192",64.305885,64.611763,63.717648,63.984314,991950,63.984314
"193",64.3451,64.423531,63.349018,63.521568,1370880,63.521568
"194",63.458824,63.458824,62.611767,62.823528,1539435,62.823528
"195",62.878429,63.192158,62.517647,62.658825,1216860,62.658825
"196",62.658825,63.317646,62.588234,63.270588,934065,63.270588
"197",63.356861,63.654903,63.090195,63.1451,1035172,63.1451
"198",63.043137,63.607841,62.713726,63.47451,852720,63.47451
"199",63.47451,64.321571,63.270588,64.243134,2800920,64.243134
"200",64.062744,64.815689,64.023529,64.666664,1996777,64.666664
"201",64.698036,64.94902,64.180389,64.541176,1075590,64.541176
"202",64.752937,65.294121,64.690193,65.168625,1574753,65.168625
"203",65.584312,66.572548,65.254906,66.298042,1344360,66.298042
"204",66.313728,66.486275,64.635292,64.980392,1530000,64.980392
"205",65.105881,65.458824,64.737251,65.074509,1145205,65.074509
"206",64.737251,65.380394,64.596077,65.019608,1737315,65.019608
"207",65.262749,65.670586,63.607841,63.898041,2111273,63.898041
"208",63.450981,63.607841,59.294117,60.039215,6198795,60.039215
"209",60.062744,61.090195,59.82745,60.941177,3070710,60.941177
"210",61.019608,61.835293,60.988235,61.64706,2126955,61.64706
"211",61.984314,62,60.517647,60.580391,2186370,60.580391
"212",60.611767,60.799999,59.694118,59.843136,1831920,59.843136
"213",59.960785,62.25098,59.733334,60.894119,4428840,60.894119
"214",54.901962,56.392159,54.517647,54.933334,9817628,54.933334
"215",55.490196,56.384315,54.870586,55.694118,5520495,55.694118
"216",55.490196,56.062744,53.607841,54.901962,3852157,54.901962
"217",54.494118,54.894119,53.960785,54.635296,3361282,54.635296
"218",54.400002,54.431374,52.564705,52.588234,6466163,52.588234
"219",52.596077,52.933334,51.545097,52.156864,4938458,52.156864
"220",52.07843,52.541176,51.200001,52.423531,4721198,52.423531
"221",52.494118,53.929413,52.196079,53.309803,5373998,53.309803
"222",53.215687,54.823528,53.215687,54.517647,5168085,54.517647
"223",54.274509,54.549019,53.843136,54.211765,2920515,54.211765
"224",54.015686,54.321568,51.866669,52.941177,3512115,52.941177
"225",53.278431,53.505882,52.164707,53.309803,3631327,53.309803
"226",53.22353,55.200001,53.129414,54.862743,3610290,54.862743
"227",55.1451,55.505882,54.376472,54.878429,2237753,54.878429
"228",54.862743,55.270588,54.611767,54.815685,2164950,54.815685
"229",54.839214,55.403923,53.984314,55.294117,2525775,55.294117
"230",55.372547,55.631374,54.35294,55.137257,4142220,55.137257
"231",55.192158,56.149021,55.019608,56.039215,3469147,56.039215
"232",55.631374,55.882355,54.454903,55.419609,2241450,55.419609
"233",56.149021,56.392159,55.662746,55.850979,2340390,55.850979
"234",55.968628,56.25098,54.572548,55.764706,3512497,55.764706
"235",53.333332,54.439217,52.799999,53.003922,5111603,53.003922
"236",52.901962,53.419609,52.69804,52.996078,2427090,52.996078
"237",53.490196,53.780392,52.964706,53.254902,2621528,53.254902
"238",53.254902,53.615685,52.839214,53.584312,3045720,53.584312
"239",53.545097,53.654903,52.878429,53.184315,2500658,53.184315
"240",53.309803,54.149021,53.058823,53.882355,2104643,53.882355
"241",54.086273,54.235294,53.662746,53.874512,1671652,53.874512
"242",54.023529,55.505882,53.788235,55.027451,3153713,55.027451
"243",55.239216,55.694118,54.980392,55.027451,1443683,55.027451
"244",55.262745,56.690197,55.262745,56.070587,2161508,56.070587
"245",55.984314,56.400002,55.654903,55.764706,1735402,55.764706
"246",55.890198,56.149021,55.521568,55.811764,1512150,55.811764
"247",55.874512,56.07843,55.349018,55.694118,1144440,55.694118
"248",55.701962,56.047058,55.286274,55.388233,1589033,55.388233
"249",55.38039,55.55294,55.035294,55.262745,1198883,55.262745
"250",55.372547,55.411766,54.909805,55.341175,951022,55.341175
"251",55.286274,55.654903,54.564705,54.807842,1240065,54.807842
"252",55.184315,56.133331,55.019608,56.054901,1585080,56.054901
"253",55.882355,56.729412,54.988235,56.580391,1812922,56.580391
"254",56.862743,57.090195,56.164707,56.611767,1512023,56.611767
