"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"1",98.290001,98.599998,96.160004,97.32,1006100,82.397057
"2",97.699997,98.669998,97.300003,98.209999,890100,83.150581
"3",98.110001,98.650002,96.669998,98.080002,897900,83.040504
"4",98.160004,98.489998,97.43,98,933800,82.972771
"5",97.949997,98,96.519997,97.400002,991100,82.464783
"6",97.110001,98.029999,96.599998,97.5,743500,82.549438
"7",96.300003,96.980003,94.769997,94.980003,907900,81.139885
"8",94.730003,96.209999,94.400002,96.110001,670200,82.105217
"9",95.949997,96.080002,94.870003,95.120003,404700,81.259476
"10",95.169998,96.769997,95.169998,96.709999,843700,82.617783
"11",96.879997,97.230003,96.059998,96.32,638100,82.284615
"12",96.169998,96.540001,94.639999,95.260002,508700,81.379089
"13",95.349998,95.970001,94.199997,95.870003,495700,81.900185
"14",96.18,96.690002,95.650002,95.940002,403300,81.960007
"15",95.93,96.75,95.459999,96.650002,1032800,82.566536
"16",96.82,96.900002,95.650002,96.68,1029000,82.592171
"17",96.639999,97.370003,96.169998,96.809998,698100,82.703209
"18",97.239998,97.480003,95.419998,95.730003,502700,81.780594
"19",95.519997,96.599998,94.43,94.800003,619600,80.986122
"20",94.900002,96.400002,94.639999,94.949997,1000600,81.114235
"21",94.970001,95.25,93.290001,93.779999,824700,80.114746
"22",93.589996,97.800003,92.5,97.660004,1624200,83.429375
"23",98.190002,98.769997,97.269997,97.980003,1054400,83.702736
"24",97.800003,98.080002,96.690002,97.82,680400,83.566063
"25",97.639999,98.190002,97.110001,97.370003,661900,83.181625
"26",97.470001,99,97.220001,97.730003,616500,83.489159
"27",97.580002,98.190002,97.43,97.900002,545900,83.634377
"28",97.580002,98.589996,97.300003,98.510002,393000,84.155495
"29",98.559998,98.830002,97.550003,98.410004,531200,84.070061
"30",98.459999,98.93,97.440002,98.790001,747600,84.394699
"31",97.889999,98.620003,97.410004,98.209999,572300,83.899208
"32",98.330002,99.900002,98.239998,99.470001,544400,84.975616
"33",99.800003,100.220001,99.139999,99.620003,1069600,85.103737
"34",99.260002,100.730003,99.019997,100.550003,579100,85.898247
"35",100.709999,100.970001,99.650002,100.349998,668000,85.727379
"36",100.720001,101.779999,100.019997,101.559998,542800,86.761055
"37",102,102.089996,100.68,102.050003,698000,87.179649
"38",102.32,103.050003,101.779999,102.709999,612400,87.743492
"39",102.779999,102.970001,102.18,102.730003,666000,87.760582
"40",103,103.639999,102.18,102.57,864500,87.623871
"41",102.639999,103.029999,101.199997,101.379997,1268700,86.607285
"42",101.220001,101.32,100.339996,101.089996,950200,86.359543
"43",100.699997,101.150002,100.129997,100.739998,545300,86.060539
"44",100.75,100.830002,99.629997,100.779999,537200,86.094719
"45",100.489998,100.709999,99.610001,99.959999,653400,85.394203
"46",100.080002,100.800003,98.110001,98.129997,790500,83.830879
"47",98.129997,99.660004,96.269997,97.150002,1067800,82.993668
"48",97.379997,97.949997,96.709999,97.760002,1116200,83.514786
"49",98.75,99.919998,98.129997,98.889999,1073600,84.480125
"50",98.870003,101.540001,98.019997,101.129997,993400,86.39373
"51",101,102.169998,100.620003,101.220001,921600,86.470612
"52",101.32,102.739998,100.720001,101.779999,2075900,86.949005
"53",101.910004,101.93,100.889999,101.160004,385900,86.419365
"54",101.580002,102.209999,100.860001,101.150002,764000,86.410805
"55",101.68,101.68,100.459999,101.269997,628700,86.513313
"56",101.269997,102.470001,101.099998,101.910004,659900,87.060059
"57",102.199997,102.809998,101.809998,101.910004,350800,87.060059
"58",101.82,102.75,100.610001,101.160004,640500,86.419365
"59",101.089996,101.389999,99.75,101.019997,599100,86.299767
"60",100.980003,102.040001,100.620003,102.029999,732800,87.162582
"61",101.82,102.010002,100.800003,101.779999,609400,86.949005
