"","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
"1",114.339996,115.300003,114.099998,114.75,1433800,110.156265
"2",114.709999,115.629997,114.300003,114.980003,871700,110.37706
"3",114.779999,115.739998,114.5,115.690002,1051400,111.058632
"4",115.599998,117.029999,115.199997,116.860001,997200,112.512459
"5",116.889999,116.980003,115.790001,116.510002,706400,112.175468
"6",116.440002,116.629997,115.260002,116.110001,925500,111.790352
"7",116.099998,116.690002,115.480003,116.379997,837900,112.050316
"8",116.239998,117.150002,115.370003,117.040001,708000,112.68576
"9",117.029999,117.269997,116.510002,117.099998,616000,112.743515
"10",116.959999,117.309998,115.589996,116.089996,753700,111.771088
"11",116.599998,116.860001,115.629997,115.790001,843100,111.482246
"12",116.07,116.400002,115.07,115.949997,961800,111.636299
"13",116.480003,117.209999,115.779999,117.099998,1376800,112.743515
"14",117.050003,117.449997,116.230003,117.099998,1053100,112.743515
"15",117.720001,118.849998,117.269997,118.75,964400,114.332138
"16",119.639999,120.550003,119.080002,120.010002,1442600,115.545258
"17",120,120.110001,118.379997,118.459999,1041600,114.052933
"18",119.120003,119.260002,118.209999,118.589996,703000,114.178078
"19",118.489998,118.550003,117.309998,118.529999,807800,114.120323
"20",118.419998,118.580002,117.620003,118.580002,1207200,114.168457
"21",118.489998,118.989998,117.389999,117.709999,922600,113.330833
"22",117.209999,118.190002,116.43,117.830002,743800,113.446373
"23",118.540001,119.25,118.32,118.370003,828100,113.96627
"24",118.089996,118.169998,117.279999,117.889999,757200,113.504135
"25",118.239998,118.589996,117.199997,117.480003,790900,113.109375
"26",111.900002,117.660004,111.900002,116.550003,2963600,112.213966
"27",116.639999,117.269997,115.800003,116.089996,1718300,111.771088
"28",116.559998,117.550003,115.889999,117.529999,1428100,113.157509
"29",118.190002,118.68,117.209999,118.400002,1357800,113.995171
"30",118.160004,118.870003,117.540001,118.839996,1475000,114.4188
"31",118.540001,118.959999,117.93,118.949997,1031100,114.524704
"32",119,119.330002,118.370003,119.239998,874800,114.803879
"33",119.239998,119.870003,118.199997,119.860001,2113400,115.400848
"34",119.419998,120.540001,118.809998,119.870003,1505700,115.410484
"35",119.769997,120.160004,119.110001,119.43,1254800,114.986824
"36",119.489998,120.980003,119.059998,120.699997,1635100,116.209587
"37",126.5,128.449997,123.870003,128.009995,3478500,123.247635
"38",126.949997,127.580002,125.370003,125.849998,2245800,121.167984
"39",125.720001,125.860001,124.389999,125.440002,1932300,120.773247
"40",125.889999,125.889999,124.18,124.529999,2503400,119.89711
"41",123.940002,125.419998,123.860001,125.169998,1543100,120.513306
"42",125.379997,126.669998,124.709999,126.449997,1500600,121.745667
"43",125.739998,126.550003,125.43,126.099998,1045500,121.408707
"44",126.440002,126.489998,125.290001,125.400002,1121900,120.734741
"45",125.050003,125.650002,124.849998,125.599998,1469700,120.927284
"46",125.93,126,124.269997,124.760002,1294700,120.118553
"47",125.690002,125.690002,124.660004,124.940002,1282100,120.291862
"48",124.769997,125.080002,124.449997,124.949997,2094600,120.301483
"49",124.879997,125.029999,123.849998,124.309998,2018500,119.685287
"50",124.93,125.360001,124.18,124.669998,1358300,120.031898
"51",124.639999,124.940002,123.900002,124.349998,1259900,119.723808
"52",124.5,124.629997,123.690002,123.919998,1668000,119.309799
"53",123.57,124.190002,122.769997,123.400002,1380500,118.80912
"54",123.529999,123.800003,120.949997,121.050003,1754200,116.546585
"55",121.260002,121.489998,120.82,121.120003,1571100,116.613968
"56",121.300003,122.07,119.900002,119.989998,1485300,115.526009
"57",120.43,120.639999,119.099998,119.720001,1890100,115.266052
"58",118.849998,119.059998,117.790001,118.449997,2110600,114.043297
"59",118.75,118.900002,117.639999,118,2695300,113.610046
"60",117.830002,118.139999,116.769997,117.879997,4294300,113.494499
"61",117.550003,117.790001,115.43,115.620003,2093200,111.318573
"62",115.5,116.389999,115.300003,115.989998,4699700,111.674812
"63",116.050003,116.519997,114.800003,116.169998,4074500,111.848114
"64",115.690002,116.779999,115.690002,116.029999,1718300,111.713326
"65",116.57,117.279999,116.050003,116.550003,1881700,112.213966
"66",116.040001,117.860001,115.559998,117.809998,3653600,113.758972
"67",117.989998,118.959999,117.809998,118.459999,2561800,114.38662
"68",118.550003,119.300003,118.040001,118.620003,2147200,114.541115
"69",118.360001,118.75,117.379997,118.68,1673300,114.59906
"70",118.230003,118.379997,117.510002,117.830002,1668000,113.778297
"71",118.050003,118.889999,117.720001,117.889999,1115900,113.83622
"72",118.290001,118.669998,117.93,118.639999,940200,114.56044
"73",118.43,119.480003,118.269997,119.349998,1719200,115.246017
"74",119.660004,119.730003,118.699997,118.970001,1434400,114.879082
"75",119.110001,119.129997,117.839996,118.269997,2790600,114.203148
"76",118.480003,118.730003,117.93,118.360001,2409500,114.290062
"77",119.419998,119.419998,118.25,118.760002,1748100,114.676292
"78",118.919998,119.379997,118.610001,119.080002,2072300,114.985283
"79",118.900002,119.019997,115.620003,115.809998,3963400,111.827728
"80",123.339996,125.739998,123.150002,125.610001,4945700,121.290756
"81",126.080002,126.080002,124.82,125.209999,1943300,120.904503
"82",125.550003,125.669998,124.720001,125.519997,1381300,121.20385
"83",125.75,126.190002,125.019997,125.910004,1427900,121.580452
"84",126,126,125.089996,125.599998,936600,121.281082
"85",125.93,126.120003,125.470001,125.949997,971300,121.619049
"86",126.480003,126.480003,125.699997,126.139999,755300,121.802528
"87",126.150002,126.349998,125.550003,126.169998,974700,121.831497
"88",126.220001,127.080002,125.910004,126.730003,1097000,122.372238
"89",126.449997,127.459999,126.449997,127.089996,1378300,122.719856
"90",126.839996,127.190002,126.080002,126.879997,978600,122.517082
"91",126.870003,126.870003,126.139999,126.510002,793600,122.159821
"92",126.330002,127.639999,126.010002,127.629997,1346000,123.241287
"93",127.580002,127.610001,127.110001,127.5,930700,123.115761
"94",126.760002,127.419998,125.290001,125.349998,1471600,121.039703
"95",125.199997,125.830002,124.220001,125.150002,1697300,120.846573
"96",125.279999,126.669998,124.699997,125.379997,2704500,121.068657
"97",125.5,127.279999,125.160004,127.160004,1719800,122.787453
"98",127.800003,130.100006,127.389999,129.149994,2670800,124.709015
"99",139.710007,140.25,136.410004,137.830002,5279500,133.09053
"100",137.529999,138.809998,135.429993,138.360001,3528800,133.602341
"101",138.029999,139.860001,136.830002,138.559998,2318100,133.795471
"102",138.479996,140.199997,138,140.050003,2606300,135.234222
"103",140.199997,141.080002,139.520004,140.639999,2388000,135.80394
"104",140.550003,141.679993,140.270004,141.330002,1903100,136.470215
"105",141.220001,142.889999,141.130005,142.809998,1521900,137.899307
"106",142.619995,143.460007,142.190002,142.649994,1472500,137.744797
"107",142.179993,142.940002,141.600006,141.630005,1987100,136.759903
"108",142.119995,142.809998,141.429993,141.970001,1447000,137.088196
"109",142.229996,142.990005,141.610001,142.710007,1416800,137.802734
"110",143,143.809998,139.100006,140.210007,1890700,135.388718
"111",138.960007,140.139999,138.009995,139.740005,1776500,134.934891
"112",139.800003,140.710007,139.410004,139.880005,1492500,135.070084
"113",140.5,141.029999,138.860001,140.190002,906900,135.369431
"114",138.960007,140.479996,138.130005,140,1347000,135.185913
"115",138.649994,140.460007,138.649994,139.490005,1920800,134.693481
"116",140.199997,141.279999,139.75,140.75,1690200,135.910156
"117",140.559998,140.899994,140.029999,140.169998,1042200,135.350098
"118",140.779999,141.520004,139.979996,140.25,1265100,135.427353
"119",139.899994,140.639999,139.600006,139.990005,1112900,135.176315
"120",140.240005,140.779999,139.559998,140.399994,1543600,135.572189
"121",138.410004,139.850006,137.679993,138.399994,1363800,133.640945
"122",137.779999,138.410004,135.259995,135.289993,1540500,130.637878
"123",135.449997,137.619995,134.490005,135.369995,1533100,130.715134
"124",134.979996,135.130005,132.350006,133.100006,1784900,128.523224
"125",133.75,134.779999,132.779999,132.809998,2294800,128.243164
"126",133.820007,133.830002,131.639999,131.679993,759200,127.152054
"127",131.910004,132.889999,131.259995,131.979996,1275600,127.441704
"128",130.889999,131.809998,130.259995,131.100006,1411600,126.918938
"129",132,133,131.710007,131.899994,1226200,127.69342
"130",131.539993,132.429993,131,131.869995,1182600,127.664368
"131",132.179993,132.979996,131.690002,132.360001,990200,128.138763
"132",133.490005,133.789993,133.029999,133.479996,1328400,129.223007
"133",133.449997,134,131.789993,132.399994,1596900,128.17746
"134",132.889999,133.389999,132.679993,132.880005,1572000,128.642181
"135",132.960007,133.759995,132.619995,133.070007,1011300,128.826126
"136",132.690002,133.820007,132.649994,133.649994,808800,129.387589
"137",133.429993,135.259995,133.289993,135.190002,1082700,130.878494
"138",135.169998,135.910004,134.199997,135.350006,1172300,131.033417
"139",134.690002,135.789993,134.190002,134.839996,849500,130.539642
"140",134.979996,136.259995,134.720001,136.25,910600,131.904694
"141",136.830002,137.660004,135.940002,136.839996,941100,132.475861
"142",137,137.399994,136.369995,137.139999,980700,132.766281
"143",136.899994,137.710007,135.139999,136.869995,1257800,132.504929
"144",136.479996,137.009995,135.399994,135.639999,979600,131.314133
"145",135.559998,137.410004,135.509995,137.210007,1130200,132.834122
"146",137.639999,138.710007,135.710007,137.429993,1010000,133.047028
"147",137.490005,137.589996,135.830002,136.529999,1238200,132.175766
"148",136.949997,137.649994,136.25,137.139999,879600,132.766281
"149",137.550003,137.789993,136.690002,136.899994,675700,132.533951
"150",136.270004,137.050003,135.940002,136.649994,866300,132.291931
"151",136.029999,137.210007,135.809998,136.179993,746700,131.836914
"152",136,136.970001,135.259995,136.820007,761700,132.456497
"153",135.990005,136.479996,134.800003,135.160004,928300,130.849472
"154",136.729996,137.039993,135.089996,136.600006,747200,132.24353
"155",137.399994,139.580002,137.399994,138.889999,1148900,134.46051
"156",138.399994,139.089996,135.809998,137.470001,1548000,133.085754
"157",137.339996,138.210007,137.070007,137.919998,1075500,133.521454
"158",137.699997,137.880005,134.429993,134.460007,1272800,130.171783
"159",133.949997,135.089996,133.770004,134.110001,1305900,129.832947
"160",134.479996,136.080002,133.979996,135.910004,1778900,131.575546
"161",136.139999,138.350006,135.580002,138.149994,2260900,133.744125
"162",138.25,139.399994,133.600006,135.520004,2557000,131.197983
"163",135.270004,135.800003,133.710007,135.330002,1944200,131.014038
"164",135.660004,137.789993,135.660004,137.350006,1530000,132.96962
"165",137.289993,138.179993,136.479996,137.899994,1471300,133.502075
"166",136.759995,138.600006,136.75,138.009995,1019100,133.608566
"167",137.789993,140.139999,137.759995,139.970001,1859200,135.506073
"168",140.070007,141.690002,139.759995,141.449997,2337200,136.938858
"169",141.830002,142.259995,141.059998,141.899994,1074900,137.374496
"170",141.070007,142.449997,140.850006,141.539993,1370200,137.026001
"171",142.149994,142.490005,140.740005,141.139999,1185600,136.638733
"172",140.990005,141.759995,140.070007,141,1525700,136.503204
"173",141.169998,141.699997,140.940002,141.559998,953200,137.045364
"174",142.429993,143.080002,141.869995,142.639999,1096400,138.090912
"175",142.929993,143,140.529999,142.380005,1787900,137.839203
"176",141.699997,142.259995,140.75,142.059998,1231600,137.529388
"177",141.339996,142.089996,140.580002,142.080002,1264800,137.548782
"178",141.850006,142.350006,141.110001,142.130005,1423500,137.597168
"179",142.070007,144.059998,141.610001,143.800003,1408400,139.213928
"180",144.300003,146.039993,143.589996,145.339996,1740600,140.704788
"181",145.330002,145.910004,144,144.970001,1249700,140.346573
"182",145.820007,145.899994,144.059998,144.490005,1162900,139.881882
"183",144.070007,146.720001,144.070007,146.320007,1311000,141.653549
