"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"432",91.709999,92.239998,90.400002,91.019997,8451400,77.071564
"433",91.43,93.120003,90.620003,92.68,5991200,78.47718
"434",92.849998,93.330002,92.050003,92.260002,9953500,78.121536
"435",92.300003,93.980003,91.949997,93.419998,5910300,79.103783
"436",93.480003,94.639999,93.400002,93.779999,5303900,79.408638
"437",94.290001,95.110001,93.849998,94.18,4656200,79.747322
"438",94.349998,94.889999,93.959999,94.139999,3028600,79.713448
"439",94,95.160004,93.839996,94.580002,4527900,80.086006
"440",94.739998,95.639999,94.330002,95,3763800,80.441658
"441",95.339996,95.349998,93.470001,94.230003,6792200,79.789658
"442",94.639999,96.599998,94.599998,96.010002,4796800,81.296867
"443",95.809998,95.809998,93.260002,93.839996,4425400,79.459412
"444",94.099998,95.269997,92.910004,94.379997,4190100,79.916656
"445",94.07,95.370003,93.75,94.809998,3305500,80.280769
"446",94.709999,95.260002,93.800003,94.57,3625600,80.077553
"447",93.849998,95.389999,92.989998,93.080002,5310800,78.81588
"448",93,93.379997,89.610001,90.699997,9994400,76.800613
"449",90.709999,91.080002,88.900002,90.690002,5709600,77.613632
"450",90.510002,90.599998,89.18,89.18,4827900,76.321358
"451",89.779999,91.980003,89.529999,91.910004,3787100,78.657722
"452",91.82,92.410004,90.830002,92.269997,2857400,78.965813
"453",91.849998,92.400002,89.220001,89.900002,4422300,76.937546
"454",89.260002,89.989998,87.970001,87.970001,7059400,75.285828
"455",88.529999,88.529999,83.5,84.269997,7621100,72.119308
"456",82.580002,84.589996,81.5,82.959999,8096200,70.998192
"457",82.839996,83.129997,79.260002,79.410004,8689100,67.960068
"458",80.400002,83.190002,79.660004,81.730003,9173500,69.945549
"459",81.019997,81.529999,79.43,80.790001,6181500,69.14109
"460",82.150002,83.169998,79.940002,81.360001,4343900,69.628899
"461",81.93,82.879997,80.129997,81.589996,5243100,69.825722
"462",80.980003,81.580002,77.739998,77.849998,14068500,66.625008
"463",77.709999,80.650002,77.5,80.209999,10671700,68.644714
"464",84.18,84.419998,78.760002,79.559998,12781500,68.088432
"465",79.449997,83.830002,79.269997,82.580002,10315600,70.672997
"466",82.730003,84.230003,82.309998,83.660004,7945500,71.597267
"467",84.150002,87.220001,84.139999,86.959999,10378000,74.421448
"468",87.129997,89.709999,87,87.730003,9333200,75.080421
"469",87.830002,89.529999,87.559998,88.790001,9169800,75.987579
"470",88.75,89.889999,88.5,89.690002,9344700,76.757813
"471",90,90.879997,88.199997,88.220001,7237200,75.499779
"472",89.050003,89.400002,86.449997,88.309998,7268200,75.576805
"473",87.629997,90.290001,85.959999,90.139999,10365700,77.142929
"474",89.730003,92,89.199997,91.529999,8691100,78.332512
"475",91.290001,92.339996,89.110001,89.480003,5971700,76.578117
"476",89,89.709999,87.860001,88.089996,5372900,75.388519
"477",88.5,88.779999,85.370003,86.150002,6532500,73.728233
"478",85.599998,86.550003,84.900002,85.629997,1612800,73.283218
"479",86.389999,87.25,85.209999,86.239998,5227900,73.80526
"480",86.220001,87.699997,85.5,87.68,4338300,75.037628
"481",88.040001,88.959999,86.559998,88.940002,3953600,76.115967
"482",89.010002,90.330002,88.360001,89.910004,3838000,76.946098
"483",90.260002,94.269997,89.870003,94.269997,12031700,80.677444
"484",94.32,94.720001,92.82,93.660004,6673900,80.155388
"485",93.919998,94.980003,90.400002,90.550003,7008400,77.493805
"486",89.699997,90.480003,87.169998,90.330002,8734300,77.305542
"487",89.93,90,86.370003,86.959999,6737700,74.421448
"488",86.669998,87.879997,84.599998,87.610001,5229400,74.977737
"489",88.620003,89.440002,86.660004,88.169998,5098100,75.456993
"490",89.32,90.169998,88.360001,88.599998,4185100,75.824989
"491",89.370003,89.989998,87.370003,87.709999,4078600,75.063309
"492",86.800003,87.160004,85.080002,85.610001,5461600,73.266098
"493",85.07,86.879997,84.199997,84.93,5958200,72.684166
"494",85.459999,85.5,82.800003,83.580002,5288600,71.528809
"495",84.330002,86.300003,82.650002,83.519997,5510800,71.477448
"496",82.989998,86.480003,82.410004,85.370003,9453300,73.060715
"497",84.629997,88.709999,83.220001,84.919998,16044700,72.675598
"498",84.849998,86.440002,83.599998,84.160004,5097900,72.025169
"499",84.739998,89.089996,84.620003,89.040001,6225000,76.201546
"500",87.949997,89.93,86.860001,89.910004,7272800,76.946098
"501",90.089996,92.82,90,91.120003,6037700,77.981628
"502",91.599998,92.989998,91.230003,92.190002,5722100,78.897346
"503",91.239998,91.260002,88.419998,89.230003,6908400,76.364143
"504",88.639999,88.800003,86.080002,86.290001,7653200,73.848053
"505",87.75,89.139999,86.269997,89.07,8910600,76.227196
"506",90.07,90.760002,89.199997,90.370003,7281500,77.339783
"507",91.199997,92.300003,90.400002,90.790001,7478300,77.699211
"508",90.879997,91.389999,87.459999,87.809998,9971900,75.148888
"509",87.879997,88.879997,87.120003,88.199997,6527700,75.482651
"510",87.540001,88.309998,87.540001,88.309998,5318100,75.576805
"511",86.970001,86.970001,84.489998,84.760002,6368500,73.42836
"512",84.93,85.68,84.449997,85.5,7295500,74.06942
"513",85.660004,86.389999,85.449997,85.550003,4927000,74.112755
"514",85.540001,87.690002,85.419998,87.199997,6438700,75.542145
"515",88.449997,89.790001,86.919998,89.5,6190000,77.53466
"516",88.860001,89.360001,87.900002,88.660004,5664600,76.806961
"517",88.839996,89.279999,87.699997,88.449997,4969300,76.625023
"518",88.330002,88.440002,85.099998,85.879997,8372600,74.398613
"519",82.510002,82.610001,79.43,80.540001,21308600,69.772537
"520",80,80.099998,76.68,77.139999,14718800,66.82708
"521",77.029999,78.160004,75.769997,77.470001,13909000,67.112968
"522",77.690002,79.190002,76.980003,79.059998,9277200,68.490395
"523",78.949997,81.309998,78.709999,80.290001,11563900,69.555954
"524",80.25,80.730003,79.110001,80.5,6759500,69.737885
"525",80.300003,80.360001,77.519997,78.529999,10205600,68.031242
"526",78.559998,80.059998,78.220001,79.690002,7965500,69.036148
"527",79.599998,79.889999,78.790001,79.080002,4907200,68.507721
"528",78.349998,79.220001,77.809998,79.169998,5877500,68.585686
"529",79.029999,79.860001,78.889999,79.669998,4598900,69.018837
"530",79.889999,80.18,79.169998,79.769997,4803500,69.105476
"531",79.989998,80.120003,78.57,79.93,6620100,69.244087
"532",80.339996,81.32,80.290001,80.790001,4237200,69.989113
"533",80.449997,80.68,79.720001,80.519997,3436300,69.755196
"534",81.129997,81.699997,80.160004,80.849998,6295400,70.041077
"535",80.5,81.519997,80.230003,80.519997,5674700,69.755196
"536",80.529999,80.599998,79.139999,79.989998,5564100,69.296059
"537",79.739998,79.910004,78.099998,78.75,6360800,68.22184
"538",79.160004,80.190002,78.239998,80.019997,5022700,69.322044
"539",80.459999,80.620003,79.879997,80.290001,5511800,69.555954
"540",80.199997,80.860001,80.019997,80.510002,4283100,69.746536
"541",80.139999,80.139999,78.800003,79.410004,4175500,68.79361
"542",79.459999,79.709999,78.75,79.239998,6310800,68.646332
"543",79.769997,80.849998,79.279999,80.099998,8567900,69.39135
"544",80.400002,80.730003,79.110001,79.459999,5872500,68.836906
"545",79.379997,79.900002,78.720001,78.910004,5933100,68.360451
"546",79.129997,79.129997,77.559998,78.089996,5293200,67.650078
"547",77.769997,79.120003,77.440002,78.239998,6642500,67.779999
"548",77.669998,78.040001,77.089996,77.580002,6189100,67.208252
"549",77.57,78.309998,77.269997,78.080002,8078100,67.641411
"550",78.480003,79.139999,78.050003,78.739998,6128800,68.213165
"551",78.919998,79.300003,78.150002,78.93,5984500,68.377769
"552",79,80.400002,78.410004,79.949997,6161800,69.261406
"553",80.059998,81.459999,79.110001,81.339996,12751100,70.465591
"554",81.339996,81.75,80.279999,80.650002,5550100,69.867836
"555",80.330002,81.290001,79.510002,80.82,6335500,70.015106
"556",80.720001,80.910004,80.059998,80.43,5360900,69.677231
"557",79.879997,81.309998,79.260002,81.239998,5159200,70.378937
"558",80.779999,81.989998,79.690002,79.760002,4992500,69.096817
"559",79.5,80.040001,78.410004,79.510002,4008400,68.880234
"560",79.849998,81.190002,79.800003,80.760002,4921900,69.96312
"561",81,81,79.800003,79.889999,4006200,69.209435
"562",80.330002,80.489998,79.5,79.959999,3071000,69.270065
"563",80.080002,80.900002,79.959999,80.589996,7105900,69.815842
"564",80.980003,81.110001,79.970001,80.779999,4759400,69.980438
"565",80.889999,83.489998,80.800003,83.07,6355800,71.964294
"566",83.620003,84.730003,82.790001,83.080002,6083500,71.972954
"567",83.040001,83.379997,82.07,82.809998,4827900,71.739044
"568",82.82,84.18,82.669998,83.449997,3996300,72.293495
"569",83.699997,84,82.779999,83.980003,3499200,72.752632
"570",83.769997,83.779999,82.5,82.690002,3712700,71.635086
"571",83.199997,83.379997,82.599998,82.949997,3641900,71.860321
"572",83.199997,83.25,81.230003,81.769997,9094200,70.838081
"573",80.669998,81.809998,79.839996,80.779999,5011500,70.90831
"574",80.959999,81.510002,80.370003,81.029999,3495500,71.127747
"575",81.110001,81.300003,80.019997,80.209999,3624700,70.407967
"576",80.099998,80.199997,77.550003,77.980003,6817100,68.450485
"577",78.059998,78.209999,76.809998,77.57,7784900,68.090591
"578",77.599998,79.099998,77.5,78.150002,5358600,68.599709
"579",78.150002,79.660004,77.75,78.660004,9920600,69.047386
"580",79.230003,79.589996,78.440002,78.669998,7056400,69.05616
"581",80.050003,80.470001,76.910004,79.339996,10442900,69.644279
"582",79.669998,80.650002,79.400002,79.699997,5790000,69.960281
"583",80.459999,80.980003,79.910004,80.300003,6444500,70.486977
"584",80.68,80.690002,78.68,79.389999,9367400,69.688171
"585",79.599998,79.68,78.610001,78.889999,5231700,69.249268
"586",78.730003,78.779999,77.599998,78.470001,5206300,68.8806
"587",78.720001,78.800003,78.25,78.709999,4527300,69.091286
"588",77.75,79.519997,77.339996,79.260002,5413200,69.574059
"589",78.599998,78.989998,77.169998,77.949997,4275300,68.424156
"590",77.949997,78.889999,77.32,77.989998,3820700,68.459259
"591",77.510002,78.129997,76.730003,77.910004,3792200,68.38903
"592",77.449997,77.730003,75.620003,77.449997,4731800,67.985252
"593",76.300003,77.300003,76.169998,76.870003,3858400,67.476135
"594",77.160004,79.360001,77,78.440002,6365200,68.854271
"595",78.510002,79.150002,77.480003,78.779999,4795700,69.152725
"596",78.980003,80.75,78.709999,79.5,5404700,69.784744
"597",78.529999,80.080002,78.019997,79.459999,4756400,69.749611
"598",79.019997,80.389999,78.910004,79.82,4395500,70.065628
"599",80.330002,81.5,80.32,80.879997,4841900,70.996101
"600",80.510002,81.75,79.879997,81.589996,4219500,71.619324
"601",80.389999,81.629997,80.32,81.150002,3299100,71.233101
"602",81.089996,81.099998,79.870003,80.059998,3872700,70.276299
"603",80,80.099998,77.919998,78.029999,6557800,68.494377
"604",77.57,78.279999,77.099998,78.059998,4182200,68.520699
"605",78.519997,78.589996,77.129997,77.610001,3533100,68.125694
"606",77.309998,77.57,76.400002,76.709999,4003200,67.335686
"607",76.629997,76.839996,73.809998,75.699997,8434400,66.449104
"608",76.139999,77.440002,75.900002,76.75,6447100,67.370781
"609",77.410004,78.169998,76.660004,77.059998,3804400,67.642914
"610",77.160004,77.720001,76.860001,77.07,4032800,67.651703
"611",77.489998,78.379997,77.080002,77.43,4829100,67.967697
"612",77.459999,77.75,76.599998,76.949997,3969400,67.546349
"613",77.489998,78.900002,77.489998,78.169998,4210200,68.617264
"614",78.25,79.25,78.18,78.57,4165700,68.968384
"615",78.93,79.199997,78.300003,78.949997,2924900,69.301949
"616",78.949997,79.339996,78.209999,78.690002,4075900,69.07373
"617",78.400002,79.050003,78.400002,78.650002,3083200,69.038605
"618",78.879997,79.199997,77.010002,78.25,5433500,68.6875
"619",78.400002,78.480003,77.290001,77.610001,6147300,68.125694
"620",78.239998,79.169998,78.080002,78.339996,5347000,68.766502
"621",78.150002,79.080002,76.43,78.779999,10516900,69.152725
"622",78.410004,79.309998,77.849998,78.449997,5182700,68.863045
"623",70.470001,70.669998,65.059998,65.699997,90131800,57.67115
"624",67.239998,68.410004,66.800003,68,42093800,59.690083
"625",68.160004,70.599998,68.099998,70,22129200,61.445679
"626",70.580002,72.739998,70.330002,72.720001,21381500,63.833286
"627",73.5,73.849998,72.279999,73.400002,18010900,64.430176
"628",73.199997,74.25,72.32,74.230003,12862200,65.158752
"629",74.349998,74.970001,73.779999,74.959999,7434100,65.799545
"630",74.650002,74.790001,72.610001,72.989998,10854900,64.070282
"631",72.519997,73,70.879997,71.220001,13487400,62.516594
"632",71.18,72.449997,70.889999,71.239998,11832500,62.534145
"633",71.580002,71.739998,70.959999,71.650002,9170400,62.894035
"634",72.300003,72.400002,69.849998,71.239998,13001000,62.534145
"635",70.300003,70.300003,68.540001,70.279999,12903000,62.632168
"636",70.309998,71.019997,69.699997,70.269997,10253300,62.62326
"637",70.150002,70.300003,69.129997,69.160004,10141600,61.634052
"638",69.330002,69.860001,68.309998,68.32,12205000,60.885464
