"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"1",116.160004,116.279999,113.269997,114.400002,2159200,99.215401
"2",114.830002,116.459999,114.660004,115.519997,2400800,100.186722
"3",115.5,116.910004,114.900002,115.919998,1689400,100.533653
"4",116.059998,117.32,115.809998,117.190002,1229400,101.635078
"5",116.769997,117.279999,116.290001,116.330002,963000,100.889221
"6",116.93,116.93,115.699997,116.300003,1061900,100.863205
"7",116.339996,116.589996,114.559998,115.900002,2238800,100.516312
"8",115.75,116.599998,113.900002,116.43,1243600,100.97596
"9",117,117.5,116.349998,116.870003,1057800,101.357544
"10",116.839996,116.839996,115.510002,115.690002,1197200,100.334175
"11",116.099998,117.349998,115.010002,117.25,1449100,101.687103
"12",117.209999,117.400002,115.970001,116.360001,1191800,100.915253
"13",116.620003,116.93,115.779999,116.660004,1175900,101.175453
"14",116.300003,116.980003,115.690002,116.239998,800200,100.81118
"15",116.389999,117.669998,116.389999,117.440002,1047400,101.851898
"16",118.230003,120.360001,117.790001,120.150002,1886900,104.202194
"17",120,121.080002,119.040001,120.739998,1472600,104.713875
"18",120.779999,120.809998,119.889999,120.309998,1065100,104.34095
"19",119.830002,120.550003,119.190002,120.440002,1196200,104.453705
"20",120.260002,121.690002,120.199997,121.080002,2246800,105.008751
"21",121.5,122.279999,120.849998,120.900002,2795600,104.852661
"22",120.510002,123.550003,118.620003,121.260002,2059300,105.164856
"23",121.739998,122.07,119.349998,119.949997,1648200,104.028732
"24",119.5,119.900002,119.050003,119.809998,1120000,103.907303
"25",120.260002,120.400002,118.660004,118.730003,1672600,102.970673
"26",118.360001,118.519997,115.599998,116.57,2019100,101.097374
"27",116.940002,119.029999,116.18,118.580002,1525400,102.840614
"28",118.940002,119.449997,118.510002,118.980003,1130100,103.187508
"29",119.650002,121.900002,119.449997,121.379997,1481100,105.268944
"30",121.440002,121.599998,120.25,121.010002,1208100,104.948051
"31",121.480003,122.669998,120.559998,122.110001,1234000,105.902054
"32",122.110001,122.559998,120.860001,121.830002,1180600,105.659203
"33",121.599998,122.769997,121.010002,122.620003,2038500,106.34436
"34",122.410004,123.400002,120.870003,121.050003,1385700,104.982727
"35",121.629997,123.32,121.5,122.510002,2270300,106.248955
"36",122.580002,123.5,121.580002,122.519997,1399200,106.257629
"37",122.080002,123.010002,121.610001,122.620003,1686200,106.34436
"38",122.620003,123.300003,121,122.830002,1279100,106.526466
"39",122.459999,122.75,121.300003,121.459999,1881200,105.338318
"40",123.010002,127.599998,122.669998,127,2336300,110.142982
"41",127.25,127.389999,124.129997,124.239998,1665700,107.749329
"42",124.339996,124.720001,123.550003,124.050003,1096900,107.584541
"43",123.449997,124.529999,123.040001,124.050003,1393500,107.584541
"44",123.709999,124.040001,123.199997,123.559998,1362900,107.159592
"45",123.879997,124.449997,123.160004,123.199997,1223200,107.421135
"46",123.360001,124.190002,123.010002,123.809998,1359700,107.953018
"47",124.239998,124.690002,122.790001,123.730003,1414100,107.88327
"48",124.139999,125.160004,123.709999,124.830002,1893600,108.842392
"49",124.260002,125.139999,123.589996,124.449997,1319700,108.511055
"50",125.150002,125.150002,124.07,124.739998,1272000,108.763908
"51",125.32,125.489998,124.209999,124.739998,1138600,108.763908
"52",125,125.599998,124.290001,124.589996,2756400,108.633141
"53",124.07,124.93,123.650002,123.93,1178200,108.057648
"54",124.43,124.870003,120.160004,120.279999,2522000,104.875122
"55",120.379997,120.82,118.790001,119.330002,2408000,104.046799
"56",119.360001,120.529999,118.970001,119.190002,1844000,103.924736
"57",119.599998,120.410004,119.029999,119.879997,1462000,104.52636
"58",118.639999,119.190002,117.57,118.239998,1358800,103.096397
"59",117.690002,119.470001,117.099998,118.82,1769600,103.602112
"60",118.510002,118.870003,117.800003,118.5,921200,103.323112
"61",118,118.940002,117.410004,118.849998,1577500,103.628288
"62",119.230003,120.099998,118.529999,118.800003,1753400,103.584686
"63",118.82,119.389999,116.169998,117.5,2447400,102.45118
"64",117.389999,118.230003,116.830002,117.269997,1669100,102.250626
"65",117.779999,119.269997,117.279999,117.550003,1539000,102.494774
"66",117.669998,118.440002,117.07,117.809998,938300,102.721466
"67",117.010002,118.470001,117.010002,117.989998,1203300,102.87841
"68",117.849998,118.529999,117,117.089996,1006500,102.093704
"69",116.949997,117.18,116.019997,117.07,1285000,102.076256
"70",116.580002,117.360001,116.230003,116.620003,1608500,101.683891
"71",116.550003,116.970001,115.82,115.870003,971100,101.029953
"72",116.330002,117.529999,115.370003,117.440002,936900,102.398872
"73",116.970001,117.540001,116.209999,117.099998,848600,102.102409
"74",117.599998,118.029999,116.989998,117.169998,1033200,102.16346
"75",117.889999,119.269997,117.169998,119.110001,1217200,103.854973
"76",119,119.5,118.300003,118.769997,1301800,103.558525
"77",120.660004,120.790001,119.440002,119.760002,1094300,104.42173
"78",120.230003,120.690002,119.419998,119.940002,1627300,104.57869
"79",120,120.730003,119.290001,120.040001,1252500,104.665871
"80",118.25,118.25,114.82,115.120003,4256600,100.376007
"81",115.290001,116.339996,115.110001,116.190002,1904600,101.308968
"82",116.550003,117.07,116.129997,116.639999,1375300,101.701332
"83",116.760002,117.610001,116.480003,117.260002,1219600,102.24192
"84",117.309998,118.980003,116.93,118.029999,1825400,102.913315
"85",118.860001,119.18,117.790001,118.639999,1727300,103.445183
"86",119.040001,119.040001,117.809998,118.760002,1291000,103.54982
"87",118.510002,118.940002,116.68,117.099998,1773200,102.102409
"88",116.830002,118.290001,116.550003,117.639999,1696900,102.57325
"89",117.5,117.760002,116.169998,117.050003,1199100,102.058815
"90",116.75,117.169998,115.349998,116.790001,1146900,101.832115
"91",116.57,116.980003,116.080002,116.169998,1140500,101.291519
"92",116.309998,117.970001,116.25,117.25,1568900,102.2332
"93",117.25,117.669998,116.580002,116.68,1185200,101.736191
"94",115.809998,116.25,114.879997,115.120003,1580300,100.376007
"95",115.410004,116.410004,115.239998,115.760002,1486800,100.934036
"96",116.089996,117,115.43,116.830002,2711500,101.866982
"97",117.370003,117.480003,116.410004,116.910004,1257700,101.936752
"98",117,118.480003,116.349998,118.199997,1026100,103.061531
"99",118.230003,118.419998,117.43,117.769997,975900,102.686607
"100",117.709999,118.389999,117.309998,118.07,1151600,102.948189
"101",118.18,118.440002,117.559998,117.980003,720700,102.869713
"102",117.419998,117.809998,116.669998,117.199997,930600,102.18959
"103",117.5,117.5,116.550003,117.290001,1378800,102.268089
"104",117.529999,117.82,116.809998,117.82,1078600,102.730209
"105",117.620003,118.050003,116.620003,116.93,1119800,101.954193
"106",116.629997,118.599998,116.629997,118.190002,1159200,103.052811
"107",118.029999,118.129997,116.82,117.220001,1090200,102.207039
"108",116.760002,119.980003,116.760002,119.410004,1522600,104.7061
"109",119.970001,122.5,119.660004,122.290001,2041700,107.231453
"110",121.93,124.440002,121.599998,124.389999,1823200,109.072853
"111",124.419998,125.940002,124.360001,125.589996,2344100,110.125099
"112",125.800003,126.449997,125.580002,126.07,2221500,110.545998
"113",125.550003,127.660004,125.110001,127.32,1587500,111.642082
"114",126.5,126.900002,126.139999,126.779999,1381600,111.168579
"115",126.580002,127.160004,123.400002,126.18,1585200,110.642464
"116",126.209999,127.739998,126.209999,127.440002,795200,111.747307
"117",127.449997,127.449997,125.790001,126.07,1330800,110.545998
"118",126.709999,126.709999,124.489998,124.900002,1595000,109.520081
"119",124.5,124.860001,123.879997,124.059998,871500,108.783501
"120",124.379997,124.779999,123.839996,124.120003,1085600,108.836128
"121",124.169998,124.610001,123.099998,123.650002,865700,108.424004
"122",123.980003,124.980003,123.370003,124.620003,1208200,109.274551
"123",125.330002,127.099998,125.050003,126.769997,989000,111.159813
"124",127.699997,127.959999,124.370003,125.040001,1106600,109.642838
"125",125.440002,125.639999,124.730003,125.239998,1053800,109.818199
"126",125.330002,127.360001,125.330002,126.300003,611400,110.747673
"127",126.199997,126.580002,125.07,125.949997,1025600,110.440773
"128",125.949997,126.57,123.669998,123.690002,1426800,108.459068
"129",124.389999,125.220001,122.900002,124.830002,1150600,109.458679
"130",124.5,125.129997,124.059998,124.110001,958900,108.827354
"131",124.110001,124.68,122.970001,123.160004,941000,107.994331
"132",123.849998,124.190002,123.089996,123.389999,1222700,108.196014
"133",123.470001,124,123.279999,123.389999,1570300,108.196014
"134",122.709999,123.150002,119.760002,120.57,2559500,105.723251
"135",120.489998,121.419998,120.389999,120.639999,2123500,105.78463
"136",120.07,120.870003,119.57,120.559998,915200,105.714493
"137",120.779999,120.970001,119.860001,120.169998,1630500,105.37252
"138",120.18,120.800003,119.300003,120.559998,1294100,105.714493
"139",120.489998,122.370003,120.489998,121,1648900,106.100311
"140",120.900002,121.110001,120.120003,120.419998,1142600,105.591721
"141",121.339996,122.25,120.690002,121.889999,1319100,106.880714
"142",121.75,123.129997,121.419998,121.830002,1343100,106.82811
"143",121.839996,122.300003,120.519997,121.360001,1349600,106.415985
"144",121.25,121.779999,120.519997,121.279999,1401600,106.345818
"145",121.779999,123.129997,121.370003,122.620003,1635900,107.520836
"146",123.650002,124.059998,120.32,123.790001,1903300,108.546745
"147",123.279999,124.239998,123.190002,124.160004,1331300,108.871201
"148",124.339996,125.18,124.010002,124.989998,1360500,109.598999
"149",125.779999,126.089996,124.699997,125.830002,1222800,110.335548
"150",126.160004,126.790001,124.919998,124.970001,979100,109.581459
"151",124.779999,125.519997,124.459999,124.760002,776300,109.397316
"152",124.32,126.43,124,126.190002,1416500,110.651237
"153",125.709999,126.080002,124.07,124.190002,1075700,108.897514
"154",124.870003,125,123.050003,123.260002,650800,108.082024
"155",124.010002,124.980003,123.730003,124.68,726200,109.327171
"156",125.209999,126.43,124.720001,125.919998,1047600,110.414482
"157",126.339996,127.349998,126.059998,126.220001,895100,110.677513
"158",126.43,126.809998,125.239998,125.360001,1008800,109.923431
"159",124.919998,126.18,124.699997,125.389999,1048000,109.94973
"160",125.339996,125.669998,123.879997,125.279999,728900,109.853287
"161",125.580002,126.699997,125.110001,126.370003,1136900,110.809067
"162",125.949997,126.559998,125.459999,125.949997,1499600,110.440773
"163",126.07,126.620003,125.650002,125.919998,1326500,110.414482
"164",126.290001,127.699997,126.050003,127.099998,1578800,111.449158
"165",127.629997,127.769997,126.510002,126.93,669800,111.300095
"166",126.260002,126.599998,125.599998,126.379997,955900,110.817802
"167",126.410004,126.989998,125.940002,126.059998,1202300,110.537224
"168",126.610001,126.610001,125.75,125.800003,1034700,110.309242
"169",125.629997,126.57,125.589996,126.25,842800,110.70385
"170",125.980003,126.300003,124.510002,125.459999,1540700,110.011116
"171",125.830002,129.309998,125.480003,128.419998,1886800,112.606628
"172",128.020004,128.610001,124.919998,125.739998,1131700,110.826225
"173",125.860001,129.089996,125.519997,128.039993,1034700,112.853416
"174",129.119995,129.75,128.509995,128.800003,1056600,113.523293
"175",128.979996,130.149994,128.610001,130.059998,795300,114.633827
"176",130.089996,130.889999,129.710007,130.869995,1036100,115.347755
"177",131.179993,132.169998,130.820007,132.119995,1591900,116.449486
"178",131.979996,132.339996,130.919998,131.289993,1670600,115.717941
"179",130.860001,131.949997,130.369995,131.300003,1494800,115.726746
"180",131.509995,132.899994,131.270004,131.809998,1635500,116.176254
"181",132,134.240005,131.960007,133.800003,1442700,117.930229
"182",133.429993,134.160004,133.059998,133.800003,766600,117.930229
"183",132.929993,134.360001,132.860001,134.169998,770700,118.256355
"184",134.279999,134.630005,132.589996,134.300003,735900,118.370941
"185",134.210007,134.380005,132.820007,133.089996,927500,117.304443
"186",133.429993,134.979996,133.240005,134.529999,1221200,118.573639
"187",134.539993,136.020004,133.929993,135.860001,1222900,119.745903
"188",135.869995,136.259995,135.169998,135.679993,1071300,119.587242
"189",135.729996,136.520004,135.25,136.399994,821700,120.221848
"190",136.369995,137.449997,134.789993,137.330002,1364000,121.04155
"191",137.020004,137.289993,136.389999,136.880005,1010400,120.644913
"192",137.240005,138.339996,136.240005,138.020004,988800,121.649712
"193",138.130005,138.389999,135.729996,137.199997,1575700,120.926956
"194",137.029999,138.389999,136.369995,137.990005,813900,121.623253
"195",138.479996,138.490005,136.25,137.229996,1114800,120.9534
"196",136.830002,137.699997,136.399994,137.190002,1058900,120.918144
"197",137.199997,137.899994,136.550003,137.710007,966600,121.376488
"198",137.570007,138.270004,136.809998,137.309998,1737300,121.02388
"199",137.610001,137.990005,136.970001,137.520004,763300,121.20903
"200",137.509995,137.509995,136.029999,136.190002,1259600,120.036789
"201",136.360001,136.75,135.520004,136.369995,1002100,120.195412
"202",135.860001,135.860001,134.369995,134.949997,1141000,118.943832
"203",135.539993,135.630005,134.699997,135.130005,1179500,119.102455
"204",135,135.339996,134.369995,134.610001,1038900,118.644173
"205",134.800003,134.899994,133.639999,134.070007,1498100,118.168228
"206",134,134.360001,132.330002,133.850006,1829100,117.974342
"207",134.600006,137,132.770004,136.600006,1782900,120.39814
"208",135.889999,137.860001,134.089996,137.550003,1921500,121.235451
"209",136.880005,137.460007,136.089996,136.110001,1244200,119.966255
"210",136.210007,137.619995,135.869995,137.169998,1186900,120.90052
"211",137.990005,138.289993,135.610001,136.139999,1002400,119.992691
"212",136.149994,140.570007,136.009995,140.300003,1553800,123.659294
