"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"1",115.639999,116.360001,114.860001,115.75,731600,106.366585
"2",116.220001,116.940002,115.779999,116.480003,940100,107.037407
"3",120.110001,120.690002,117.580002,118.349998,1944400,108.755798
"4",118.589996,118.949997,117.519997,118.209999,1016300,108.627159
"5",118.209999,118.879997,117.540001,117.660004,923800,108.121765
"6",117.959999,119.099998,117.43,117.75,936300,108.204453
"7",117.980003,118.120003,116.949997,117.989998,959000,108.424995
"8",117.93,118.860001,116.629997,118.760002,961100,109.132584
"9",118.919998,119.459999,118.190002,119.330002,813800,109.656364
"10",118.32,118.779999,117.419998,118.300003,935700,108.709862
"11",118.529999,121.949997,117.940002,120.199997,1649300,110.455841
"12",120.019997,120.900002,119.410004,119.660004,637300,109.959618
"13",120.379997,120.629997,119.5,119.989998,910100,110.262856
"14",119.489998,120.550003,119.25,120.470001,942400,110.703941
"15",120.699997,123.169998,120.199997,122.669998,1345800,112.725609
"16",123.110001,124.790001,122.889999,124.290001,1604500,114.214287
"17",123.199997,126.349998,120.559998,124.099998,1943700,114.039673
"18",124.639999,126.43,124.410004,125.029999,984000,114.894287
"19",128.770004,128.770004,124.099998,125.059998,1136400,114.921867
"20",124.900002,125.150002,123.190002,124,1245900,113.947792
"21",123.669998,123.669998,121.410004,122.660004,1543900,112.716423
"22",122.940002,122.940002,120.889999,122.360001,983600,112.440727
"23",123.050003,123.900002,122.669998,123.519997,699300,113.506699
"24",123.150002,123.699997,122.169998,122.599998,628300,112.661285
"25",122.870003,123.120003,121.879997,122.110001,847700,112.210999
"26",121.690002,122.230003,121.089996,122.139999,657700,112.238579
"27",122.18,123.419998,122.18,123.080002,489900,113.102364
"28",123.510002,124.120003,123.07,123.730003,395100,113.699684
"29",124.550003,126.82,124.550003,126.410004,1300800,116.16243
"30",126.089996,126.459999,124.849998,125.790001,547500,115.592682
"31",125.660004,126.980003,125.5,126.709999,591400,116.438095
"32",126.620003,126.919998,125.580002,126.400002,642100,116.153229
"33",126.07,126.690002,125.330002,126.650002,486500,116.382973
"34",126.580002,127.57,126.190002,127.25,683400,116.934311
"35",126.760002,127.709999,126.269997,127.290001,674500,116.971077
"36",127.550003,127.93,126.309998,127.120003,858700,116.814865
"37",126.459999,127.769997,126.050003,127.769997,568600,117.412178
"38",126.839996,128.330002,126.629997,127.620003,703600,117.809113
"39",127.279999,127.809998,126.480003,127.150002,932200,117.375252
"40",129,130.470001,128.869995,129.300003,999100,119.35997
"41",128.639999,129.399994,127.949997,128.100006,513600,118.25222
"42",128.059998,128.429993,127.110001,128.039993,535800,118.196838
"43",127.050003,129.649994,127.050003,128.559998,743700,118.676842
"44",128.350006,128.759995,127.760002,127.910004,783700,118.076813
"45",127.849998,128.75,127.82,128.270004,617500,118.409157
"46",127.919998,128.470001,127.449997,127.629997,686200,117.818344
"47",128.130005,129.220001,127.800003,129.190002,540200,119.25843
"48",129.75,131.190002,129.320007,130.699997,1560200,120.652344
"49",130.110001,130.529999,129.210007,129.690002,727100,119.719978
"50",130.169998,131.259995,129.610001,131.070007,922300,120.993881
"51",136.899994,136.899994,130.460007,131.139999,883000,121.05851
"52",131.449997,132.020004,130.529999,131.330002,1739200,121.233902
"53",131.559998,132.330002,130.759995,131.210007,635400,121.123131
"54",131.770004,131.820007,129.350006,129.570007,742500,119.609215
"55",129.479996,130.979996,128.779999,130.600006,815300,120.56002
"56",130.690002,131.979996,130.259995,131.160004,656300,121.076965
"57",131.199997,132.009995,130.229996,130.800003,568500,120.744652
"58",129.449997,131.270004,128.080002,130.809998,687400,120.753883
"59",130.589996,132.479996,130.339996,132.100006,652300,121.94471
"60",131.720001,132.330002,131.300003,132.009995,607000,121.861618
"61",131.860001,132.990005,131.729996,132.639999,483500,122.443184
"62",132.350006,133.309998,132.009995,132.869995,827200,122.65551
"63",133.119995,133.410004,131.410004,132.399994,702600,122.221634
"64",132.279999,132.639999,131.380005,131.940002,926300,121.79702
"65",132.119995,133.25,130.759995,131.100006,896000,121.021591
"66",131.190002,133.169998,131.190002,132.410004,850500,122.230881
"67",132.330002,133,132,132.270004,705300,122.101669
"68",132.350006,133.059998,131.660004,132.520004,832500,122.332413
"69",132.300003,132.869995,131.589996,132.580002,715400,122.387794
"70",132.729996,133.050003,131.970001,132.259995,1127900,122.0924
"71",132.089996,132.520004,130.570007,130.570007,697900,120.532341
"72",130.889999,131.559998,130.070007,131.169998,1350700,121.086205
"73",130.690002,131.429993,130.039993,131.210007,938500,121.123131
"74",131.889999,132.940002,130.660004,131.050003,965400,120.975433
"75",131.729996,132.929993,131.270004,132.710007,1060800,122.50782
"76",136.940002,137.899994,134,137.559998,2897200,126.98494
"77",138.970001,140.059998,136.460007,137.410004,2049000,126.846512
"78",137.880005,138.660004,136.690002,136.869995,1189900,126.348007
"79",137.080002,137.440002,135.699997,136.309998,1229600,125.83107
"80",136.179993,137.399994,135.789993,137.350006,1022900,126.79113
"81",137.169998,137.509995,135.990005,136.149994,1421800,125.683365
"82",136.029999,136.729996,135.320007,136.110001,807800,125.646446
"83",136.619995,137.240005,135.809998,136.990005,895800,126.458809
"84",136.910004,137.309998,136.050003,136.279999,633800,125.803383
"85",136.229996,138.350006,136.220001,138.179993,1459500,127.557312
"86",138.309998,139.089996,138.309998,138.610001,906000,127.954231
"87",138.279999,138.990005,137.75,138.660004,770400,128.000397
"88",138.720001,139.259995,138.429993,138.850006,523100,128.175827
"89",138.899994,139.619995,138.520004,139.080002,1040500,128.388107
"90",137.449997,138.270004,135.369995,138.100006,1753400,127.483452
"91",139.360001,139.419998,136.800003,136.990005,2173400,126.458809
"92",136.990005,137.610001,136.520004,137.429993,1133900,126.864937
"93",137.839996,137.839996,136.279999,136.940002,936900,126.412651
"94",136.940002,136.940002,134.309998,134.440002,1278000,124.104805
"95",134.520004,135.5,133.25,134.970001,1288400,124.594078
"96",135.070007,137.240005,135.009995,136.550003,1220800,126.052597
"97",136.75,137.300003,135.699997,136.330002,843900,125.84951
"98",136.270004,136.570007,135.080002,135.380005,895600,124.972572
"99",135.350006,136.289993,135.070007,136.179993,977800,125.711082
"100",136.449997,136.720001,135.929993,136.350006,569800,125.867958
"101",136.029999,137.020004,136,136.789993,829700,126.274132
"102",136.320007,137.139999,135.789993,136.889999,1527500,126.36647
"103",136.869995,137.960007,136.25,137.639999,1554300,127.05883
"104",138.160004,138.940002,137.639999,138.820007,994700,128.148117
"105",138.949997,139.949997,138.669998,139.25,891400,128.545029
"106",138.589996,139.279999,138.289993,138.410004,990800,128.304047
"107",137.830002,137.830002,136.820007,136.850006,952300,126.857933
"108",137.089996,137.690002,136.720001,137.660004,775000,127.608795
"109",137.660004,137.960007,136.979996,137.910004,869800,127.840569
