"","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"1",57.773335,58.566666,57.240002,57.853333,593550,56.830765
"2",57.959999,58.666668,57.959999,58.093334,893100,57.066525
"3",57.926666,58.5,57.200001,57.406666,608100,56.391998
"4",57.413334,58.186668,57.299999,57.400002,819750,56.385464
"5",57.360001,57.459999,56.580002,57.086666,496350,56.077648
"6",57.02,58.139999,56.900002,57.793331,643950,56.771832
"7",58.053333,58.466667,57.740002,58.053333,708450,57.027237
"8",57.919998,58.040001,57.080002,58,401850,56.974838
"9",58.200001,58.966667,58.080002,58.82,549900,57.78035
"10",58.493332,58.613335,57.473331,57.686668,412950,56.667057
"11",57.919998,58.726665,57.373333,58.646667,609750,57.610088
"12",58.84,59.080002,57.619999,57.913334,513150,56.889709
"13",57.98,58.426666,57.833332,58.373333,590850,57.341583
"14",58.400002,58.453335,57.746666,58.18,311550,57.151661
"15",58.386665,59.380001,58.106667,59.306667,508050,58.258411
"16",59.386665,61.18,59.386665,60.886665,866850,59.81049
"17",60.566666,60.566666,59.639999,60.099998,624750,59.037724
"18",60.073334,60.433334,59.5,60.360001,387000,59.293125
"19",60.053333,60.146667,58.826668,59.66,555600,58.605503
"20",59.453335,59.493332,58.279999,58.853333,924600,57.813095
"21",59.259998,59.806667,57.793331,58.486668,1233450,57.452904
"22",57.439999,60.220001,55.326668,57.706669,1740300,56.686695
"23",58.273335,59.413334,57.833332,59.406666,892350,58.356651
"24",59.406666,60.013332,59.34,59.633331,937350,58.579308
"25",59.779999,59.880001,58.286667,58.639999,856050,57.603539
"26",58.653332,59.5,57.946667,59.279999,865800,58.232224
"27",59.506668,61.053333,59.326668,60.413334,748050,59.345528
"28",60.606667,61.666668,60.5,61.533333,646950,60.445728
"29",61.906666,62.106667,61.426666,61.726665,752700,60.635651
"30",61.473331,61.740002,60.933334,61.233334,575850,60.151031
"31",61.153332,62.080002,61.153332,61.779999,558750,60.68803
"32",61.893333,62.326668,61.113335,61.619999,519150,60.530857
"33",61.473331,61.653332,61,61.573334,317700,60.485012
"34",61.806667,61.906666,61.326668,61.486668,439950,60.399887
"35",61.599998,61.906666,60.793331,61.119999,464250,60.0397
"36",61.18,61.266666,60.106667,60.473331,471150,59.404465
"37",60.213333,61.153332,60.060001,61.153332,487950,60.072445
"38",61.166668,61.653332,60.98,61.633331,725400,60.543957
"39",61.693333,61.693333,61.126667,61.173332,621900,60.092087
"40",61.673332,63.313332,61.16,63.040001,741450,61.925762
"41",63.066666,63.066666,61.139999,61.419998,669450,60.39827
"42",61.506668,61.506668,60.459999,60.873333,914100,59.860699
"43",60.506668,60.986668,60.273335,60.573334,762600,59.565689
"44",60.586666,60.639999,60,60.033333,425550,59.034668
"45",60.279999,60.279999,59.646667,59.773335,433050,58.778996
"46",59.766666,60,58.826668,59.060001,432900,58.077526
"47",59.5,59.753334,58.966667,59.633331,554250,58.641319
"48",59.733334,59.993332,59.439999,59.540001,360000,58.549541
"49",59.16,59.419998,58.18,58.593334,596100,57.618626
"50",58.766666,59.086666,58.486668,58.900002,974100,57.920193
"51",59.206669,59.206669,58.360001,58.540001,530250,57.566177
"52",58.52,58.639999,57.900002,58.233334,1190100,57.264618
"53",58.200001,58.313332,57.586666,57.66,641550,56.700813
"54",57.826668,57.893333,56.013332,56.593334,685200,55.651894
"55",56.426666,56.959999,55.986668,56.653332,941400,55.710903
