"","CE.Open","CE.High","CE.Low","CE.Close","CE.Volume","CE.Adjusted"
"1",79.419998,80.720001,78.379997,79.510002,568000,71.678139
"2",79.839996,80.82,79.410004,80.82,670100,72.859093
"3",80.389999,81.879997,80.059998,80.75,751100,72.795982
"4",80.830002,81.209999,80.099998,81.029999,530800,73.048393
"5",80.739998,81.400002,80.120003,80.559998,579200,72.624695
"6",81.029999,82.510002,80.529999,81.330002,712600,73.31884
"7",81.410004,83.080002,81.410004,82.989998,754300,74.815323
"8",82.760002,83.43,81.82,83.290001,655800,75.0858
"9",83.309998,84.010002,82.440002,82.519997,397500,74.39164
"10",81.949997,82,81.010002,81.480003,427000,73.454079
"11",81.629997,82.629997,81.260002,82.559998,962500,74.427704
"12",82.82,83.279999,81.690002,82.209999,864700,74.112167
"13",82.620003,83.209999,81.879997,82.720001,450300,74.57193
"14",82.480003,84.050003,82.339996,83.870003,851800,75.608673
"15",84.370003,85.68,84.089996,85.660004,798800,77.222366
"16",85.709999,86.68,85.290001,86.559998,795000,78.033661
"17",86.620003,87.620003,86.080002,86.800003,730800,78.250053
"18",85.800003,86.120003,84.410004,85.099998,992500,76.717499
"19",84.57,84.629997,83.129997,84.120003,752300,75.834038
"20",84.220001,84.779999,83.650002,84.400002,1720200,76.086441
"21",84.230003,86.349998,83.489998,85.989998,1487900,77.519829
"22",86.730003,88.919998,86.720001,87.699997,1836900,79.061378
"23",88,88.25,86.510002,86.589996,1161100,78.06073
"24",86.32,88.239998,86.080002,88.050003,2041300,79.376915
"25",87.25,88.209999,87.25,87.809998,1617600,79.160561
"26",87.699997,88.07,86.93,87.660004,798000,79.025337
"27",87.839996,88.360001,87.309998,87.860001,755300,79.205635
"28",88.449997,88.68,87.669998,88.260002,886300,79.566238
"29",88.379997,88.790001,87.75,88.419998,944400,79.71048
"30",87.739998,88.480003,87.57,88.379997,1026200,79.674423
"31",88.610001,89.059998,87.830002,89.040001,988100,80.269409
"32",88.639999,89.940002,88.639999,89.029999,819800,80.586212
"33",89,89.730003,88.5,89.639999,1230400,81.138329
"34",89.82,90.68,89.550003,90.029999,793300,81.491371
"35",89.449997,90.519997,89.370003,90.300003,720200,81.735756
"36",90.370003,91.169998,89.099998,89.669998,620400,81.16552
"37",88.760002,89.580002,88.290001,88.790001,898300,80.36898
"38",88.919998,89,88.32,88.629997,755900,80.224152
"39",88.639999,89.440002,88.260002,89.169998,872400,80.712929
"40",90.150002,91.449997,90.099998,90.279999,931200,81.717667
"41",90.080002,90.5,88.5,88.660004,852100,80.251305
"42",88.57,90.160004,88.57,89.989998,870600,81.455162
"43",89.459999,90.410004,89.400002,90.169998,678500,81.618103
"44",90.019997,90.730003,89.919998,90.230003,785300,81.672401
"45",90.169998,90.739998,88.93,88.980003,975700,80.540947
"46",88.900002,89.730003,88.699997,89.059998,653900,80.613358
"47",89.699997,91.25,89.650002,90.639999,1106800,82.04351
"48",90.550003,91.639999,90.400002,91.589996,816200,82.903397
"49",90.269997,91.550003,90.269997,90.760002,656300,82.152122
"50",91.519997,92.75,91.43,92.459999,723100,83.69091
"51",93.050003,93.050003,91.080002,91.5,560900,82.821953
"52",92.010002,92.230003,91.290001,91.940002,1031300,83.220222
"53",91.940002,92.050003,91.010002,91.779999,507000,83.075386
"54",92.080002,92.279999,89.230003,89.459999,683300,80.975441
