"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"216",138.399994,138.75,137.179993,137.289993,1933300,124.172455
"217",136.440002,136.75,134.649994,135.339996,2940300,122.408798
"218",135.089996,136.889999,135.070007,136.479996,2016900,123.439842
"219",135.529999,136.550003,134.869995,136.529999,1894100,123.485092
"220",138,138.119995,136.470001,137.539993,3041300,124.398605
"221",136.479996,136.759995,133.809998,134.100006,3746200,121.287285
"222",135.470001,137.410004,135.100006,136.360001,2812900,123.331337
"223",135.800003,136.360001,135.020004,136.130005,2312700,123.123306
"224",136.440002,137.809998,136.25,136.910004,2124000,123.828796
"225",137.770004,138,137.169998,137.600006,2221400,124.452866
"226",138.220001,138.419998,137.199997,138.009995,4887500,124.823685
"227",138.100006,138.419998,137.339996,137.389999,944400,124.262924
"228",137.470001,138.270004,136.889999,137.190002,2585400,124.082024
"229",137.509995,139,137.270004,138.990005,2592700,125.710052
"230",138.169998,139.210007,137.199997,138.059998,3098200,124.868904
"231",138.899994,141.330002,137.110001,141.149994,7507800,127.663658
"232",141.600006,142.399994,138.380005,141.520004,5481600,127.998291
"233",144.25,145.190002,141.440002,141.5,4922300,127.98024
"234",141.75,142.190002,139.729996,140.139999,3884100,126.750145
"235",140.149994,141.139999,139.5,140.339996,2881400,126.931038
"236",139.779999,143,139.190002,142.889999,2977100,129.237427
"237",143.869995,144.320007,142.929993,143.860001,2490100,130.114761
"238",144.630005,144.710007,143.479996,143.770004,1913500,130.03334
"239",144.039993,144.800003,143.210007,143.419998,3397100,129.716782
"240",144.179993,149.050003,144.070007,148.570007,6486500,134.37471
"241",148.850006,149,145.880005,146.279999,4616900,132.303513
"242",147.350006,147.839996,145.490005,146.690002,7931700,132.674362
"243",147.75,149.809998,146.800003,149.770004,3534800,135.460052
"244",149.899994,151.089996,148.529999,150.910004,3554100,136.491135
"245",151.929993,152.600006,150.699997,152.520004,3076000,137.947311
"246",152.690002,155.100006,151.809998,154.639999,4017400,139.864746
"247",154.770004,155.800003,153.949997,155.75,2486400,140.868668
"248",156.039993,156.979996,155.660004,156.440002,1870600,141.492752
"249",156.940002,157.690002,156.309998,157.520004,2520500,142.469589
"250",157.940002,158.649994,157.229996,158.419998,4064000,143.283569
"251",158.050003,158.5,157.509995,157.580002,2616100,142.523834
"252",158.300003,159.389999,156.029999,157.039993,5108400,142.035431
"253",157.039993,157.490005,155.399994,157.279999,4146100,142.252533
"254",157.889999,159.580002,157.020004,159.440002,4865800,144.2061
"255",160.259995,162.050003,159.639999,161.960007,3945400,146.485367
"256",164.110001,166.429993,162.550003,166.029999,5929200,150.166428
"257",166.330002,167.410004,165.089996,166.429993,4522900,150.528229
"258",165.899994,167.529999,164.5,165.869995,5478600,150.021759
"259",166.899994,169.529999,165.639999,169.199997,4199000,153.033585
"260",169.990005,170.669998,169.229996,170.300003,4127900,154.028488
"261",172.899994,173.240005,167.570007,169.309998,8530600,153.133072
"262",169.320007,170.110001,168.5,168.5,5571400,152.400497
"263",169.330002,170.759995,168.089996,168.830002,4668800,152.698959
"264",169.630005,170.449997,168.610001,170.410004,5796700,154.843384
"265",170.320007,170.910004,168.479996,170.889999,3540900,155.27951
"266",172,172.050003,169.199997,169.429993,5036500,153.952911
"267",171.399994,172.449997,167.669998,168.339996,8241000,152.962463
"268",173.100006,173.100006,162.460007,169.369995,16937100,153.898361
"269",168.809998,169,164.550003,167.059998,9045300,151.799393
"270",165.580002,165.880005,159.419998,162.580002,9496800,147.728638
"271",160.330002,164.710007,159.809998,163.759995,8694800,148.800842
"272",164.699997,165.789993,161.889999,162.779999,7014000,147.910355
"273",161.240005,163.740005,160.179993,162.240005,4323600,147.419693
"274",160.770004,160.800003,156.529999,157.490005,7602800,143.103607
"275",154.929993,158.929993,142.850006,151.080002,11390500,137.279129
"276",148.070007,156.559998,146.809998,156.410004,13908700,142.122253
"277",155.360001,158.089996,154.279999,154.339996,7156500,140.241318
"278",153.850006,154.190002,145.919998,145.990005,9101900,132.654068
"279",148.710007,150.889999,142.880005,149.210007,9528100,135.579956
"280",151.869995,153.449997,150.25,152.289993,5756800,138.378601
"281",151.25,155.199997,151,153.970001,5512100,139.905121
"282",152.389999,158.589996,152.339996,158.059998,5560100,143.621506
"283",159.800003,160.339996,157.479996,159.979996,4914500,145.366119
"284",160.130005,161,156.089996,156.289993,5991600,142.013184
"285",155.169998,158.25,154.270004,155.559998,5094600,141.349869
"286",155.699997,158.399994,155.039993,155.229996,4179400,141.050003
"287",156.410004,159.779999,156.199997,158.860001,4723300,144.348434
"288",159.399994,162.479996,159.220001,162.410004,4450800,147.574158
"289",163.050003,164.050003,161.550003,163.690002,6254400,148.737213
"290",163.259995,164.600006,161.240005,161.259995,4127700,146.529175
"291",161.5,162.339996,154.169998,154.630005,7298600,140.504822
"292",153.669998,156.190002,148.509995,150.229996,9434800,136.50676
"293",149.130005,149.880005,145.860001,146.380005,9509400,133.008484
"294",145.149994,151.860001,144.009995,151.119995,8453000,137.315475
"295",152.639999,154.979996,151.669998,153.75,5795600,139.705231
"296",150,152.270004,148.809998,151.509995,5491000,137.66983
"297",151.729996,153.970001,150.289993,153.589996,4105000,139.559845
"298",155.119995,158.419998,154.330002,158.25,4576700,143.794174
"299",158.240005,159.339996,153.850006,154.5,4880400,140.386734
"300",156.300003,157.869995,153.199997,153.690002,4819100,139.650711
"301",154.800003,155.25,151.309998,152.539993,4873600,138.605728
"302",153.179993,155.589996,151.649994,154.570007,5268800,140.450333
"303",154.320007,157.449997,153.309998,156.460007,10897600,142.167664
"304",154.240005,154.830002,150.820007,152.149994,5479200,138.251373
"305",153,155.199997,152.539993,154.059998,3557600,139.986877
"306",154.160004,157.279999,153.210007,155.800003,3887400,141.567947
"307",152.869995,153.5,146.25,146.899994,8225600,133.480927
"308",147.699997,148.570007,143.789993,144.289993,6533100,131.109406
"309",147.820007,149.559998,145.259995,149.190002,5454900,135.561768
"310",149.899994,151.119995,145.789993,146.990005,4915300,133.562729
"311",146.990005,148.240005,143.630005,145.160004,4933900,131.899963
"312",146.210007,148.770004,145.570007,147.380005,4209400,133.917099
"313",146.440002,147.350006,141.759995,143.889999,5397500,130.745926
"314",144.800003,145.649994,142.380005,145.059998,4845700,131.809036
"315",139.880005,145.460007,138.050003,145.179993,6188200,131.918091
"316",146.509995,148.880005,146.470001,148.130005,4584800,134.598602
"317",145.770004,147,140.820007,142.990005,5707400,129.928146
"318",144.800003,146.789993,142.800003,143.080002,4050800,130.009918
"319",146.75,149.009995,145.619995,148.089996,3991600,134.562225
"320",146.679993,148.350006,146.320007,146.789993,3218900,133.381012
"321",147.639999,151.160004,147.639999,150.139999,3958000,136.424973
"322",151.75,152.910004,148.990005,150.229996,3603200,136.50676
"323",151.740005,153.419998,150.279999,152.139999,3055600,138.242294
"324",153.339996,155.539993,153.009995,153.309998,3817200,139.30542
"325",155.190002,157.119995,154.570007,155.949997,3087100,141.704285
"326",155.389999,156.320007,153.960007,155.699997,4013200,141.477081
"327",155.25,156.139999,152.369995,153.25,4057800,139.952011
"328",154.649994,155.740005,152.179993,153.990005,5350300,140.627808
"329",159.75,161.100006,143.360001,144.440002,24122300,131.906464
"330",143.830002,147.600006,142.160004,145.190002,9963700,132.591431
"331",145.320007,147.399994,144.009995,146.309998,6558900,133.614227
"332",145.669998,146.600006,144.160004,144.720001,3860600,132.16217
"333",145.210007,146.199997,143.600006,144.360001,4764800,131.833389
"334",143.080002,144.429993,140.300003,144.419998,5004400,131.888184
"335",143.990005,146.649994,143.479996,143.860001,4637600,131.376831
"336",141.690002,145.149994,138.149994,143.779999,7703200,131.303772
"337",142.240005,147.190002,141.050003,146.369995,4678400,133.669006
"338",148.179993,151.460007,148,149.820007,6844600,136.819641
"339",150.649994,151.070007,148.570007,149.929993,3853600,136.92009
"340",150.75,153.350006,150.5,152.610001,4668200,139.367523
"341",153.199997,155.440002,152.809998,153.970001,3911000,140.609528
"342",154.25,156.740005,153.770004,154.860001,3507900,141.422318
"343",155.610001,156.399994,154.389999,155.279999,3563900,141.805878
"344",153.820007,154.399994,151.710007,152.589996,4127200,139.349289
"345",152.550003,153.869995,152.350006,153.800003,2693400,140.4543
"346",153.699997,155.25,152.759995,153.690002,2885800,140.353836
"347",154.149994,156.839996,154.009995,155.710007,3889300,142.198563
"348",159.259995,161.600006,158.699997,158.919998,5849700,145.13002
"349",159.029999,159.350006,156.139999,156.199997,3512400,142.646011
"350",154.649994,158,153.720001,157.740005,4010000,144.052399
"351",157.210007,158.399994,156.029999,157.699997,2891000,144.015854
"352",156.919998,157.570007,155.229996,155.850006,2359700,142.326401
"353",154.259995,155.720001,152.639999,153.619995,3795800,140.289871
"354",154.600006,155.979996,153.839996,155.460007,2688200,141.970261
"355",155.300003,155.309998,151.5,151.910004,4546000,138.728287
"356",153.300003,154.190002,152.259995,153.520004,2755500,140.198593
"357",154.789993,154.929993,152.080002,152.5,2470900,139.26709
"358",152.399994,153.100006,152.020004,153.009995,2916600,139.732819
"359",153.649994,156.539993,153.009995,156.509995,3689300,142.929123
"360",157.110001,157.929993,155.529999,156.289993,3149100,142.728195
"361",156.190002,156.649994,155.039993,155.320007,3254100,141.842407
"362",155.190002,157.080002,154.720001,156.300003,2758300,142.73735
"363",156.449997,159.190002,156.389999,157.490005,2595600,143.824112
"364",157.179993,157.350006,154.509995,154.710007,4189300,141.285339
"365",155.699997,157.360001,152.759995,153.139999,3967600,139.851563
"366",150.850006,151,148.429993,150.020004,8852500,137.002289
"367",148.419998,149.460007,147.720001,148.679993,3651600,135.778549
"368",146,146.300003,142.320007,143.300003,6792000,130.865387
"369",144.220001,144.690002,141.820007,143.130005,4128300,130.71019
"370",142.25,142.389999,139.119995,139.529999,5914900,127.422523
"371",140.899994,142.5,139.770004,139.940002,5114700,127.796967
"372",138.860001,138.979996,135.179993,136.580002,6078200,124.728531
"373",136.75,137.330002,135.279999,135.539993,4285300,123.778732
"374",136.770004,139.460007,134.580002,134.610001,5665000,122.929466
"375",134.179993,136.720001,132.679993,136.029999,4215900,124.226234
"376",136.610001,137.850006,135.580002,135.669998,4107900,123.897476
"377",133.800003,136.429993,133.199997,136.289993,3172600,124.463707
"378",137,137.350006,133.330002,133.830002,1837400,122.217148
"379",135.009995,136.089996,134.089996,135.809998,3366300,124.025322
"380",135.110001,135.860001,133.320007,135.410004,3179600,123.660049
"381",136.220001,141.050003,136.100006,140.970001,5562300,128.737579
"382",141.610001,141.860001,140.139999,141.25,3761700,128.993286
"383",138.130005,139.389999,135.839996,136.759995,5231700,124.892906
"384",138.5,139.729996,136.830002,139.419998,4250800,127.322067
"385",139.539993,141.25,139.070007,140.75,2838700,128.536636
"386",140.880005,140.880005,137.899994,138.080002,3723100,126.098366
"387",136.979996,139.330002,136.529999,138.949997,3306000,126.892868
"388",139,141.5,138.330002,141.119995,4394800,128.874557
"389",139.570007,140.539993,139.050003,139.419998,3576700,128.102737
"390",138.360001,138.580002,136.639999,136.820007,5247000,125.713814
"391",136.619995,136.800003,135.600006,136.279999,3542300,125.217651
"392",138.899994,140.600006,137.360001,137.970001,5064700,126.770432
"393",138,141.050003,136.669998,140.479996,5041800,129.076706
"394",140.75,143.550003,140.070007,142.580002,5385600,131.006241
"395",143.949997,143.949997,140.779999,142.559998,4649400,130.987854
"396",145.710007,146.699997,139.059998,139.75,13837700,128.40596
"397",141.970001,144.779999,140.169998,143.800003,7608700,132.127213
"398",142.970001,143.070007,138.110001,138.539993,6364500,127.294189
"399",137.070007,138.710007,135.690002,138.009995,4195000,126.807213
