"","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"190",84.241409,84.769485,83.319366,83.503769,1964752,81.787117
"191",83.495392,85.758591,83.495392,85.758591,2006626,83.99559
"192",86.043587,86.27829,84.987427,85.758591,2208482,83.99559
"193",85.456833,85.607712,84.124054,84.199493,1640375,82.468544
"194",84.258171,84.652138,83.713326,83.922882,1132396,82.197609
"195",82.682312,83.269073,81.617767,82.66555,2404253,80.966125
"196",82.489525,83.788765,81.810562,83.193626,2613147,81.483353
"197",81.969826,82.430847,81.701591,82.229675,2308455,80.539215
"198",82.623634,82.917015,81.626152,81.709976,1500555,80.03019
"199",82.145851,82.154236,81.039398,82.129089,2474043,80.440697
"200",82.145851,82.229675,81.131599,81.508804,1897705,79.83316
"201",81.68483,82.020119,81.24057,81.919533,1691078,80.235458
"202",81.508804,81.953056,80.326904,81.844093,1480752,80.16156
"203",82.347023,82.632019,81.031013,81.173515,1953538,79.504761
"204",81.68483,82.615257,81.391449,81.953056,1165322,80.268288
"205",82.279968,82.858337,81.986588,82.372169,1306812,80.67878
"206",82.129089,82.397316,81.165131,81.642914,1361690,79.964523
"207",82.397316,83.403183,82.062027,83.042747,1345943,81.335579
"208",83.025986,83.042747,81.642914,82.757751,1876231,81.056435
"209",82.347023,82.48114,81.676445,82.355408,1378154,80.662361
"210",82.397316,83.403183,82.279968,83.302597,1577504,81.590073
"211",84.241409,84.769485,83.059517,83.302597,2208959,81.590073
"212",83.025986,83.738472,80.670578,83.243919,3675752,81.532608
"213",83.126572,83.16848,81.005867,81.215424,2953629,79.545815
"214",81.550713,82.095558,80.821457,81.533951,1736531,79.857796
"215",81.542328,82.045265,81.198662,81.525566,1405831,80.088356
"216",80.896896,81.517181,80.486168,80.762779,1426589,79.339012
"217",80.234703,80.68734,79.262367,80.117348,1443411,78.704971
"218",80.041908,80.787933,79.698242,79.874268,2279227,78.466179
"219",79.614418,80.42749,79.354568,80.108971,2638081,78.696739
"220",82.154236,84.065384,82.154236,84.065384,4222862,82.583397
"221",83.218773,83.730095,81.768646,82.279968,2702145,80.829453
"222",82.774521,83.629501,82.590111,83.185249,1395691,81.718781
"223",82.917015,83.218773,81.86924,82.732605,1837578,81.274117
"224",85.498741,86.328583,84.920372,85.616096,3556572,84.106773
"225",86.068733,86.169319,85.423302,85.498741,2183906,83.991478
"226",85.498741,85.984909,84.249786,84.476112,2486570,82.986893
"227",84.476112,84.643753,84.031853,84.543167,751113,83.052765
"228",84.660522,85.054482,84.191116,84.467728,1330553,82.978661
"229",84.660522,85.465218,84.341995,85.264038,1449495,83.760925
"230",85.683151,85.875946,84.96228,85.540657,1529903,84.032669
"231",86.001678,88.005028,84.861694,87.736801,2639274,86.190109
"232",87.317688,87.611069,85.071251,86.764458,2201085,85.234901
"233",86.797989,88.005028,85.255661,87.426659,3262855,85.885422
"234",88.889999,89.660004,86.160004,88.769997,3522100,87.205078
"235",88.440002,89.639999,85.18,85.360001,2692600,83.855194
"236",84.800003,85.419998,83.870003,84.379997,2962300,82.892479
"237",85.480003,85.93,84.230003,85.220001,2677600,83.717667
"238",86.32,86.940002,85.040001,85.889999,3697200,84.375854
"239",86.610001,86.620003,85.379997,85.669998,2630400,84.159721
"240",85.989998,86.07,83.440002,83.559998,2130900,82.086929
"241",83.580002,84.629997,82.970001,83.050003,2042400,81.585915
"242",83.879997,84.480003,83.419998,84.400002,2947500,82.912109
"243",84.580002,85.470001,84.129997,84.239998,1676100,82.754936
"244",84.75,86.910004,84.650002,85.620003,2233900,84.110619
"245",86.139999,86.389999,85.300003,85.870003,1646400,84.356209
"246",86.040001,86.790001,84.879997,84.980003,1661800,83.481903
"247",85.190002,85.190002,84.160004,84.790001,906300,83.295242
"248",84.639999,85.120003,84.459999,84.879997,335600,83.383652
"249",85.029999,85.470001,84.610001,84.730003,691900,83.236305
"250",85.029999,85.589996,84.720001,85.559998,965700,84.051674
"251",85.650002,85.970001,84.830002,84.830002,884800,83.334549
"252",84.889999,86.449997,84.5,86.110001,1469600,84.591972
"253",86.089996,87.860001,85.730003,87.540001,1542300,85.996765
"254",87.940002,89.419998,87.940002,88.910004,1708500,87.342621
"255",89.800003,91.709999,89.519997,91.57,2271100,89.955719
"256",92.5,92.970001,91.120003,91.93,1791100,90.30938
"257",92.290001,93.690002,92.230003,92.75,2765600,91.114914
"258",92.190002,92.440002,90.18,90.459999,2333900,88.86528
"259",90.559998,92.269997,90.139999,92.059998,2031600,90.43708
"260",92.330002,93.290001,92.059998,92.910004,1401600,91.272095
"261",93.959999,94.019997,92.190002,92.559998,2331900,90.928261
"262",92.379997,94.18,91.93,93.559998,2119500,91.910645
"263",93.919998,94,92.449997,93.099998,1450100,91.45874
"264",93.470001,94.040001,92.739998,93.519997,2515300,91.871338
"265",94.089996,94.379997,92.18,93.550003,1893400,91.900818
"266",93.230003,93.550003,92.32,92.830002,1489800,91.193504
"267",93.709999,94.690002,92.870003,93.540001,1944200,91.890999
"268",94,94.339996,92.07,92.489998,1851500,90.859497
"269",93.169998,94.739998,92.75,94.480003,2662900,92.81443
"270",95.230003,95.470001,94.160004,94.889999,3313100,93.217186
"271",94.410004,95.269997,93.989998,94.629997,1490200,92.961777
"272",95.260002,95.970001,94.139999,94.879997,3162900,93.207359
"273",90.830002,96.910004,90.800003,96.019997,2753400,94.327263
"274",95.800003,95.989998,94.110001,94.209999,2546900,92.761703
"275",93.879997,95.629997,91.010002,91.139999,2658400,89.738899
"276",89.809998,93.389999,88.910004,92.599998,3273300,91.17646
"277",92.529999,95.349998,92.239998,93.690002,1868200,92.24971
"278",93.43,93.800003,89.239998,89.269997,2706700,87.897659
"279",90.300003,90.690002,86.18,88.559998,3252000,87.19857
"280",89.25,92.300003,88.639999,91.440002,1973200,90.034302
"281",90.760002,91.989998,90.279999,90.769997,1035800,89.374588
"282",90.160004,92.93,89.910004,92.690002,1675900,91.265083
"283",93.519997,93.650002,91.639999,93.330002,1327800,91.895248
"284",92.650002,93.900002,92.370003,92.400002,1154600,90.979546
"285",91.739998,93.400002,91.739998,92.339996,1456100,90.920456
"286",92.309998,94.150002,91.760002,92.550003,1073800,91.127235
"287",93.230003,93.860001,92.290001,92.940002,970100,91.511246
"288",93.209999,93.779999,92.209999,93.059998,862100,91.629387
"289",93.82,94.790001,93.050003,94.720001,859300,93.26387
"290",94.730003,94.910004,92.599998,92.620003,1021600,91.196159
"291",92.989998,93.160004,91.290001,91.330002,1245400,89.925987
"292",91.120003,91.480003,86.510002,87.769997,2284400,86.420715
"293",87.059998,89.190002,86.910004,88.610001,1752800,87.247803
"294",88.029999,89.279999,87.370003,88.82,2155400,87.454582
"295",89.43,90.68,88.610001,89.949997,1384900,88.5672
"296",89.019997,89.660004,88.370003,89.419998,1678200,88.045357
"297",89.690002,90.029999,88.889999,89.699997,916700,88.321053
"298",90.769997,92.449997,90.519997,92.269997,1147200,90.85154
"299",92.339996,93.07,91.18,91.449997,750100,90.044144
"300",91.459999,92.360001,90.669998,90.900002,831000,89.502609
"301",91.379997,91.699997,89.279999,89.300003,986700,87.927193
"302",89.540001,89.860001,88.400002,88.959999,1367300,87.592415
"303",89.129997,89.730003,88.75,89.32,1354800,87.946884
"304",89.220001,89.68,87.209999,87.889999,1252200,86.538872
"305",88.400002,88.720001,87.5,87.849998,1456300,86.499489
"306",87.980003,89.080002,87.599998,88.139999,1169600,86.785019
"307",87.540001,88.019997,83.470001,83.790001,1948600,82.5019
"308",83.809998,84.599998,81.139999,81.209999,2070600,79.961555
"309",82.709999,85.120003,82.589996,85.040001,1703900,83.732697
"310",85.129997,86.790001,83.669998,84.330002,2325000,83.0336
"311",83.989998,84.660004,82.309998,82.82,1992500,81.546814
"312",83.25,85.410004,83.099998,84.970001,1604900,83.66375
"313",84.589996,84.589996,80.620003,81.580002,1933400,80.325874
"314",82.559998,83.860001,81.57,82.580002,1437000,81.310493
"315",81.5,84.360001,81.040001,84.220001,1369500,82.925285
"316",85.199997,86.129997,84.82,85.900002,1405800,84.579468
"317",84.870003,85.370003,83.099998,83.82,1578400,82.531441
"318",84.370003,84.919998,83.629997,83.669998,1136600,82.383736
"319",84.82,86.279999,84.769997,86.029999,1679700,84.707466
"320",85.610001,86.379997,85.029999,85.400002,1694900,84.087158
"321",86.139999,86.470001,85.610001,85.860001,970600,84.540077
"322",86.290001,86.860001,85.300003,85.510002,1100800,84.195457
"323",86.5,87.43,86.07,86.919998,969700,85.583786
"324",88.529999,88.830002,87.75,88.129997,1367600,86.775169
"325",88.5,88.93,87.540001,87.699997,844200,86.351799
"326",87.709999,87.709999,84.760002,86.019997,926500,84.697609
"327",86.260002,86.510002,85.489998,86.309998,1055800,84.983162
"328",86.5,86.959999,85.949997,86.540001,1041000,85.209625
"329",87.309998,88.129997,84.699997,85.849998,1410100,84.530228
"330",85.5,85.650002,84.290001,85.209999,709700,83.900078
"331",85.309998,87.620003,84.529999,87.419998,1494900,86.076096
"332",87.07,87.5,85.93,86.010002,1135400,84.687775
"333",86.449997,86.580002,84.540001,84.580002,1358400,83.279755
"334",84.709999,85.099998,83.690002,84.529999,1980800,83.23053
"335",85.300003,91.43,85.300003,90.029999,3382900,88.645973
"336",90.980003,91.889999,89.199997,91.120003,2449500,89.719223
"337",90.349998,92.779999,90.07,92.589996,1323400,91.166618
"338",92.900002,94.220001,92.360001,93.279999,1637000,91.846016
"339",92.720001,93.75,92.150002,93.639999,1762300,92.418442
"340",94,94.440002,93.660004,94.389999,1871200,93.158669
"341",94.330002,96.089996,93.889999,96.059998,1883100,94.80687
"342",96.059998,96.839996,95.720001,96.220001,1340900,94.964798
"343",96.059998,96.730003,95.57,95.720001,986800,94.471321
"344",95.029999,96.029999,94.629997,96,1379100,94.747658
"345",96.07,98.199997,95.650002,97.860001,1280300,96.583397
"346",97.5,98.669998,97.400002,98.230003,1683200,96.94857
"347",98,98.239998,96.879997,97.339996,947800,96.070183
"348",98.099998,98.650002,97.900002,98.18,1134700,96.899216
"349",98.199997,98.790001,97.940002,98.139999,828600,96.859741
"350",97.709999,98.360001,97.209999,97.889999,928900,96.613007
"351",97.449997,97.879997,96.739998,97.68,1211100,96.405739
"352",97.449997,97.75,97.169998,97.650002,884200,96.376137
"353",97.32,97.449997,95.330002,96.209999,1467100,94.95491
"354",96.629997,96.699997,95.769997,96.470001,1272500,95.211533
"355",96.75,97.949997,96.540001,97.5,2227800,96.228088
"356",98.309998,99.279999,97.970001,99.080002,1356800,97.787483
"357",99.139999,99.5,98.620003,99.449997,695300,98.152649
"358",99.800003,100.370003,99.480003,100.129997,921200,98.823784
"359",100.410004,101.010002,99.279999,100.989998,828600,99.672554
"360",101,101.220001,99.970001,100.660004,1550000,99.34687
"361",100.660004,101.040001,100.150002,100.809998,1234900,99.494904
"362",101.07,102.129997,100.93,101.82,1308200,100.491737
"363",102,102.459999,101.419998,101.970001,1321000,100.639778
"364",101.959999,102.080002,101.480003,101.620003,1474800,100.294342
"365",101.980003,102.980003,101.459999,102.610001,1075200,101.271431
"366",102.629997,102.879997,101.529999,102.730003,1818500,101.38987
"367",101.720001,103.230003,101.610001,102.93,997700,101.587257
"368",101.650002,101.940002,99.790001,100.559998,2002600,99.248177
"369",101.330002,102.139999,99.32,99.580002,1294600,98.28096
"370",99.089996,99.089996,96.339996,97.279999,1189000,96.010956
"371",98.029999,98.18,95.400002,96.239998,1749800,94.98452
"372",95.790001,95.879997,93.639999,95.120003,1191000,93.879143
"373",95.199997,95.620003,94.43,94.879997,1477000,93.642265
"374",95.25,95.809998,93.279999,93.279999,1299600,92.063148
"375",92.860001,92.970001,90.129997,91.93,1720400,90.730751
"376",92.809998,92.809998,91.620003,91.629997,1426300,90.434669
"377",91.010002,92.190002,89.5,92.150002,1684400,90.947884
"378",92.07,92.669998,90.769997,90.910004,867800,89.724075
"379",91.989998,94.139999,91.989998,93.07,1824600,91.855873
"380",93,94.410004,92.43,94.260002,1390900,93.030365
"381",94.699997,95.589996,94.269997,95.529999,1317000,94.283798
"382",95.099998,96.440002,94.919998,96.339996,1284400,95.083214
"383",95.260002,95.260002,92.970001,93.040001,1010700,91.826263
"384",93.449997,93.489998,92.300003,93.110001,1313400,91.89537
"385",93.489998,93.989998,93.110001,93.629997,694800,92.408577
"386",93.599998,94.040001,93.199997,93.550003,761500,92.329628
"387",93.019997,96.459999,93.010002,96.339996,2027900,95.083214
"388",96.199997,97.220001,95.779999,96.779999,1171800,95.517479
"389",96.190002,96.690002,94.800003,94.970001,1068200,93.731094
"390",94.019997,94.220001,92.129997,92.940002,1836300,91.727577
"391",92.489998,92.970001,91.949997,92.730003,805700,91.520317
"392",93.540001,94.190002,92.860001,93.220001,1651900,92.003929
"393",92.510002,95.550003,90.730003,95.199997,2684300,93.958092
"394",95.099998,95.919998,93.169998,93.25,1796700,92.033539
"395",93.5,94.839996,92.860001,93.610001,1367800,92.388832
"396",94.370003,94.93,92.400002,92.5,1677300,91.293304
"397",93.029999,98.400002,92.989998,98.07,3635800,96.790657
"398",98.010002,98.349998,95.459999,95.889999,2265800,94.639091
"399",95.160004,96.889999,94,96.769997,1416500,95.507622
"400",97.160004,98.610001,97.080002,98.449997,1433000,97.165688
"401",98.540001,98.769997,97.879997,98.019997,1296800,96.741302
"402",98.269997,98.610001,97.260002,98.449997,1159200,97.165688
"403",97.849998,98.510002,97.080002,98.089996,1159400,96.810394
"404",98.300003,98.5,96.699997,96.720001,1088900,95.458275
"405",95.900002,96.019997,93.349998,94.529999,1548700,93.296837
"406",94.610001,94.639999,92.379997,92.769997,1666200,91.559784
"407",93.330002,94.510002,92.949997,94.029999,1332100,92.803352
"408",93.559998,93.760002,90.18,90.980003,2253300,89.793144
"409",91.75,92.370003,91.300003,91.779999,1525400,90.58271
"410",91.639999,93.019997,91.209999,92.760002,1043700,91.549927
"411",93.260002,94.620003,93.260002,94.480003,826300,93.247498
"412",94.550003,95,93.639999,93.760002,882200,92.536888
"413",92,92.300003,90.620003,90.82,1720600,89.635231
"414",91,91.029999,88.919998,89.089996,2016700,87.927803
"415",89.199997,89.309998,87.830002,88.470001,2902700,87.315895
"416",88.949997,92.190002,88.800003,92.050003,2034700,90.849197
"417",92.779999,92.879997,90.129997,92.059998,1473600,90.859062
"418",92.379997,92.379997,90.599998,90.779999,1475400,89.595764
"419",90.699997,90.849998,88.639999,88.949997,1221100,87.789627
"420",88.279999,88.75,87.349998,88.010002,1447300,86.861893
"421",87.809998,88,86.290001,87.040001,2244800,85.904541
"422",86.419998,86.919998,85.220001,85.260002,4038400,84.147774
"423",85.25,85.349998,83.709999,84.779999,4487000,83.674026
