"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"1",76.900002,77.25,75.730003,75.900002,1253300,70.960289
"2",75.809998,77.160004,75.410004,76.790001,1415000,71.792366
"3",76.330002,77.129997,74.940002,75.629997,1515000,70.707863
"4",75.809998,76.029999,75.080002,75.160004,1464200,70.268478
"5",75.209999,75.629997,74.68,75.370003,877700,70.464783
"6",75.199997,76.839996,75.120003,76.349998,962600,71.380997
"7",76.589996,76.940002,75.660004,76.5,715100,71.521248
"8",76.5,76.669998,75.32,75.949997,607900,71.00705
"9",77.129997,77.370003,75.889999,76.050003,1299100,71.100525
"10",76.029999,78.25,76.029999,77.360001,1062300,72.325279
"11",77.360001,77.739998,75.650002,76.410004,1154700,71.437119
"12",76.190002,76.720001,74.260002,74.790001,1465500,69.922539
"13",75,75.349998,74.260002,75.220001,1265700,70.324539
"14",74.849998,75.139999,74.050003,74.709999,1089900,69.84774
"15",75,75.279999,74.110001,75.160004,1650000,70.268478
"16",75.660004,76.120003,74.379997,75.230003,1172000,70.3339
"17",75.269997,75.809998,74.459999,74.989998,899800,70.10952
"18",75.18,75.190002,74.099998,74.360001,853500,69.520508
"19",74.199997,74.550003,73.269997,74.480003,1715500,69.632698
"20",74.129997,74.389999,72.709999,73.669998,2112100,68.875427
"21",73.269997,74.059998,71.610001,72.370003,4076800,67.660049
"22",75.120003,76,73.019997,73.709999,6506600,68.912827
"23",73.459999,73.75,72,73.279999,2283600,68.510803
"24",73.169998,73.93,72.540001,73.279999,1459400,68.510803
"25",73.349998,73.910004,72.809998,73.18,1254400,68.417313
"26",73.129997,73.660004,72.010002,73.029999,2955100,68.277084
"27",73,74.150002,72.559998,73.540001,3385300,68.753876
"28",73.57,74.620003,73.32,74.25,1593400,69.417671
"29",74.480003,74.550003,73.059998,73.160004,1049800,68.398636
"30",73.139999,73.690002,73.110001,73.400002,895000,68.622993
"31",73.360001,73.669998,72.650002,72.730003,1892400,67.996582
"32",72.879997,73.059998,70.489998,70.849998,3179800,66.23896
