"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"747",295,297.200012,293.619995,294.619995,2905900,286.763184
"748",298.899994,300,292.51001,292.589996,6608300,284.787354
"749",293.429993,295.850006,292.809998,295.089996,2098900,287.220642
"750",295.26001,295.829987,293.559998,294.540009,714000,286.685333
"751",295.299988,296.26001,294.540009,295.649994,1050600,287.765747
"752",296.01001,296.540009,295.01001,295.970001,1547100,288.077179
"753",296.049988,296.540009,293.450012,293.850006,1511700,286.013733
"754",293.660004,294.089996,291.149994,293.980011,2224200,286.140289
"755",293.980011,295.700012,289.790009,292.5,2543400,284.699738
"756",287.269989,291.880005,284.359985,289.540009,2711400,281.818695
"757",288,291.660004,287.220001,291.549988,3079100,283.775055
"758",290.700012,291.48999,287.579987,289.790009,2492900,282.062042
"759",291.5,297.380005,290.040009,295.899994,3379200,288.009033
"760",294.290009,297.200012,293.720001,294.220001,2838200,286.373871
"761",296.070007,296.070007,292.209991,295.130005,2477900,287.259613
"762",294.369995,294.450012,285.019989,285.850006,6994900,278.227051
"763",285.600006,288.23999,284.25,288.23999,6056300,280.553314
"764",289.019989,299.640015,289,296.410004,6081300,288.505463
"765",298,300.98999,295.929993,300.73999,3710300,292.720001
"766",300.01001,300.700012,295.880005,298.470001,4632200,290.510529
"767",296.890015,302.540009,296.01001,300.529999,4962800,292.515625
"768",301.98999,302.130005,297.350006,300.589996,3117600,292.573975
"769",300.01001,300.579987,296.649994,299.459991,3169600,291.474152
"770",298.339996,299.929993,291.559998,292.809998,3678500,285.001495
"771",288,288.079987,280.070007,284.089996,4399400,276.514008
"772",283.910004,288.369995,283.299988,285.869995,4341000,278.246552
"773",284,286.190002,280.890015,282.899994,3963800,275.355743
"774",281.839996,281.839996,275.920013,280.980011,4211800,273.486969
"775",278.170013,278.779999,271.179993,272.450012,5532600,265.184448
"776",275.130005,276.850006,270.820007,274.019989,5646800,266.712524
"777",277.279999,283.5,276.880005,280.839996,4290200,273.350708
"778",285.600006,297,285.440002,295.730011,5761000,287.843628
"779",297,297.269989,290,292.459991,3044000,284.660828
"780",292.869995,293.390015,288.910004,289.220001,3425900,281.507202
"781",286.230011,289.290009,285.450012,287.029999,3147400,279.37558
"782",286.850006,291.570007,285.899994,290.790009,2992200,283.035309
"783",295,305,294.01001,303.480011,6701900,295.386932
"784",300.140015,305.899994,300.140015,302.200012,3565500,294.141052
"785",302.209991,303.970001,297.309998,298.779999,2485600,290.812256
"786",299.670013,303.350006,299,302.140015,3241700,294.082672
"787",303.369995,306.709991,302.730011,305.309998,3021100,297.168091
"788",303.200012,304.160004,297.890015,302.130005,2885500,294.072937
"789",300.470001,302.51001,298.609985,301.429993,2987100,293.391602
"790",286.890015,288.98999,277.640015,277.790009,8790600,270.382019
"791",280.149994,281.980011,262.01001,263.390015,8171200,256.366058
"792",264.720001,269.829987,258.709991,263,6806600,255.986435
"793",258.420013,262.149994,252.070007,253.919998,7604300,247.14856
"794",246.199997,257.100006,245.300003,254.960007,9961000,248.160858
"795",257.339996,273.23999,250.320007,273.109985,8866300,265.826813
"796",275.350006,280.350006,259.230011,261.399994,9188100,254.429077
"797",290,295.839996,282.209991,289.420013,14533000,281.701935
"798",281.600006,289.420013,279.940002,282.959991,5908400,275.414124
"799",275.420013,284.970001,271.899994,283.869995,5361900,276.299866
"800",264.459991,281.440002,259.23999,273.440002,8070700,266.14801
"801",279.720001,283.899994,272.5,280,7366000,272.533081
"802",274.76001,285.23999,273.26001,277.779999,7744600,270.372284
"803",260,272.230011,250,250.410004,10496600,243.732178
"804",260.98999,273.220001,242.270004,272.040009,9308400,265.932281
"805",243.919998,245.679993,223.949997,225.039993,10303500,219.987518
"806",230.820007,248.759995,228.289993,244.220001,9642200,238.736923
"807",225.75,231.449997,200.190002,217.059998,12917500,212.186691
"808",216.979996,226.119995,208.940002,219.800003,8065200,214.865189
"809",223.179993,232.639999,203.460007,206.589996,9364100,201.951752
"810",202.039993,205.75,187.720001,194.860001,10654500,190.485107
"811",202.139999,220.270004,199,219.800003,8894400,214.865189
"812",219.089996,247.509995,216,234.490005,10014000,229.225372
"813",234.029999,257.959991,232.300003,255.389999,7517600,249.656128
"814",242.940002,251.600006,238.240005,242.449997,4879500,237.006638
"815",242.639999,254.089996,242.639999,251.279999,5329000,245.638412
"816",243.479996,254.529999,243,249.380005,5450000,243.781052
"817",238.690002,246.610001,235.440002,237.320007,4548800,231.991837
"818",235.300003,242,226.029999,240.440002,4636800,235.041779
"819",238.320007,239.339996,227.270004,229.490005,4650300,224.337616
"820",240,249.289993,235.119995,248.339996,6365900,242.76442
"821",259.809998,266.709991,246.539993,248.039993,4984100,242.471146
"822",247.690002,269.160004,246.259995,267.829987,6390200,261.816833
"823",265,270.399994,261.600006,264.130005,4923300,258.199921
"824",262.059998,264.959991,258.179993,263.51001,2964900,257.593811
"825",269,273.070007,267,270.5,4778900,264.42688
"826",276.329987,282.98999,270.679993,281.679993,7841800,275.355865
"827",283.440002,300,280.01001,298.429993,7738900,291.729828
"828",300.98999,304,287.100006,290.559998,5857500,284.03653
"829",285.299988,289.01001,281.269989,282.140015,4072600,275.805573
"830",274.950012,280,273.25,274.190002,3977500,268.034088
"831",279.579987,283.820007,276.709991,277.019989,3663300,270.800446
"832",279.059998,288.459991,278.540009,285.329987,4420500,278.923889
"833",287.290009,291.899994,284,291.290009,3265000,284.750122
"834",293.209991,296.859985,290.630005,293.980011,3706200,287.37973
"835",298,298.25,285.619995,288.359985,3862900,281.885895
"836",292,292.75,286.100006,287.649994,4258400,281.191833
"837",286.649994,295,285.519989,292.470001,7631700,285.903595
"838",288.390015,289,279.600006,284.51001,3526100,278.122314
"839",284.48999,287.940002,282.109985,287.540009,2894200,281.08432
"840",289.959991,296,287.290009,293.040009,2501300,286.460815
"841",295.100006,297.679993,288.440002,288.769989,2579200,282.286652
