"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"209",232.580002,233.419998,231.5,232.149994,112100,215.93898
"210",232.399994,233.210007,230.710007,232.830002,271500,216.571472
"211",233.179993,233.899994,232.169998,233.660004,178100,217.343536
"212",233.759995,235.440002,232.259995,234.570007,300400,218.189987
"213",234.75,235.449997,232.820007,235.070007,283500,218.65509
"214",234.740005,237.940002,234.679993,236.210007,243900,219.715439
"215",236.660004,238.160004,232.75,233.350006,342400,217.055191
"216",235,253.440002,235,251.960007,1008600,234.365662
"217",250.279999,250.979996,242.149994,242.550003,409700,225.612747
"218",242.949997,242.949997,237.919998,240.660004,284800,223.854721
"219",240.330002,240.820007,238.089996,239.179993,194200,222.478058
"220",238.899994,238.970001,236.110001,237.529999,263600,220.943253
"221",237.119995,237.589996,234.529999,235.559998,148600,219.110855
"222",237,237.559998,234.75,235.820007,189400,219.352676
"223",235.470001,235.470001,232.779999,232.869995,218800,216.608704
"224",233.949997,234.800003,232.479996,234.350006,160300,217.985336
"225",235.220001,237.830002,235.220001,236.639999,218100,220.115433
"226",236.880005,236.880005,233.619995,234.070007,256300,218.389359
"227",235,235,233.559998,234.449997,62600,218.743866
"228",233.789993,235.509995,233.589996,235.050003,135800,219.303711
"229",236.029999,241.5,234.029999,241.110001,250900,224.957748
"230",241.160004,241.929993,239.270004,239.679993,168100,223.623535
"231",240.449997,243.190002,239.449997,241.669998,423700,225.480255
"232",241.669998,241.75,232.589996,235.990005,176200,220.180771
"233",237.949997,239.699997,233.320007,234.309998,210300,218.613281
"234",234.869995,235.990005,232.699997,232.789993,223900,217.195114
"235",232.850006,234.830002,232.720001,233.649994,360900,217.997482
"236",233.570007,236.470001,233.380005,235.860001,203500,220.059433
"237",236.490005,237.979996,235.449997,237.009995,387300,221.132416
"238",237.059998,237.25,233.630005,234.100006,185300,218.417358
"239",234.300003,235.589996,233.240005,233.539993,213600,217.894867
"240",234.380005,237.880005,233.580002,235.089996,468900,219.341019
"241",234.990005,237.050003,233.009995,233.880005,210900,218.212128
"242",234.820007,239.970001,234.139999,238.830002,540800,222.83049
"243",239.550003,241.339996,236.509995,238.600006,268100,222.615875
"244",238.360001,240.190002,237.100006,238,317300,222.056076
"245",240.220001,240.220001,233.460007,238.020004,534100,222.074738
"246",238.360001,238.360001,233.630005,235.380005,2e+05,219.611603
"247",236.199997,238,234.139999,237.440002,242200,221.533615
"248",237.059998,238.779999,236.5,236.800003,70600,220.936493
"249",237.220001,238.389999,236.820007,237.589996,117600,221.673553
"250",238.869995,239.75,236.729996,239.449997,134500,223.408966
"251",239.5,240.570007,235.389999,235.699997,1060500,219.910156
"252",235.460007,235.460007,225.770004,228.009995,9026900,212.735336
"253",229.020004,230.220001,226.419998,229.389999,1108400,214.022903
"254",230.5,233.479996,229.410004,232.660004,673600,217.073837
"255",233.300003,235.429993,232.639999,233.75,570100,218.09079
"256",233.600006,236.639999,232.369995,236.039993,353000,220.227386
"257",236.679993,240.130005,236.339996,239.199997,513600,223.17569
"258",238.059998,238.520004,236.009995,237.330002,729900,221.430939
"259",237.520004,239.869995,236.279999,239.270004,482000,223.241013
"260",240.979996,248,240.970001,247.429993,423700,230.85434
"261",247.600006,248.369995,235,235.149994,701900,219.397003
"262",237.029999,237.520004,235.520004,237.240005,427300,221.347
"263",237.910004,238.210007,236.309998,236.880005,329100,221.011093
"264",237.970001,243.220001,236.820007,242.119995,469500,225.900085
"265",241.490005,241.759995,237.160004,238.880005,292700,222.877136
"266",239.320007,239.320007,234.410004,235.039993,382600,219.294373
"267",234.990005,239.529999,234.990005,238.139999,483300,222.186707
"268",238.479996,242.660004,238.289993,241.25,293700,225.088333
"269",241.770004,248.149994,239,247.759995,395200,231.162247
"270",247.169998,249.380005,246.690002,247.699997,1065400,231.106277
"271",246.940002,246.940002,241.979996,244.789993,684400,228.391205
"272",246.199997,246.199997,237.399994,237.539993,576000,221.626907
"273",237.630005,243.720001,237.630005,241.470001,465800,225.293625
"274",243.699997,245.380005,241.179993,243.770004,514400,227.439575
"275",241.669998,242.059998,226.029999,228.610001,676700,213.29512
"276",223.089996,229.619995,221.710007,227.669998,713700,212.418076
"277",227.669998,238.440002,227.410004,234.820007,364600,219.089111
"278",234.649994,236.220001,225.320007,225.369995,330200,210.272141
"279",227.619995,232.300003,222.559998,230.309998,499600,214.881271
"280",231.330002,237.440002,228.110001,234.929993,438800,219.191742
