"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"1",140.399994,149.100006,140.399994,147.429993,2947900,140.479675
"2",147.389999,149.5,146.509995,148.580002,1897900,141.575455
"3",147.270004,147.929993,145.179993,146.5,1299000,139.593506
"4",146.929993,147.419998,144.889999,146.919998,1334900,139.993744
"5",146.350006,148.009995,145.660004,146.839996,1158900,139.91748
"6",146.270004,148.589996,145.679993,146.820007,1185000,139.898438
"7",146.5,147.550003,141.089996,143.199997,2041600,136.449081
"8",142.240005,145.070007,141.669998,144.679993,1298200,137.859314
"9",145.509995,147.759995,145.059998,147.179993,1272800,140.241455
"10",146.669998,149.300003,146.029999,148.429993,2310300,141.432541
"11",150.240005,150.460007,148.179993,149.740005,1348900,142.680786
"12",149.679993,149.679993,146.539993,147.289993,1120600,140.346252
"13",147.5,151.820007,147.5,150.279999,3076900,143.195313
"14",149.619995,150.199997,148.419998,149.320007,1788500,142.280609
"15",148.669998,148.970001,147.660004,148.309998,1586300,141.318222
"16",148.729996,151.240005,148.669998,151.100006,2905000,143.976685
"17",141,144.309998,137.580002,138.550003,7175800,132.018295
"18",139.220001,139.240005,135.460007,136.740005,3354700,130.293625
"19",137.009995,137.399994,134.169998,137.110001,3119900,130.646179
"20",137.440002,139.270004,135.759995,139.149994,3109900,132.590012
"21",139.699997,140.5,138.710007,140.029999,2800100,133.428543
"22",139.809998,139.809998,137.839996,139,2701000,132.447067
"23",138.809998,139.710007,137.860001,138.839996,3957500,132.294647
"24",139.149994,140.100006,138.009995,139.820007,1579400,133.228455
"25",140.220001,142.130005,139.080002,139.929993,1797700,133.333282
"26",139.910004,141.119995,139.399994,140.940002,1127000,134.295578
"27",140.940002,141.529999,138.770004,139.710007,1532600,133.123642
"28",140.029999,140.369995,139.199997,139.570007,1221700,132.990265
"29",140.550003,141.009995,139.789993,140.490005,1363700,133.866837
"30",140.490005,145.800003,140.050003,145.199997,3548200,138.354752
"31",146.289993,149.850006,144.75,149.520004,2538300,142.47113
"32",149.029999,149.449997,146.869995,149.419998,1590900,142.375839
"33",148.940002,150.539993,148.100006,150.25,1883900,143.166748
"34",150.210007,151.570007,149.25,150.889999,1312700,143.77655
"35",150.009995,150.990005,148.880005,149.050003,1313900,142.023315
"36",149.5,149.570007,148.070007,148.970001,1267000,141.947067
"37",148.929993,150.869995,147.710007,150.850006,1248900,143.738449
"38",150.649994,152,149.970001,151.449997,1567100,144.578476
"39",150.960007,151.190002,148.529999,150.130005,2075500,143.318405
"40",151.300003,151.690002,148.889999,148.970001,2901100,142.211044
"41",148.899994,151.210007,148.270004,150.160004,1234800,143.347031
"42",150.610001,153.070007,150.160004,152.529999,1449100,145.609528
"43",151.720001,151.919998,149.479996,150.240005,1372000,143.423416
"44",148.740005,149.729996,146.679993,147.240005,2342400,140.559494
"45",147.820007,151.539993,147.309998,147.830002,2381600,141.122787
"46",148.309998,150.149994,147.470001,149.470001,1380100,142.688339
"47",150.080002,150.309998,147.339996,147.669998,1311900,140.970047
"48",148.309998,148.720001,146.669998,148.050003,1695400,141.332779
"49",147.929993,149.240005,147,147.110001,904600,140.435425
"50",147.809998,148.779999,146.220001,148.259995,2071700,141.533264
"51",148.589996,150.309998,147.589996,148.830002,2222500,142.077377
"52",149.470001,149.470001,147.660004,147.929993,1907000,141.218246
"53",148,148.75,146.509995,147.169998,1415900,140.492737
"54",147.490005,147.699997,145.539993,146,1467600,139.375809
"55",146.070007,146.770004,145.149994,146.309998,1058300,139.671707
"56",146.279999,147.600006,145.470001,145.820007,969600,139.203979
"57",145.710007,146.410004,143.860001,145.630005,1632000,139.022614
"58",145.179993,148.770004,144.449997,148.5,1340600,141.76236
"59",148,150.100006,147.759995,149.880005,1785600,143.079712
"60",149.869995,151.419998,149.080002,151.350006,1873600,144.483047
"61",150.850006,151.369995,149.009995,149.479996,1196700,142.697922
"62",148.910004,149.229996,147.669998,148.259995,1733600,141.533264
"63",148.380005,148.869995,145.789993,146.169998,2143400,139.538101
"64",145.929993,147,144.690002,145.770004,959100,139.156235
"65",146.610001,146.779999,144.520004,144.75,1027900,138.18251
"66",144.440002,145.279999,144.020004,144.839996,1937700,138.268417
"67",144.869995,145.130005,143.830002,143.910004,1293000,137.38063
"68",143.880005,145.860001,143.369995,145.490005,1229200,138.888931
"69",145.589996,145.860001,144.240005,145.380005,1169800,138.783951
"70",144.619995,145.240005,143.350006,143.889999,1248100,137.361542
"71",143.809998,144.369995,142.860001,143.199997,840800,136.70282
"72",143.509995,144.440002,142.839996,144.220001,1181700,137.676559
"73",138.990005,139.119995,135.399994,137.600006,5010900,131.356903
"74",137.789993,138.309998,136,136.089996,2258000,129.915421
"75",136.720001,138.460007,135.960007,137.660004,1593900,131.414215
"76",137.110001,137.350006,135.130005,135.919998,1336800,129.753159
"77",137.259995,137.440002,135.75,136.149994,1402000,129.972717
"78",135,135.899994,133.820007,135,2468500,128.874878
"79",135.490005,136.990005,135.160004,136.029999,1381800,129.858154
"80",136.580002,139.589996,136.440002,138.789993,1796200,132.49295
"81",138.699997,138.990005,137.690002,138.289993,1523400,132.01561
"82",138.320007,139.139999,137.580002,138.470001,1283300,132.187424
"83",138.940002,139.889999,137.169998,139.210007,1596400,132.893906
"84",139.059998,139.059998,137.259995,138.210007,989400,131.939255
"85",138.539993,142.740005,138.539993,142.220001,1669700,135.767303
"86",142.25,142.729996,140.880005,141.470001,921400,135.051285
"87",141.850006,142.100006,140.410004,140.869995,799800,134.478561
"88",141.600006,142.889999,141.429993,142.490005,1041100,136.02507
