"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"1",73.940002,74.669998,73.540001,74.599998,3622700,66.973915
"2",74.949997,75,74.379997,74.720001,3021600,67.081635
"3",74.93,77.870003,74.43,75.589996,3310800,67.862679
"4",75.459999,76.07,75.029999,75.669998,2296500,67.934509
"5",75.669998,76.620003,75.510002,76.269997,3204100,68.473145
"6",76.440002,76.559998,75.809998,76.269997,3559400,68.473145
"7",76.510002,76.919998,74,75.260002,7701700,67.566422
"8",74.849998,77.5,74.760002,77.150002,11900700,69.263222
"9",76.919998,78.120003,76.379997,77.400002,5602600,69.487671
"10",77.059998,77.059998,75.870003,76.849998,4913300,68.993866
"11",77.32,77.709999,76.879997,77.529999,3360300,69.60437
"12",77.470001,77.620003,76.760002,76.839996,4439200,68.984886
"13",77.019997,77.410004,76.470001,76.809998,4371200,68.95797
"14",76.239998,76.879997,76.160004,76.32,5055100,68.518059
"15",76.199997,76.43,74.169998,74.849998,6594300,67.198326
"16",75.120003,75.599998,74.269997,74.849998,4830800,67.198326
"17",74.980003,75.349998,74.540001,74.580002,3748000,66.95594
"18",74.919998,75.400002,74.510002,75.379997,3132800,67.674149
"19",75.089996,75.18,74.25,74.699997,5909600,67.06366
"20",74.25,77.279999,74,77.029999,6964100,69.155487
"21",77.889999,78.57,76.910004,77.599998,4959200,69.667206
"22",76.989998,77.910004,76.550003,77.389999,3830900,69.478683
"23",77.470001,77.879997,76.709999,77.230003,3836300,69.335037
"24",76.919998,77.849998,76.760002,77.830002,2835500,69.873688
"25",77.68,78.010002,77.32,77.699997,3346800,69.756989
"26",77.440002,78.650002,77.190002,78.110001,2820800,70.125061
"27",78.110001,78.589996,77.690002,77.699997,2962600,69.756989
"28",77.870003,78.25,77.599998,77.790001,2598600,69.837784
"29",77.57,78.059998,77.529999,77.769997,2097500,70.289703
"30",77.5,78.830002,77.25,78.809998,3311200,71.229645
"31",78.339996,80.540001,78.050003,80.25,4272800,72.531143
"32",80.050003,80.379997,79.410004,80.040001,3629600,72.341354
"33",80.139999,81,80.07,80.389999,3111100,72.657684
"34",80.169998,80.870003,80.110001,80.360001,3178800,72.630577
"35",80.419998,81.209999,80.330002,81.07,3468800,73.272301
"36",81.379997,82.879997,81.139999,82.550003,6193500,74.609947
"37",82.419998,83.239998,82.239998,82.870003,4016000,74.899147
"38",82.830002,83.400002,82.660004,83.059998,3104200,75.070877
"39",82.82,83.480003,82.580002,82.809998,3672000,74.844917
"40",83.440002,84.139999,82.970001,83.849998,3420600,75.784897
"41",83.870003,83.949997,82.839996,82.910004,3371600,74.935318
"42",82.699997,83.900002,82.599998,83.779999,2649100,75.721634
"43",83.25,84.279999,82.949997,83.830002,3960100,75.766808
"44",82.949997,83.139999,81.370003,82.739998,5570600,74.781639
"45",82.739998,83.989998,82.669998,83.410004,4491800,75.387215
"46",83.669998,84.769997,83.510002,84.550003,5861600,76.41758
"47",84.5,84.550003,83.900002,84.360001,3629400,76.245827
"48",84.510002,84.550003,83.830002,84.139999,2248500,76.046989
"49",84,84.550003,83.919998,84.459999,2839100,76.33622
"50",84.43,86.139999,84.370003,85.879997,4883900,77.619644
"51",85.540001,85.540001,83.800003,84.989998,4742800,76.815231
"52",84.440002,84.75,83.830002,83.959999,5786900,75.884323
"53",84.599998,84.860001,83.970001,84.059998,3121900,75.974686
"54",84.339996,84.949997,83.629997,83.730003,4066200,75.676422
"55",84.089996,84.550003,83.470001,84.360001,2850300,76.245827
"56",83.919998,85.050003,83.919998,84.419998,3021100,76.300064
"57",84.300003,84.980003,83.860001,84.18,2479100,76.083138
"58",83.900002,84.440002,83.739998,84.239998,2340300,76.13739
"59",84.269997,85,84.040001,84.75,2755000,76.59832
"60",84.550003,84.760002,84.32,84.440002,2066600,76.318146
"61",84.57,84.949997,84.080002,84.760002,3204100,76.607368
"62",84.400002,84.940002,84.080002,84.110001,3151900,76.019867
"63",84.129997,84.809998,84.07,84.449997,2429900,76.327171
