"","TEL.Open","TEL.High","TEL.Low","TEL.Close","TEL.Volume","TEL.Adjusted"
"1",69.599998,69.900002,68.459999,68.959999,1941400,62.976555
"2",67.800003,69.139999,67.709999,68.669998,2208900,62.711727
"3",68.720001,68.970001,67.760002,67.839996,1491300,61.953743
"4",68.110001,68.610001,67.720001,68.300003,1178500,62.37384
"5",68.260002,68.389999,66.199997,67.309998,2795500,61.469734
"6",67.470001,68,67.459999,67.599998,1258800,61.73457
"7",67.510002,68.529999,67.470001,68.519997,2437500,62.574749
"8",68.660004,69.209999,67.800003,69.150002,1582300,63.150085
"9",69.129997,69.849998,69.129997,69.610001,931300,63.570175
"10",69.099998,69.779999,68.82,69.129997,1224900,63.131824
"11",69.410004,69.970001,69.220001,69.82,1129800,63.761963
"12",69.82,70.330002,69.300003,69.599998,1050200,63.561035
"13",69.839996,70.260002,69.410004,69.919998,1528400,63.853268
"14",69.720001,70.68,69.43,70.519997,2798400,64.401199
"15",70.779999,72.709999,70.580002,71.68,3670900,65.460579
"16",74.18,76.459999,74.18,75.169998,2854500,68.647743
"17",75.290001,75.550003,74.589996,74.730003,2554200,68.245918
"18",74.129997,74.93,74.010002,74.5,1379900,68.035881
"19",74.120003,74.290001,72.720001,74.260002,1312400,67.816696
"20",74.260002,74.440002,73.440002,74.349998,1455300,67.898895
"21",74.910004,75.129997,73.650002,74.620003,1613900,68.145477
"22",74.300003,74.68,73.900002,74.510002,1333100,68.045021
"23",74.650002,75.480003,74.650002,75.379997,1637000,68.839531
"24",75.290001,75.699997,74.940002,75.510002,1860600,68.95826
"25",75.949997,76.489998,75.620003,75.709999,2229400,69.140884
"26",75.410004,75.610001,74.730003,74.879997,1654700,68.382904
"27",75.209999,75.690002,75.139999,75.309998,2247200,68.775604
"28",75.459999,75.769997,74.889999,75.110001,1914500,68.592957
"29",75.290001,75.760002,75.220001,75.440002,1268700,68.894318
"30",75.199997,75.470001,74.980003,75.419998,1302000,68.876068
"31",75.510002,76.139999,75.25,75.580002,1553900,69.022171
"32",75.629997,76,74.910004,75.230003,1461300,68.702545
"33",75.029999,75.209999,74.470001,75.209999,1547600,68.684296
"34",75.5,75.879997,75.330002,75.730003,1386300,69.159157
"35",75.379997,75.550003,74.739998,75.269997,1780100,69.076553
"36",75.459999,75.559998,73.959999,74.209999,2011100,68.10379
"37",74,74.300003,73.639999,74.300003,2099000,68.186386
"38",74.300003,74.830002,74.120003,74.790001,1112200,68.636047
"39",74.739998,74.860001,74.169998,74.470001,1958500,68.3424
"40",74.68,76.300003,74.68,76.129997,1825500,69.865799
"41",76,76.269997,75.360001,75.529999,1210600,69.31517
"42",75.559998,75.599998,75.07,75.519997,1362400,69.305984
"43",74.739998,74.790001,73.480003,74.160004,2120400,68.057907
"44",74.379997,74.589996,73.639999,74.360001,1553400,68.241432
"45",74.459999,74.809998,74.300003,74.550003,1073100,68.415817
"46",74.389999,74.779999,74,74.290001,1091700,68.177193
"47",74.120003,75.110001,74.120003,74.610001,1427900,68.470863
"48",74.639999,75.330002,74.449997,75.139999,2137600,68.957268
"49",74.800003,74.959999,74.089996,74.830002,903900,68.672791
"50",75.5,76.730003,75.330002,76.529999,1835300,70.23288
"51",76.769997,76.769997,76.019997,76.110001,1041700,69.84745
"52",76.379997,76.379997,75.75,76.129997,1717000,69.865799
"53",76.230003,76.230003,75.660004,75.730003,1490000,69.498711
"54",76.019997,76.190002,73.510002,73.599998,2233300,67.543983
"55",73.639999,74.599998,73.459999,74.489998,3167600,68.360725
"56",74.400002,75.199997,74.040001,74.419998,2144400,68.296501
"57",74.739998,75.199997,74.029999,74.32,963800,68.20475
"58",73.449997,74.720001,73.139999,74.459999,1417300,68.333237
"59",74.339996,75.370003,74.050003,75.029999,1321700,68.856308
"60",74.879997,75.120003,74.529999,74.57,989400,68.434151
"61",74.480003,74.989998,74.349998,74.870003,1427300,68.70948
"62",74.639999,74.870003,74.440002,74.550003,1627400,68.415817
"63",74.669998,74.870003,73.059998,73.669998,2065600,67.608223
"64",73.610001,73.860001,73.099998,73.449997,1873100,67.406326
"65",73.889999,74.360001,72.730003,72.860001,1537800,66.864853
"66",72.919998,73.519997,72.510002,73.110001,1260200,67.094292
"67",72.949997,73.220001,72.639999,72.989998,1254700,66.984177
"68",72.93,73.860001,72.910004,73.5,1674200,67.452209
"69",73.389999,73.5,72.440002,73.290001,1189500,67.259483
"70",73,73.150002,72.209999,72.419998,1236100,66.46109
"71",72.269997,72.739998,71.93,71.93,782400,66.011383
"72",72.220001,72.779999,72.059998,72.769997,1096800,66.782272
"73",72.519997,73.209999,72.440002,73.080002,1007400,67.06678
"74",73.489998,73.980003,73.010002,73.18,1059400,67.158531
"75",73.510002,74.339996,73.139999,74.120003,978300,68.021172
"76",73.540001,73.849998,72.949997,73.610001,2348200,67.553162
"77",74.82,75.25,74.470001,75.209999,1898700,69.021515
"78",74.769997,75.800003,74.75,75.599998,2928700,69.379402
"79",79.209999,79.690002,76.169998,76.650002,2649500,70.343025
"80",77.419998,77.910004,76.75,76.989998,1730000,70.655029
"81",77.220001,77.720001,76.669998,77.370003,1416400,71.003777
"82",77.720001,77.720001,76.5,76.699997,1716500,70.388893
"83",76.970001,77.160004,74.949997,75.620003,1945700,69.397774
"84",75.480003,75.839996,74.800003,75.07,1703600,68.893013
"85",75.279999,75.809998,75.18,75.650002,1106200,69.425308
"86",75.949997,76.849998,75.129997,75.449997,1163300,69.241745
"87",75.269997,75.870003,75.199997,75.82,951600,69.581306
"88",75.699997,76.160004,75.580002,75.809998,920900,69.572128
"89",75.769997,76.260002,75.580002,76.260002,1104200,69.985092
"90",75.809998,76.489998,75.489998,76.470001,1121600,70.177841
"91",76.480003,76.870003,75.309998,75.669998,1646900,69.443657
"92",75.940002,76.559998,75.639999,75.989998,1161300,69.737312
"93",76.32,76.470001,75.809998,76.43,1394700,70.141121
"94",76.43,76.43,73.889999,73.949997,1333300,67.865181
"95",73.589996,74.25,73.010002,73.889999,1316300,67.810089
"96",74.43,75.059998,74.139999,74.669998,1337300,68.52594
"97",74.879997,75.529999,74.709999,75.459999,857500,69.250931
"98",75.480003,76.260002,75.059998,75.970001,1199800,69.718979
"99",75.900002,76.900002,75.800003,76.849998,1717700,70.899864
"100",77.129997,78.32,76.82,78.169998,2077300,72.117653
"101",77.93,78.32,77.68,78.010002,1251900,71.970047
"102",78,79.150002,77.5,79.010002,2500200,72.892616
"103",79.139999,79.5,78.620003,78.849998,2075800,72.745018
"104",79.169998,79.949997,78.800003,79.82,1692800,73.639923
"105",79.940002,79.949997,79.410004,79.470001,1034100,73.317009
"106",79.690002,80.330002,79.510002,79.879997,1370900,73.695274
