"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"1",76.260002,76.709999,75.050003,75.790001,496300,66.33036
"2",76.099998,76.330002,75.690002,76.07,443600,66.575401
"3",76.029999,76.599998,75.209999,75.760002,419300,66.304108
"4",75.830002,76.040001,75.370003,75.779999,354000,66.321594
"5",75.449997,75.510002,74.489998,74.5,382200,65.201355
"6",74.370003,75.089996,74.330002,74.519997,325600,65.218872
"7",74.5,74.900002,74.18,74.889999,329400,65.542679
"8",74.599998,75.019997,69.690002,69.910004,1548600,61.184265
"9",69.860001,70.870003,69.779999,70.059998,1004500,61.315536
"10",70.110001,70.800003,69.519997,69.739998,758200,61.035469
"11",69.57,70.580002,69.25,70.540001,567200,61.735634
"12",70.510002,70.540001,69.57,69.889999,628000,61.166759
"13",70.089996,70.599998,69.699997,70.269997,562300,61.499313
"14",70.25,70.389999,69.379997,69.730003,437700,61.026726
"15",70.019997,70.300003,69.839996,70.089996,573700,61.341812
"16",70.459999,71.169998,70.400002,71.110001,510500,62.234478
"17",70.949997,71.419998,70.449997,70.68,858800,61.85815
"18",70.849998,70.849998,70.029999,70.620003,525400,61.805653
"19",70.529999,70.589996,69.730003,70.040001,472700,61.298042
"20",70,70.580002,69.860001,70.580002,941600,61.770626
"21",70.82,71.089996,69.779999,70.059998,524100,61.315536
"22",69.480003,70.690002,69.480003,70.650002,468700,61.83189
"23",71.480003,71.790001,70.839996,71.43,610100,62.514549
"24",71.199997,71.349998,70.720001,70.790001,451500,61.954411
"25",70.75,71.07,70.050003,70.43,541200,61.639355
"26",70.510002,70.809998,70.190002,70.339996,569700,61.560585
"27",70.18,70.339996,68.239998,70.25,746100,61.481827
"28",70.25,71.190002,70.209999,71.059998,551800,62.190701
"29",71.32,72.010002,71.07,71.75,533000,62.794582
"30",71.839996,72.510002,71.830002,72.389999,459200,63.354717
"31",72.190002,72.849998,72.050003,72.82,456800,63.731052
"32",72.830002,73.099998,72.559998,73.089996,351800,63.967373
"33",72.879997,72.910004,72.349998,72.669998,497000,63.599762
"34",72.910004,73,72.360001,72.849998,444200,63.757301
"35",72.75,73.18,72.589996,72.93,397600,63.827328
"36",72.93,73.440002,72.75,73.339996,408600,64.186157
"37",73.169998,73.529999,72.910004,73.489998,318700,64.317444
"38",73.629997,73.75,72.839996,73.059998,328800,63.941109
"39",73.059998,73.269997,72.650002,72.959999,616600,63.853592
"40",74.089996,75.230003,74.089996,75.150002,597200,65.770248
