"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume","STZ.Adjusted"
"1",155.009995,155.309998,153.309998,154.75,1991400,144.354187
"2",157.149994,158.350006,156.259995,157.990005,2972300,147.376556
"3",150.550003,151.350006,144,146.75,10511800,136.891632
"4",146.990005,150.070007,146.399994,149.440002,4441900,139.400909
"5",150,150.899994,149.100006,150.270004,2129600,140.175156
"6",150,150.270004,149.080002,149.240005,2152800,139.214371
"7",149,150.149994,148.419998,149,1835800,138.990479
"8",148.5,148.5,146.710007,147.529999,1973700,137.619263
"9",147.710007,149.690002,147.350006,149.279999,1721700,139.251648
"10",151.289993,156.75,151.289993,153.729996,3708600,143.402771
"11",153.649994,154.190002,150.339996,150.479996,2263100,140.371048
"12",150.929993,150.929993,149.080002,149.589996,1560100,139.540817
"13",149.539993,150.339996,148.320007,150.080002,1973800,139.997925
"14",150.100006,153.660004,150.050003,151.550003,2470200,141.369141
"15",151.289993,153.369995,150.589996,153.050003,1899500,142.768402
"16",153.380005,154.360001,152.699997,154.089996,2177500,143.738525
"17",153.779999,154.610001,149.800003,149.970001,2790500,139.89534
"18",149.100006,150,148,148.919998,2712500,138.915833
"19",149.360001,149.360001,146.990005,148.339996,1566300,138.374817
"20",148,150.050003,147.919998,149.759995,1793900,139.699432
"21",151.759995,151.929993,148.729996,149.850006,1700800,139.783417
"22",150.5,151.190002,149,149.270004,1290500,139.242355
"23",149.899994,150.179993,148.770004,149.070007,1671500,139.055801
"24",148.880005,150.119995,148.380005,149.770004,940200,139.708771
"25",150.199997,152.330002,150.199997,152,1116500,142.168655
"26",152.009995,154.820007,152.009995,154.580002,2274900,144.581772
"27",154.580002,156.429993,153.399994,155.729996,2347500,145.65741
"28",155.119995,155.910004,154.039993,155.449997,1555600,145.395508
"29",155.360001,155.820007,154.009995,155.490005,1969200,145.432922
"30",155.110001,156.699997,154.710007,155.889999,1160200,145.807022
"31",155.520004,156.309998,155.059998,156.210007,941400,146.106339
"32",156.669998,158.690002,156.160004,158.509995,2291800,148.257599
"33",158.149994,161.779999,157.270004,161.320007,2435200,150.885834
"34",160.660004,161.089996,159.330002,160.089996,2186300,149.735382
"35",159.389999,160.570007,158.619995,160.199997,1160800,149.838242
"36",160.729996,162.479996,153.279999,153.600006,3591900,143.665192
"37",154.059998,160.580002,153.75,158.850006,4422500,148.575592
"38",158.070007,158.570007,156.699997,157.800003,1918700,147.593521
"39",157.860001,159.470001,157.309998,158.809998,1528600,148.538162
"40",160.089996,160.649994,158.970001,159.610001,1523800,149.286423
"41",159.600006,159.600006,158.050003,158.429993,961700,148.182724
"42",158.320007,158.960007,157.899994,158.759995,1364800,148.491394
"43",158.699997,159.139999,157.509995,157.800003,1382500,147.593521
"44",157.5,158.369995,156.449997,157.210007,1460700,147.041672
"45",156.449997,156.940002,155.360001,156.380005,1416800,146.265381
"46",156.720001,156.75,155.110001,155.789993,990000,145.713501
"47",156.639999,157.570007,156.199997,157.559998,999900,147.369034
"48",156.610001,158.449997,156.160004,158.389999,1251400,148.145325
"49",157.949997,159.330002,157.509995,159.119995,1030100,148.82814
"50",159.279999,162.339996,159.279999,162.119995,1773600,151.634048
"51",161.910004,162.570007,161.279999,162.039993,1044800,151.559265
"52",162.770004,162.919998,161.339996,161.75,2301000,151.287994
"53",161.809998,162.779999,161.320007,162.550003,814800,152.036255
"54",163.589996,165.880005,163.089996,164.610001,2345700,153.963013
"55",164.479996,165.300003,163.220001,164.199997,920700,153.579544
"56",163.490005,164.039993,162.169998,162.720001,1056500,152.195297
"57",162.820007,164.339996,162.679993,164.059998,1151600,153.448608
"58",163.399994,163.979996,162.539993,163.679993,1288900,153.09317
"59",161.460007,163.020004,160.960007,162.429993,1225900,151.923965
"60",162.139999,163.759995,161.660004,163.690002,820900,153.102554
"61",163.75,163.889999,162.179993,162.440002,1028900,151.93338
"62",162.380005,163.410004,161.619995,162.070007,1229600,151.587357
"63",162.070007,162.460007,160.720001,161.660004,1283100,151.203873
"64",161.660004,162.070007,160.529999,161.509995,1205100,151.063553
"65",161.75,163.199997,160.759995,161.399994,1858900,150.960648
"66",169.399994,175.429993,169.309998,171.770004,5960200,160.659912
"67",172,174.899994,170.289993,170.369995,2584900,159.350464
"68",170.740005,171.800003,169.710007,171.270004,1453400,160.192245
"69",171.229996,171.869995,169.630005,170.350006,1030800,159.331772
