"","CLX.Open","CLX.High","CLX.Low","CLX.Close","CLX.Volume","CLX.Adjusted"
"1",120.57,121.360001,119.75,121.019997,1046000,106.684296
"2",121.849998,122.519997,121.25,121.93,1114600,107.486511
"3",122.050003,122.739998,121.349998,122.699997,775700,108.165291
"4",122.459999,122.779999,121.870003,122.519997,526400,108.006622
"5",122.769997,122.959999,120.959999,121.300003,812900,106.931145
"6",121,121.040001,119.18,119.379997,1150100,105.238586
"7",119.230003,120.129997,118.580002,118.720001,854600,104.656746
"8",118.620003,119.440002,118.410004,119.089996,773300,104.982948
"9",119.099998,119.540001,118.82,119.529999,469600,105.370804
"10",119.589996,121.559998,119.529999,121.32,881200,106.948769
"11",121.309998,121.760002,120.580002,120.910004,700800,106.587357
"12",120.889999,121.5,120.029999,120.25,639700,106.005539
"13",121.699997,121.910004,120.470001,121.419998,843700,107.036926
"14",120.330002,121.25,120.169998,121,524300,107.37413
"15",121.099998,121.699997,120.699997,121.620003,674600,107.924332
"16",121.599998,121.699997,120.580002,121.470001,814500,107.791222
"17",121.309998,121.809998,120.970001,121.650002,694700,107.950935
"18",121.279999,121.410004,118.870003,120.489998,1057000,106.92157
"19",120.949997,121,119.650002,120.309998,838400,106.761833
"20",120.440002,120.760002,119.769997,120,1116100,106.486748
"21",119.639999,121,119.57,120.730003,1035800,107.13456
"22",121.209999,121.599998,119.970001,120.239998,1327700,106.69973
"23",122,126.610001,121.510002,125.139999,2284900,111.047935
"24",125.519997,125.610001,123.699997,123.779999,1204800,109.841095
"25",124.309998,125.580002,123.580002,125.32,925700,111.207657
"26",125.720001,127.300003,125.400002,127.059998,1303000,112.751701
"27",127.059998,127.980003,126.919998,127.400002,1090200,113.053436
"28",126.800003,127.720001,126.580002,127.029999,1109700,112.725098
"29",127,127.459999,126.489998,127.129997,739500,112.813835
"30",126.610001,127.589996,126.25,127.400002,841400,113.053436
"31",127.809998,128.490005,126.940002,128.419998,678900,113.958565
"32",128.190002,130.210007,127.870003,130.100006,1574900,115.449402
"33",131.339996,134.089996,130.669998,133.710007,2559500,118.652878
"34",133.850006,135.710007,133.710007,135.440002,1371300,120.188034
"35",134.979996,136.380005,133.75,135.919998,1376900,120.613983
"36",136.130005,136.330002,135.440002,135.830002,1007500,120.534149
"37",135.360001,136.399994,134.630005,136.369995,900100,121.013298
"38",135.600006,136.619995,135.020004,136.440002,810800,121.075439
"39",136.139999,137,136,136.809998,1192800,121.40377
"40",136.449997,137.25,136.080002,137.160004,9e+05,121.714371
"41",136.990005,137.899994,136.610001,137.399994,855500,121.92733
"42",137.190002,137.25,136.25,136.919998,681900,121.501381
"43",136.179993,137.089996,136.009995,136.800003,881600,121.394905
"44",136.479996,137.389999,136.360001,136.910004,844300,121.492516
"45",136.369995,137.130005,136.279999,136.410004,1578200,121.04882
"46",136.759995,137.460007,136.479996,137.059998,620300,121.625633
"47",137.470001,138.130005,137.050003,138.070007,630100,122.521873
"48",138.089996,138.539993,137.919998,138.240005,820000,122.672752
"49",138,138.25,137.270004,137.639999,504700,122.140289
"50",137.509995,139.300003,137.199997,138.660004,716200,123.045448
"51",138.660004,138.669998,137.339996,138.009995,757600,122.468636
"52",138.410004,138.479996,137.520004,137.539993,1271400,122.051567
"53",137.589996,138.020004,137.169998,137.460007,508200,121.980568
"54",138.020004,138.25,136.809998,137.509995,638400,122.024925
"55",137.940002,137.940002,136.529999,137.169998,639200,121.723213
"56",136.940002,137.779999,136.830002,137.550003,704300,122.060463
"57",137.649994,138.070007,137.300003,137.809998,646800,122.291161
"58",137.130005,138.199997,136.649994,136.929993,585600,121.510231
"59",136.539993,137.270004,136.070007,136.960007,564800,121.53685
"60",136.779999,136.919998,135.779999,135.960007,663400,120.64949
"61",135.949997,136.029999,135.199997,135.289993,520000,120.054924
"62",135.110001,135.75,134.789993,134.830002,770900,119.646729
"63",135.130005,135.619995,134.119995,134.539993,848300,119.389404
"64",134.509995,134.850006,133.610001,134.729996,778300,119.558006
"65",135.220001,135.690002,133.800003,134.270004,1088400,119.149818
"66",134.270004,134.490005,132.839996,132.949997,1041500,117.978447
"67",133.130005,133.479996,132.580002,133.220001,774500,118.218063
"68",133.210007,134.029999,132.960007,133.710007,458100,118.652878
"69",133.289993,134.940002,133.289993,134.529999,741500,119.380508
"70",133.800003,134.669998,133.610001,134.639999,618500,119.478127
"71",134.639999,134.639999,133.460007,133.860001,811300,118.785965
"72",133.839996,135.070007,133.619995,135.059998,653200,120.571419
"73",134.869995,135.899994,134.869995,135.589996,731700,121.044586
"74",135.380005,135.649994,135.070007,135.509995,771100,120.973129
"75",135.25,135.850006,134.919998,135.649994,969800,121.098114
"76",135.550003,135.940002,134.240005,134.289993,811200,119.884003
"77",134.309998,135.149994,133.520004,134.929993,887900,120.455353
"78",134.970001,136.460007,134.800003,136.149994,659700,121.544464
"79",136.5,136.5,133.490005,133.570007,894500,119.241287
"80",133.690002,134.470001,133.190002,134,540100,119.625122
"81",133.589996,133.860001,132.339996,133.690002,1022200,119.348389
"82",134.110001,134.360001,133.429993,133.490005,432000,119.169846
"83",133.850006,134.25,129.809998,130.089996,1525400,116.134575
"84",129.039993,131.589996,127.620003,131.199997,1533200,117.125481
"85",131.559998,132.619995,131.389999,132.360001,909400,118.161064
"86",132.270004,133.070007,132.270004,132.889999,636700,118.634216
"87",132.899994,133.979996,131.75,131.910004,573300,117.759354
"88",131.660004,132.699997,131.630005,132.429993,688700,118.223557
"89",132.440002,133.240005,132.119995,133.149994,583500,118.86631
"90",132.679993,132.960007,132.270004,132.619995,625000,118.39315
"91",132.369995,132.970001,131.919998,132.160004,790300,117.982536
"92",132.149994,132.899994,132.149994,132.75,733300,118.509232
"93",133.020004,133.509995,130.679993,130.710007,1138200,116.688065
"94",130.710007,132.070007,130.5,131.229996,883900,117.152267
"95",130.940002,131.460007,129.899994,130.740005,549000,116.714851
"96",130.979996,132.399994,130.619995,132.160004,711800,117.982536
"97",132.139999,132.960007,132.029999,132.570007,563100,118.348549
"98",132.440002,133.149994,131.550003,131.679993,565900,117.554001
"99",132.399994,132.860001,131.949997,132.779999,504300,118.535988
"100",133.160004,135.389999,133.089996,135.130005,619300,120.633896
"101",134.949997,135.210007,134.460007,134.990005,447800,120.508919
"102",134.789993,135.160004,134.309998,134.929993,550100,120.455353
"103",135.279999,136.619995,135.240005,135.729996,704700,121.169525
"104",135.809998,135.990005,134.279999,135.770004,705600,121.205269
"105",136.220001,136.660004,135.520004,136.630005,611500,121.973015
"106",136.300003,137.190002,135.860001,136.910004,469400,122.222954
"107",137,137.550003,136.270004,137.050003,575500,122.347939
"108",136.820007,137.889999,136.639999,137.550003,512900,122.794304
"109",137.550003,137.699997,135.669998,136.509995,545200,121.86586
"110",136.619995,137.25,136.080002,137.139999,482100,122.428276
"111",137.270004,137.710007,136.309998,137.190002,508400,122.472916
"112",137.119995,137.899994,136.539993,137.479996,430300,122.731804
"113",137.759995,139.649994,137.75,139.110001,723000,124.186935
"114",138.809998,140.550003,138.539993,140.160004,851700,125.12429
"115",140.050003,140.449997,137.899994,139.5,1068000,124.535133
"116",139.630005,141.179993,139,141.149994,624700,126.00811
"117",141,141.759995,139.860001,140.119995,606700,125.088585
"118",140.350006,140.529999,139.199997,139.339996,565000,124.392296
"119",139.320007,139.929993,138.910004,139.380005,463400,124.427986
"120",139.490005,140.289993,138.839996,138.910004,758200,124.0084
"121",139.220001,139.789993,138.779999,139.300003,458000,124.356598
"122",138.860001,139.259995,136.919998,136.940002,620900,122.249756
"123",137.720001,138.330002,136.110001,136.199997,599400,121.589127
"124",135.759995,135.759995,132.779999,133.220001,1211200,118.928802
"125",133.619995,133.949997,133.190002,133.240005,601600,118.946671
"126",133,134.800003,133,133.779999,520800,119.428711
"127",133.880005,134.649994,133.649994,134.100006,882800,119.714401
"128",133.940002,134.369995,133.25,133.770004,769900,119.419807
"129",134.289993,135.080002,133.940002,134.380005,600400,119.964355
"130",134.479996,134.910004,133.360001,133.5,420200,119.178787
"131",133.669998,134.220001,131.789993,131.979996,748600,117.821815
"132",132.300003,132.75,131.419998,131.5,808700,117.393311
"133",131.470001,131.699997,130.619995,130.820007,691400,116.78627
"134",131.169998,132.110001,131.100006,131.899994,528100,117.750397
"135",131.270004,131.910004,130.539993,131.470001,630600,118.118774
"136",131.490005,132.089996,131.139999,131.520004,442200,118.163704
"137",131.449997,131.509995,130.279999,130.529999,742100,117.274231
"138",131.199997,131.600006,130.610001,130.889999,456200,117.597679
"139",130.25,132.270004,130.050003,132.240005,564500,118.81057
"140",132.080002,132.100006,130.720001,131.320007,707300,117.984009
"141",131.600006,132.929993,130.869995,132.869995,688900,119.376587
"142",132.820007,133.690002,132.520004,133.429993,734800,119.879684
"143",133.919998,134.300003,132.800003,134.169998,990500,120.544571
"144",133.850006,134.160004,132.320007,132.770004,619700,119.286758
"145",132.740005,133.869995,132.309998,133.490005,626100,119.933617
"146",133.720001,133.990005,132.919998,133.130005,511100,119.610191
"147",132.830002,133.179993,131.229996,131.970001,988500,118.568001
"148",133.770004,136.940002,132.119995,134.729996,1239200,121.047714
"149",134.759995,134.940002,133.779999,134.490005,750800,120.832085
"150",134.5,135.649994,134.089996,135.5,584800,121.739494
"151",135.460007,135.669998,134.449997,134.649994,446900,120.975807
"152",134.729996,135.089996,133.729996,134.210007,564500,120.580513
"153",133.660004,134.520004,133.550003,133.940002,507900,120.337929
"154",134.520004,135.070007,133.889999,134.309998,526300,120.670364
"155",134.649994,135.889999,134.5,135.570007,447900,121.802406
"156",135.440002,136.550003,135.339996,136.300003,399700,122.458282
"157",136.339996,137.559998,136.279999,136.940002,446600,123.033272
"158",136.830002,137.919998,136.779999,137.169998,885700,123.239929
"159",137.139999,138.089996,136.75,137.729996,734400,123.74305
"160",137.910004,139.229996,137.520004,138.830002,494300,124.731361
"161",138.699997,139.190002,138.229996,139.039993,456400,124.920006
"162",138.5,139.309998,138.160004,138.720001,479600,124.632523
"163",138.789993,138.860001,136.910004,136.979996,6e+05,123.069199
"164",137.199997,137.880005,136.970001,137.479996,367600,123.51844
"165",137.729996,137.839996,136.960007,137.5,590400,123.536423
"166",137.300003,138.330002,137.259995,137.369995,434600,123.419586
"167",137.110001,137.589996,136.630005,137.350006,489400,123.401634
"168",137.589996,138.740005,137.330002,138.529999,780100,124.4618
"169",138.520004,139.339996,137.759995,137.979996,613500,123.967651
"170",137.440002,138.419998,137.119995,138.330002,540500,124.282143
"171",138.080002,138.100006,135.059998,136.369995,874300,122.521156
"172",136.369995,136.710007,135.220001,136.029999,694600,122.215698
"173",135.630005,135.630005,133.529999,134.039993,847000,120.427795
"174",134.25,135.550003,133.889999,135.029999,645700,121.317238
"175",135.029999,135.910004,135,135.570007,554700,121.802406
"176",135.559998,135.619995,133.75,134.080002,604200,120.463722
"177",134.089996,134.850006,133.419998,134.740005,541100,121.056717
"178",134.410004,136.240005,134.389999,136.179993,906000,122.350433
"179",136.410004,137.360001,136.210007,136.809998,668400,122.916481
"180",137.399994,137.600006,136.669998,137.520004,615400,123.554352
"181",137.610001,137.970001,135.179993,135.369995,802100,121.622704
"182",135.5,135.830002,130.75,131.330002,1133300,117.992989
"183",131.419998,132.050003,129.589996,129.830002,1093800,116.645332
"184",129.850006,131.380005,129.630005,130.470001,802700,117.220337
"185",131.020004,131.399994,130.259995,131.300003,643800,117.966042
"186",131.360001,131.360001,127,129.330002,1388700,116.196083
"187",128.699997,130.860001,128.110001,130.029999,970700,116.824997
"188",130.029999,131.970001,129.770004,131.910004,1066400,118.514114
"189",131.960007,132.320007,129.419998,129.479996,919900,116.330833
"190",129.520004,130.479996,128.520004,129.830002,1490100,116.645332
"191",129.669998,131.460007,129.460007,131.289993,1080500,117.957039
"192",131.559998,132.570007,128.539993,128.960007,1785600,115.86367
"193",128.649994,129.369995,127.919998,129.139999,1095600,116.025375
"194",129.320007,129.5,127.470001,127.82,1015400,114.839432
"195",128.199997,129.990005,127.760002,129.220001,1167200,116.097267
"196",129.429993,130.800003,129.429993,130.539993,660600,117.283211
"197",130.559998,131.100006,129.570007,130.729996,770800,117.453911
"198",131.25,132.039993,130.889999,131.289993,672000,117.957039
"199",131.300003,132.25,130.910004,131.809998,482700,118.424225
"200",131.800003,132.039993,130.649994,131.869995,608100,118.478134
"201",131.809998,131.919998,130.720001,130.960007,895800,117.660561
"202",130.5,130.520004,129.149994,130.119995,630900,116.905853
"203",129.690002,129.690002,127.540001,127.769997,1612700,114.794502
"204",127.650002,128.710007,127.349998,128.570007,1189200,115.513268
"205",127.970001,127.970001,126.440002,127.209999,868800,115.043022
"206",126.260002,127.279999,124.089996,127.089996,1414700,114.934479
"207",127.43,128.830002,127.43,127.860001,855300,115.630836
"208",127.650002,128,126.160004,127.029999,1128500,114.880226
"209",126.769997,126.809998,124.379997,125.32,1271700,113.333755
"210",125.699997,127.480003,124.480003,126.529999,2163800,114.42804
"211",128.850006,131.589996,126.449997,128.020004,2433900,115.775543
