"","DD.Open","DD.High","DD.Low","DD.Close","DD.Volume","DD.Adjusted"
"1",81.411034,82.45002,80.443207,81.980339,4977763,73.908165
"2",82.378853,82.933929,82.122665,82.63504,3686371,74.498398
"3",82.677742,82.820068,81.724152,82.264992,2905704,74.164772
"4",82.264992,82.393089,81.282936,81.752617,3579434,73.702866
"5",81.695686,84.086777,81.68145,82.250755,7799435,74.151947
"6",82.136894,82.307693,81.354095,82.079964,4151778,73.997978
"7",82.407318,82.976624,81.73838,82.919693,4561679,74.755028
"8",82.933929,83.417839,82.63504,82.962395,4255483,74.793533
"9",82.933929,83.019325,82.165359,82.264992,4053905,74.164772
"10",81.866478,81.866478,81.083679,81.596054,3705833,73.561714
"11",81.894943,82.136894,81.254471,82.136894,2733635,74.049316
"12",82.378853,82.549644,80.78479,81.254471,2870854,73.253754
"13",81.439491,82.023033,81.097908,81.667221,4961955,73.625877
"14",81.667221,82.079964,80.912888,81.32563,3449311,73.317924
"15",81.951874,85.068832,81.624519,84.883804,6467362,76.525734
"16",84.570686,85.894325,84.471062,85.695068,6121608,77.257118
"17",86.065125,87.744583,85.695068,87.417229,7329320,78.8097
"18",87.402992,87.858444,87.132576,87.260666,3697191,78.668564
"19",86.591728,86.705589,85.125763,85.609673,3826119,77.180122
"20",85.168465,85.32502,84.271805,84.869576,4038377,76.512901
"21",84.84111,85.880096,84.442596,85.823166,3936499,77.372612
"22",85.794701,86.235916,85.026138,85.19693,2956010,76.808037
"23",85.353485,85.794701,84.698784,85.695068,3194756,77.257118
"24",85.438881,85.609673,85.111534,85.424652,2788368,77.013344
"25",85.268089,85.695068,84.91227,85.097298,2205204,76.718216
"26",85.182693,85.396187,84.684547,85.011902,3319961,76.64122
"27",85.19693,85.894325,84.869576,85.766235,2698083,77.321281
"28",86.164749,87.246437,85.993958,87.089874,3348979,78.514595
"29",87.132576,88.029236,87.104111,87.616486,2819915,78.989349
"30",86.890617,87.872673,86.292847,87.844208,3174802,79.194649
"31",87.502625,87.58802,86.904854,86.961784,5480549,78.399109
"32",86.563263,87.445694,86.534798,87.402992,3239793,78.79686
"33",87.104111,87.274902,86.107819,87.189507,2854765,78.604408
"34",87.146805,88.043465,86.876389,87.132576,3514232,78.553078
"35",87.089874,91.601639,86.933319,90.619583,13197147,81.696739
"36",90.562653,90.918472,89.708694,90.192604,4388697,81.311806
"37",89.609062,90.505722,89.409805,90.448792,3701688,81.542763
"38",89.950645,90.534187,89.253242,89.537903,5101422,80.721573
"39",89.096687,89.495201,88.200027,88.612778,5127770,79.887527
"40",89.480972,90.576889,89.267479,90.320702,6233323,81.427292
"41",90.263763,90.619583,89.993347,90.164139,3974159,81.286148
"42",90.306465,90.534187,89.73716,90.036041,2509222,81.170654
"43",89.964882,91.046562,89.466736,90.391861,5128051,81.491447
"44",90.121437,90.377632,89.822556,89.879486,5361738,81.029526
"45",89.979111,91.160423,89.665993,90.064507,4866049,81.19632
"46",90.050278,90.648048,89.395576,90.434563,4194778,81.529938
"47",90.847305,91.160423,90.278,90.861542,3863709,81.914871
"48",90.918472,91.430847,90.761909,91.245827,3083042,82.261322
"49",91.075027,91.260056,90.320702,90.63382,2478588,81.709564
"50",90.975403,91.800896,90.761909,91.7155,3111919,82.684753
"51",91.672806,91.77243,90.605354,90.890007,3374905,81.940552
"52",91.302757,91.630104,90.833076,91.131966,7688002,82.158661
"53",91.018097,92.028625,90.69075,91.800896,4620768,82.761749
"54",91.857826,92.12825,89.537903,89.779854,6969656,80.939705
"55",89.466736,89.566368,88.200027,89.367111,6510010,80.567612
"56",89.167847,90.989632,88.954361,90.847305,5372769,81.902031
"57",90.619583,91.459312,89.395576,89.779854,4169694,80.939705
"58",89.125153,92.028625,88.698174,91.117729,5839441,82.145828
"59",90.904236,93.110306,90.406097,92.512535,5968791,83.403313
"60",91.487778,92.07132,91.17466,91.687035,2717897,83.24823
"61",91.630104,91.900528,91.075027,91.345451,3253354,82.93808
"62",91.046562,91.17466,90.406097,90.434563,4663979,82.111031
"63",90.477257,90.776146,88.669708,89.751389,3936007,81.490746
"64",89.751389,90.021812,89.068222,89.950645,3573883,81.671661
"65",90.349167,91.701271,90.178368,90.406097,4435350,82.08519
"66",90.377632,91.089264,90.178368,90.534187,2679323,82.2015
"67",90.278,90.477257,89.808319,89.936417,1899570,81.658737
"68",89.893715,90.292236,89.708694,90.050278,2798837,81.762131
"69",89.73716,89.851021,88.755104,88.940125,3445025,80.754143
"70",89.295944,89.295944,87.94384,88.12886,3470038,80.017548
"71",87.815742,87.829979,86.862152,86.904854,3918723,78.906189
"72",87.032944,87.901138,86.63443,87.858444,3392821,79.772011
"73",87.673416,88.07193,86.99025,87.502625,3111989,79.448959
"74",87.929604,88.143097,87.274902,87.602257,3311881,79.539406
"75",88.029236,88.954361,87.516853,88.157326,3574586,80.043404
"76",88.100395,88.698174,87.815742,88.470451,4100558,80.32769
"77",89.139381,89.936417,89.110916,89.409805,3466455,81.180603
"78",91.060799,92.384438,90.81884,92.242111,5436355,83.752197
"79",91.815132,92.341743,91.331223,91.558945,3301904,83.131943
"80",91.131966,91.388153,89.680229,89.936417,4896893,81.658737
"81",89.907951,90.505722,88.797798,89.38134,3339142,81.154755
"82",89.893715,89.92218,88.96859,88.982826,3337315,80.792908
"83",89.424042,89.665993,88.683937,88.982826,4051305,80.792908
"84",88.584312,88.883194,87.132576,87.829979,6049240,79.746162
"85",88.086166,88.171562,87.146805,87.417229,5456309,79.371414
"86",87.787277,89.979111,87.545319,89.79409,7160343,81.529518
"87",89.438271,89.580597,88.498917,88.769333,3495964,80.599075
"88",88.740868,89.310181,87.872673,88.000771,2755065,79.901253
"89",88.214256,88.413521,87.445694,87.829979,3032032,79.746162
"90",87.986534,88.342354,86.250145,88.043465,4924365,79.940018
"91",87.94384,88.356583,87.701881,88.299652,2147871,80.1726
"92",88.726639,89.609062,88.584312,88.812035,2420413,80.637848
"93",88.997055,89.281708,88.48468,88.669708,2552573,80.508606
"94",88.669708,88.669708,85.581207,85.68084,5161074,77.794853
"95",85.154228,86.620193,84.385666,86.22168,3577396,78.285912
"96",86.292847,88.143097,86.235916,87.232201,5603576,79.203423
"97",87.972305,88.100395,86.748291,86.790993,3595453,78.802803
"98",87.061409,87.445694,86.449402,86.506332,3733164,78.544373
"99",86.776756,88.100395,86.734055,87.459923,3846284,79.410202
"100",87.844208,88.07193,85.951263,86.321312,3167425,78.376381
"101",86.050888,87.04718,86.022423,86.904854,2194595,78.906189
"102",86.477867,86.961784,86.264381,86.662895,2786752,78.686523
"103",86.805222,88.214256,86.193214,88.185791,7733601,80.069237
"104",88.185791,89.466736,88.07193,89.324409,4110184,81.103058
"105",89.623299,90.278,89.38134,89.73716,3267968,81.477806
"106",89.665993,90.149902,89.452507,89.964882,3897083,81.684578
"107",89.665993,91.17466,89.466736,90.704979,4406052,82.356583
"108",91.003868,91.23159,90.007576,91.060799,4496126,82.679642
"109",91.060799,91.416618,90.491493,91.046562,3820639,82.66671
"110",91.188896,92.370209,91.075027,92.142487,5874572,83.661766
"111",92.142487,92.142487,90.704979,91.1035,3849938,82.718407
"112",91.032333,92.953751,91.032333,92.882584,3817969,84.333748
"113",92.996445,93.110306,91.373917,91.843597,3693467,83.390381
"114",91.217361,91.800896,89.92218,91.23159,5114561,82.834717
"115",92.014389,92.156715,90.861542,91.644341,6640062,83.209457
"116",92.028625,93.181473,92.028625,92.825653,3064704,84.282043
"117",92.740257,93.053375,92.156715,92.654861,5162198,84.126968
"118",92.654861,92.782951,90.420326,90.63382,4206160,82.291969
"119",90.69075,91.274292,90.477257,90.847305,3362188,82.485794
"120",90.861542,91.089264,90.078743,90.33493,5044581,82.020569
"121",90.434563,91.032333,90.092972,90.477257,3224125,82.149811
"122",90.605354,90.719215,89.651764,89.79409,3700142,81.529518
"123",90.263763,90.463028,89.751389,90.021812,3594399,82.336609
"124",90.064507,90.989632,88.954361,89.253242,3116697,81.633652
"125",89.495201,90.292236,89.096687,89.765625,4713161,82.10228
"126",90.263763,91.430847,90.107208,91.003868,2117729,83.234825
"127",91.089264,91.23159,89.722923,90.263763,2706444,82.557899
"128",90.064507,91.018097,89.438271,90.463028,2366733,82.740158
"129",90.534187,91.060799,90.036041,90.932701,2315443,83.169716
"130",90.932701,92.284813,90.434563,91.829361,2526506,83.989861
"131",91.914757,91.957458,90.975403,91.872063,2317129,84.028893
"132",92.384438,94.533577,92.114021,94.33432,4802252,86.280952
"133",94.320084,94.618973,93.153008,93.38073,3406733,85.408775
"134",93.56575,94.533577,93.266869,94.27739,2207382,86.228874
"135",94.291618,94.590508,93.750778,94.106598,2050419,86.072678
"136",93.907341,94.135063,93.352264,93.579987,1711692,85.591011
"137",93.836174,95.060188,93.722313,95.031723,2230638,86.918816
"138",95.031723,95.202515,94.305855,94.490875,3054797,86.424141
"139",94.362785,94.704369,94.021202,94.135063,2157005,86.098701
"140",94.049667,94.81823,93.750778,94.248924,2477605,86.202866
"141",95.472939,96.070709,94.832466,95.145584,3576132,87.022957
"142",94.974792,95.088654,93.907341,94.533577,3447133,86.463188
"143",94.974792,95.700661,93.466125,94.078133,4087560,86.646721
"144",94.846695,95.216743,92.825653,93.480354,2698926,86.096161
"145",93.893105,93.9785,91.388153,91.430847,4972072,84.208549
"146",91.743965,92.227882,91.203125,92.07132,3653700,84.798431
"147",91.558945,91.815132,90.961166,91.516243,2432708,84.287201
"148",91.530479,91.843597,90.007576,90.278,4345698,83.146767
"149",90.448792,91.316986,90.406097,91.245827,2821320,84.038139
"150",91.302757,91.388153,90.534187,90.918472,2732370,83.736656
"151",90.804611,91.1035,89.893715,90.249535,2950530,83.120552
"152",90.050278,90.605354,89.879486,90.377632,2272514,83.238548
"153",90.036041,90.235306,88.982826,89.822556,3691078,82.72731
"154",89.722923,90.320702,89.708694,90.036041,3506222,82.92392
"155",90.420326,90.946938,90.007576,90.249535,2226493,83.120552
"156",90.548424,90.704979,89.950645,90.619583,2615386,83.461357
"157",90.790375,91.117729,90.477257,91.003868,3621028,83.8153
"158",90.519958,91.018097,89.893715,89.92218,4207143,82.819046
"159",89.552132,90.505722,89.424042,90.235306,3816564,83.107445
"160",90.377632,91.060799,89.907951,90.890007,3633745,83.710449
"161",91.260056,92.441368,91.131966,92.199417,4094586,84.916412
"162",91.800896,92.768723,91.800896,91.914757,3382634,84.654236
"163",91.928993,92.256348,91.530479,91.58741,2074730,84.352745
"164",91.928993,92.142487,91.473549,91.857826,1880529,84.601791
"165",92.114021,92.256348,91.487778,92.042854,3097164,84.772224
"166",91.601639,91.687035,91.146194,91.402382,2225931,84.182327
"167",90.875771,92.48407,90.733444,92.370209,3035967,85.073708
"168",92.597931,94.860931,92.569466,94.860931,30775684,87.367683
"169",94.87516,95.786057,93.451889,95.615265,5157912,88.062431
"170",95.387543,95.601028,92.48407,92.48407,7401267,85.178581
"171",92.797188,92.982216,91.1035,92.327507,7269107,85.034393
"172",91.94323,92.441368,91.402382,92.057091,4484392,84.785324
"173",92.370209,92.797188,92.00016,92.299042,5691121,85.008171
"174",92.868355,95.5868,92.797188,95.145584,8127061,87.629845
"175",97.066994,98.561432,96.497688,97.522446,10279850,89.818947
"176",98.063286,99.059578,97.195091,98.917252,6480571,91.103592
"177",99.059578,100.055862,98.51873,99.657349,8617340,91.785225
"178",99.998932,100.625168,98.917252,99.429626,22751906,91.575493
"179",99.628883,100.155495,99.088043,99.301529,5053926,91.45752
"180",99.657349,99.785439,99.116508,99.700043,4716815,91.824539
"181",100.027397,100.340515,99.144974,100.212425,4786443,92.296471
"182",100.212425,100.340515,99.77121,100.084328,3126674,92.178474
"183",99.82814,99.956238,99.173439,99.571953,2865795,91.706573
"184",99.728508,100.169724,98.504501,100.112793,4510178,92.204681
"185",99.998932,100.31205,98.675293,98.703758,3684685,90.906967
"186",98.945709,98.945709,97.166626,97.920959,4949167,90.185989
"187",97.408585,98.305244,96.454994,98.291008,5540552,90.526817
"188",98.205612,98.789154,97.593605,98.532967,4037604,90.749657
"189",98.774918,100.226654,98.419106,100.226654,4246981,92.309555
"190",100.212425,100.511307,99.486557,100.141258,4775131,92.230911
"191",100.454376,100.924057,100.255119,100.269356,4215083,92.348892
"192",100.795967,101.052155,99.970467,101.009453,3851413,93.030502
"193",100.767494,101.379501,100.511307,101.365273,2984185,93.358238
"194",101.336807,102.304626,101.052155,102.019974,3708924,93.96122
"195",101.849182,102.119606,101.279877,101.863419,3392892,93.817032
"196",101.763786,101.948814,100.938293,101.934578,3577045,93.882561
"197",101.763786,101.948814,101.351036,101.62146,3136932,93.594177
"198",101.806488,102.048439,101.26564,101.664162,3608733,93.633514
"199",102.190765,102.205002,100.781731,100.952522,3047209,92.978104
"200",100.767494,100.966759,100.383217,100.881363,3939309,92.912552
"201",100.852898,101.009453,100.425911,100.739037,3341039,92.781456
"202",100.554008,101.166016,100.041634,100.895592,4220142,92.925644
