"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"1",118.589996,119.300003,118.129997,118.760002,766800,112.639442
"2",118.68,119.400002,118.129997,119.339996,894800,113.189529
"3",119.540001,120.449997,119.099998,119.980003,553000,113.796524
"4",119.980003,121.029999,119.400002,121,576500,114.763977
"5",121,121.610001,119.790001,119.839996,759500,113.663727
"6",119.730003,120.419998,119,120.040001,592900,113.853439
"7",120.150002,120.599998,119.099998,120.519997,559800,114.308701
"8",120.260002,120.959999,119.169998,120.860001,508600,114.631195
"9",120.720001,121.07,119.690002,120.309998,432900,114.109528
"10",120.010002,121.720001,119.580002,120.660004,544000,114.441498
"11",120.07,120.379997,118.18,120.260002,984800,114.062119
"12",120.129997,120.870003,119.790001,120.18,810400,113.986229
"13",119.800003,120.089996,116.690002,118.080002,1508700,111.994476
"14",117.769997,118.290001,117.519997,118.18,593500,112.089287
"15",118.220001,118.870003,117.459999,118.870003,676000,112.743744
"16",119.110001,119.669998,118.300003,118.629997,1260300,112.516106
"17",118.360001,119.32,117.629997,117.839996,508900,111.76683
"18",118.260002,118.379997,117.019997,118.089996,822100,112.003944
"19",118.139999,118.139999,116.790001,117.339996,521800,111.292595
"20",117.540001,117.970001,116.510002,117.279999,664000,111.235695
"21",117.690002,117.919998,116.309998,117.209999,825400,111.169304
"22",116.639999,118.089996,116.379997,118.050003,679300,111.966003
"23",118.43,120.459999,118.43,120.349998,562600,114.147484
"24",120.18,120.739998,119.339996,120.529999,1197800,114.318184
"25",120.550003,121.32,119.760002,121.139999,700900,114.896751
"26",121.139999,122.620003,120.410004,121.989998,946000,115.702927
"27",121.989998,128.369995,121.989998,128.130005,1803100,121.526512
"28",128,132.690002,127.75,130.559998,2566900,123.831284
"29",130.850006,131.309998,129.979996,130.119995,896600,123.41394
"30",129.449997,130.839996,129.259995,130.320007,709600,123.603645
"31",129.259995,130.580002,128.320007,130.059998,612600,123.357018
"32",130.100006,130.649994,128.779999,129.929993,674900,123.233719
"33",129.630005,130.179993,129.190002,130.139999,581400,123.432915
"34",129.839996,130.479996,128.929993,129.360001,1113700,122.693108
"35",128.940002,129.740005,128.860001,129.059998,1124000,122.408577
"36",129.770004,130.029999,128.679993,129.220001,765600,122.560341
"37",129.220001,129.380005,127.940002,129.380005,819600,122.71209
"38",129.580002,130.990005,129.190002,130.809998,866800,124.068359
"39",131.029999,131.639999,130.360001,131.110001,1300300,124.352936
"40",132.25,133.380005,131.490005,133.179993,892500,126.693077
"41",132.720001,133.399994,132.039993,132.910004,735400,126.436256
"42",133.089996,133.199997,131.809998,132.800003,550600,126.331604
"43",132.190002,132.589996,131.25,132.059998,737400,125.62764
"44",131.779999,132.020004,131.100006,131.369995,560900,124.971268
"45",131.479996,132.339996,130.899994,131.809998,715100,125.389816
"46",131.860001,132.559998,131.440002,132.550003,386700,126.093788
"47",133.160004,133.350006,132.380005,133.259995,577600,126.769188
"48",133.380005,133.600006,132.639999,133.380005,542800,126.883362
"49",132.880005,134,132.539993,133.490005,640000,126.988052
"50",133.619995,135.509995,133.300003,135.190002,612600,128.605194
"51",135.25,136.100006,134.789993,135.039993,871600,128.462509
"52",134.929993,136.169998,134.789993,136.119995,855000,129.489899
"53",136.360001,136.360001,135.110001,135.699997,502500,129.090347
"54",135.789993,135.919998,133.940002,135.100006,1667400,128.519592
"55",135.550003,137.759995,135.059998,136.979996,1179700,130.308029
"56",136.979996,137.419998,135.300003,135.639999,600100,129.033279
"57",135.729996,136.960007,135.360001,135.929993,335000,129.309158
"58",134.960007,136.199997,134.039993,135.550003,355700,128.947678
"59",135.300003,136.889999,134.850006,136.289993,458300,129.651611
"60",135.759995,136.139999,134.669998,135.679993,685700,129.07132
"61",135.940002,136.589996,135.240005,136.559998,1054200,129.908478
"62",136.220001,137.380005,135.759995,136.740005,620700,130.079712
"63",136.649994,136.979996,135.050003,136.100006,725300,129.470886
"64",135.990005,136.360001,135.059998,135.809998,391400,129.194992
"65",136,137.940002,135.820007,136.399994,868200,129.756256
"66",136.240005,136.429993,135.070007,136.070007,307800,129.442322
"67",135.869995,136.550003,135.259995,136.220001,409900,129.585037
"68",136.210007,136.669998,135.369995,135.589996,496500,128.985672
"69",135.369995,135.740005,134.710007,135.740005,405200,129.128418
"70",135.059998,135.75,134.779999,135.309998,388700,128.719345
"71",135.119995,136.300003,134.75,134.860001,327400,128.291306
"72",135.380005,137.029999,134.759995,137.029999,380000,130.355591
"73",136.850006,137.820007,136.850006,137.289993,539400,130.602921
"74",137.270004,137.759995,136.380005,136.399994,564900,129.756256
"75",136.559998,137.710007,136.25,137.309998,493800,130.621918
"76",137.490005,137.960007,136.940002,137.330002,481900,130.640945
"77",138.149994,139.360001,137.770004,139.240005,668900,132.457947
"78",139.440002,139.869995,138.940002,139.470001,574600,132.676773
"79",139.339996,139.889999,138.460007,138.740005,624300,131.982285
"80",133,137.199997,131.619995,136.190002,1593900,129.556503
"81",135.369995,136.539993,134.179993,135.309998,1177900,128.719345
"82",135.990005,136.160004,134.440002,135,946400,128.424454
"83",135.089996,136.479996,134.75,136.479996,657000,129.832367
"84",136.199997,136.729996,135.880005,136.080002,589100,129.451828
"85",136.050003,137.050003,136,136.860001,508000,130.193863
"86",137.130005,138.940002,136.789993,138.809998,514100,132.048904
"87",139.179993,139.5,137.039993,137.229996,416200,130.545837
"88",136.990005,137.669998,135.509995,135.869995,451100,129.252075
"89",135.929993,136.820007,135.369995,135.910004,366600,129.290131
"90",135.800003,135.869995,134.740005,135.649994,300600,129.04277
"91",135.570007,135.570007,134.559998,135.050003,297400,128.472031
"92",135.119995,136.740005,134.630005,136.630005,463900,129.975052
"93",137,137.529999,135.149994,135.679993,302900,129.07132
"94",135.679993,135.679993,134.210007,134.229996,526000,127.691963
"95",134.360001,136.25,133.490005,135.270004,568300,128.681305
"96",135.520004,137.440002,135.389999,136.369995,716900,129.727737
"97",137.190002,137.759995,136.289993,137.300003,515500,130.612396
"98",136.929993,137.169998,136.220001,136.759995,396200,130.46933
"99",136.75,137.320007,135.759995,136.389999,558000,130.116364
"100",137.110001,137.820007,136.789993,137.130005,604200,130.822342
"101",137.100006,137.899994,136.059998,136.429993,324900,130.15448
"102",136.300003,136.880005,135.339996,136.710007,622400,130.421616
"103",137.059998,137.289993,136.229996,136.800003,721500,130.507492
"104",137,138,136.070007,137.889999,577600,131.547363
"105",138,138.839996,137.330002,137.610001,421800,131.280228
"106",137.380005,138.649994,137.050003,138.160004,458900,131.804947
"107",137.839996,138.830002,137.119995,137.130005,563200,130.822342
"108",137.509995,138.149994,136.889999,137.380005,350500,131.060806
"109",137.380005,137.410004,134.509995,135.449997,635700,129.219604
"110",135.479996,136.399994,134.669998,135.520004,384400,129.286377
