"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"1",63.560001,63.790001,62.82,63.209999,4793400,58.186779
"2",63.150002,63.799999,63.07,63.439999,2835200,58.398502
"3",63.349998,63.77,63.18,63.650002,4040000,58.591816
"4",63.650002,64.830002,63.380001,64.419998,2863800,59.300617
"5",64.379997,64.849998,64.330002,64.599998,1944200,59.466305
"6",64.760002,65.18,64.660004,64.980003,2560700,59.816124
"7",64.480003,64.720001,64.230003,64.489998,1268000,59.640408
"8",64.260002,64.809998,64.160004,64.660004,1049900,59.797626
"9",64.699997,64.889999,64.419998,64.660004,1557700,59.797626
"10",64.260002,64.690002,63.970001,64.169998,1596000,59.34446
"11",64.440002,64.550003,64.019997,64.360001,1632700,59.52018
"12",64.610001,64.639999,63.830002,64.029999,1551300,59.215
"13",64.199997,64.669998,64.050003,64.580002,2153900,59.723637
"14",64.330002,64.489998,62.360001,64.410004,3505900,59.566425
"15",64.620003,65.43,64.620003,65.330002,1931500,60.417233
"16",65.57,66.209999,65.5,65.599998,2818900,60.666924
"17",65.580002,65.790001,65.290001,65.300003,2157300,60.3895
"18",65.160004,65.949997,64.900002,65.900002,1982000,60.944382
"19",65.830002,65.93,65.050003,65.68,1841200,60.740906
"20",65.669998,65.93,65.110001,65.529999,3254300,60.602203
"21",65.480003,65.75,64.800003,64.870003,2028100,59.991833
"22",64.919998,65.849998,64.690002,65.669998,1554700,60.731659
"23",66.010002,66.529999,65.839996,66.230003,1858700,61.249561
"24",66.040001,66.470001,66.010002,66.300003,1235900,61.314285
"25",66.480003,66.879997,66.389999,66.489998,1495900,61.490005
"26",66.43,66.800003,66.300003,66.589996,2477900,61.582489
"27",66.589996,67.989998,66.019997,67.389999,2985400,62.322315
"28",67.360001,68.269997,67.080002,68,3190600,62.886452
"29",68.139999,68.980003,67.790001,68.110001,4407200,62.988178
"30",68.25,68.699997,68.120003,68.580002,1946000,63.422844
"31",68.339996,68.940002,68.230003,68.650002,1590300,63.487572
"32",68.800003,68.900002,68.080002,68.440002,1968900,63.293365
"33",68.349998,68.620003,67.980003,68.400002,2233200,63.256371
"34",67.900002,68.580002,67.489998,67.669998,3600900,62.581284
"35",65.900002,66.330002,65.809998,66.099998,5925800,61.129337
"36",66.400002,66.459999,65.690002,65.75,3952400,60.805664
"37",65.580002,66.010002,65.540001,65.949997,2375200,60.990604
"38",65.93,66.010002,65.269997,65.519997,1816000,60.592945
"39",65.470001,65.489998,65.120003,65.32,2681400,60.407997
"40",65.900002,65.949997,65.370003,65.57,2311500,60.639191
"41",65.419998,65.5,64.919998,65.209999,2176000,60.306259
"42",65.160004,65.300003,64.419998,65.029999,2170400,60.139801
"43",64.669998,64.720001,64.339996,64.5,1985400,59.649651
"44",64.339996,64.419998,63.990002,64.019997,2070900,59.205746
"45",64.07,64.209999,63.799999,64.080002,1844200,59.261242
"46",63.990002,64.169998,63.689999,63.810001,1674300,59.011536
"47",64.690002,64.75,64.050003,64.309998,2565600,59.473942
"48",64.309998,64.599998,64.080002,64.379997,1655800,59.538673
"49",64.309998,64.489998,63.779999,63.950001,2002500,59.14101
"50",64.169998,64.25,63.25,63.91,2901700,59.104023
"51",64.120003,64.169998,63.759998,63.82,2593800,59.02079
"52",63.91,64.260002,63.799999,63.869999,7460700,59.067028
"53",64.029999,64.150002,63.84,64.07,2534500,59.251987
"54",64.370003,64.419998,63.529999,63.73,3258400,58.937553
"55",63.77,64,63.060001,63.32,3157700,58.558392
"56",63.299999,63.580002,63.080002,63.18,2786500,58.428917
"57",63.32,63.73,63.009998,63.580002,3271300,58.798843
"58",63.119999,63.599998,62.849998,63.509998,4936600,58.7341
"59",63.98,64.730003,63.509998,64.470001,3824100,59.62191
"60",64.400002,64.690002,63.740002,64.050003,2714600,59.233494
"61",63.889999,64.269997,63.779999,64.019997,3254100,59.205746
"62",64.019997,64.370003,63.900002,63.900002,2410400,59.094784
"63",63.740002,63.990002,63.18,63.549999,3206000,58.771095
"64",63.470001,64.099998,63.310001,63.84,2961800,59.039284
"65",64.080002,64.900002,63.849998,63.869999,4807500,59.067028
"66",64.169998,64.769997,64,64.550003,4245400,59.695896
"67",64.43,64.790001,64.25,64.279999,2984200,59.446194
"68",64.239998,64.610001,64.089996,64.129997,2363900,59.307468
"69",63.869999,64.220001,63.540001,64.150002,2116000,59.604801
"70",64.190002,64.25,63.919998,64.029999,1485000,59.493309
"71",64.029999,64.110001,63.75,63.790001,1965900,59.270317
"72",63.900002,64.18,63.84,63.889999,1617000,59.363224
"73",63.790001,64.110001,63.73,63.959999,1598400,59.428272
"74",64.209999,64.849998,64.129997,64.540001,3016100,59.967171
"75",64.699997,65.230003,64.660004,65.040001,2448100,60.43174
"76",65.019997,65.120003,64.550003,64.82,2595700,60.227341
"77",65.220001,66,65.169998,65.720001,2525500,61.063557
"78",65.800003,66.489998,65.720001,65.980003,3411300,61.305145
"79",66.029999,66.290001,65.800003,65.879997,1684300,61.212223
"80",66.199997,66.690002,65.940002,66.010002,2485100,61.333031
"81",65.82,65.93,65.360001,65.75,2318300,61.09145
"82",65.720001,66.010002,65.589996,65.75,2235300,61.09145
"83",65.959999,66.339996,65.75,66.339996,3240600,61.639637
"84",67.169998,68.809998,66.919998,68.25,4843000,63.41431
"85",68.029999,69,67.910004,68.980003,3752200,64.092598
"86",69,69.400002,68.690002,69.300003,2930200,64.389908
"87",69.029999,69.43,69,69.139999,2930200,64.241257
"88",69.18,69.339996,68.730003,68.760002,2445100,63.88818
"89",68.620003,69.190002,68.620003,68.879997,2022300,63.999676
"90",69.370003,69.419998,68.470001,69.129997,3009200,64.231964
"91",69.099998,69.349998,68.860001,68.900002,1482300,64.018257
"92",68.900002,69.330002,68.739998,69.220001,1619900,64.31559
"93",69.550003,69.769997,69.300003,69.349998,2440300,64.436386
"94",69.349998,69.379997,68.790001,69.160004,1798500,64.259834
"95",69.150002,69.43,68.910004,69.099998,3139300,64.204094
