"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"118",233.699997,236.75,233.690002,236.210007,1177400,228.9039
"119",236.149994,241.330002,235.339996,237,1628200,229.669418
"120",237.110001,238.419998,235.419998,238.419998,1303300,231.045486
"121",237.779999,238.410004,233.860001,234.75,1052000,227.489029
"122",236.270004,240.520004,234.149994,237.070007,1650300,229.737259
"123",239.009995,241.119995,237.119995,239.759995,1258000,232.736771
"124",240.899994,241.070007,237.130005,239.339996,1248000,232.329071
"125",239.580002,241.960007,239.580002,240.619995,1322400,233.571564
"126",241.869995,243.740005,238.75,238.949997,521000,231.9505
"127",239.289993,243.220001,239.220001,242.320007,948200,235.221802
"128",241.759995,243.139999,237.75,238.460007,1233000,231.474869
"129",238.5,239.679993,237.5,238.229996,1319000,231.251572
"130",237.589996,239.570007,237.350006,239.039993,1546600,232.037872
"131",239,241.470001,238.570007,239.039993,782900,232.037872
"132",238.589996,240,238.589996,239.220001,946700,232.212631
"133",240.229996,240.229996,237.600006,238.059998,892900,231.086563
"134",238,239.270004,237.399994,239.089996,1126900,232.086426
"135",239.419998,239.820007,237.410004,237.559998,808200,230.601212
"136",238.179993,238.179993,231.990005,235.059998,1575300,228.174454
"137",235.179993,237.669998,235.009995,236.229996,935000,229.31015
"138",236.110001,237.089996,234.839996,235.830002,1063600,228.921906
"139",235.440002,236.520004,234.699997,235.919998,1013800,229.009262
"140",235.850006,236.089996,234.199997,235.5,1219700,228.601563
"141",236.259995,236.910004,234.339996,234.910004,948600,228.02887
"142",235.440002,235.580002,233.490005,233.5,1114800,226.660141
"143",233.220001,234.580002,231.089996,232.600006,782600,225.786499
"144",232.970001,236.630005,231.539993,233.080002,1591000,226.252472
"145",233.690002,233.710007,230.869995,231.199997,843000,224.427521
"146",231.639999,232.470001,229.839996,230.770004,1022800,224.010101
"147",238,242.779999,237.100006,241.089996,2951900,234.027771
"148",241.830002,249.330002,241.690002,248.839996,2365900,241.550797
"149",249.589996,251.800003,245.190002,245.929993,1557500,238.726028
"150",245.490005,249.630005,245.380005,249.619995,1068100,242.307938
"151",249.320007,251,247.800003,250.220001,1257200,242.89035
"152",250.339996,255.100006,248.800003,254.960007,1353900,247.491516
"153",253.490005,255.270004,250.880005,251.669998,802300,244.297913
"154",251.300003,252.820007,249.940002,249.990005,840300,242.667099
"155",250.320007,252.309998,250,250.25,726400,242.919464
"156",250.580002,250.949997,246.610001,246.830002,1274700,239.599686
"157",247.259995,249.309998,246.770004,247.360001,1026000,240.11412
"158",247.369995,248.979996,246.610001,247.660004,748700,240.405334
"159",247.399994,248.369995,245.679993,247.279999,754400,240.036514
"160",248.139999,250.270004,247.419998,249.360001,710000,242.055527
"161",248.529999,254.320007,247.979996,253.279999,1322800,245.860733
"162",252.070007,253.460007,250.830002,251.990005,674000,244.60849
"163",252.660004,252.970001,251.199997,251.850006,600900,244.472641
"164",252.179993,254.270004,252.179993,253,688400,245.588943
"165",253.089996,255.070007,252.669998,255.070007,1186200,247.598328
