"","URI.Open","URI.High","URI.Low","URI.Close","URI.Volume","URI.Adjusted"
"106",108.400002,108.400002,104.239998,105.739998,2856400,105.739998
"107",105.050003,106.589996,103.480003,106.32,1993800,106.32
"108",106.669998,106.809998,104.580002,105.260002,1496200,105.260002
"109",105.260002,108.080002,104.870003,106.540001,1242900,106.540001
"110",106.839996,110.800003,106.610001,110.220001,2118200,110.220001
"111",110.669998,111.82,109.919998,111.82,1946400,111.82
"112",111.349998,111.949997,109.639999,111.660004,1614900,111.660004
"113",111.239998,111.239998,104.07,104.809998,3048800,104.809998
"114",103.760002,105.669998,102.860001,103.489998,2141300,103.489998
"115",103.660004,105.220001,102.730003,105.199997,1882200,105.199997
"116",105.639999,107.449997,105.379997,106.949997,1018200,106.949997
"117",106.220001,106.220001,102.419998,103.910004,2093100,103.910004
"118",104.260002,104.739998,100.620003,101.620003,1902800,101.620003
"119",102.169998,104.349998,101.300003,103.82,1377000,103.82
"120",104,105.760002,103.279999,104.849998,1580000,104.849998
"121",104.959999,107.18,104.959999,106.110001,862300,106.110001
"122",106.790001,108.650002,105.75,105.779999,1292700,105.779999
"123",107.089996,109.089996,106.82,108.489998,1264300,108.489998
"124",109.709999,113.660004,108.790001,109.699997,2428400,109.699997
"125",110.709999,113.870003,110.519997,112.709999,2065200,112.709999
"126",113.599998,115.080002,112.599998,113.209999,747900,113.209999
"127",113.760002,117.550003,112.760002,114.269997,1905800,114.269997
"128",114.18,115.400002,111.919998,112.349998,2250600,112.349998
"129",112.389999,113.019997,111.110001,112.550003,1024800,112.550003
"130",112.059998,114.650002,111.089996,113.540001,1114800,113.540001
"131",113.830002,114.080002,111.919998,113.690002,817400,113.690002
"132",114.730003,117.32,114.059998,114.260002,1258000,114.260002
"133",116.099998,116.099998,113.339996,114.739998,1844300,114.739998
"134",115.07,117.650002,114.330002,117.209999,1260500,117.209999
"135",118.620003,119.440002,117.160004,117.790001,1506000,117.790001
"136",117.339996,117.839996,116.300003,117.480003,1723700,117.480003
"137",117.480003,119.190002,117.040001,118.699997,1781700,118.699997
"138",124,126.260002,121.389999,122.540001,3581600,122.540001
"139",120.75,121.529999,119.25,119.309998,1782200,119.309998
"140",119.5,120.459999,117.529999,118.389999,1355800,118.389999
"141",119.769997,122.959999,119.690002,121.18,1749400,121.18
"142",122.169998,122.169998,119.760002,120.169998,949500,120.169998
"143",120.190002,121.230003,118.709999,120.769997,1086800,120.769997
"144",120.610001,120.940002,119.029999,119.730003,1109400,119.730003
"145",119.919998,120.25,118.419998,118.959999,866700,118.959999
"146",119.470001,119.57,115.669998,116.559998,1597800,116.559998
"147",115.870003,117.040001,114.059998,115.029999,1307100,115.029999
"148",115.480003,117.080002,115.209999,116.309998,1177200,116.309998
"149",117.199997,118.660004,117.010002,118.370003,920600,118.370003
"150",118.519997,118.839996,117.440002,118.099998,830500,118.099998
"151",117.400002,119.419998,116.879997,117.379997,848700,117.379997
"152",116.080002,116.809998,114.599998,115.309998,944900,115.309998
"153",114.709999,115.5,111.559998,111.620003,1697800,111.620003
"154",111.419998,112.25,110.699997,111.540001,982700,111.540001
"155",113,113.669998,111.989998,112.199997,1209900,112.199997
"156",113.099998,113.220001,111.599998,111.989998,681900,111.989998
"157",112.82,113.330002,111.160004,111.970001,995900,111.970001
"158",115.75,116,111.589996,111.82,2070200,111.82
"159",112.959999,113.209999,110.650002,111.860001,1411900,111.860001
"160",111.709999,111.860001,107.669998,108.400002,1366700,108.400002
"161",109,112.559998,109,112.440002,1378700,112.440002
"162",111.360001,111.739998,108.690002,108.690002,1019300,108.690002
"163",109,109.760002,107.330002,107.610001,973600,107.610001
"164",108.050003,108.389999,106.519997,107.260002,1073000,107.260002
"165",108.5,110.769997,108.220001,110.709999,1338200,110.709999
"166",109.580002,115.839996,109.43,114.940002,2941900,114.940002
"167",115.099998,119.800003,113.129997,119.190002,3207200,119.190002
"168",119.589996,120.709999,117.540001,118.059998,1734300,118.059998
"169",118.370003,121.18,118.370003,120.559998,1646500,120.559998
"170",120.559998,121.68,117.860001,119.089996,1508500,119.089996
"171",120.459999,121.43,119.790001,121.160004,1439500,121.160004
"172",121.5,123.160004,120.330002,123.089996,1871400,123.089996
"173",123.5,128,123.5,126.690002,2616500,126.690002
"174",125.400002,126.339996,123.449997,125.029999,2174600,125.029999
"175",127.110001,128.490005,126.169998,127.690002,1418600,127.690002
"176",127.5,129.630005,126.110001,128.820007,1434700,128.820007
"177",128.270004,128.75,126.790001,127.360001,1301900,127.360001
"178",127.150002,128.820007,126.970001,128.100006,1119500,128.100006
"179",128.100006,129.509995,128.089996,129.429993,920000,129.429993
"180",129.5,129.960007,128.119995,129.889999,846800,129.889999
"181",130,132.300003,129.720001,130.740005,1041600,130.740005
"182",131.210007,131.210007,129.899994,130.119995,894800,130.119995
"183",129.720001,132.809998,129.009995,132.309998,998000,132.309998
"184",132.720001,132.979996,131.220001,132.210007,1023900,132.210007
"185",132.399994,134.570007,132.020004,133.940002,1040700,133.940002
"186",134.630005,137.119995,134.149994,135.690002,1236700,135.690002
"187",135.770004,138.330002,135.179993,137.970001,1039300,137.970001
"188",137.960007,139.979996,136.960007,138.740005,1224400,138.740005
"189",139.199997,139.75,136.839996,139.199997,1368300,139.199997
"190",139.710007,142.710007,138.979996,142.710007,1670200,142.710007
"191",142.220001,142.309998,139.460007,140.75,1654000,140.75
"192",141.539993,143.149994,140.809998,141.979996,997700,141.979996
"193",141.429993,143.070007,141,142.240005,865300,142.240005
"194",142.660004,142.880005,141.089996,142.490005,810800,142.490005
"195",143.600006,144.190002,140.350006,141.550003,1105600,141.550003
"196",141.830002,142.440002,140.910004,142.160004,825600,142.160004
"197",140.990005,144.350006,140.160004,144.009995,1120100,144.009995
"198",144.899994,145.559998,143.429993,144.210007,884900,144.210007
"199",145.889999,146.669998,144.449997,145.789993,1204000,145.789993
"200",145.429993,145.630005,143.009995,143.339996,1525600,143.339996
"201",144.070007,144.600006,142.160004,144.320007,1922400,144.320007
"202",144.800003,147.600006,140.940002,144.399994,2955500,144.399994
"203",144.809998,146.690002,144.029999,144.399994,2525000,144.399994
"204",144.440002,144.639999,141.199997,141.479996,1372400,141.479996
"205",142.449997,145.5,142.179993,143.940002,1420400,143.940002
"206",143.25,144.100006,138.190002,138.910004,2508100,138.910004
"207",139.75,142.229996,139.300003,141.240005,2021000,141.240005
"208",141.339996,146.059998,141.339996,145.940002,1365800,145.940002
"209",145.320007,146.720001,143.25,143.589996,1256900,143.589996
"210",143.600006,144.820007,141.229996,141.479996,1329100,141.479996
"211",143.339996,144.589996,142.600006,143.669998,1147300,143.669998
"212",143.369995,146.869995,143,145.580002,1025900,145.580002
"213",145.089996,146,144.460007,144.710007,708200,144.710007
"214",145.259995,148.520004,145.119995,148.399994,1092300,148.399994
"215",148.399994,149.449997,146.559998,147.550003,765000,147.550003
"216",146.919998,148.839996,146.5,148.740005,917600,148.740005
"217",146,147.389999,143.050003,145.089996,1045000,145.089996
