"","ANTM.Open","ANTM.High","ANTM.Low","ANTM.Close","ANTM.Volume","ANTM.Adjusted"
"1",144.539993,144.779999,140.5,143.240005,1525800,134.890747
"2",142.679993,143.850006,140.860001,143.050003,1250500,134.711777
"3",143.029999,145.889999,143,144.570007,1646000,136.143234
"4",144.380005,144.759995,143.279999,144.350006,1105600,135.93602
"5",143.240005,143.740005,142.460007,142.789993,906700,134.466934
"6",142.389999,147.490005,142.039993,146.339996,1637600,137.810013
"7",146.190002,146.740005,143.990005,145.830002,950400,137.329758
"8",144.770004,148.389999,144.339996,148.190002,2013800,139.552246
"9",148.369995,149.580002,147.410004,148.529999,1405200,139.872391
"10",147.190002,148.050003,145.309998,146.75,956500,138.196121
"11",147.419998,147.850006,145.970001,147.220001,1760000,138.638733
"12",146.949997,149.949997,144.440002,148.110001,2091000,139.476852
"13",149.020004,151.990005,149,150.630005,1961400,141.84996
"14",150,150.600006,146.779999,150.160004,2051400,141.407364
"15",150,152.550003,148.809998,150.229996,1609500,141.473312
"16",150.75,154.610001,150.75,153.710007,1967200,144.750488
"17",153.080002,153.789993,151.919998,152.399994,1434000,143.516815
"18",153.050003,154.240005,152.020004,153.350006,1760200,144.411438
"19",154.449997,154.479996,152.160004,154.179993,2243700,145.193039
"20",154.369995,154.970001,151.770004,154.139999,2684100,145.155396
"21",155,160.789993,154.369995,160.789993,4345200,151.417755
"22",160,160.309998,156.660004,157.660004,2522600,148.470184
"23",158.580002,161.800003,158.320007,159.080002,1988400,149.807449
"24",158.699997,159.990005,156.169998,156.809998,1575100,147.669754
"25",157.399994,159.220001,155.350006,158.589996,2059200,149.346008
"26",157.759995,159.110001,156.809998,158.600006,1767400,149.355469
"27",158.759995,162.490005,157.740005,161.679993,2565100,152.255905
"28",162.380005,162.479996,160.190002,162.320007,1341400,152.858582
"29",162.979996,164.220001,161,163.520004,1383900,153.988647
"30",162.600006,165.880005,160.610001,163.320007,4396000,153.800308
"31",163.029999,164.669998,161.759995,162.690002,3009300,153.206985
"32",161.990005,164.139999,160.289993,163.770004,2085700,154.22406
"33",161.779999,163.25,159.639999,160.25,2302800,150.909256
"34",160.740005,164.479996,160.279999,164.220001,2212000,154.647827
"35",163.070007,164.369995,162.529999,163.270004,1129700,153.753204
"36",163.949997,164.309998,163.210007,163.919998,845500,154.365341
"37",163.729996,163.899994,161.190002,163.830002,956000,154.280518
"38",163.389999,165.460007,162.850006,164.910004,1461200,155.297623
"39",165.070007,165.190002,163.130005,164.820007,1642800,155.21286
"40",166.169998,169.199997,166.100006,166.970001,2423600,157.237503
"41",166.809998,167.649994,165.600006,165.970001,1232800,156.295837
"42",165.850006,166.399994,165.110001,166,992400,156.324036
"43",164.710007,166.330002,164,165.839996,2218800,156.173416
"44",165.339996,166.960007,165.25,166.009995,1689000,156.33345
"45",165.990005,166.470001,165.330002,165.649994,949600,156.607681
"46",166,167.139999,165.300003,166.179993,2008400,157.108749
"47",166.979996,167.589996,165.369995,166.410004,1098100,157.326187
"48",166.190002,167.479996,165.649994,167.240005,1520500,158.110886
"49",165.970001,167.199997,163.190002,165.179993,1279400,156.16333
"50",166,170.789993,165.179993,169.199997,1953900,159.963867
"51",169.199997,169.800003,166.610001,168.419998,1993100,159.226517
"52",168.770004,169.149994,167.059998,168.270004,1605400,159.084656
"53",168.320007,168.440002,166.649994,167.589996,1268900,158.441818
"54",168.229996,168.5,166.179993,166.990005,1529200,157.874527
"55",167.100006,167.789993,165.449997,166.440002,1309600,157.354538
