"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"1",49.040001,49.369999,48.549999,49.220001,1965500,47.678307
"2",49.650002,50.07,49.299999,49.810001,2478500,48.249825
"3",49.57,49.75,48.66,49.18,1433100,47.639557
"4",49.41,50.189999,49.18,50.07,1534100,48.501678
"5",49.889999,50.119999,49.290001,49.630001,1499700,48.075462
"6",49.740002,50.07,49.349998,49.869999,1411200,48.307945
"7",49.779999,50.080002,49.619999,49.98,1121100,48.414497
"8",49.889999,50.509998,49.540001,50.439999,1410300,48.860092
"9",50.549999,51,50.549999,50.66,1471600,49.0732
"10",50.540001,50.66,49.93,50.279999,1356600,48.70509
"11",50.389999,50.77,50.189999,50.709999,2030400,49.121639
"12",50.91,51.18,50.439999,50.68,1685800,49.092567
"13",50.950001,51.18,50.630001,50.810001,1224300,49.218506
"14",50.630001,50.98,50.060001,50.459999,1332900,48.879463
"15",50.740002,51.349998,50.490002,51.18,1026000,49.576912
"16",51.619999,52.43,51.509998,52.400002,2017500,50.758701
"17",52.380001,52.830002,51.990002,52.18,1880000,50.545586
"18",52.18,52.43,51.630001,51.810001,1343100,50.18718
"19",51.810001,52.040001,50.900002,51.389999,1470900,49.780331
"20",51.380001,51.459999,50.849998,51.099998,1688200,49.499409
"21",51.349998,51.560001,50.66,51.09,1706100,49.489727
"22",50.779999,51.080002,50.439999,51.040001,1025100,49.441292
"23",51.419998,51.700001,51.080002,51.509998,2067200,49.896576
"24",51.380001,51.990002,51.189999,51.66,3851900,50.041878
"25",52.009998,52.869999,51.290001,51.68,4780600,50.061245
"26",51.709999,52.48,51.310001,52.349998,2368400,50.710266
"27",52.560001,53.439999,52.470001,53.130001,1850700,51.465832
"28",53.240002,53.650002,53.060001,53.52,1712300,51.843613
"29",53.75,53.889999,53.509998,53.669998,1741700,51.988911
"30",53.48,53.630001,53.200001,53.580002,2152900,51.901737
"31",54,54.400002,53.619999,54.279999,2007700,52.579803
"32",54.32,54.43,53.919998,54.369999,1763400,52.666992
"33",54.099998,54.5,53.91,54.5,1719500,52.792919
"34",54.48,55.18,54.360001,55.150002,6020000,53.422565
"35",54.919998,55.32,54.75,55.310001,2534700,53.577549
"36",55.32,55.48,54.16,54.490002,1771300,52.78323
"37",54.16,54.66,54.060001,54.630001,997700,52.918846
"38",54.720001,54.810001,54.400002,54.5,1468800,52.792919
"39",54.52,54.669998,53.830002,53.970001,1337500,52.279526
"40",54.75,55.369999,54.75,55.259998,1526800,53.529114
"41",55.310001,55.310001,54.66,54.700001,1141300,52.986652
"42",54.759998,55.02,54.43,54.849998,1913200,53.131954
"43",54.360001,54.740002,54.279999,54.610001,1042600,52.899471
"44",54.740002,54.889999,54.439999,54.509998,1041300,52.802605
"45",54.75,54.959999,54.389999,54.52,1572100,52.81229
"46",54.540001,54.619999,53.75,53.790001,1339400,52.105156
"47",53.919998,54.25,53.549999,53.619999,2266300,51.940487
"48",53.700001,54.299999,53.66,54.27,1869700,52.570126
"49",53.919998,53.919998,53.18,53.5,1647200,51.824249
"50",53.639999,54.259998,53.599998,54.099998,1779600,52.493748
"51",54.330002,54.349998,53.880001,54.099998,1815000,52.493748
"52",54.330002,54.400002,53.860001,54.310001,1814400,52.697517
"53",54.360001,54.360001,54.02,54.209999,773800,52.600487
"54",54.369999,54.450001,53.209999,53.299999,1902000,51.717503
"55",53.290001,53.529999,52.91,53.360001,1503700,51.775726
"56",53.259998,53.75,53.130001,53.459999,873700,51.872757
"57",53.450001,53.889999,53.200001,53.419998,1363500,51.833946
"58",52.470001,53.669998,52.419998,53.5,1283600,51.911579
"59",53.25,54.189999,53.209999,53.93,1290400,52.3288
"60",53.860001,54.52,53.68,54.189999,1357700,52.581081
"61",54.09,54.41,53.93,54.119999,1158000,52.513161
"62",53.919998,54.259998,53.779999,54.080002,1214700,52.47435
"63",54.09,54.490002,53.52,53.669998,1570400,52.076519
"64",53.59,53.919998,53.5,53.759998,877400,52.163849
"65",54.060001,54.529999,53.59,53.689999,1099200,52.095924
"66",53.73,54.43,53.66,54.209999,1054400,52.600487
"67",54.119999,54.279999,53.919998,54.150002,1408500,52.542267
"68",54.130001,54.860001,54.130001,54.509998,835000,52.891579
"69",54.41,54.549999,53.939999,54.490002,694400,52.872173
"70",54.349998,54.490002,53.470001,53.52,2350700,51.930977
"71",53.349998,53.790001,53.189999,53.200001,1736800,51.620476
"72",53.5,53.98,53.32,53.970001,1173400,52.367622
"73",53.779999,54.209999,53.650002,53.98,1211600,52.377316
"74",54.150002,54.389999,53.709999,53.860001,1130400,52.260887
"75",54.189999,54.880001,54.110001,54.77,1658900,53.143864
"76",54.799999,55.169998,54.759998,54.84,2092800,53.211777
"77",55.529999,56.66,55.279999,56.580002,2501800,54.900127
"78",56.939999,57.330002,56.689999,57.029999,1810700,55.336761
"79",57.119999,57.450001,57.02,57.099998,2058000,55.404682
"80",57.110001,57.560001,56.959999,57.259998,1391700,55.559925
"81",57.23,57.59,56.950001,57.200001,2095300,55.501724
"82",57.389999,57.639999,56.66,57.59,3255000,55.880135
"83",57.509998,59.529999,57.439999,59.029999,4210000,57.277378
"84",58.900002,60.43,58.900002,59.91,3772600,58.131252
"85",60,60.689999,59.91,60.389999,2431800,58.597
"86",60.419998,60.669998,60.119999,60.189999,2398500,58.402943
"87",60.110001,60.32,59.799999,59.93,1476000,58.150658
"88",59.790001,60.419998,59.779999,60.299999,1056100,58.509678
"89",59.959999,60.200001,59.639999,59.950001,965200,58.170067
"90",59.619999,59.880001,59.18,59.849998,1287600,58.073036
"91",59.650002,59.830002,59.290001,59.470001,1158000,57.704319
"92",59.689999,59.93,59.470001,59.720001,1138300,57.946896
"93",59.720001,59.950001,59.43,59.810001,856700,58.034218
"94",59.810001,59.810001,59.049999,59.470001,1649000,57.704319
"95",59,59.580002,58.73,59.139999,2145800,57.384125
"96",59.5,60.369999,59.360001,60.060001,1455100,58.276802
"97",60.279999,60.82,60.139999,60.580002,1016700,58.781364
"98",60.740002,60.869999,60.439999,60.560001,1195700,58.761951
"99",60.830002,61.299999,60.630001,60.990002,1175800,59.179188
"100",61.119999,61.369999,60.869999,61.09,873400,59.276215
"101",60.950001,61.27,60.73,60.869999,568900,59.062752
"102",60.650002,60.869999,60.419998,60.799999,732400,58.994823
"103",60.889999,61.099998,60.25,61.02,1315500,59.208298
