"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"1",224.669998,225.509995,221.949997,223.520004,938100,188.434082
"2",224.270004,225.899994,223.740005,225.160004,723300,189.81662
"3",222.759995,227.940002,219.809998,227.559998,956600,191.839874
"4",225.899994,228.779999,225.350006,228.350006,697200,192.505905
"5",228.350006,229.100006,226.100006,226.789993,601700,191.19072
"6",226.710007,227.429993,224.910004,225.300003,1166900,189.934631
"7",224.289993,224.300003,218.559998,219.759995,1468200,185.264236
"8",219.050003,219.800003,213.600006,217.300003,1514200,183.19043
"9",217.289993,217.289993,213.929993,214.119995,997600,180.509567
"10",214.720001,217.869995,214.589996,217.690002,842200,183.51918
"11",217.589996,218.050003,214.039993,215.600006,1056000,181.757278
"12",214.960007,216.039993,214.029999,215.330002,601100,181.529648
"13",215.399994,218.300003,213.660004,217.970001,1040800,183.755249
"14",218,221.199997,217.889999,220.25,733800,185.677353
"15",220,222.960007,219.669998,222.389999,798500,187.481415
"16",222.240005,222.630005,218.559998,218.910004,792000,184.547668
"17",219.100006,221.119995,216.679993,218.25,516900,183.991272
"18",218.570007,219.460007,215.279999,216.570007,573200,182.574997
"19",216,217.300003,214.529999,214.990005,508300,181.242996
"20",215.300003,217.419998,214.240005,215,540100,181.251419
"21",215.070007,216.5,212.5,213.289993,675500,179.809814
"22",213.190002,216.050003,213.190002,215.020004,658900,181.268295
"23",216.639999,218.110001,215.399994,216.529999,747600,182.54126
"24",216.529999,217.330002,214.550003,215.690002,545700,181.833115
"25",215.710007,217.240005,213.699997,216.479996,666700,182.49913
"26",216.660004,220.570007,216.520004,219.699997,688000,185.213669
"27",219.699997,219.699997,217.220001,218.470001,391000,184.176758
"28",218.270004,219.830002,217.130005,219.789993,442000,185.289551
"29",220.080002,221.179993,218.520004,220.059998,464600,185.517166
"30",220.059998,220.429993,215,216.899994,513400,182.853195
"31",215.600006,218.449997,213.940002,217.080002,640900,183.004959
"32",217.970001,223.330002,217.970001,220.639999,822600,186.006119
"33",220.990005,225.800003,220,225.759995,1151400,190.322433
"34",224.699997,228.100006,223.029999,227.729996,833000,191.98317
"35",228.100006,229.710007,224.839996,226.240005,817100,190.727066
"36",229,231.490005,222.199997,227.070007,1146900,191.426819
"37",227.529999,229.899994,225.580002,228.410004,757600,192.556488
"38",228.850006,228.949997,227,228.039993,487400,192.244568
"39",228.259995,229.5,226.429993,227.460007,1039700,191.755585
"40",228.039993,230.679993,225.080002,229.330002,793100,193.332047
"41",229.330002,230.25,226.729996,226.970001,815600,191.342514
"42",226.050003,227.470001,224.270004,226.610001,617800,191.039001
"43",226.580002,228.339996,225,227.919998,423900,192.143372
"44",226.949997,228.009995,225.940002,228.009995,667600,192.219254
"45",227.169998,227.169998,223.559998,223.820007,861300,188.686951
"46",224,225.399994,221.660004,222.339996,675900,187.439285
"47",222.339996,224.770004,218.600006,220.070007,767100,185.525604
"48",218.529999,219.410004,215.639999,217.259995,894000,184.836487
"49",217,219.850006,215.929993,219.350006,667900,186.614578
"50",219.279999,223.690002,218.710007,223.130005,742700,189.830475
