"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"870",305.649994,306.779999,297.339996,297.890015,773500,294.695251
"871",298.179993,299.709991,288.600006,289.290009,792100,286.187439
"872",292.01001,307.529999,288.869995,302.299988,2357800,299.057922
"873",300.850006,302.929993,291.140015,297.119995,844800,293.933533
"874",297.950012,299.450012,292.01001,293.779999,661600,290.629333
"875",291.75,295.179993,281.98999,287.769989,1086500,284.683777
"876",284.589996,289.519989,281.149994,289.290009,1002800,286.187439
"877",291.329987,295.940002,285.950012,294.190002,4149300,291.034973
"878",298.320007,298.320007,287.140015,289.179993,632900,286.078644
"879",289.679993,299.700012,289.559998,297.920013,772000,294.724915
"880",297.720001,303.299988,291.040009,301.350006,623300,298.118103
"881",304.130005,307.700012,300.089996,300.579987,594400,297.356354
"882",304.5,309.98999,301.209991,302.390015,728600,299.146973
"883",300.230011,310.859985,298.910004,305.48999,549200,302.213715
"884",307.730011,308.329987,301.980011,303.179993,489700,299.928497
"885",302.26001,308.160004,300.130005,307.779999,380600,304.479187
"886",308.920013,309.829987,301.709991,304.420013,521500,301.155212
"887",300.98999,304.220001,289.029999,291.730011,741300,288.601288
"888",297.019989,298.26001,291.429993,297.119995,712600,293.933533
"889",297.910004,298.25,288.970001,292.910004,745400,289.768646
"890",292.589996,293.23999,289.040009,291.559998,393300,288.433136
"891",296.190002,300.230011,291.040009,297.640015,397500,294.447937
"892",296.779999,304.980011,296.779999,300.779999,472800,297.55423
"893",301.76001,303.480011,295.579987,296.850006,480500,293.666382
"894",297.170013,299.579987,295.209991,298.200012,319200,295.001923
"895",298.679993,302.329987,294.190002,298.679993,537500,295.476746
"896",298.48999,301.279999,295.220001,298.679993,520200,295.476746
"897",298.929993,308.209991,298.070007,304.48999,671300,301.224487
"898",305.820007,312.959991,305.019989,312.23999,774900,308.891327
"899",312.200012,321.190002,312.200012,317.570007,665600,314.164154
"900",310,315,309.040009,311.410004,707900,308.070221
"901",313.720001,314.339996,307.950012,311.540009,530800,308.198883
"902",310.619995,312.820007,304.070007,305.390015,441400,302.114807
"903",311.559998,319.920013,307.140015,310.309998,896500,306.982056
"904",315.209991,315.209991,303.230011,306.480011,412300,303.193085
"905",304.350006,308.059998,300.679993,307.329987,514500,304.033966
"906",307.130005,313,306.929993,311.279999,324200,307.94165
"907",310.579987,311.109985,298.779999,300.829987,808100,297.603699
"908",305.959991,305.959991,294.570007,295.640015,663500,292.469391
"909",296.73999,305.399994,295.929993,304.390015,484000,301.12558
