"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"1",66.019997,66.970001,65.389999,65.610001,3023800,62.999535
"2",65.660004,66.760002,65.620003,66.550003,2970600,63.90213
"3",65.720001,66.589996,65.550003,65.690002,2798800,63.076347
"4",65.790001,65.989998,65.260002,65.309998,2183200,62.711468
"5",65.269997,65.980003,65.269997,65.449997,2182200,62.845905
"6",65.309998,67.199997,65.260002,66.769997,3020300,64.11338
"7",66.790001,67.209999,66.080002,66.550003,1919600,63.90213
"8",66.349998,66.690002,65.910004,66.589996,1209900,63.940536
"9",66.510002,67.089996,66.489998,66.93,1418100,64.267029
"10",66.900002,68.360001,66.809998,67.120003,1611900,64.449455
"11",67.400002,67.400002,66.720001,66.900002,1935500,64.238205
"12",66.769997,67,65.830002,65.959999,1469300,63.335602
"13",66.279999,66.440002,65.480003,66,1732700,63.37402
"14",65.809998,66.07,64.889999,65.110001,2048800,62.519436
"15",65.190002,66.220001,65.190002,66.110001,1676500,63.479645
"16",66.339996,66.5,65.709999,65.959999,2194100,63.335602
"17",66.139999,66.349998,65.519997,65.57,2090500,62.961143
"18",65.82,65.870003,64.940002,65.330002,1967600,62.730682
"19",65.260002,65.68,64.68,65.389999,1655400,62.788284
"20",65.150002,66.129997,64.580002,66.110001,1832300,63.479645
"21",66.019997,66.32,65.480003,65.879997,2148200,63.258804
"22",65.730003,66.18,65.459999,65.639999,1654800,63.028339
"23",65.910004,66.580002,65.620003,65.959999,1698700,63.335602
"24",65.809998,66.459999,65.660004,66.339996,1734900,63.700489
"25",66.349998,66.68,66.080002,66.360001,1368200,63.719685
"26",66.360001,67.860001,66.330002,67.669998,1950400,64.97757
"27",67.800003,68.440002,67.699997,68.169998,1818400,65.457687
"28",68.32,68.959999,67.839996,68.790001,2219200,66.053001
"29",69,69.029999,67.989998,68.050003,2116300,65.342453
"30",68.050003,68.720001,67.940002,68.699997,1994600,65.966606
"31",68.510002,68.949997,68.389999,68.919998,2377700,66.177841
"32",69.080002,69.080002,67.970001,68.260002,2542000,65.544106
"33",68.220001,68.589996,67.870003,68.550003,4137500,65.822556
"34",68.989998,69.529999,68.550003,68.809998,2788200,66.072205
"35",68.93,69.400002,68.720001,69.040001,2540500,66.293068
"36",68.839996,68.93,67.559998,67.639999,2618100,64.948776
"37",67.75,69.370003,67.519997,69.010002,3232900,66.264282
"38",68.980003,69.389999,68.669998,69.150002,2380300,66.398682
"39",68.849998,68.849998,68.050003,68.580002,3499400,65.851372
"40",68.019997,68.25,65.629997,66.800003,7923600,64.142204
"41",66.730003,68.379997,66.620003,67.809998,3312000,65.112007
"42",67.800003,67.910004,66.550003,67.07,2605500,64.401443
"43",67.059998,67.540001,66.639999,67.400002,2819100,64.718323
"44",67.160004,67.580002,66.690002,66.870003,2496000,64.209419
"45",66.709999,67.110001,66.43,66.709999,1965800,64.209396
"46",66.730003,66.830002,66.370003,66.650002,1867600,64.151657
"47",67.110001,67.139999,66.440002,66.959999,2016900,64.450027
"48",66.940002,67.199997,66.540001,66.949997,2354400,64.440399
