"","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"974",239.600006,240.300003,236.460007,238.009995,1882600,233.254517
"975",239.759995,243.720001,237.690002,243.089996,1476400,238.233017
"976",244.759995,245.589996,238.850006,239.089996,1433300,234.312943
"977",239,240.869995,238.309998,239.179993,1354200,234.401123
"978",238.309998,242.309998,237.210007,237.699997,1617400,232.950714
"979",237.089996,238.880005,233.369995,238.429993,1636400,233.666107
"980",238.190002,238.429993,232.5,232.660004,1965500,228.011398
"981",233.559998,233.610001,228.619995,228.910004,2848400,224.336334
"982",231.039993,231.850006,227.389999,228.059998,2635100,223.503326
"983",229.289993,233.369995,228.649994,233,2478800,228.344604
"984",233.960007,234.089996,230.580002,234.089996,937400,229.412842
"985",234,234.139999,228.75,231.199997,3547200,226.580566
"986",232,236.389999,231.720001,235.830002,2471000,231.118073
"987",234.789993,235.830002,228.589996,228.899994,2755100,224.326538
"988",229.520004,230.759995,225.789993,226.220001,3702600,221.700104
"989",226.75,228.899994,224.440002,228.669998,3298400,224.10112
"990",227.660004,228.789993,223.350006,224.270004,2554500,219.789047
"991",223.270004,224.770004,222.179993,223.610001,2607300,219.142242
"992",222.720001,223.039993,216.220001,219.440002,3413500,215.055557
"993",220.210007,221.929993,218.479996,219.410004,3028100,215.026138
"994",218,220.169998,215.410004,219.820007,2893400,215.427963
"995",220.970001,222.429993,216.399994,216.720001,2501500,212.389877
"996",217.080002,218.360001,215.550003,217.25,2181200,212.909317
"997",218.279999,219.800003,215.679993,219.619995,2347600,215.231964
"998",221.100006,223.600006,220.130005,222.710007,2484400,218.260239
"999",222.179993,223.229996,219.839996,221.520004,4538000,217.093994
"1000",218.360001,220.5,217.139999,219.779999,1963400,215.388763
"1001",219.289993,220.850006,218.270004,220.490005,1845600,216.084579
"1002",221.270004,223.600006,217.380005,217.399994,1553400,213.056305
"1003",216.440002,219.389999,216.190002,218.649994,705700,215.480637
"1004",218.869995,221.449997,217.429993,221.070007,1842500,217.865585
"1005",222.210007,223.419998,220.419998,220.479996,1283000,217.284103
"1006",220.509995,221.529999,219.350006,220.339996,1361300,217.146149
"1007",219.759995,224.669998,219.600006,224.460007,1669300,221.206421
