"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"649",193.330002,197.220001,193.229996,194.160004,1837100,187.951675
"650",194.470001,194.470001,190.5,193.009995,1833100,186.838425
"651",189.580002,191,184.229996,185.550003,2422000,179.616959
"652",186.669998,189.559998,186.509995,188.809998,2055600,182.772736
"653",187.210007,189.360001,184.399994,188.869995,2495100,182.830811
"654",190,194.279999,189.380005,194.179993,1804100,187.970993
"655",193.610001,193.679993,190.210007,191.479996,1831800,185.35733
"656",191.479996,191.889999,189.320007,190,1597200,183.924667
"657",188.759995,193.020004,188.759995,192.880005,2072000,186.712616
"658",190.399994,191.389999,186.809998,186.970001,2316500,180.991577
"659",187.350006,190.229996,186.699997,189.559998,1932600,183.498749
"660",191.119995,193.660004,190.470001,193.220001,2526900,187.041718
"661",195,196.289993,194.520004,195.179993,1891000,188.939041
"662",195.110001,195.979996,193.119995,194.199997,1423500,187.990387
"663",195.690002,196.839996,195.070007,195.729996,1044700,189.471466
"664",196.460007,196.970001,194.270004,196.339996,1160900,190.061935
"665",195,197.929993,191.570007,192.809998,2290400,186.644821
"666",194.339996,195.470001,193.470001,195.470001,1641500,189.219803
"667",196.020004,197.399994,195.240005,197.160004,1632700,190.855759
"668",196.889999,197.529999,194.570007,196.839996,1326200,190.545975
"669",198,199.910004,197.440002,198.740005,1494200,192.385193
"670",200,200.679993,196.770004,198.169998,2176600,191.833435
"671",196.360001,197.759995,195.440002,195.75,1696500,189.490814
"672",197.830002,198.360001,197.369995,197.710007,1250700,191.388153
"673",199.800003,199.800003,198.449997,199.490005,2216100,193.111267
"674",200,202.800003,199.039993,201.119995,2184100,194.689148
"675",200.970001,201.119995,192.839996,194.830002,2702800,188.600266
"676",192.979996,193.539993,187.889999,189.660004,3631000,183.595551
"677",190,192.470001,189.240005,191.369995,2430300,185.250854
"678",194.699997,196.229996,191.929993,195.520004,2122200,189.268188
"679",196,196,193.960007,194.619995,1592600,188.396957
"680",193.369995,195.220001,193.009995,194.160004,1360000,187.951675
"681",193.360001,195.789993,193.360001,194.949997,1457800,188.716385
"682",194.179993,194.589996,191.539993,194.130005,1780500,187.922607
"683",194.479996,196.130005,194.220001,194.669998,1567900,188.445343
"684",195.050003,196.229996,192.449997,193.089996,2541000,186.915878
"685",192.330002,193.940002,192.009995,192.839996,1516300,186.673874
"686",194.440002,195.869995,189.779999,190.139999,2950200,184.060226
"687",191.600006,192,188.710007,190.869995,2825100,184.766846
"688",188.059998,193.339996,187.279999,192.119995,3594600,185.976898
"689",193.559998,193.580002,190.389999,191.380005,2012500,185.260544
"690",191.490005,193.350006,191.410004,192.350006,2025200,186.199539
"691",192.600006,193.369995,189.410004,189.619995,2066900,183.556839
"692",188.339996,188.649994,182.889999,184.850006,2930700,178.939362
"693",185.320007,186.089996,182.850006,185.809998,2172800,179.868652
"694",186.809998,189.820007,186.100006,189.639999,1568800,183.576187
"695",188.289993,188.699997,186.789993,186.809998,1596400,180.83667
"696",185.410004,185.720001,182,182.199997,2200000,176.374084
"697",183.789993,185.300003,183.220001,184.339996,1683100,178.445663
"698",183.830002,184.869995,182.600006,183.830002,1999700,177.951965
"699",185.710007,187.710007,184.740005,184.970001,2381200,179.055527
"700",185.360001,186.330002,184.220001,185.5,1348400,179.568558
"701",185.820007,187.380005,185.559998,187,1462400,181.020599
"702",184.589996,186.990005,184.160004,186.570007,1923100,181.380325
"703",186.960007,187.330002,185.160004,186.039993,1486500,180.865051
"704",186.869995,188.130005,186.610001,187.080002,2896700,181.876144
"705",186.949997,187.539993,185.389999,187.339996,1344700,182.128906
"706",187.270004,188.110001,182.339996,182.720001,1752100,177.637421
"707",182.389999,184.839996,181.970001,184.070007,2263000,178.94986
"708",185.050003,187.020004,184.649994,185,2008700,179.854004
"709",184.669998,184.830002,183.020004,183.070007,1389200,177.977692
"710",184.410004,185.929993,182.559998,182.869995,1832700,177.783234
"711",182.550003,185.75,182.369995,184.800003,1554000,179.659561
"712",185.149994,187.039993,184.289993,186.580002,1243300,181.39003
"713",186.160004,188.059998,184.339996,185.419998,1574800,180.262314
"714",186.699997,188.350006,186.110001,188.220001,1502100,182.984436
"715",188.509995,189.169998,187.389999,187.800003,1144500,182.576111
"716",188,188,185.479996,186.880005,1536600,181.681686
"717",186.990005,189.270004,186.910004,189.229996,1652200,183.966324
"718",189.309998,190.199997,188.669998,189.089996,1676800,183.830215
"719",188.660004,189.710007,188.270004,189.699997,1282400,184.423248
"720",188.759995,190.460007,188.550003,190.059998,1167000,184.773239
"721",190.169998,191.649994,189.869995,191.429993,1522800,186.105148
"722",191.149994,194.770004,190.490005,194.5,1817700,189.089722
"723",194,196.410004,193.830002,196.25,1672900,190.791061
"724",195.899994,197.559998,195.809998,196.809998,2426200,191.335449
"725",197.429993,198.949997,196.759995,198.020004,1561000,192.51181
"726",198.199997,198.75,197.389999,198.339996,1342200,192.822922
"727",198.729996,199.759995,196.770004,197.710007,1477300,192.210449
"728",197.419998,197.929993,196.139999,196.779999,1217400,191.306305
"729",198.050003,198.419998,195.100006,196.660004,1117900,191.189636
"730",197.639999,198.380005,197.399994,198.360001,1951900,192.842377
"731",198.360001,201,197.770004,200.919998,2324500,195.331161
"732",200.539993,201.360001,199.190002,201.25,1205000,195.651947
"733",201.240005,201.660004,200,201.160004,750600,195.564453
"734",201.440002,201.690002,198.050003,199.589996,1262300,194.038132
"735",197.539993,199.289993,196.470001,198.75,1243600,193.221497
"736",199.759995,200.389999,199.240005,199.580002,1221800,194.028442
"737",200,200.029999,198.880005,199.850006,1816600,194.290909
"738",201.399994,202.820007,200.490005,202.550003,1345700,196.915833
"739",201.770004,202.880005,201.440002,202.029999,1976300,196.410294
"740",202.029999,202.259995,200.869995,201.880005,1403000,196.264465
"741",202.130005,202.619995,200.339996,202.300003,1669700,196.672775
"742",202.160004,204.429993,201.240005,203.919998,1932600,198.247711
"743",203.059998,206.720001,203.009995,206.660004,1648300,200.911499
"744",207.119995,208.660004,204.970001,205,2702400,199.297668
"745",205,205.720001,202.949997,203.399994,2377400,197.742142
"746",203.600006,206.169998,203.509995,205.759995,3002800,200.036545
"747",202.059998,208.300003,202.059998,208.300003,3759800,202.50589
"748",211.110001,213.25,209.070007,211.100006,4148800,205.227982
"749",210.960007,211.289993,208.839996,210.830002,2220900,204.965485
"750",210.710007,211.669998,210.559998,211.610001,998500,205.723801
"751",211.610001,212.119995,211.259995,212.050003,1059800,206.15155
"752",212.449997,212.630005,211.610001,212.220001,1292200,206.316803
"753",212.240005,212.240005,209.050003,210.639999,1193900,204.780777
"754",209.979996,211.059998,209.440002,210.570007,1371000,204.712723
"755",210.860001,211.919998,208.809998,210.149994,2431100,204.304398
"756",208.5,210.630005,207,209.800003,1802100,203.964157
"757",208.270004,208.789993,206.809998,208.429993,2841400,202.632248
"758",203.199997,206.259995,203.190002,203.929993,3097400,198.257416
"759",204,205.449997,203.529999,204.330002,2271300,198.646317
"760",205.5,207.279999,205.160004,206.149994,2910600,200.415665
"761",206.929993,208.309998,206.729996,207.660004,1573100,201.883667
"762",207.490005,209.839996,207.490005,209.589996,2202800,203.759995
"763",209.550003,211,207.029999,207.729996,2499100,201.951721
"764",208,208.440002,206.729996,207.259995,1986000,202.273804
"765",208.139999,209.100006,207.899994,208.979996,2691600,203.952408
"766",210,210.649994,208.350006,209.199997,2584500,204.16713
"767",207.5,210.160004,207,209.149994,2687200,204.118317
"768",210.199997,211.860001,209.350006,209.410004,1873600,204.372086
"769",209.399994,210.809998,208.869995,210.679993,2368400,205.611511
"770",211,211.589996,208.050003,208.570007,2348900,203.552277
"771",205.179993,207.839996,204.850006,206.550003,1381300,201.580887
"772",207.869995,210.960007,207.25,210.240005,1810200,205.182114
"773",210.679993,211.210007,207.789993,207.960007,1491600,202.956955
"774",207.5,208.929993,205.199997,208.369995,1579600,203.357071
"775",208.5,209.630005,204,205.210007,1793600,200.273117
"776",205.339996,208.419998,205.25,207.800003,2345700,202.800797
"777",210,213.789993,209.75,212.529999,2242800,207.417007
"778",213.889999,214.460007,210.410004,212.220001,2102500,207.114441
"779",213,214.380005,212.309998,214.160004,1611500,209.007782
"780",213.339996,213.389999,211.089996,211.580002,1447700,206.489853
"781",210.190002,212.970001,210.190002,212.550003,1421600,207.436539
"782",213.380005,213.979996,211.759995,212.139999,1321000,207.036362
"783",212.199997,212.869995,211.539993,211.990005,1801300,206.889999
"784",209.869995,213.539993,209.339996,212.399994,1721200,207.290146
"785",213.25,213.539993,211.350006,212.369995,2096600,207.260849
"786",212.5,214.059998,211.199997,213.759995,1699400,208.617447
"787",215,216.389999,214.380005,215.919998,1806000,210.725449
"788",215.880005,216.320007,211.610001,213.899994,1481700,208.754028
"789",212.589996,213.550003,210.490005,211.889999,2088800,206.792404
"790",204.470001,207.869995,203.449997,204.360001,2600400,199.443558
"791",204.779999,205.479996,195.860001,197.100006,2883600,192.358215
"792",198.669998,201.449997,194.789993,195.669998,2671100,190.962616
"793",192.199997,194.350006,186.369995,186.440002,3040100,181.954681
"794",180.259995,183.199997,175.300003,180.589996,5785200,176.245407
"795",182,189.820007,178.020004,189.550003,4317900,184.989853
"796",189.770004,191.899994,180.619995,182.220001,3514000,177.836212
"797",185.800003,189.710007,184.300003,188.860001,3875400,184.316452
"798",185.089996,187.460007,180.919998,182.559998,3548200,178.167999
