"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"1",178.830002,180,177.220001,178.050003,2509300,154.443542
"2",178.029999,178.899994,177.610001,178.320007,1542000,154.677704
"3",178.259995,179.139999,176.889999,177.710007,1447800,154.148621
"4",177.289993,178.600006,175.800003,178.229996,1625000,154.599686
"5",178.369995,178.380005,177.199997,177.270004,1622600,153.766937
"6",177.360001,177.490005,176.309998,176.580002,2030100,153.168442
"7",176.630005,178.449997,176.389999,177.889999,1579600,154.304779
"8",176.970001,177.699997,175.75,177.440002,1321800,153.914444
"9",177.580002,177.910004,176.830002,177.389999,1265500,153.871063
"10",177,177.679993,176.25,177.259995,1557500,153.758286
"11",177.899994,179.440002,177.380005,178.490005,1804600,154.825226
"12",179.25,179.800003,177.759995,178.679993,1464400,154.990036
"13",179.199997,179.460007,177.830002,178.490005,1761900,154.825226
"14",177.910004,178.990005,177.130005,178.509995,1986800,154.842545
"15",177.5,177.759995,174.419998,175.970001,3473200,152.639313
"16",177.089996,178.630005,176.570007,176.729996,3462600,153.298584
"17",176.309998,177.229996,176.039993,176.820007,2235900,153.376648
"18",177.479996,177.979996,176.830002,177.479996,1623700,153.949112
"19",177.25,177.729996,174.869995,175.419998,1823100,152.162247
"20",174.740005,175.460007,173.809998,174.820007,1845500,151.641815
"21",175.169998,175.800003,174.300003,175.169998,2272900,151.945404
"22",174.130005,174.779999,173.550003,174.179993,3106800,151.086655
"23",174.020004,175.300003,173.850006,175.039993,2820500,151.832626
"24",174.119995,176.199997,173.899994,175.100006,1622800,151.884674
"25",176.080002,176.399994,175.149994,175.759995,1247400,152.457184
"26",175.619995,177.600006,175.490005,177.070007,2145700,153.593506
"27",176.869995,178.550003,176.869995,178.179993,2009700,154.556259
"28",178.300003,179.580002,178.190002,179,1392400,155.267593
"29",179.860001,181.380005,179.259995,181.020004,1929800,157.019791
"30",180.860001,182,180.649994,181.600006,2035900,157.522903
"31",180.300003,181.830002,180.149994,181.699997,1762900,158.636047
"32",181.75,183.460007,181.619995,183.410004,2164000,160.128967
"33",183.429993,183.600006,182.529999,182.949997,1961500,159.727356
"34",182.789993,183.619995,182.039993,183.369995,1736300,160.09404
"35",183.399994,186.119995,183.080002,186.039993,2850900,162.425171
"36",185.910004,187.460007,185.710007,187.190002,2401600,163.429138
"37",186.820007,188.410004,186.300003,187.410004,2126300,163.621231
"38",187.5,187.550003,186.380005,186.910004,1393800,163.184692
"39",186.729996,187.5,186.309998,186.350006,1932100,162.695755
"40",188.080002,190.539993,188.009995,189.860001,2226200,165.760254
"41",189.460007,190.100006,189.029999,189.889999,1764000,165.786438
"42",189.889999,190.240005,188.539993,189.309998,1627400,165.280045
"43",188.929993,189.240005,188.270004,188.899994,1668700,164.922073
