"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"1",77.260002,77.970001,76.93,77.330002,2075900,73.78833
"2",77.529999,78.989998,77.5,78.699997,1550500,75.095604
"3",78.190002,78.690002,77.559998,78.599998,1587500,75.000183
"4",78.639999,79.5,78.300003,79.160004,1634600,75.534515
"5",78.800003,79,78.110001,78.239998,1397200,74.656662
"6",78.400002,78.400002,77.230003,77.349998,2472400,73.807426
"7",76.629997,78.360001,76.339996,78.330002,2787800,74.742546
"8",78.739998,79.849998,78.099998,79.139999,3338600,75.515457
"9",78.980003,79.57,78.620003,78.790001,1933200,75.181465
"10",79.349998,80.339996,79.25,79.849998,2253300,76.192932
"11",79.989998,80.43,79.220001,79.269997,1615900,75.639481
"12",79.230003,79.32,78.360001,78.889999,1720300,75.276894
"13",78.989998,79.790001,78.709999,79.629997,1853200,75.983002
"14",79.529999,79.809998,79.120003,79.650002,1188600,76.002098
"15",79.779999,80.839996,79.699997,80.790001,1283400,77.089867
"16",81.050003,82.059998,80.900002,82.010002,1996500,78.254013
"17",82.209999,83.330002,81.639999,81.959999,2746600,78.206284
"18",81.580002,81.779999,80.690002,80.959999,1189100,77.252083
"19",81.110001,81.110001,80.110001,80.870003,1672500,77.166214
"20",80.919998,81.25,80.309998,81.209999,1891000,77.490639
"21",80.830002,81.290001,79.349998,79.919998,4869500,76.259727
"22",82.910004,83.309998,80.860001,82,5021800,78.244461
"23",82.059998,83.5,81.940002,83.019997,3395500,79.217743
"24",82.989998,83.199997,82.559998,82.82,2114500,79.026909
"25",83.18,83.75,82.32,83.400002,2402500,79.580345
"26",83.110001,83.480003,82.199997,82.489998,2263800,78.712006
"27",82.489998,82.900002,82.290001,82.660004,1535200,78.874229
"28",82.559998,82.739998,82.150002,82.589996,1684800,78.807426
"29",82.809998,82.970001,82.43,82.589996,1048900,78.807426
"30",82.349998,83.559998,82.199997,83.25,1666600,79.437218
"31",83.330002,83.940002,82.650002,83.540001,2035800,79.713921
"32",83.360001,83.699997,82.519997,83.269997,1530100,79.456291
"33",83.68,85.720001,83.589996,85,6467700,81.107063
"34",85.199997,85.709999,84.480003,84.639999,2411100,80.763542
"35",84.529999,84.989998,84.029999,84.199997,1600100,80.343681
"36",84.599998,84.830002,83.860001,84.019997,1501400,80.171959
"37",83.720001,83.849998,82.940002,83.75,1225200,80.238998
"38",83.419998,83.720001,82.5,82.970001,1264600,79.491714
"39",83,83.400002,82.739998,82.849998,1556200,79.376755
"40",83.18,84.230003,82.809998,84.050003,1622900,80.526413
"41",85,85.040001,82.800003,82.919998,3459500,79.443794
"42",82.790001,83.050003,81.690002,82.949997,1371800,79.472542
"43",82.529999,83.139999,82.43,82.709999,1184100,79.242607
"44",82.480003,82.940002,82.349998,82.769997,1274100,79.300102
"45",82.839996,83.25,82.709999,82.93,1126700,79.453384
"46",83.300003,83.339996,82.660004,82.879997,958600,79.405479
"47",84.209999,86.419998,84.150002,85.779999,3603700,82.183907
"48",85.440002,85.870003,85.169998,85.370003,1523600,81.791092
"49",84.959999,85.309998,84.459999,84.779999,1126000,81.22583
"50",84.75,85.75,84.75,85.330002,1412700,81.752762
"51",85.25,85.669998,85.099998,85.580002,915300,81.992294
"52",85.709999,86.660004,85.400002,85.959999,2237900,82.356354
"53",85.769997,86.550003,85.5,86.510002,2210900,82.883308
"54",86.980003,87.550003,86.389999,86.480003,2149500,82.854576
"55",86.379997,86.889999,86.089996,86.529999,1226600,82.902466
"56",86.410004,87.239998,86.360001,86.519997,1348100,82.892876
"57",86.559998,87.230003,85.309998,86.010002,1888200,82.404274
"58",85.489998,86.57,85.370003,85.82,1786100,82.222237
"59",85.529999,86.129997,84.889999,85.610001,1591100,82.021049
"60",85.660004,86.169998,85.330002,85.519997,1300600,81.934799
"61",85.419998,85.660004,85.220001,85.339996,1373600,81.762352
"62",85.260002,85.809998,84.709999,84.790001,2078600,81.235397
"63",84.730003,85.199997,83.339996,83.5,2666400,79.999489
"64",84.339996,85.269997,83.690002,85.059998,2691500,81.494087
"65",85.110001,86.410004,84.769997,85.239998,2665200,81.666557
"66",84.860001,85.599998,84.290001,84.370003,1809700,80.833023
"67",84.360001,84.449997,83.669998,84.150002,1096300,80.622238
"68",84.339996,84.989998,84.050003,84.720001,1074600,81.168343
"69",84.610001,85.019997,84.160004,84.849998,994600,81.292885
"70",84.370003,85.029999,84.330002,84.919998,934100,81.35997
"71",84.760002,85.309998,84.699997,84.940002,1043500,81.379128
"72",85.089996,85.400002,85.050003,85.360001,765000,81.781517
"73",85.169998,86.379997,84.839996,86.290001,2110100,82.672531
"74",86.339996,86.889999,85.459999,85.620003,1507300,82.030624
"75",85.75,86.43,85.339996,86.029999,1506600,82.423431
