"","MRNA.Open","MRNA.High","MRNA.Low","MRNA.Close","MRNA.Volume","MRNA.Adjusted"
"66",19.92,21,19.92,20.82,883600,20.82
"67",20.99,22.190001,20.889999,21.82,2686600,21.82
"68",21.74,22.219999,21.219999,22.18,1245600,22.18
"69",22.469999,22.6,20.18,20.35,976100,20.35
"70",20.41,20.98,19.9,20,985000,20
"71",20,20.25,19.209999,19.34,860500,19.34
"72",19.379999,19.700001,18.75,19,579500,19
"73",19,19.59,18.209999,19.4,671700,19.4
"74",19.610001,19.940001,19.24,19.9,393600,19.9
"75",20.08,20.08,18.889999,19.27,602600,19.27
"76",19.299999,19.74,19,19.66,436300,19.66
"77",19.870001,20.799999,19.469999,20.35,660800,20.35
"78",20.540001,20.915001,20.040001,20.59,547600,20.59
"79",20.68,20.68,19.540001,19.700001,546400,19.700001
"80",19.92,21.67,19.809999,21.33,909300,21.33
"81",21.120001,23.18,21.040001,23.08,1705900,23.08
"82",23.799999,26.23,22.665001,25.959999,1978100,25.959999
"83",25.9,29.790001,25.6,27.23,2673100,27.23
"84",27.299999,28.4,26.311001,26.82,1051500,26.82
"85",26.9,27.74,26.5,26.799999,639200,26.799999
"86",26.82,26.99,24.26,25.73,1030000,25.73
"87",26,26.051001,24.27,24.610001,708600,24.610001
"88",24.99,25.940001,24.620001,25.84,636500,25.84
"89",26,26.219999,23.65,23.780001,964600,23.780001
"90",24,24.120001,22.313999,23.5,918500,23.5
"91",23.469999,23.549999,22.43,22.51,736400,22.51
"92",22.700001,23.99,22.511,23.629999,494100,23.629999
"93",23.73,24.983,23.73,24.700001,617800,24.700001
"94",24.799999,25.76,24.290001,25.76,702200,25.76
"95",25.76,26.719999,25.43,25.74,603300,25.74
"96",25.83,27.299999,25.690001,26.26,593500,26.26
"97",26.280001,27.200001,24.971001,25.139999,1057800,25.139999
"98",25.280001,26.030001,25,26.030001,620700,26.030001
"99",26.309999,27.09,25.870001,26.4,1121500,26.4
"100",26.33,28.49,26.190001,28.34,1079600,28.34
"101",28.889999,28.950001,26.85,27.200001,837900,27.200001
"102",26.379999,27.809999,26.25,27.1,667200,27.1
"103",27.18,27.256001,24.16,24.549999,1061300,24.549999
"104",23.700001,26,23.530001,23.540001,1023900,23.540001
"105",23.5,24,22.75,23.26,523100,23.26
"106",23.040001,24.93,22.799999,24.92,536200,24.92
"107",24.459999,24.77,23.225,24.43,491600,24.43
"108",24.5,24.889999,23.57,23.59,473900,23.59
"109",23.459999,23.84,22.809999,23.120001,847300,23.120001
"110",23.5,24.049999,23.15,23.459999,536600,23.459999
"111",23.309999,23.429001,21.68,23.08,1275200,23.08
"112",22.85,23.6,22.549999,22.6,552700,22.6
"113",22.65,23.16,22.43,22.700001,475900,22.700001
"114",22.65,22.768,21.93,22,569600,22
"115",21.75,21.940001,21.01,21.379999,739600,21.379999
"116",21.559999,22,21.41,21.83,744000,21.83
"117",22.299999,22.459999,21.440001,21.540001,616000,21.540001
"118",21.709999,21.898001,21.16,21.700001,490700,21.700001
"119",21.84,21.9,21.049999,21.49,361300,21.49
"120",21.16,21.379999,20.74,20.780001,443500,20.780001
"121",20.790001,20.99,18.82,19.85,1031600,19.85
"122",19.76,20.74,19.23,19.469999,1077700,19.469999
"123",19.200001,19.200001,17.200001,17.700001,5046100,17.700001
"124",17.83,18.921,17.610001,17.940001,6066300,17.940001
"125",17.709999,18.4,17.299999,17.52,1892800,17.52
"126",17.85,17.99,15.67,15.67,2574700,15.67
"127",16.09,16.879999,15.75,16,5614200,16
