"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"1",115.519997,116.07,114.639999,115.080002,2390700,99.442764
"2",115.300003,115.849998,114.959999,115.110001,1830800,99.468689
"3",115,115.980003,114.849998,115.169998,1856200,99.520538
"4",115,115.660004,114.519997,115.400002,1767000,99.719261
"5",115,115.190002,114.5,114.769997,1965200,99.174881
"6",114.629997,114.809998,113.410004,113.919998,2892600,98.440384
"7",113.639999,114.470001,113.639999,114.18,2302700,98.665047
"8",114.209999,114.209999,113.300003,113.910004,1917000,98.431755
"9",114.199997,114.599998,114.029999,114.239998,1788000,98.716888
"10",113.690002,114.110001,113.410004,114.07,2474700,98.569977
"11",114.370003,115.449997,114.019997,114.959999,2040000,99.33905
"12",114.970001,115.150002,114.010002,114.269997,1848000,98.742813
"13",114.440002,115,114.32,114.959999,2372900,99.33905
"14",114.989998,115.040001,114.139999,114.459999,1689500,98.906998
"15",114.599998,116.260002,114.150002,116.050003,2157200,100.28096
"16",116.230003,117.129997,115.870003,116.989998,2045000,101.093216
"17",116.970001,117.360001,116.540001,116.93,1796400,101.041397
"18",117,118.190002,116.589996,118.089996,2283800,102.043755
"19",117.910004,117.919998,116.260002,117.029999,2910300,101.127769
"20",111.809998,111.809998,108.68,109.129997,12755500,94.301254
"21",107.790001,108.550003,103.230003,105.349998,14684600,91.034889
"22",105.290001,105.699997,104.410004,105.099998,4353400,90.818848
"23",105.699997,107.199997,105.330002,106.949997,4859700,92.417473
"24",106.620003,107,105.75,106.059998,3444300,91.648399
"25",106.379997,106.489998,105.309998,105.690002,3589500,91.328705
"26",105.809998,106.400002,105.510002,106.160004,3398500,91.73484
"27",106.160004,107.010002,106.019997,106.459999,2416000,91.994049
"28",106.5,107.5,106.260002,107.339996,4012800,92.754494
"29",107.660004,108.529999,107.529999,108.5,3877700,93.756851
"30",108.68,109.339996,107.620003,108.989998,5878800,94.180283
"31",108.870003,109.169998,108.279999,109.019997,2843000,94.206207
"32",108.099998,108.129997,106.660004,107.220001,5150000,93.36158
"33",106.959999,107.050003,106.410004,106.900002,2919000,93.082939
"34",106.900002,107.870003,106.599998,107.720001,3822500,93.796967
"35",105.440002,106.830002,105.239998,105.620003,5234400,91.968376
"36",106,106.089996,104.889999,105.089996,3976300,91.506889
"37",104.860001,106.190002,104.769997,106.18,2717400,92.456001
"38",106.139999,106.769997,105.75,106.730003,2776200,92.934914
"39",106.68,106.989998,105.480003,105.760002,3793900,92.090286
"40",106.970001,107.379997,106.690002,106.870003,3386200,93.056831
"41",106.989998,106.989998,105.860001,105.949997,2490900,92.255722
"42",106.129997,106.599998,105.760002,105.93,2732500,92.238312
"43",105.519997,106.370003,105.230003,106.099998,2481900,92.386337
"44",106,106.389999,105.510002,105.639999,2186500,91.985802
"45",105.639999,106.110001,105.239998,105.730003,2269800,92.064156
"46",106.129997,106.239998,105.620003,105.900002,2301000,92.212181
"47",106.269997,106.849998,105.75,106.730003,2957100,92.934914
"48",106.529999,107.5,106.309998,107.489998,2644500,93.596672
"49",107.190002,107.419998,106.440002,106.830002,2748900,93.021988
"50",107.290001,108.290001,106.849998,107.739998,3253800,93.814369
"51",107.800003,107.919998,107.290001,107.800003,2409400,93.866608
"52",107.910004,108.970001,107.650002,108.150002,4412200,94.171371
"53",108.050003,108.199997,106.93,107.120003,2370900,93.274498
"54",107.510002,108.139999,106.370003,106.510002,3088500,92.743347
"55",106.959999,107.169998,105.879997,106.519997,2282200,92.75206
"56",106.529999,106.889999,105.370003,105.650002,2414200,91.994514
"57",105.690002,105.839996,104.800003,105.050003,2526900,91.472061
"58",104.480003,104.980003,103.75,104.779999,2148400,91.236954
"59",104.720001,106.519997,104.5,106.190002,3191600,92.464699
"60",105.650002,106.349998,105.459999,106.029999,1889300,92.325378
"61",105.809998,106.839996,105.349998,106.660004,1721600,92.87397
"62",106.480003,107.699997,106.480003,107.300003,2478100,93.431236
"63",107.660004,107.730003,106.080002,106.400002,2645900,92.647575
"64",106.300003,106.699997,105.699997,106.629997,2138600,92.847824
"65",106.940002,107.779999,106.540001,106.739998,2622900,92.943619
"66",106.769997,106.940002,106.510002,106.669998,2824600,92.882683
"67",106.309998,106.599998,104.910004,104.989998,3212200,91.419815
"68",105.449997,106.879997,105.370003,106.419998,3687700,92.664986
"69",106.150002,106.160004,105.230003,105.75,3029400,92.081589
"70",105.059998,105.339996,104.18,104.230003,3036000,90.758049
"71",104.18,104.559998,103.699997,103.739998,2840900,90.33136
"72",104.059998,104.870003,103.919998,104.870003,1723800,91.315331
"73",104.519997,104.739998,103.559998,104.099998,3042300,90.644852
"74",104.580002,105.089996,104.330002,104.459999,2047100,90.958313
"75",104.75,105.739998,104.57,105.529999,2424700,91.890022
"76",105.709999,106.129997,105.449997,105.769997,3040600,92.098984
"77",106.75,107.230003,106.279999,106.970001,2441500,93.14389
"78",107.089996,107.82,107.080002,107.360001,2626100,93.483475
"79",107.230003,108.589996,106.959999,107.620003,4565600,93.709885
"80",107.800003,109.279999,105.580002,108.830002,4672800,94.763496
"81",109,109.300003,107.080002,107.459999,3112000,93.570564
"82",107.419998,107.419998,106.510002,106.540001,1976600,92.76947
"83",106.610001,107.120003,106.559998,106.919998,1908800,93.100349
"84",106.889999,107.470001,106.589996,107.349998,1909000,93.474777
"85",107.410004,107.830002,106.599998,107.050003,1744300,93.213547
"86",107.32,107.559998,107.019997,107.43,2221500,93.544434
"87",107.360001,107.589996,106.730003,107.519997,2508200,93.622787
"88",107.559998,107.660004,106.089996,106.510002,2336500,92.743347
"89",106.07,106.129997,104.769997,105.099998,3713100,91.515587
"90",104.129997,104.25,102.980003,104.150002,3076700,91.410271
"91",103.800003,104.309998,103.650002,104.129997,2052300,91.392731
"92",104.550003,105.480003,104.220001,105.290001,2592900,92.410835
"93",105.290001,105.360001,103.93,104.5,2458300,91.717461
"94",104.5,104.5,102.779999,102.870003,3073100,90.28685
"95",102.940002,103.639999,102.120003,103.190002,2890800,90.567703
"96",103.239998,103.889999,103.010002,103.419998,2361200,90.769562
"97",103.349998,104.040001,103.110001,103.779999,1916000,91.085526
"98",103.669998,104.32,103.389999,104.199997,2099600,91.454155
"99",103.82,104.809998,103.730003,104.720001,1865300,91.910545
"100",105.18,105.989998,105.029999,105.940002,2391800,92.981316
"101",105.809998,106.089996,105.529999,105.870003,1826000,92.919884
"102",105.510002,107.410004,105.269997,106.809998,2400800,93.744904
"103",107.099998,107.190002,105.330002,105.970001,5007300,93.00766
"104",106.489998,108.099998,105.699997,107.660004,4832300,94.490929
"105",107.739998,108.879997,106.970001,107.669998,4182800,94.499687
"106",107.489998,108.480003,107.25,107.949997,2619900,94.745453
"107",107.830002,107.940002,107.349998,107.43,2593900,94.289055
"108",107.410004,107.489998,106.279999,106.68,2442300,93.630798
"109",106.68,107.18,106.220001,106.75,2322100,93.692238
"110",106.510002,107.059998,105.93,107.029999,2834200,93.937996
"111",107.029999,108.949997,107.029999,108.940002,3337500,95.614365
"112",109.059998,109.989998,108.949997,109.849998,2507300,96.41304
"113",109.93,110.230003,109.059998,109.389999,2434300,96.009308
"114",108.82,110.330002,108.82,110.260002,2311600,96.772888
"115",110.559998,111.080002,110.029999,110.589996,4107600,97.062508
"116",110.790001,111.18,110.220001,110.870003,2150900,97.308273
"117",110.849998,110.870003,109.589996,109.610001,2081000,96.2024
"118",109.82,109.860001,108.870003,109.190002,2796900,95.833786
"119",108.760002,109.550003,108.68,109.07,1613600,95.728447
"120",109.220001,111.300003,108.959999,110.269997,4352100,96.78167
"121",110.660004,111.550003,110.510002,111.010002,2199700,97.431145
"122",110.720001,111.440002,109.669998,109.669998,2154600,96.255066
"123",110.389999,110.879997,109.599998,110.080002,2996400,96.614899
"124",109.720001,110.239998,109.419998,109.779999,2208800,96.351616
"125",110.209999,111.010002,109.75,110.589996,2178100,97.062508
"126",110.900002,111.629997,110.580002,110.610001,1288200,97.080086
"127",110.57,111.150002,110.239998,110.519997,1628700,97.001083
"128",110.110001,110.349998,109.089996,109.239998,1637200,95.877663
"129",109.440002,110.620003,109.160004,110.360001,1742700,96.860664
"130",110.089996,110.589996,109.790001,110.209999,1698700,96.729034
"131",110.25,110.370003,109.559998,110.07,1785900,96.606117
"132",110.629997,111.110001,110.139999,110.57,2196000,97.044975
"133",110.419998,111.580002,110.18,111.160004,2285900,97.562813
"134",111.029999,112.610001,110.849998,112.410004,3275700,98.659904
"135",111.879997,112.260002,111.379997,112.029999,2615100,98.326378
"136",111.959999,112.150002,111.529999,111.830002,2142400,98.150848
"137",111.720001,112.989998,111.260002,112.989998,2541800,99.168953
"138",113.209999,113.209999,112.43,112.580002,2237100,98.809097
"139",112.349998,113.099998,112.150002,112.68,1772900,98.896873
"140",112.480003,112.580002,111.980003,112.150002,2296000,98.431709
"141",112.830002,113.760002,112.419998,113.220001,2219400,99.370834
"142",113.540001,113.639999,112.18,112.290001,2978400,98.554581
"143",111,111,106.980003,107.790001,7446500,94.605019
"144",108.379997,109.910004,107.93,109.660004,4274800,96.246284
"145",110.040001,111,109.959999,110.290001,3564200,96.799217
"146",110.800003,110.800003,109.650002,110.169998,2663500,96.693909
"147",109.870003,111.449997,109.849998,111.260002,2256100,97.650558
"148",110.970001,111.779999,110.830002,111.519997,2515300,97.878754
"149",111.620003,112.089996,111.120003,112.050003,2185400,98.343941
"150",112,112.029999,111.419998,111.860001,1696000,98.17717
"151",113,113.199997,111.800003,111.889999,2809500,98.203522
"152",111.970001,112.5,111.720001,112.410004,1888700,98.659904
"153",111.540001,111.82,110.889999,110.919998,2058200,98.076324
"154",111.489998,112.480003,111.290001,111.440002,2077900,98.536125
"155",112.18,113.790001,112.089996,113.690002,2424900,100.525581
"156",113.68,114.43,113.5,114.18,1985800,100.958855
"157",114.269997,115.339996,114.220001,114.760002,2196300,101.471695
"158",114.599998,114.809998,112.910004,112.919998,2439900,99.844742
"159",112.93,114.199997,112.68,113.339996,2249300,100.21611
"160",113.339996,114.199997,113.18,113.830002,1455200,100.649376
