"","ADBE.Open","ADBE.High","ADBE.Low","ADBE.Close","ADBE.Volume","ADBE.Adjusted"
"178",154.899994,155.190002,153.559998,154.490005,3012800,154.490005
"179",155.009995,156.300003,154.369995,155.770004,2581000,155.770004
"180",156.300003,157.050003,155.809998,156.600006,4014800,156.600006
"181",151.990005,152.399994,149,149.960007,9372300,149.960007
"182",150.380005,151.25,148.300003,149.300003,4991800,149.300003
"183",148.690002,149.5,147.850006,148.5,2929200,148.5
"184",148.389999,148.710007,143.949997,144.570007,4869500,144.570007
"185",145.5,146.350006,143.960007,145.399994,3280000,145.399994
"186",146.309998,147.089996,145.75,146.429993,2947600,146.429993
"187",146.139999,147.320007,145.389999,146.830002,1667000,146.830002
"188",146.690002,149.279999,146.600006,149.179993,2181300,149.179993
"189",149.789993,150.479996,147.520004,147.940002,2341700,147.940002
"190",148.479996,148.800003,147.990005,148.600006,1808200,148.600006
"191",148.210007,148.460007,146.600006,147.949997,2885600,147.949997
"192",148.490005,150.449997,147.710007,150.25,2413800,150.25
"193",149.960007,151.360001,149.529999,151.119995,2282800,151.119995
"194",150.759995,151.570007,150.25,151.5,1460900,151.5
"195",152,152.860001,151.320007,152.149994,2817600,152.149994
"196",152.089996,154,151.350006,153.649994,2791000,153.649994
"197",153.720001,154.850006,153.389999,153.610001,2430000,153.610001
"198",153.960007,154.589996,153.059998,153.929993,2515600,153.929993
"199",151.149994,153.070007,149.279999,150.460007,3833200,150.460007
"200",150.520004,150.929993,148.149994,150.380005,3547800,150.380005
"201",150.330002,153.429993,149.029999,153,4290900,153
"202",165.5,172.149994,164.419998,171.729996,13522600,171.729996
"203",171.5,175.869995,171.360001,175.639999,6019400,175.639999
"204",175.679993,175.850006,171.830002,172.160004,3220300,172.160004
"205",171.470001,172.490005,170.490005,171.580002,2658600,171.580002
"206",170.369995,173.410004,170.039993,171.830002,2785700,171.830002
"207",172.059998,175.020004,172.020004,173.75,2581200,173.75
"208",174.020004,177.580002,174.020004,177.330002,2806400,177.330002
"209",177,177.479996,174.449997,176.029999,2124200,176.029999
"210",176.160004,176.729996,174.520004,175.160004,2656500,175.160004
"211",176.589996,176.940002,174.699997,176.25,2002900,176.25
"212",178.020004,181.479996,175.800003,180.940002,3262300,180.940002
"213",181.759995,182.740005,179.639999,182.300003,2244700,182.300003
"214",182.009995,182.289993,180.539993,180.800003,2021900,180.800003
"215",181.229996,181.779999,180.110001,180.880005,2544200,180.880005
"216",181.190002,184.440002,181.059998,184.059998,1791800,184.059998
"217",182.880005,183.080002,179.029999,181.919998,2704600,181.919998
"218",181,182.059998,179.830002,181.720001,2082600,181.720001
"219",180.5,182.320007,179.75,181.850006,1496100,181.850006
"220",181.979996,182.169998,180.309998,181.320007,1549700,181.320007
"221",180.919998,181.729996,179.600006,180.080002,1980900,180.080002
"222",181.179993,182.440002,180.580002,182.300003,1961200,182.300003
"223",182.080002,182.910004,181.139999,182.240005,1482100,182.240005
"224",182.800003,183.429993,181.339996,182.339996,1118100,182.339996
"225",183.75,185.550003,182.839996,184.149994,2036500,184.149994
"226",184.320007,184.5,182.619995,182.899994,1546700,182.899994
"227",182.960007,184.710007,182.960007,184.460007,663000,184.460007
"228",184.830002,185.839996,184.089996,185,1305100,185
"229",185.619995,186.270004,184.369995,185.399994,1647000,185.399994
"230",183.869995,184.729996,175.309998,176.850006,4320800,176.850006
"231",178.139999,181.669998,176.550003,181.470001,3976300,181.470001
"232",179.509995,182,177.130005,179.520004,3016200,179.520004
"233",180.339996,180.619995,168.429993,168.440002,5931400,168.440002
"234",167.690002,171.779999,165.679993,167.539993,4698700,167.539993
"235",166.789993,173.960007,165.75,173.520004,3773000,173.520004
"236",173.460007,175.899994,172.130005,174.610001,2442000,174.610001
"237",177.080002,177.199997,173.169998,173.570007,2101800,173.570007
"238",173.770004,174.979996,173.199997,174.309998,2776700,174.309998
"239",172.690002,174.130005,170.429993,172.539993,3924200,172.539993
"240",173.5,177.419998,173.289993,176.830002,4591700,176.830002
"241",178.259995,178.720001,174.979996,175,4720900,175
"242",179.360001,179.979996,174.300003,177.509995,9191700,177.509995
"243",178.419998,179.149994,175.309998,176.740005,3435400,176.740005
"244",176.009995,176.759995,174.229996,174.970001,2509500,174.970001
"245",176,176,172.919998,174.25,2677300,174.25
"246",174.050003,175.320007,174,174.559998,2164100,174.559998
"247",173.990005,175.100006,173.75,175,1702600,175
"248",174.360001,175,173.029999,174.440002,918400,174.440002
"249",174.649994,175.440002,173.970001,175.360001,1527800,175.360001
"250",175.919998,176,174.850006,175.550003,1043700,175.550003
"251",175.190002,176.970001,175.100006,175.240005,1810300,175.240005
