"","STE.Open","STE.High","STE.Low","STE.Close","STE.Volume","STE.Adjusted"
"1",67.610001,68.220001,67.089996,68.220001,517800,64.731003
"2",68.540001,68.610001,67.75,68.360001,521800,64.863831
"3",68.410004,68.660004,67.949997,68.300003,293900,64.806908
"4",68.5,68.980003,68.110001,68.489998,438700,64.98719
"5",68.550003,69.339996,68.230003,69.040001,367000,65.509056
"6",68.860001,69.889999,68.57,69.449997,336900,65.898094
"7",69.540001,69.760002,68.870003,69.160004,476800,65.622917
"8",68.559998,68.699997,67.639999,68.5,383700,64.996681
"9",68.790001,69.459999,68.510002,69.260002,237000,65.717819
"10",68.779999,69.809998,68.57,69.790001,277300,66.220711
"11",70,70.169998,69.519997,70.059998,407200,66.476891
"12",70.080002,70.510002,69.459999,69.739998,360700,66.173256
"13",69.739998,70.099998,68.68,68.779999,344300,65.26236
"14",68.690002,69.580002,68.349998,68.989998,223600,65.461609
"15",68.860001,70.139999,68.529999,70.040001,437800,66.457924
"16",70.099998,70.660004,70.059998,70.580002,257200,66.970299
"17",70.279999,70.660004,70,70.169998,232400,66.581268
"18",70.410004,70.82,69.959999,70.269997,355900,66.67617
"19",69.980003,70.150002,69.279999,70.029999,321700,66.448441
"20",70,71.040001,69.849998,70.830002,465900,67.207504
"21",71.370003,71.879997,70.970001,71.68,660700,68.014061
"22",71.620003,71.720001,70.970001,71.449997,384600,67.795807
"23",71.760002,72.25,71.360001,72.169998,283700,68.478981
"24",71.68,72.349998,71.190002,71.190002,606800,67.54911
"25",67,67.989998,65.410004,66.32,2666200,62.928177
"26",65.949997,66.690002,65.269997,66.589996,2157600,63.184353
"27",66.660004,67.18,66.360001,67.139999,1226200,63.706242
"28",67.279999,67.57,66.839996,67.160004,662600,63.725216
"29",67.459999,67.93,67,67.910004,752600,64.436852
"30",67.690002,69.389999,67.599998,68.940002,1269600,65.414185
"31",68.779999,69.199997,68.419998,68.720001,496500,65.205414
"32",68.860001,68.879997,68.010002,68.440002,442000,64.939758
"33",68.360001,68.790001,67.879997,68.550003,674900,65.044151
"34",68.580002,69.940002,68.489998,69.809998,788400,66.239655
"35",69.730003,70.099998,69.059998,69.379997,357500,65.831665
"36",69.629997,69.730003,68.910004,69.410004,318200,65.86013
"37",68.18,70.260002,68.18,70.25,415000,66.927139
"38",70.150002,70.769997,70.059998,70.349998,502100,67.02243
"39",70.110001,70.660004,69.650002,70.129997,458900,66.812836
"40",70.629997,71.279999,70.330002,71.150002,667400,67.784584
"41",71.07,71.110001,70.589996,70.660004,251200,67.317764
"42",70.620003,70.900002,69.82,70.07,449800,66.755669
"43",69.519997,69.68,69.059998,69.459999,490100,66.174522
"44",69.220001,69.239998,68.779999,68.910004,338600,65.650558
"45",69.019997,69.379997,68.489998,68.660004,305900,65.412369
"46",68.870003,68.940002,68.370003,68.779999,378300,65.52668
"47",69.18,69.279999,68.199997,68.57,521300,65.32663
"48",68.540001,68.959999,68.010002,68.900002,480600,65.641014
"49",68.599998,68.809998,67.879997,68.419998,462100,65.183716
"50",68.650002,69.419998,68.389999,69.370003,594900,66.088791
"51",69.629997,69.629997,68.419998,68.57,592600,65.32663
"52",68.5,69.050003,68.43,68.720001,1186700,65.469528
"53",68.720001,68.889999,68.110001,68.599998,319900,65.355209
"54",69.139999,69.339996,68.260002,68.419998,344900,65.183716
"55",68.43,68.639999,67.940002,68.349998,300600,65.11702
"56",68.349998,68.800003,68.190002,68.309998,183900,65.078903
"57",68.43,68.940002,68.139999,68.629997,256400,65.383789
"58",68.260002,68.470001,67.660004,68.339996,305400,65.107498
"59",67.949997,68.440002,67.660004,67.919998,407900,64.707382
"60",67.809998,69.040001,67.550003,68.849998,690700,65.593384
"61",68.68,69.860001,68.589996,69.480003,918000,66.193588
"62",69.07,69.779999,68.989998,69.459999,437300,66.174522
"63",69.75,70.25,69.449997,69.900002,623800,66.593719
"64",69.769997,70.120003,69.160004,69.5,321000,66.212624
"65",69.82,70,69.290001,69.389999,306700,66.107834
"66",69.459999,70.050003,69.110001,70.029999,243900,66.717583
"67",69.82,70.190002,69.779999,69.900002,303800,66.593719
"68",69.959999,70.160004,69.529999,69.720001,208500,66.422218
"69",69.540001,70.239998,69.410004,70.239998,309200,66.917633
"70",70.5,70.540001,69.400002,69.720001,341600,66.422218
"71",69.580002,69.910004,69.120003,69.220001,250400,65.945869
"72",69.480003,70.029999,69.269997,70.019997,339500,66.708023
"73",69.860001,70.07,69.330002,69.910004,185600,66.603256
"74",70.18,70.769997,70.019997,70.529999,218500,67.193901
