"","MSCI.Open","MSCI.High","MSCI.Low","MSCI.Close","MSCI.Volume","MSCI.Adjusted"
"1",79.779999,79.790001,78.400002,78.709999,646000,74.764786
"2",79.080002,81.099998,79.080002,80.709999,849200,76.664566
"3",80.43,81.760002,80.43,81.639999,557500,77.547928
"4",81.790001,83.900002,81.790001,83.400002,597800,79.219711
"5",83.120003,83.519997,82.589996,82.68,668100,78.535782
"6",82.32,82.599998,81.089996,81.519997,558900,77.433945
"7",81.230003,81.559998,80.839996,81.519997,365500,77.433945
"8",81.139999,81.599998,79.889999,81.25,403200,77.177467
"9",81.75,82.739998,81.43,82.400002,426500,78.269844
"10",82.480003,82.730003,81.089996,81.099998,502600,77.034988
"11",81.720001,82.449997,80.379997,82.290001,705200,78.165337
"12",82.330002,82.620003,81.110001,81.160004,499900,77.092003
"13",81.480003,82.019997,81.32,81.75,345200,77.652412
"14",81.449997,82.239998,81.25,82.129997,471500,78.013344
"15",82.379997,82.75,81.529999,82.209999,555000,78.089348
"16",82.879997,83.110001,82.449997,82.720001,473300,78.573792
"17",82.639999,83.589996,81.989998,83.510002,825600,79.324196
"18",83.559998,83.830002,82.529999,82.760002,509200,78.611794
"19",82.379997,83.709999,81.32,83.610001,485700,79.419174
"20",83.639999,83.650002,82.440002,82.75,523600,78.602295
"21",83.199997,84.580002,82.620003,83.75,1071300,79.552155
"22",85.220001,90.849998,84.690002,88.910004,1723300,84.453529
"23",89.970001,93.699997,89.970001,91.650002,1640400,87.056198
"24",91.760002,93.510002,91.650002,93.07,1481800,88.405022
"25",93.669998,94.800003,92.330002,92.650002,921600,88.006081
"26",92.510002,93.169998,91.970001,92.610001,580600,87.968079
"27",92.610001,93.32,90.160004,90.330002,1591200,85.802361
"28",90.879997,92.389999,90.419998,91.220001,1110900,86.647743
"29",91.629997,92.93,91.480003,92.790001,637100,88.139046
"30",92.699997,96.330002,92.519997,93.949997,2281600,89.240898
"31",93.980003,95.080002,93.260002,94.580002,799600,90.107864
"32",94.68,95.5,93.559998,94.199997,481000,89.745857
"33",93.690002,94.57,92.18,94.269997,489200,89.812538
"34",94.050003,95.279999,93.919998,94.519997,622700,90.050705
"35",94.139999,95.650002,94,94.949997,534300,90.460381
"36",94.870003,95.169998,93.970001,94.989998,549500,90.498497
"37",94.339996,95.720001,94.059998,95.540001,501600,91.022469
"38",95.43,95.760002,94.589996,95.529999,445100,91.012955
"39",95.459999,95.459999,94.010002,94.589996,865600,90.117401
"40",95.07,96.5,95.010002,95.879997,840500,91.346397
"41",96,96.040001,94.699997,94.949997,634100,90.460381
"42",94.970001,95.720001,94.949997,95.440002,500500,90.927193
"43",94.959999,95.239998,94.580002,94.75,409900,90.269829
"44",94.839996,95.480003,94.720001,95.449997,454900,90.936745
"45",95.800003,95.800003,94.419998,94.459999,479100,89.993561
"46",94.830002,95.120003,93.709999,94.440002,457500,89.974487
"47",94.599998,95.019997,94.099998,94.870003,546200,90.384186
"48",95.459999,95.730003,94.68,95.300003,686100,90.793839
"49",95.010002,96.760002,94.75,96.330002,776500,91.775131
"50",108.510002,109.290001,96.699997,99.309998,7131300,94.614212
"51",99.330002,99.760002,97.440002,97.669998,1163600,93.051773
"52",97.489998,98.080002,97.07,97.330002,1185900,92.727844
"53",97.279999,97.989998,96.290001,97.419998,544600,92.813591
"54",97.919998,98.370003,95.150002,95.550003,620200,91.031998
"55",95.809998,97.410004,95.059998,96.110001,608300,91.565552
"56",96.120003,98.25,95.959999,97.120003,470500,92.527779
"57",97.199997,98.459999,96.43,97.440002,439600,92.832642
"58",96.519997,97.239998,96.029999,96.620003,458000,92.051414
"59",96.610001,97.32,96.18,96.610001,426900,92.041885
"60",96.440002,96.82,96.099998,96.400002,278700,91.841827
"61",96.290001,96.910004,96.150002,96.709999,194300,92.137177
"62",96.559998,97.93,96.279999,97.190002,428300,92.594444
"63",97.470001,98.239998,96.349998,96.760002,410400,92.184799
