"","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"1",45.096233,45.342258,44.343098,44.962341,1930045,44.129066
"2",45.288704,45.631798,45.163181,45.397491,1777085,44.556149
"3",45.464436,45.774059,44.945606,45.138077,1708850,44.301537
"4",45.104603,45.355648,44.677822,45.079498,1505700,44.244049
"5",45.205021,45.355648,44.845188,44.962341,888244,44.129066
"6",44.962341,45.25523,44.753139,45.02092,1567362,44.186558
"7",45.004185,45.087868,44.569038,44.903767,4411582,44.071568
"8",44.74477,45.096233,44.652721,44.912132,2426089,44.079792
"9",45.523014,46.158997,45.523014,45.824268,1720083,44.975014
"10",45.556484,45.631798,44.912132,45.29707,1475706,44.457584
"11",45.280334,45.523014,45.062763,45.305439,1608590,44.465805
"12",45.380753,45.75732,45.188286,45.414227,981215,44.572571
"13",45.539749,45.75732,45.364017,45.623432,2178366,44.777908
"14",45.456066,45.866108,44.845188,45.280334,1640496,44.44117
"15",45.447701,46.016735,45.26276,45.774059,2044048,44.925747
"16",45.974895,46.309624,45.774059,46.167362,2098301,45.311756
"17",46.025105,46.845188,45.824268,46.602509,2746827,45.738842
"18",46.635983,46.861923,46.485355,46.803349,1874597,45.935947
"19",46.803349,46.803349,45.815899,46.393307,1876867,45.533516
"20",46.225941,46.476986,45.949791,46.284519,2142396,45.426743
"21",46.418411,46.569038,45.861923,46.133892,1385842,45.2789
"22",45.857742,46.443516,45.606693,46.200836,2264764,45.344616
"23",46.493725,47.405857,46.083683,46.878662,1729643,46.009876
"24",46.610878,46.811714,46.451881,46.70293,1051122,45.837395
"25",46.861923,46.962341,46.493725,46.560669,2268110,45.697773
"26",46,47.188286,45.928032,47.01255,5530699,46.141273
"27",46.995815,47.824268,46.995815,47.715481,1348319,46.831181
"28",47.857742,48.050209,47.430962,47.824268,1494706,46.93795
"29",48.083683,48.569038,48.016735,48.142258,1419421,47.250046
"30",48.117153,48.142258,47.631798,47.941422,1205277,47.052937
"31",47.899582,48.326359,47.766525,48.184101,1221290,47.291111
"32",48.251045,48.736401,47.53138,48.025105,1338878,47.135067
"33",48.04184,48.301254,47.807529,48.27615,1077890,47.381458
"34",48.27615,48.74477,48.142258,48.644352,1856074,47.742844
"35",48.343098,48.677822,48.158997,48.27615,1122822,47.438587
"36",48.543934,48.661087,47.799164,47.916317,1218064,47.084991
"37",47.774059,48.451881,47.472801,48.359833,2206807,47.520813
"38",48.23431,48.435146,48.092049,48.24268,1065462,47.405697
"39",48.259415,48.443516,47.95816,48.24268,1970197,47.405697
"40",48.719666,49.573223,48.602509,49.29707,1716259,48.441795
"41",49.29707,49.380753,48.803349,49.062763,2322602,48.211555
"42",49.046024,49.271969,48.845188,49.146442,1718888,48.293777
"43",48.803349,49.087868,48.539749,48.811714,1872804,47.964859
"44",48.845188,48.995815,48.543934,48.70293,1989197,47.85796
"45",48.711296,48.928871,48.552299,48.677822,1542148,47.833279
"46",48.602509,48.928871,48.393307,48.552299,1563180,47.709942
"47",48.769875,48.995815,48.518829,48.794979,1456825,47.94841
"48",48.912132,49.347279,48.610878,49.179916,1880452,48.326679
"49",48.937237,49.079498,48.74477,48.995815,1136445,48.145771
"50",49.188286,50.108788,49.188286,49.95816,2131761,49.091408
"51",49.983265,50.142258,49.707111,49.799164,1706580,48.935177
"52",49.983265,50.054394,49.740585,49.857742,2304558,48.992725
"53",49.874477,50.083683,49.338913,49.372383,1754021,48.5158
"54",49.606693,49.76569,48.820084,48.962341,2218518,48.112873
"55",48.962341,49.221756,48.778244,48.945606,1985015,48.096436
"56",48.794979,49.238495,48.778244,48.97908,1260128,48.129314
"57",50.359833,50.359833,49.322178,49.631798,2164384,48.770718
"58",49.138077,49.623432,48.661087,49.439331,1127124,48.581585
"59",49.405857,50.016735,49.163181,49.866108,977391,49.00095
"60",50.092049,50.552299,49.799164,49.916317,1644679,49.050293
"61",49.974895,50.200836,49.748955,49.891212,1380703,49.02562
"62",49.849373,50.543934,49.690376,50.393307,1458737,49.519009
"63",50.393307,50.753139,49.824268,50.317993,2292010,49.445004
"64",50.309624,50.460251,50.046024,50.225941,1809708,49.354549
"65",50.426777,50.870293,50.259415,50.418411,1660931,49.543674
"66",50.435146,50.861923,50.334728,50.686192,860281,49.80682
"67",50.694561,50.794979,50.50209,50.602509,623073,49.724583
"68",50.627617,51.138077,50.602509,51.046024,1463397,50.160393
