"","BBWI.Open","BBWI.High","BBWI.Low","BBWI.Close","BBWI.Volume","BBWI.Adjusted"
"1",52.837509,54.1633,52.837509,53.823769,3473991,44.32692
"2",54.1633,55.327404,54.1633,54.438156,3990933,44.832905
"3",52.263542,52.473728,49.312855,50.153599,10058666,41.304325
"4",49.74131,49.959579,49.320938,49.498787,5098296,40.765041
"5",49.417946,50.064674,49.037994,49.555374,3139753,40.811653
"6",49.361359,50.388035,49.167339,49.595795,2583846,40.84494
"7",49.547291,49.773647,48.94907,49.531124,2997870,40.791683
"8",49.288601,49.46645,48.585285,49.078415,2836070,40.418846
"9",48.908649,49.329021,48.544868,49.062248,2629615,40.40554
"10",49.191593,50.315277,49.191593,49.426029,2940596,40.705128
"11",49.450283,50.080841,48.625706,50.016167,3521986,41.191139
"12",49.975746,50.121262,48.746967,49.24818,2945544,40.558666
"13",49.337105,49.781731,49.126919,49.587711,2608709,40.838284
"14",49.539207,49.76556,49.029911,49.4422,2350919,40.718445
"15",49.717056,50.032337,49.498787,49.749393,2509873,40.971439
"16",49.935326,50.315277,49.797897,50,2161534,41.17783
"17",50.016167,50.169765,49.264351,49.523041,3364269,40.78503
"18",49.660469,49.838318,47.493938,47.704124,4630957,39.287048
"19",47.663704,47.881973,47.210995,47.461601,6096926,39.087315
"20",47.049313,48.706547,47.033146,48.674213,5507495,40.085972
"21",48.779305,48.827808,47.364594,47.534355,4124282,39.147228
"22",47.308002,48.876312,46.467258,47.922394,5152847,39.466808
"23",48.011318,48.512531,47.518188,48.164913,2358712,39.666534
"24",48.116409,48.350849,47.542442,47.817299,2292780,39.380245
"25",47.995152,48.189167,47.049313,47.113983,2907197,38.801033
"26",47.235249,47.566692,46.968472,47.421181,3426737,39.05402
"27",47.421181,48.423607,47.283752,47.631367,4481280,39.227119
"28",47.671787,48.407436,47.267582,47.631367,4143455,39.227119
"29",47.995152,48.237671,46.701698,46.742119,3931928,38.494774
"30",46.725948,47.453518,46.564266,47.000809,4752678,38.707829
"31",46.637024,47.194824,46.515762,47.065479,3930320,39.165264
"32",47.097816,47.308002,46.200485,46.467258,3678838,38.667458
"33",45.974133,46.499596,45.2789,46.491512,4782613,38.687641
"34",46.790623,47.493938,46.426838,46.645107,5284464,38.815456
"35",46.645107,47.14632,46.232822,46.992725,7509580,39.104717
"36",40.824577,41.228779,38.746967,39.563461,34384765,32.922504
"37",39.385609,41.697655,39.24818,41.220695,13244930,34.301571
"38",41.002426,42.667744,40.840744,42.352467,7674101,35.243366
"39",42.352467,42.603073,41.721909,42.538399,6084061,35.398083
"40",42.789005,42.999191,42.126114,42.700081,5000201,35.532623
"41",43.047695,43.419563,42.683914,43.17704,6794470,35.929523
"42",43.039612,43.225548,41.738075,42.312046,4017529,35.209724
"43",42.126114,42.263542,41.374294,41.58448,4844216,34.604286
"44",41.406628,41.818916,40.420372,40.5578,4429079,33.749939
"45",40.476959,41.333874,40.355698,41.156021,4607701,34.247742
"46",41.034763,41.220695,40.29911,40.468876,3310831,33.675938
"47",40.79224,40.881165,40.363785,40.662895,4205800,33.837391
"48",40.662895,41.333874,40.032337,40.29911,4964947,33.534676
"49",40.088924,40.759903,40.016167,40.53355,2868232,33.729759
"50",40.468876,41.123688,40.169765,40.970089,3967430,34.093018
"51",40.994343,41.212612,40.226353,40.396118,4810075,33.615391
"52",41.156021,41.447048,40.79224,41.374294,12728483,34.429386
"53",41.430882,41.463219,40.468876,40.79224,4379104,33.945026
"54",40.962006,40.978172,39.215843,39.757477,5245499,33.083954
"55",39.240097,39.361359,38.270008,38.69038,6179434,32.195976
"56",38.746967,39.005657,38.577202,38.860146,3605360,32.337242
"57",38.932903,38.965237,38.189167,38.375099,3059720,31.93362
"58",38.140663,38.876312,37.93856,38.552952,4791396,32.081615
"59",38.334682,38.666126,37.801132,38.617622,5267765,32.135433
"60",38.569118,39.531124,38.504444,39.062248,3773963,32.505424
"61",38.884399,39.054165,38.261925,38.407436,5466550,31.960522
"62",38.544868,38.973324,38.019402,38.075989,4450479,31.68471
"63",38.075989,38.164913,36.992725,37.025063,6080721,30.810192
"64",36.483429,36.499596,35.222313,35.383995,10426302,29.44459
"65",35.569927,35.650768,34.793858,34.842361,8323031,28.993868
"66",36.984638,38.803558,36.919968,38.682297,18381696,32.189247
"67",38.561035,39.013744,37.833469,38.181084,9151697,31.772165
"68",38.173,39.013744,38.124496,38.399353,4427347,31.953796
"69",38.439774,38.779305,38.003235,38.763138,4519008,32.256519
"70",38.334682,38.763138,38.13258,38.64996,3413502,32.162334
"71",38.536781,38.682297,38.229588,38.367016,3654593,31.926889
"72",38.439774,38.706547,38.278091,38.658043,3004673,32.169064
"73",38.520615,38.860146,38.15683,38.617622,2547354,32.135433
"74",38.746967,39.514957,38.698463,39.20776,3423521,32.626507
"75",39.611965,40.679062,39.611965,40.145512,4158176,33.40686
"76",40.088924,40.404205,39.749393,40.291027,3796477,33.527946
"77",40.719482,41.05093,40.242523,40.978172,6153580,34.099743
"78",41.026676,41.261116,40.638641,40.905415,3403606,34.039207
"79",41.754246,42.279709,41.455132,42.045273,5100027,34.987736
"80",42.037186,42.530315,41.924011,42.190784,4618340,35.108818
"81",42.109943,42.748585,41.932095,42.691998,6192669,35.525898
"82",42.772839,42.845592,41.762329,41.964432,4242910,34.92046
"83",42.021019,42.667744,41.713825,42.627323,4053896,35.472084
"84",42.570736,43.007275,42.279709,42.934521,7118935,35.727711
"85",41.317703,41.503639,39.676636,39.967663,9954386,33.258862
"86",40.242523,41.30962,39.935326,41.293453,5081596,34.362114
"87",41.398544,42.223122,41.228779,42.08569,5827136,35.021362
"88",42.06144,42.886017,41.907841,42.764751,4278288,35.586437
"89",42.724335,43.387226,42.635406,43.17704,3299203,35.929523
"90",42.805176,42.950687,40.77607,41.107517,4770243,34.207386
"91",40.953922,41.042847,39.838318,40.056587,6712457,33.332855
"92",40.266773,40.889248,39.927242,40.032337,4077276,33.312679
"93",39.603882,39.733227,38.932903,39.037994,5477560,32.485237
"94",39.037994,39.312855,38.41552,39.126919,7716653,32.559238
"95",41.859337,42.950687,39.797897,40.169765,10699060,33.427036
"96",40.396118,40.525463,38.593372,39.603882,5865730,32.956142
"97",39.76556,40.889248,39.628132,40.703316,3991923,33.871021
"98",40.711399,40.881165,40.347614,40.541634,3372928,33.736488
"99",40.638641,40.654812,40.024254,40.080841,2612915,33.353039
"100",40.509296,41.099434,40.105091,40.638641,3295615,33.817207
"101",40.711399,41.018593,40.113178,40.832661,2669075,33.978664
"102",40.824577,41.463219,40.582054,41.422798,4517895,34.469742
"103",40.921585,41.762329,40.476959,41.713825,6292124,35.123196
"104",41.899757,43.047695,41.786579,42.708164,5402474,35.960423
"105",42.627323,42.789005,41.899757,42.40097,3674137,35.701771
"106",42.287792,42.312046,41.681488,41.932095,3335942,35.306984
"107",41.649151,41.794666,40.315277,40.670979,4723113,34.24511
"108",40.695229,41.422798,40.5578,41.366207,2863160,34.830498
"109",41.366207,41.84317,40.670979,40.79224,2702969,34.347218
"110",41.018593,42.554569,40.735649,42.279709,3174142,35.599667
"111",42.344383,44.648342,42.344383,43.500404,5824909,36.627502
"112",43.532742,43.71059,42.780922,43.338722,1799340,36.491364
"113",43.338722,43.338722,42.077606,42.716248,3025949,35.967239
"114",42.514149,42.797089,41.414715,42.093777,3500957,35.443115
"115",41.940178,42.215034,40.622475,41.681488,4742411,35.095959
"116",41.891674,41.948261,40.590137,41.932095,2929340,35.306984
"117",41.932095,42.392887,40.937752,42.376717,4425244,35.681351
"118",42.312046,42.611156,41.35004,41.616814,2772241,35.041512
"119",41.616814,43.306385,41.406628,42.724335,3077409,35.974056
"120",42.627323,43.274052,42.368633,43.217461,3671663,36.389263
"121",43.225548,43.807598,43.201294,43.419563,1918092,36.559433
"122",43.443817,44.470493,43.443817,43.985451,3253557,37.035919
"123",44.058205,44.745354,43.791431,43.864189,2690475,36.933811
"124",44.171383,44.607922,43.298302,43.807598,2889385,36.886166
"125",44.033955,44.211803,43.403397,43.565079,4264681,36.681957
"126",43.936943,45.028294,43.896523,44.923203,1537467,37.825497
"127",44.931286,45.254646,43.322556,43.742928,4602011,36.831699
"128",40.088924,40.371868,37.348423,37.582863,17708768,31.644915
"129",37.760712,38.253841,36.313663,36.467258,12550973,30.70557
"130",36.394505,36.491512,35.440582,35.691189,9015256,30.052111
"131",35.691189,35.8367,35.04446,35.400162,5859793,29.807062
"132",35.755859,35.81245,35.125301,35.707355,4642956,30.065727
"133",35.966045,36.831043,35.909458,36.685532,5315884,30.889345
