"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"604",80.529999,80.580002,78.190002,78.349998,2047000,75.11586
"605",78.349998,78.93,77.459999,78.32,802800,75.087105
"606",77.550003,78.349998,77.07,77.860001,841900,74.64608
"607",78.120003,81.07,78.120003,80.370003,1357500,77.052483
"608",81.290001,82.879997,81,82.209999,1891500,78.816528
"609",82.860001,83.190002,81.019997,81.650002,1145400,78.27964
"610",81.550003,82.459999,81.540001,81.75,1412900,78.375511
"611",82.330002,83.669998,81.959999,83.480003,1232200,80.034103
"612",83.629997,85.480003,83.580002,84.769997,1418000,81.270844
"613",85,85.269997,84.449997,84.720001,1253900,81.222916
"614",84.669998,85.410004,84.269997,85.379997,1136000,81.855682
"615",85.599998,86.68,85.309998,86.440002,1022700,82.871925
"616",86.699997,86.989998,84.839996,85.050003,1003800,81.539307
"617",85.459999,85.610001,84.389999,85.339996,1058800,81.817314
"618",85.940002,87.099998,85.139999,85.449997,915500,81.922783
"619",85.739998,86.790001,85.529999,86.059998,1377300,82.507614
"620",86.970001,86.970001,84.360001,85.559998,1880400,82.028244
"621",85.379997,85.489998,84.25,84.459999,2403100,80.973656
"622",84.599998,85.139999,82.889999,83.519997,2042900,80.072456
"623",83.870003,85.150002,83.120003,84.279999,1699400,80.801094
"624",84.349998,84.839996,83.25,83.779999,1067600,80.321724
"625",84.389999,86.529999,83.900002,85.629997,1137500,82.095352
"626",85.830002,86.260002,85.059998,85.260002,1565400,81.740639
"627",85.779999,85.910004,84.650002,85.589996,1193700,82.057007
"628",85.589996,86.050003,84.519997,85.459999,1043700,81.932373
"629",86.110001,88.779999,86.080002,87.589996,1066500,83.974449
"630",87.400002,88.860001,86.580002,87.970001,710400,84.338768
"631",87.620003,88.059998,86.540001,87.830002,968700,84.204552
"632",87.419998,88.75,87.169998,88.230003,1121500,84.588036
"633",88.830002,89.769997,88.099998,89.300003,1542400,85.613861
"634",91.760002,94.199997,89.790001,90.529999,2191200,86.793091
"635",90.400002,91.300003,88.870003,89.849998,1495000,86.141159
"636",90.010002,90.400002,88.959999,89.93,810000,86.217857
"637",89.870003,89.900002,88.760002,89,942800,85.326241
"638",88.389999,88.519997,84.620003,85.459999,2198400,81.932373
"639",85.480003,87,84.550003,86.760002,1189500,83.178719
"640",86.639999,86.639999,85.089996,85.519997,928300,81.989899
"641",85.849998,86.18,84.93,85.050003,840300,81.539307
"642",85.269997,86.160004,84.769997,85.809998,812500,82.267921
"643",86.010002,87.040001,85.599998,86.889999,757400,83.303352
"644",87.230003,87.620003,85.540001,85.93,595900,82.38298
"645",86.260002,86.690002,85.589996,86.120003,723400,82.565132
"646",86.110001,87.260002,86.099998,87.230003,803000,83.629311
"647",86.5,89.010002,85.480003,88.720001,1414300,85.057808
"648",88.720001,88.730003,85.529999,87.150002,1503100,83.552628
"649",90.879997,94.75,90.580002,91.699997,3230300,87.914803
"650",91.949997,92.889999,88.699997,90.440002,1252700,86.706802
"651",89.580002,90.860001,87.82,88.699997,1392200,85.038628
"652",89.300003,90.989998,82.650002,84.110001,4485000,80.638107
"653",83.779999,86.040001,81.800003,85.849998,1998900,82.306274
"654",85.800003,88.389999,85.480003,87.889999,1446000,84.262062
"655",87.940002,88.169998,86.540001,87.449997,898800,83.840233
"656",87.370003,87.870003,86.550003,87.379997,906700,83.773109
"657",87.610001,89.959999,86.949997,89.260002,1411500,85.575523
"658",88.480003,88.480003,86.139999,86.339996,1368800,82.776039
"659",86.43,86.879997,85.339996,85.970001,1098500,82.421326
"660",86.150002,87.900002,85.339996,87.339996,811800,84.12619
"661",88.209999,88.970001,87.629997,87.75,904000,84.521103
"662",88.040001,88.610001,86.220001,86.300003,1017800,83.124466
"663",86.440002,87.580002,86.230003,86.32,1033200,83.14373
"664",86.559998,87.120003,85.330002,85.550003,1008300,82.402061
"665",85.459999,86.400002,83.099998,83.540001,1177000,80.466019
"666",84.410004,85.919998,84.099998,85.900002,1183900,82.739189
"667",85.940002,86.589996,81.199997,81.279999,1848300,78.289185
"668",81.029999,82.029999,80.410004,81.010002,1918000,78.029106
"669",81.830002,82.769997,81.129997,81.910004,1179400,78.896004
"670",82.300003,82.489998,81.610001,82.269997,1091700,79.242729
"671",81.870003,84.5,81.559998,84.040001,1613400,80.947609
"672",84.360001,85.449997,84.339996,85.18,848400,82.04567
"673",86.290001,87.169998,85.790001,86.040001,935200,82.874031
"674",86.120003,86.610001,85.559998,86.32,963900,83.14373
"675",86.309998,87.57,86.160004,87.129997,1231500,83.923912
"676",86.459999,86.82,84.230003,85.879997,1895200,82.719917
"677",86.050003,88.459999,85.330002,87.790001,1026100,84.559647
"678",87.879997,88.230003,84.519997,84.639999,1118900,81.525543
"679",85.190002,86.330002,82.949997,83.419998,1262200,80.350426
"680",82.68,83.889999,82.370003,83.790001,1120900,80.706833
"681",84.169998,84.559998,83.150002,83.18,1049900,80.11927
"682",83.279999,83.279999,81.910004,83,1392700,79.945885
"683",83.25,85.199997,82.849998,84.629997,1315100,81.515892
"684",84.949997,86.459999,84.760002,85.120003,2180200,81.987885
"685",84.870003,85.260002,83.290001,83.849998,920100,80.76461
"686",84.230003,85.129997,82.519997,82.699997,910300,79.656921
"687",82.169998,84.07,82.169998,83.230003,881900,80.167435
"688",83.43,83.870003,80.860001,82,943300,78.982689
"689",82.330002,82.360001,80.43,80.940002,1400300,77.961708
