"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"1",74.339996,74.550003,73.650002,74.550003,451500,66.985718
"2",74.660004,75.790001,74.660004,74.970001,663700,67.363091
"3",74.889999,75.5,74.010002,74.599998,398700,67.030624
"4",74.360001,74.599998,74.010002,74.169998,510500,66.644264
"5",74.330002,74.330002,73.150002,73.209999,318500,65.78167
"6",73.239998,73.540001,72.540001,73.290001,459000,65.853561
"7",73.080002,74.089996,73.080002,74.089996,338500,66.572372
"8",74.010002,74.739998,73.209999,74.510002,490700,66.949753
"9",74.260002,75.089996,74.25,74.860001,391200,67.264259
"10",75.209999,75.5,74.57,74.739998,343100,67.156418
"11",74.690002,75.779999,74.690002,75.239998,410900,67.605705
"12",74.75,75.400002,74.099998,74.260002,351800,66.725121
"13",74.32,74.849998,74.129997,74.709999,349300,67.129463
"14",74.769997,74.989998,74.089996,74.389999,296800,66.841927
"15",74.419998,75.290001,74.019997,75.139999,414400,67.515854
"16",74.779999,75.589996,74.699997,74.980003,443800,67.372078
"17",75.050003,75.879997,75,75.699997,368300,68.019012
"18",75.690002,76.139999,75.110001,75.339996,210800,67.695549
"19",75.059998,75.389999,74.449997,74.82,263200,67.22831
"20",74.900002,76.260002,74.709999,76.18,497400,68.45031
"21",75.690002,76.230003,74.300003,74.559998,346300,66.99469
"22",74.589996,75.220001,74.400002,75.080002,437200,67.461922
"23",75.57,75.940002,75.169998,75.879997,252800,68.180748
"24",76.139999,76.139999,75.07,75.239998,363700,67.605705
"25",75.169998,76.07,75.169998,75.970001,530100,68.261627
"26",75.870003,75.870003,72.580002,75.480003,814900,67.821342
"27",75.620003,75.989998,75.120003,75.150002,382000,67.524826
"28",75,75.529999,74.809998,75.449997,350000,67.79438
"29",75.540001,75.709999,75.120003,75.629997,228100,67.956116
"30",75.019997,75.650002,75.019997,75.239998,360100,67.605705
"31",74.489998,75.720001,74.470001,75.690002,306800,68.010048
"32",75.879997,76.209999,75.400002,75.900002,333200,68.198738
"33",75.730003,76.089996,75.07,76.040001,405600,68.324516
"34",75.660004,77.040001,75.620003,77.040001,425000,69.223053
"35",76.949997,77.459999,76.75,77.25,400400,69.411736
"36",77.07,77.889999,76.839996,77.779999,361700,70.297478
"37",77.75,78.559998,77.669998,78.18,314700,70.658989
"38",78.050003,78.410004,77.949997,78.269997,280500,70.740318
"39",78.239998,78.760002,77.889999,78.290001,532500,70.758423
"40",77.389999,78.82,76.089996,78.620003,409800,71.056656
"41",78.449997,79.190002,78.349998,78.839996,372000,71.25547
"42",78.839996,78.879997,77.900002,78.400002,344200,70.857819
"43",78.330002,78.330002,77.849998,78.129997,247100,70.613808
"44",77.949997,78.279999,77.790001,78.010002,278900,70.505341
"45",77.199997,77.730003,76.559998,76.629997,321300,69.258095
"46",76.860001,77.029999,76.169998,76.25,333000,68.914673
"47",76.879997,77.860001,76.529999,77.830002,466400,70.342651
"48",77.660004,78.160004,77.480003,78.139999,314000,70.622833
"49",78.120003,78.379997,77.809998,78.330002,415300,70.794556
"50",78.629997,80.360001,78.629997,79.949997,480200,72.258705
"51",79.989998,79.989998,79.059998,79.459999,384300,71.815857
"52",79.389999,80.239998,79.139999,79.93,1187600,72.240631
"53",80.029999,80.470001,78.559998,78.669998,298300,71.101845
"54",78.68,80.010002,78.57,79.900002,463200,72.213509
