"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"1",795.580017,802.150024,784.390015,791.460022,248800,791.460022
"2",789.940002,795.880005,786.799988,793.039978,187200,793.039978
"3",788.719971,795.98999,785.01001,792,243200,792
"4",791,796.73999,788.26001,792.909973,216500,792.909973
"5",795.72998,795.72998,788.390015,790.340027,127100,790.340027
"6",788.719971,797.159973,788.599976,793.679993,186400,793.679993
"7",796.159973,800,787.690002,792,170900,792
"8",788.349976,790.969971,781.700012,790.27002,213700,790.27002
"9",787.669983,793.299988,779.809998,779.809998,262100,779.809998
"10",780.26001,787.299988,780.26001,782.289978,278700,782.289978
"11",785.539978,785.669983,772.549988,778.299988,308000,778.299988
"12",775.070007,776.47998,767,769.900024,255500,769.900024
"13",771.200012,775,764.210022,770.02002,340400,770.02002
"14",753.599976,754.099976,730.98999,739.349976,700800,739.349976
"15",742.140015,746.5,735.409973,738.429993,354700,738.429993
"16",743.429993,744.280029,734.059998,735,391100,735
"17",736.169983,739.820007,729.820007,729.890015,361600,729.890015
"18",729.549988,731.210022,723.450012,730,320700,730
"19",728.450012,731.919983,723.340027,724.409973,339600,724.409973
"20",725.640015,726.549988,718.070007,724.97998,1938800,724.97998
"21",728.73999,729.559998,713.090027,714.98999,394200,714.98999
"22",714.23999,726.380005,713.440002,725.429993,457200,725.429993
"23",724.929993,731.590027,722.659973,724.719971,318800,724.719971
"24",723.640015,728.97998,720.059998,720.48999,299900,720.48999
"25",721.150024,726.47998,716.419983,721.659973,349700,721.659973
"26",720.5,743.140015,717.52002,741.059998,566500,741.059998
"27",741.059998,749.01001,739.349976,745.940002,444600,745.940002
"28",751.609985,751.609985,738.200012,740.650024,236400,740.650024
"29",741,741,733.190002,736.090027,173900,736.090027
"30",735,739.380005,732.099976,735.789978,267500,735.789978
"31",735,741.359985,734.140015,739.5,228400,739.5
"32",743.190002,744.890015,733.799988,737.359985,264800,737.359985
"33",737.659973,741.780029,734.140015,741.049988,231300,741.049988
"34",745,749.98999,736.710022,740.659973,319700,740.659973
"35",743.440002,744.909973,731.02002,735.330017,316600,735.330017
"36",734.070007,734.960022,726.119995,727.219971,347100,727.219971
"37",727,734.710022,723.330017,732.75,257000,732.75
"38",733.76001,740.849976,730.869995,740.849976,536900,740.849976
"39",732.640015,752.98999,732.289978,736.549988,603200,736.549988
"40",740.01001,748.909973,736.02002,738.969971,649200,738.969971
