"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"1",114.160004,114.910004,113.709999,114.559998,1645800,98.229973
"2",114.910004,115.43,114.760002,115.18,1846000,98.761597
"3",115.25,116.089996,114.599998,116.010002,1660300,99.473274
"4",116.010002,116.610001,115.43,116.43,1829300,99.833405
"5",115.519997,116,114.639999,114.639999,1883900,98.298546
"6",114.5,114.629997,113.970001,114.360001,2521100,98.058472
"7",114.110001,114.830002,114.110001,114.410004,1489200,98.101349
"8",114.260002,114.589996,113.980003,114.459999,1236800,98.144218
"9",114.190002,114.889999,114.190002,114.589996,1032400,98.255699
"10",114.879997,116.059998,114.57,116.029999,1567900,99.490425
"11",115.839996,116.779999,115.839996,116.400002,2015200,99.807678
"12",116.400002,116.449997,115.620003,115.900002,2200200,99.37896
"13",116.699997,117.169998,115.5,116.220001,2056100,99.653336
"14",115.919998,117.050003,115.919998,116.980003,2626700,100.305008
"15",118.449997,122.029999,118.260002,121.790001,4207100,104.429375
"16",121.410004,122.839996,121.400002,122,3447500,104.609428
"17",121.889999,122.639999,121.440002,122.150002,2675500,104.738045
"18",122,122.089996,120.650002,120.980003,1634000,103.73484
"19",121.419998,121.419998,120.199997,120.589996,2031900,103.400398
"20",120.669998,121.720001,120.510002,121.129997,2862800,103.863449
"21",120.519997,121.580002,120.379997,121.010002,1952600,103.760544
"22",121.440002,122.129997,121.18,121.410004,1347900,104.103523
"23",121.760002,122.32,121.029999,121.540001,1591800,104.214981
"24",121.059998,121.82,120.849998,121.239998,1400000,103.957764
"25",121.5,122.900002,120.889999,122.449997,2243100,104.99527
"26",122.449997,123.019997,122.120003,122.93,1840300,105.406868
"27",122.75,124.330002,122.610001,123.580002,2439500,105.964203
"28",123.32,123.839996,123.050003,123.550003,1036000,105.938484
"29",123.82,123.860001,123.190002,123.43,1255100,105.835571
"30",123.589996,123.589996,121.779999,122.879997,1872300,105.363976
"31",123.459999,124.68,122.959999,124.410004,1710100,106.675865
"32",124.410004,126.720001,123.709999,126.620003,2741600,108.570877
"33",127.699997,132.190002,126.779999,131.929993,6657000,113.123947
"34",130.850006,134.979996,130.850006,134.639999,3755000,115.447624
"35",133.889999,136.210007,133.130005,134.830002,3160200,115.610588
"36",134.940002,135.690002,133.929993,134.339996,1755600,115.190407
"37",133.869995,134.559998,132.860001,133.660004,2785200,114.607323
"38",132.75,133.440002,131.320007,132.630005,1771500,113.724174
"39",132.679993,133.309998,132.179993,132.550003,2388700,113.655563
"40",132.839996,133.470001,132.479996,133.240005,1581900,114.247215
"41",133.039993,134.75,132.259995,134.5,1609200,115.327606
"42",134.050003,134.220001,132.919998,133.649994,1439400,114.598755
"43",133.110001,133.800003,133.080002,133.330002,1820700,114.324402
"44",133.410004,134.089996,133.160004,133.380005,2143500,114.367249
"45",131.929993,132.809998,131.929993,132.350006,2152500,114.315453
"46",132.220001,132.979996,132.080002,132.710007,1471900,114.626381
"47",132.710007,133.919998,132.320007,133.889999,2159500,115.645592
"48",133.550003,134.139999,133.039993,133.740005,2032000,115.516014
"49",133.710007,134.300003,133.300003,133.539993,1139100,115.343285
"50",133.679993,135.220001,133.5,135,1523000,116.604332
"51",134.679993,135.050003,134.009995,134.529999,1847900,116.198387
"52",134.619995,135.130005,133.089996,133.259995,5274800,115.101425
"53",133.460007,134.160004,133.330002,133.740005,2100100,115.516014
"54",134.100006,134.160004,133.360001,133.679993,2189100,115.464195
"55",134.160004,134.339996,132.399994,132.839996,1968700,114.738655
"56",132.800003,133.759995,132.559998,133.029999,1575800,114.902771
"57",133.199997,133.25,132.149994,132.449997,1557400,114.40184
"58",132.089996,132.850006,131.479996,132.360001,1953500,114.324081
"59",131.910004,133.240005,131.830002,132.729996,1257400,114.643646
"60",132.369995,133.110001,132.259995,132.529999,834500,114.470901
"61",132.669998,132.899994,131.940002,132.240005,854700,114.220421
"62",132.149994,132.550003,131.600006,131.630005,1059300,113.693535
"63",132.039993,132.350006,131.139999,131.509995,1259700,113.589897
"64",131.710007,132.300003,131.100006,132.220001,1944300,114.203148
"65",132.419998,132.960007,131.539993,131.699997,1170900,113.754013
"66",131.779999,132.110001,131,131.110001,1060700,113.2444
"67",131.279999,132.25,131.110001,131.330002,1336300,113.43441
"68",131.479996,132.410004,131.240005,131.919998,1336700,113.944031
"69",131.899994,132.75,131.669998,132.630005,1127000,114.557297
"70",132.800003,133.389999,132.259995,133.100006,1905800,114.963234
"71",133.029999,133.100006,132.139999,132.669998,1284500,114.59182
"72",132.839996,133.550003,132.839996,133.369995,1200200,115.196426
"73",132.919998,134.240005,132.619995,133.910004,2158900,115.662865
"74",133.820007,134.199997,132.949997,133.190002,1423000,115.040993
"75",133.139999,133.190002,131.110001,131.229996,2697400,113.348015
"76",130.580002,131.410004,129.410004,129.960007,3230700,112.251114
"77",127.489998,130.949997,127.18,130.399994,3495900,112.631157
"78",131.470001,132.869995,130.699997,132.820007,2725500,114.721397
"79",132.570007,132.570007,130.070007,130.130005,2147000,112.397949
"80",130.259995,130.910004,129.690002,130,1348900,112.285667
"81",129.520004,130,128.25,129.75,2340400,112.069717
"82",129.350006,130.589996,129.210007,129.559998,1286900,111.905602
"83",129.589996,130.130005,126.580002,126.739998,2568500,109.469872
"84",126.43,126.919998,125.550003,126.769997,3076500,109.495773
"85",126.769997,128.25,126.5,128.190002,1845600,110.72229
"86",128.580002,128.919998,128.100006,128.589996,1202700,111.067787
"87",128.339996,128.889999,127.809998,128.320007,1197300,110.834587
"88",128.389999,128.800003,128.080002,128.210007,2234600,110.739571
"89",128.25,129.419998,128.029999,129.149994,1397600,111.551468
"90",128.809998,128.960007,127.389999,128.110001,1497200,110.653206
"91",127.43,128.240005,127.43,127.989998,1365200,110.549545
"92",128.089996,128.479996,127.889999,128,997400,110.558182
"93",128.169998,128.600006,127.410004,127.419998,1408900,110.057205
