"","ENPH.Open","ENPH.High","ENPH.Low","ENPH.Close","ENPH.Volume","ENPH.Adjusted"
"1",1.02,1.05,1.01,1.05,445900,1.05
"2",1.09,1.15,1.05,1.15,903000,1.15
"3",1.19,1.19,1.11,1.12,308700,1.12
"4",1.12,1.14,1.08,1.11,259700,1.11
"5",1.1,1.11,1.08,1.11,180000,1.11
"6",1.09,1.13,1.09,1.13,378400,1.13
"7",1.35,1.45,1.28,1.44,3789200,1.44
"8",1.44,1.44,1.3,1.36,1082700,1.36
"9",1.36,1.69,1.33,1.54,2873900,1.54
"10",1.56,1.85,1.5,1.65,3091300,1.65
"11",1.68,1.99,1.66,1.89,2999500,1.89
"12",1.93,1.99,1.6,1.78,2147800,1.78
"13",1.76,1.9,1.7,1.85,693400,1.85
"14",1.88,1.9,1.68,1.7,1030100,1.7
"15",1.69,1.7,1.59,1.66,894300,1.66
"16",1.66,1.76,1.66,1.71,852000,1.71
"17",1.68,1.71,1.61,1.64,568800,1.64
"18",1.6,1.68,1.56,1.6,671500,1.6
"19",1.57,1.6,1.45,1.49,818200,1.49
"20",1.45,1.54,1.45,1.49,1340100,1.49
"21",1.5,1.54,1.46,1.51,394400,1.51
"22",1.5,1.53,1.45,1.47,310100,1.47
"23",1.44,1.47,1.43,1.43,713000,1.43
"24",1.39,1.43,1.38,1.42,400300,1.42
"25",1.4,1.47,1.4,1.45,523500,1.45
"26",1.42,1.59,1.41,1.54,1238700,1.54
"27",1.56,1.65,1.55,1.56,1104400,1.56
"28",1.58,1.63,1.55,1.56,1270800,1.56
"29",1.56,1.59,1.47,1.51,826300,1.51
"30",1.52,1.53,1.47,1.5,772100,1.5
"31",1.52,1.61,1.52,1.6,1097000,1.6
"32",1.61,1.63,1.54,1.61,950800,1.61
"33",1.65,1.67,1.59,1.64,1206500,1.64
"34",1.69,1.73,1.65,1.69,1602300,1.69
"35",1.7,1.72,1.61,1.61,990000,1.61
"36",1.61,1.69,1.61,1.69,485100,1.69
"37",1.69,1.89,1.65,1.86,1467600,1.86
"38",1.9,2.03,1.83,1.9,1593600,1.9
"39",1.85,1.91,1.73,1.79,1316400,1.79
"40",1.55,1.68,1.5,1.61,4192100,1.61
"41",1.59,1.61,1.49,1.53,980000,1.53
"42",1.55,1.56,1.45,1.47,846300,1.47
"43",1.45,1.48,1.33,1.36,1349700,1.36
"44",1.33,1.35,1.27,1.28,926000,1.28
"45",1.26,1.33,1.21,1.22,851400,1.22
"46",1.23,1.26,1.14,1.14,1341600,1.14
"47",1.14,1.35,1.14,1.33,1642400,1.33
"48",1.34,1.35,1.22,1.23,639000,1.23
"49",1.22,1.34,1.2,1.28,627300,1.28
"50",1.27,1.37,1.25,1.37,629700,1.37
"51",1.38,1.4,1.34,1.37,425600,1.37
"52",1.38,1.4,1.35,1.4,526400,1.4
"53",1.39,1.39,1.32,1.34,543900,1.34
"54",1.36,1.36,1.25,1.25,679900,1.25
"55",1.25,1.26,1.2,1.24,1151100,1.24
"56",1.24,1.27,1.22,1.24,510800,1.24
"57",1.23,1.27,1.22,1.24,391900,1.24
"58",1.25,1.28,1.24,1.24,482600,1.24
"59",1.25,1.26,1.21,1.25,357700,1.25
"60",1.25,1.3,1.25,1.3,384100,1.3
"61",1.29,1.37,1.29,1.35,408100,1.35
"62",1.36,1.39,1.32,1.37,504000,1.37
"63",1.39,1.4,1.36,1.37,241900,1.37
"64",1.38,1.4,1.35,1.4,235300,1.4
"65",1.4,1.4,1.28,1.29,275400,1.29
"66",1.3,1.37,1.27,1.35,344000,1.35
"67",1.35,1.37,1.3,1.36,249000,1.36
"68",1.35,1.38,1.33,1.35,301500,1.35
"69",1.34,1.41,1.3,1.34,468800,1.34
"70",1.39,1.39,1.32,1.34,357500,1.34
"71",1.34,1.36,1.3,1.31,252900,1.31
"72",1.3,1.37,1.29,1.31,440200,1.31
"73",1.32,1.32,1.21,1.26,597700,1.26
"74",1.26,1.3,1.18,1.19,723200,1.19
"75",1.2,1.25,1.16,1.18,801600,1.18
"76",1.19,1.24,1.17,1.23,486900,1.23
"77",1.25,1.28,1.23,1.28,290000,1.28
"78",1.28,1.3,1.25,1.29,340500,1.29
"79",1.27,1.29,1.25,1.27,213800,1.27
"80",1.26,1.27,1.23,1.24,222800,1.24
"81",1.22,1.24,1.19,1.19,568700,1.19
"82",1.19,1.22,1.18,1.2,255800,1.2
"83",1.2,1.24,1.1,1.23,799500,1.23
"84",1.22,1.25,1.14,1.16,684600,1.16
"85",1.2,1.21,1.12,1.12,582600,1.12
"86",1.14,1.16,1.11,1.16,481300,1.16
"87",1.19,1.19,1.12,1.17,360400,1.17
"88",1.17,1.18,1.13,1.15,622600,1.15
"89",1.05,1.15,1.05,1.06,1354500,1.06
"90",1.07,1.08,0.92,0.92,7973800,0.92
"91",0.9,0.93,0.8,0.83,2507700,0.83
"92",0.82,0.86,0.75,0.77,2988200,0.77
"93",0.76,0.8,0.73,0.77,1354700,0.77
"94",0.76,0.77,0.71,0.71,1110000,0.71
"95",0.7,0.71,0.65,0.7,754500,0.7
"96",0.71,0.74,0.71,0.72,941500,0.72
"97",0.74,0.8,0.73,0.78,2211800,0.78
"98",0.8,0.87,0.75,0.77,1431400,0.77
"99",0.77,0.77,0.7,0.73,491500,0.73
"100",0.74,0.74,0.71,0.73,340100,0.73
"101",0.72,0.74,0.7,0.72,414900,0.72
"102",0.7,0.75,0.7,0.75,728000,0.75
"103",0.75,0.79,0.74,0.76,1012300,0.76
"104",0.76,0.78,0.76,0.78,492000,0.78
"105",0.78,0.83,0.78,0.82,838700,0.82
"106",0.83,0.85,0.77,0.78,691400,0.78
"107",0.77,0.8,0.75,0.76,421700,0.76
"108",0.76,0.82,0.76,0.77,559800,0.77
"109",0.78,0.8,0.77,0.79,4e+05,0.79
"110",0.79,0.81,0.77,0.78,347100,0.78
"111",0.79,0.8,0.77,0.77,221500,0.77
"112",0.78,0.83,0.76,0.82,604200,0.82
"113",0.82,0.83,0.78,0.8,766800,0.8
"114",0.78,0.82,0.78,0.79,541000,0.79
"115",0.8,0.81,0.77,0.77,883700,0.77
"116",0.84,0.84,0.77,0.8,807300,0.8
"117",0.92,0.92,0.8,0.84,2122600,0.84
"118",0.83,0.84,0.8,0.83,689200,0.83
"119",0.82,0.87,0.81,0.87,952200,0.87
"120",0.87,0.89,0.83,0.89,535000,0.89
"121",0.88,0.88,0.85,0.85,545500,0.85
"122",0.85,0.87,0.83,0.85,676500,0.85
"123",0.83,0.87,0.76,0.87,754600,0.87
"124",0.85,0.87,0.82,0.85,263000,0.85
"125",0.85,0.87,0.83,0.87,434900,0.87
"126",0.87,0.87,0.85,0.86,95700,0.86
"127",0.86,0.86,0.81,0.82,290700,0.82
"128",0.8,0.84,0.8,0.82,270600,0.82
"129",0.85,0.85,0.78,0.8,326500,0.8
"130",0.79,0.84,0.79,0.83,380700,0.83
"131",0.82,0.85,0.78,0.79,864400,0.79
"132",0.83,0.83,0.8,0.82,573200,0.82
"133",0.81,0.82,0.79,0.81,382500,0.81
"134",0.82,0.83,0.81,0.82,539100,0.82
"135",0.83,0.84,0.79,0.8,656200,0.8
"136",0.79,0.82,0.79,0.8,431400,0.8
"137",0.8,0.82,0.79,0.8,690200,0.8
"138",0.8,0.85,0.8,0.84,2157500,0.84
"139",0.85,0.9,0.83,0.86,1241700,0.86
"140",0.87,0.9,0.86,0.89,1026500,0.89
"141",0.9,1.02,0.9,0.99,2114200,0.99
"142",1.03,1.07,0.96,1.01,1175500,1.01
"143",1,1.02,0.93,0.95,649800,0.95
"144",0.96,0.98,0.92,0.96,357300,0.96
"145",0.96,0.98,0.92,0.94,316600,0.94
"146",0.93,0.98,0.91,0.96,467300,0.96
"147",0.98,0.98,0.93,0.94,446500,0.94
"148",0.94,0.99,0.93,0.94,695800,0.94
"149",0.95,0.96,0.93,0.93,472100,0.93
"150",0.93,0.96,0.87,0.87,681500,0.87
"151",0.9,0.94,0.87,0.89,1013200,0.89
"152",0.95,1.12,0.9,0.93,3800900,0.93
"153",0.93,0.97,0.82,0.83,1101600,0.83
"154",0.83,0.85,0.81,0.82,928800,0.82
"155",0.81,0.84,0.81,0.82,581200,0.82
"156",0.83,0.84,0.78,0.78,602800,0.78
"157",0.77,0.84,0.76,0.82,661900,0.82
"158",0.8,0.85,0.8,0.82,487100,0.82
"159",0.84,0.9,0.8,0.87,1013700,0.87
"160",0.88,0.88,0.84,0.84,307200,0.84
"161",0.85,0.87,0.83,0.84,254000,0.84
"162",0.83,0.87,0.83,0.86,276600,0.86
"163",0.87,0.94,0.86,0.91,734700,0.91
"164",0.91,0.94,0.9,0.94,199900,0.94
"165",0.93,0.94,0.89,0.92,398700,0.92
"166",0.89,0.93,0.89,0.92,273400,0.92
"167",0.92,0.95,0.91,0.95,375900,0.95
"168",0.95,0.95,0.92,0.92,236500,0.92
"169",0.91,0.99,0.91,0.98,519300,0.98
"170",1,1.09,0.99,1.09,989000,1.09
"171",1.14,1.14,1.05,1.11,763400,1.11
"172",1.11,1.32,1.11,1.3,2059000,1.3
"173",1.3,1.31,1.23,1.3,956500,1.3
"174",1.29,1.3,1.17,1.25,584500,1.25
"175",1.23,1.3,1.21,1.21,536200,1.21
"176",1.21,1.35,1.21,1.29,905900,1.29
"177",1.28,1.34,1.27,1.3,342500,1.3
"178",1.3,1.53,1.3,1.53,2555900,1.53
"179",1.58,1.65,1.42,1.51,1671800,1.51
"180",1.5,1.53,1.37,1.51,711900,1.51
"181",1.51,1.67,1.47,1.52,1243500,1.52
"182",1.53,1.53,1.4,1.41,669400,1.41
"183",1.43,1.49,1.32,1.41,1194100,1.41
