"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"1",74.889999,75.75,74.739998,75.349998,5853900,69.956375
"2",75.260002,76.550003,75.059998,76.260002,4635800,71.103203
"3",76,76.18,74.82,75.32,3383000,70.226791
"4",75.400002,75.919998,75.059998,75.470001,3089600,70.366638
"5",76.139999,76.5,75.529999,75.860001,4818700,70.730263
"6",76.519997,78,76.120003,76.650002,9561400,71.466835
"7",76.669998,77.440002,76.099998,76.910004,4500200,71.709259
"8",76.830002,76.949997,75.839996,76.879997,4056700,71.68129
"9",76.93,77.629997,76.410004,76.620003,3454300,71.438858
"10",77.400002,77.699997,76.470001,76.599998,6450300,71.420219
"11",77.110001,77.610001,76.510002,77.489998,5988400,72.250031
"12",77.610001,77.779999,76.610001,76.690002,8111400,71.504128
"13",75.989998,76.910004,75.389999,76.199997,8465900,71.047264
"14",75.919998,76.480003,75.730003,75.970001,4444300,70.832825
"15",76.330002,77.660004,76.089996,77.43,4024300,72.194099
"16",78,78.019997,76.400002,76.889999,5278300,71.690605
"17",76.949997,77.459999,76.629997,76.93,3344900,71.727905
"18",77,77.300003,76.540001,76.849998,3530900,71.653305
"19",76.830002,77.32,76.540001,77.279999,5344500,72.054222
"20",76.860001,77.25,75.970001,76.379997,5568100,71.215096
"21",76.849998,77.440002,76.580002,76.760002,3916800,71.569405
"22",76.230003,76.889999,76.059998,76.510002,3655500,71.336288
"23",77.139999,78.419998,76.910004,78.040001,5235800,72.762848
"24",77.720001,78.410004,77.480003,77.82,3229500,72.557709
"25",78.059998,78.379997,77.519997,77.720001,2060200,72.464462
"26",77.540001,77.940002,77.080002,77.800003,2223100,72.53907
"27",77.800003,78.370003,77.669998,78.18,3031800,72.893379
"28",78.5,78.690002,78.230003,78.480003,2191200,73.173096
"29",78.82,79.18,78.480003,78.910004,3317100,73.574013
"30",79,79.449997,78.669998,79.410004,3511200,74.040215
"31",79.790001,80.099998,78.669998,79.599998,5704100,74.217346
"32",79.459999,79.599998,78.919998,79.510002,4295000,74.133423
"33",79.220001,79.779999,78.900002,79.709999,2690300,74.319916
"34",79.919998,80.449997,79.639999,79.970001,3505500,74.562332
"35",79.830002,79.970001,79.389999,79.860001,2943000,74.45977
"36",79.870003,80.449997,79.769997,80.050003,3339500,74.636917
"37",79.760002,79.889999,79.260002,79.760002,3932300,74.366554
"38",79.75,80.309998,79.589996,80.169998,2619400,74.748802
"39",80.120003,80.489998,79.769997,80.059998,4415300,74.646248
"40",81.050003,82,81.019997,81.919998,4746400,76.380455
"41",81.660004,81.660004,80.059998,80.099998,4409800,74.683548
"42",80.099998,80.660004,79.82,79.879997,4579600,74.478416
"43",79.5,79.68,79.089996,79.5,3670300,74.124123
"44",79.769997,80.019997,79.330002,79.580002,4433500,74.198708
"45",80,80.370003,78.970001,79.040001,4326800,73.695221
"46",79.190002,79.699997,78.809998,79.300003,4573500,73.93763
"47",79.379997,79.459999,78.879997,79.379997,3762800,74.012215
"48",79.379997,79.540001,79.059998,79.209999,3664300,73.853729
"49",78.959999,79.800003,78.830002,79.690002,3321400,74.301292
"50",79.849998,79.889999,78.989998,79.230003,4337200,73.872375
"51",79.470001,80.099998,79.389999,79.769997,3474800,74.375862
"52",79.919998,79.959999,78.980003,79.25,6672600,73.891006
"53",79.150002,79.599998,78.830002,78.849998,3099500,73.518082
"54",78.93,79.129997,77.32,77.529999,6804000,72.287331
"55",77.43,78.18,77.059998,77.669998,4877300,72.41787
"56",77.57,78.400002,77.510002,77.839996,4082900,72.576347
"57",78.110001,78.839996,77.870003,78.199997,4726800,72.912025
"58",77.209999,77.82,76.669998,77.599998,3835300,72.352608
"59",77.510002,78.860001,77.389999,78.639999,4235900,73.322266
"60",78.449997,79.339996,78.139999,78.25,2913600,72.958656
"61",78.199997,79.300003,78.089996,79.209999,2924100,73.853729
"62",78.93,79.43,78.800003,79.110001,5228400,73.76049
"63",79.169998,79.18,77.970001,78.589996,3022700,73.27565
"64",78.489998,78.610001,78.150002,78.260002,2563700,72.967964
"65",78.589996,79.029999,77.660004,77.760002,2858400,72.799454
"66",77.760002,78.300003,77.150002,77.919998,2914800,72.949226
"67",77.480003,78.239998,77.370003,77.769997,2203000,72.808807
"68",77.919998,78.110001,77.360001,77.489998,2217100,72.546677
"69",77.529999,77.57,76.690002,77.260002,4642300,72.331352
"70",77.389999,77.480003,76.580002,76.68,3055800,71.788338
"71",76.330002,76.809998,75.699997,75.800003,3666600,70.964493
"72",75.830002,76.709999,75.629997,76.669998,4160800,71.778976
"73",76.449997,76.489998,75.529999,75.790001,3845900,70.955124
"74",76.190002,76.290001,75.510002,75.550003,5283600,70.730431
"75",77.5,80.279999,77.459999,80.019997,11099300,74.915276
"76",79.879997,80.470001,79.489998,79.589996,5837800,74.512711
"77",80.639999,80.919998,80.239998,80.449997,3563200,75.317848
"78",81.059998,81.400002,80.629997,80.629997,5061300,75.486366
"79",80.620003,80.919998,80.150002,80.519997,3661600,75.383369
"80",80.769997,80.870003,80.080002,80.330002,2922700,75.205505
"81",79.940002,80.169998,79.050003,79.25,5313200,74.194397
"82",79.220001,79.489998,78.879997,79.230003,3458100,74.17569
"83",79.150002,79.660004,79.150002,79.540001,3334900,74.465912
"84",79.230003,79.510002,78.690002,78.830002,3800600,73.801178
"85",79.230003,79.419998,77.989998,78.330002,3902200,73.333084
"86",78.610001,78.730003,77.879997,78.32,2936700,73.323723
"87",78.5,78.739998,77.949997,78.160004,2608600,73.173935
"88",78.160004,78.739998,78.089996,78.440002,2570600,73.436073
"89",78.279999,78.660004,78.139999,78.650002,2396900,73.632683
"90",78.199997,78.449997,77.25,77.919998,3780600,72.949226
"91",77.699997,77.809998,77.220001,77.489998,2865800,72.546677
"92",77.480003,78.620003,77.480003,78.330002,3327000,73.333084
"93",78.599998,78.639999,77.839996,78.129997,2457500,73.145851
"94",78.129997,78.129997,76.239998,76.370003,4441600,71.498131
"95",76.269997,76.849998,75.970001,76.379997,3545700,71.507477
"96",76.550003,77.349998,76.300003,76.800003,3283900,71.900688
"97",76.949997,77.120003,76.5,76.980003,2800000,72.069229
"98",77.019997,77.419998,76.82,77.199997,2239600,72.275169
"99",77.459999,77.459999,76.93,77.120003,2091300,72.200279
"100",77.489998,77.919998,77.260002,77.440002,3185200,72.499855
