"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"277",66.959999,67.639999,64.940002,65.089996,5065000,55.483395
"278",64.910004,65.349998,62.77,62.790001,4379300,53.522854
"279",63.450001,64.580002,61.459999,63.84,4871400,54.417881
"280",64.480003,65.699997,64.019997,64.769997,3423700,55.210621
"281",64.669998,66.400002,64.290001,66.080002,3571000,56.327286
"282",65.459999,68.419998,65.18,68.160004,4690000,58.1003
"283",68.160004,68.82,66.879997,67.800003,4187200,57.793427
"284",67.599998,68.43,66.980003,67.93,3301300,57.904243
"285",67.449997,67.889999,65.830002,66.25,3236000,56.857216
"286",66.290001,67.489998,66.129997,66.269997,4522200,56.874382
"287",66.529999,67.650002,66.410004,66.459999,4149500,57.037437
"288",66.879997,67.169998,65.760002,66.809998,2896400,57.337814
"289",66.919998,67.050003,66.059998,66.290001,3243200,56.891537
"290",66.160004,67.089996,65.589996,65.599998,4395600,56.299374
"291",65.959999,65.959999,64.050003,64.059998,5536600,54.977707
"292",64.269997,65.580002,64.139999,64.790001,4264800,55.60421
"293",64.379997,65.419998,64.099998,65.190002,2890100,55.947495
"294",64.879997,66.5,64.599998,66.160004,3662000,56.779972
"295",66.620003,67.870003,66.230003,67.389999,3730300,57.83559
"296",66.959999,68.110001,66.68,67.68,3536800,58.084469
"297",68.120003,69.07,67.389999,69.029999,4015600,59.24308
"298",69.730003,70.68,69.43,70.220001,4110400,60.264366
"299",70.239998,70.480003,69.169998,69.269997,3175900,59.449047
"300",69.379997,70.290001,68.769997,69.239998,3246000,59.423294
"301",69.650002,70.019997,69.150002,69.360001,3328600,59.526295
"302",69.559998,69.769997,67.449997,68.629997,4534800,58.899776
"303",68.510002,69.980003,68.5,69.68,6081700,59.800911
"304",69.400002,69.57,68.720001,69.209999,2774000,59.397552
"305",69.699997,71.82,69.440002,71.459999,4723500,61.328537
"306",71.809998,73.879997,71.709999,73.209999,4355900,62.830441
"307",72.370003,73.889999,72.110001,72.970001,3809500,62.624458
"308",73.400002,74.480003,71.169998,71.279999,5858200,61.174068
"309",72.099998,74.059998,72.080002,73.68,4245400,63.233814
"310",73.879997,74.919998,72.400002,72.879997,3640400,62.547226
"311",73.129997,73.43,71.589996,71.82,4082300,61.637516
"312",72.230003,73.639999,72.129997,73.110001,2790900,62.744617
"313",72.949997,73.379997,70.839996,71.800003,3372600,61.620342
"314",72.699997,72.790001,71.379997,72.599998,3660000,62.306927
"315",71.589996,72.82,70.309998,72.57,4382800,62.281181
"316",73.239998,73.949997,72.730003,73.410004,4706500,63.00209
"317",72.709999,73.459999,71.529999,72.449997,3211500,62.178185
"318",72.470001,72.989998,71.650002,71.669998,3889800,61.508774
"319",72.940002,74.129997,72.860001,73.699997,3906500,63.250973
"320",73.709999,74.470001,73.410004,74.019997,3916800,63.525593
"321",74.300003,74.620003,73.419998,74.25,2357900,63.72298
"322",74.459999,75,73.970001,74.589996,2485600,64.014778
"323",74.980003,77.919998,74.779999,77.519997,4840000,66.529373
"324",77.790001,78.82,76.599998,78.550003,3866200,67.413338
"325",79.07,79.980003,78.510002,78.779999,4192700,67.610733
"326",78.800003,79.809998,78.209999,79.400002,3147600,68.14283
"327",79.400002,80.040001,79.139999,79.760002,2557700,68.45179
"328",79.980003,80.220001,78.879997,79.849998,2946900,68.529022
"329",80.32,81.629997,79.120003,79.779999,4744100,68.468956
"330",79.190002,80.279999,78.18,80.230003,3272000,68.855171
"331",80.699997,83.269997,79.959999,82.93,4330100,71.172371
"332",82.559998,82.629997,81.309998,81.43,3287700,69.885033
"333",75.470001,79.010002,74.099998,74.910004,28076500,64.289436
"334",74.279999,74.43,70.459999,72.900002,20929500,62.564388
"335",73.279999,77.629997,72.940002,75.839996,13325500,65.08757
"336",76.279999,77.720001,74.519997,77.459999,9029100,66.47789
"337",76.900002,77.510002,76.099998,76.940002,5612100,66.031624
"338",77.230003,78.970001,76.459999,76.5,5856900,65.653984
"339",76.43,76.919998,74.279999,75.309998,6857100,64.632706
"340",76.169998,78.110001,75.839996,77.110001,4827000,66.177513
"341",77.940002,78.25,76.620003,77.540001,4532100,66.546555
"342",77.720001,77.970001,76.989998,77.330002,3549200,66.36631
"343",77.839996,78.599998,77.519997,78.339996,4936700,67.233116
"344",77.849998,78.639999,76.720001,77.290001,5869400,66.723755
"345",77.099998,77.269997,75.93,76.730003,6890300,66.240341
"346",77.599998,80.919998,77.239998,80.709999,9675600,69.676216
"347",80.580002,80.720001,79.099998,79.529999,4015700,68.657539
"348",79.980003,80.110001,78.589996,78.849998,3866500,68.070511
"349",79.160004,80.360001,78.25,78.489998,4111900,67.759735
"350",77.769997,78.93,77.209999,78.870003,4419300,68.087776
