"","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"1",74.629997,74.980003,73.370003,73.919998,551600,70.972412
"2",74.029999,74.760002,73.790001,74.650002,462700,71.809319
"3",74.629997,74.739998,73.68,74.190002,429900,71.366837
"4",74.57,74.900002,74.290001,74.589996,329600,71.751587
"5",73.860001,74.360001,73.82,73.910004,526200,71.097488
"6",73.769997,74.43,73.599998,74.010002,529100,71.19368
"7",73.43,74.019997,73.339996,73.75,861100,70.94355
"8",73.419998,73.599998,72.660004,73.400002,478100,70.606888
"9",73.800003,74.43,73.68,73.879997,313700,71.068611
"10",73.5,73.510002,72.75,73,380100,70.222099
"11",73.480003,73.970001,72.879997,73.809998,423900,71.001274
"12",73.900002,73.900002,73.019997,73.620003,356800,70.818535
"13",73.739998,74.269997,73.5,73.989998,370000,71.174431
"14",73.860001,74.059998,73.150002,73.589996,311700,70.789642
"15",73.970001,74.580002,73.910004,74.260002,359500,71.434181
"16",74.709999,74.959999,74.5,74.690002,441200,71.847778
"17",74.510002,75.239998,74.510002,74.860001,388700,72.011322
"18",74.870003,75,74.25,74.550003,269400,71.71312
"19",74.150002,74.150002,73.559998,74.050003,259000,71.232147
"20",74.019997,74.410004,72.970001,73.540001,500600,70.741547
"21",74.089996,74.540001,73.459999,73.540001,398300,70.741547
"22",72.589996,74.529999,72.589996,73.660004,443300,70.856979
"23",74.489998,74.889999,74.050003,74.25,493300,71.424538
"24",73.949997,74.519997,73.769997,74.389999,408000,71.559196
"25",74.459999,74.709999,74.07,74.18,333000,71.357201
"26",73.900002,74.290001,73.529999,73.830002,668900,71.020531
"27",74.089996,74.720001,73.790001,74.449997,565000,71.61692
"28",74.82,75.220001,74.559998,74.919998,437900,72.069046
"29",75.279999,76.110001,75.209999,75.860001,381800,72.973274
"30",75.620003,76.25,75.559998,76.169998,336400,73.271484
"31",76.379997,77.050003,76.120003,76.989998,328900,74.060272
"32",76.779999,77.43,76.459999,77.419998,411400,74.4739
"33",77.080002,77.330002,76.510002,77.120003,452500,74.185326
"34",77.110001,77.400002,76.970001,77.260002,409000,74.320007
"35",76.870003,77.720001,76.720001,77.510002,387800,74.560493
"36",77.599998,77.860001,77.099998,77.559998,273900,74.608582
"37",76.980003,77.639999,76.870003,77.550003,447700,74.598969
"38",76.839996,77.779999,76.839996,77.470001,341900,74.522011
"39",77.129997,77.620003,76.919998,77.529999,558400,74.579727
