"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"824",101.660004,101.660004,97.139999,97.889999,1762900,91.742256
"825",99.910004,101.300003,98.809998,100.660004,1104600,94.338287
"826",97.82,99.150002,96.860001,97.309998,1414600,91.198677
"827",97.559998,98.209999,95.440002,97.160004,1727100,91.058105
"828",99.010002,101.779999,98.160004,101.269997,1320900,94.909981
"829",99.830002,100.099998,95.830002,96.449997,1220800,90.392685
"830",94.709999,96.129997,93.290001,94.660004,1257500,88.715118
"831",96.550003,100.160004,95.330002,99.480003,1771900,93.232399
"832",99.410004,100.339996,96.830002,96.970001,1179700,90.880028
"833",97.089996,98.160004,95.68,97.529999,1538100,91.404861
"834",99.75,102.360001,99.43,101.309998,1905800,94.947472
"835",103.550003,104.959999,99.07,99.669998,1135600,93.410469
"836",101.760002,101.760002,98.209999,98.379997,986700,92.201477
"837",97.93,98,93.970001,95.510002,1497500,89.511719
"838",94.559998,94.559998,92.099998,93.57,987500,87.693573
"839",93.370003,96.019997,92.260002,95.419998,1222000,89.427368
"840",95,99.610001,95,96.75,1353600,90.673843
"841",96.25,96.480003,92.239998,92.669998,1038800,87.693016
"842",93.480003,94.989998,92.620003,92.769997,1185300,87.787643
"843",94.010002,95.660004,92.919998,95.010002,1627000,89.907364
"844",96.769997,97.169998,93.720001,96.220001,2678800,91.052368
"845",96.239998,96.720001,94.669998,96,2433200,90.844185
"846",95.290001,96,93.300003,94.110001,2299600,89.055695
"847",92.940002,95.18,90.989998,94.940002,1573900,89.841118
"848",94.449997,95.470001,92.5,94.980003,2871200,89.87896
"849",97.68,100.459999,97.510002,99.419998,1264300,94.080505
"850",98.940002,99.32,96.559998,96.559998,842000,91.374107
"851",97.57,98.529999,96.860001,97.589996,751400,92.348785
"852",97.510002,98.32,97.199997,97.629997,1129200,92.386642
"853",97.550003,98.239998,97.059998,97.959999,955500,92.698929
"854",100.290001,101.25,99.529999,99.739998,1121000,94.383316
"855",101.330002,101.480003,98.269997,99.470001,812000,94.127823
"856",100.949997,103.379997,100.410004,103.07,1201900,97.534477
"857",102.75,103.120003,100.970001,101.82,1820300,96.351608
"858",101.620003,103.800003,101.25,102.68,943200,97.165428
"859",102.720001,103.580002,101.480003,103.529999,1178700,97.96978
"860",104.110001,105.279999,103.629997,104.040001,972500,98.452377
"861",103.389999,103.699997,100.050003,101.230003,1039000,95.793304
"862",103.82,106.480003,103.089996,103.730003,1058700,98.159035
"863",103.800003,106.300003,103.120003,105.889999,1133000,100.203026
"864",104.489998,104.540001,102.519997,103.339996,1001400,97.78997
"865",103.809998,104.269997,101.779999,102.190002,1092900,96.701744
"866",100.010002,100.080002,95.989998,96.769997,1499200,91.572815
"867",98.75,98.82,94.730003,96.419998,1690000,91.241615
"868",94.339996,97.629997,93.269997,97.190002,1421600,91.970268
"869",100.059998,100.650002,97.080002,97.919998,1132200,92.661057
"870",98.839996,99.019997,95.830002,97.07,1101100,91.856712
"871",96.480003,97.660004,95.589996,97.5,1212500,92.263618
"872",99.059998,99.059998,94.209999,94.519997,4296200,89.443665
"873",94.349998,97.550003,93.489998,96.970001,1621400,91.762077
"874",97.900002,97.980003,94.959999,95,1709500,89.897881
"875",94.059998,94.400002,91.919998,93.510002,1216200,88.487907
"876",93.400002,93.400002,91.099998,92.360001,1583600,87.399673
"877",92.360001,93.980003,91.080002,91.660004,1973200,86.737267
"878",92.449997,93.790001,91.040001,93.769997,823100,88.733932
"879",93.839996,94.639999,93.080002,93.809998,1060200,88.771797
"880",93.769997,97.150002,93.739998,96.720001,932800,91.525513
"881",97.910004,98.669998,96.510002,96.860001,877300,91.657997
"882",97.839996,98.699997,95.099998,96.400002,643900,91.222694
"883",95.510002,96.510002,94.949997,95.849998,928700,90.702232
"884",95.870003,97.300003,95.269997,96.900002,1316100,91.695847
"885",97.199997,97.199997,93.800003,96.449997,1372900,91.270004
"886",96.099998,98.330002,96.099998,98.150002,787800,92.878716
"887",98.199997,98.599998,95.839996,96.339996,1314600,91.165916
"888",96.400002,98.279999,96.330002,97.629997,1345900,92.386642
"889",99.059998,99.269997,96.010002,96.239998,1584000,91.071289
"890",96.510002,98.650002,96.099998,98.330002,1084400,93.049049
"891",99.059998,100.540001,98.580002,100.440002,899600,95.045723
"892",100,100.220001,98.120003,98.389999,744400,93.10582
"893",100.190002,100.379997,98.709999,99.550003,1162700,94.203522
"894",99.300003,103.830002,98.43,103.129997,2140300,97.591248
"895",103.220001,104.959999,102.660004,104.019997,1085800,98.433449
"896",104.18,104.970001,101.949997,102.660004,884400,97.146492
"897",102.410004,102.410004,100.75,101.730003,740300,96.266449
"898",101.25,103.410004,101.25,102.669998,965700,97.155952
"899",103.489998,105.410004,102.440002,104.129997,1447900,98.537544
"900",103.099998,104.870003,102.599998,104.639999,967800,99.020149
"901",104.040001,105.269997,103.709999,105.129997,1686100,99.483833
"902",105.129997,105.300003,102.25,102.620003,940500,97.108635
"903",102.5,104.099998,102.190002,103.160004,724000,97.619644
"904",103.400002,103.5,100.330002,100.360001,1164700,94.970016
"905",100.269997,102.339996,100,102.290001,887400,96.796371
"906",102.029999,104.800003,102.029999,104.669998,850600,99.048546
"907",105.139999,105.959999,104.510002,105.699997,739700,100.023224
"908",105.879997,106.550003,101.720001,102.110001,1534900,96.62603
"909",101.629997,103,100.910004,101.650002,1154500,97.074883
"910",101.190002,101.889999,100.5,101.730003,616800,97.151283
"911",101.529999,102.160004,100.209999,100.93,721000,96.387283
"912",100.959999,102.050003,100.290001,100.599998,1091200,96.072136
"913",100.730003,101.010002,98.93,100.099998,783900,95.594635
"914",100.239998,100.519997,98.919998,98.989998,612200,94.534607
"915",98.440002,98.900002,96.919998,97.709999,866700,93.312218
"916",98.129997,98.239998,96.769997,98.129997,921800,93.71331
"917",98.5,98.849998,97.169998,98.639999,753000,94.200363
"918",99.059998,99.059998,97.419998,97.82,793800,93.417259
"919",97.260002,97.349998,96.18,96.25,1157200,91.917931
"920",96.709999,97.529999,95.559998,97.260002,1165600,92.882469
"921",97.459999,99.110001,96.809998,98.959999,1196500,94.505959
"922",98.639999,99.629997,98.410004,99.139999,1196100,94.677849
"923",98.949997,98.959999,97.010002,97.690002,904800,93.293121
"924",97.720001,101.089996,97.309998,100.480003,864300,95.95755
"925",100.910004,101.5,96.980003,98,1681500,93.589157
"926",98.550003,98.720001,96.790001,97.900002,987500,93.49366
"927",97.790001,98.559998,96.050003,97.949997,1261000,93.541412
"928",98.349998,99.870003,98.269997,98.370003,850000,93.942505
"929",98.029999,98.510002,95.760002,95.849998,1005400,91.535927
"930",95.949997,95.949997,94.669998,95.449997,1486700,91.153931
"931",96.080002,97.419998,95.900002,96.720001,749400,92.366776
"932",97.379997,98.480003,96.029999,96.540001,853400,92.194878
"933",96.300003,97.620003,96.120003,96.839996,1078800,92.481361
"934",96.099998,97.769997,95.080002,97.629997,1360200,93.235817
"935",97.43,97.889999,95.339996,95.43,1700600,91.134834
"936",94.529999,95.970001,93.290001,94.830002,1387200,90.561844
"937",94.82,97.870003,94.559998,97.279999,1573500,92.901558
"938",97.339996,97.660004,95.080002,95.169998,1282300,90.886543
"939",94.879997,96.269997,93.639999,95.779999,1088800,91.46907
"940",95.379997,97.040001,95.029999,96.980003,801200,92.615074
"941",97.599998,98.019997,96.540001,96.68,940000,92.328575
"942",96.949997,97.279999,95.150002,95.779999,825600,91.46907
"943",96.599998,98.949997,96.510002,98.529999,1651400,94.095299
"944",98.82,101.349998,98.669998,101.279999,1634900,96.721535
