"","TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume","TXN.Adjusted"
"1",73.529999,74.309998,73.050003,73.580002,4847900,64.578354
"2",73.650002,73.970001,73.25,73.489998,4507100,64.499367
"3",73.290001,73.699997,72.889999,72.919998,4301100,63.999092
"4",72.879997,74.279999,72.470001,74.150002,5244600,65.078629
"5",74.510002,75.220001,74.169998,74.339996,4782900,65.245384
"6",74.620003,74.830002,74.059998,74.599998,3712500,65.473572
"7",74.639999,75.199997,74.459999,75.199997,4361400,66.00016
"8",75,75.139999,74.089996,74.849998,4408200,65.692986
"9",74.830002,75.300003,74.730003,75,3372500,65.824638
"10",74.669998,74.949997,74.290001,74.489998,4413100,65.377037
"11",74.730003,74.839996,74.25,74.379997,5531400,65.280479
"12",74.220001,74.809998,73.870003,73.879997,4468500,64.841652
"13",74.160004,74.889999,74.160004,74.75,6661400,65.605232
"14",74.800003,75.739998,74.639999,75.730003,6895100,66.465355
"15",76.190002,77.32,75.910004,77.080002,8561600,67.650192
"16",77.720001,78.720001,77.190002,78.580002,8112800,68.966652
"17",78.019997,79.470001,78.010002,79.260002,8991500,69.563477
"18",79.059998,79.449997,77.739998,78.029999,9737300,68.918716
"19",77.519997,78.080002,77.349998,77.900002,8355200,68.803894
"20",77.400002,77.540001,75.25,75.540001,11129400,66.719444
"21",76.059998,76.870003,75.860001,76.269997,7815800,67.36422
"22",75.610001,76.099998,75.339996,75.889999,4434500,67.02858
"23",76.290001,76.559998,76.029999,76.5,4547000,67.567368
"24",76.379997,76.470001,75.849998,76.220001,4633000,67.320061
"25",76.370003,76.75,76.040001,76.18,4500900,67.284737
"26",76.489998,76.550003,75.919998,75.949997,5864700,67.081581
"27",76.300003,76.349998,75.269997,75.300003,6950500,66.507484
"28",75.620003,75.660004,74.519997,75.160004,6289400,66.383835
"29",75.529999,75.739998,75.389999,75.519997,5466200,66.701805
"30",75.459999,75.639999,75.300003,75.639999,3999800,66.807785
"31",75.650002,75.809998,74.93,75.669998,5731500,66.834274
"32",75.800003,76.32,75.519997,76.25,4882000,67.346558
"33",76.110001,76.440002,75.660004,76.440002,3955300,67.514381
"34",76.790001,77.129997,76.589996,77.080002,5104700,68.079659
"35",77.199997,77.279999,76.800003,77.230003,4056600,68.212143
"36",77.230003,77.379997,76.690002,77.139999,4921700,68.132645
"37",76.940002,77.239998,76.400002,77.239998,3516600,68.22097
"38",77.309998,77.339996,76.760002,77.190002,3055400,68.176796
"39",77.059998,77.169998,76.459999,76.620003,4770500,67.673378
"40",77.129997,78.18,76.68,78.150002,5332500,69.024727
"41",78.360001,78.760002,77.940002,78.080002,7605500,68.962883
"42",78.199997,78.199997,77.459999,77.860001,3994800,68.768562
"43",77.690002,78.459999,77.400002,78.309998,4066400,69.166023
"44",78.349998,80.370003,78.209999,79.120003,10556800,69.88147
"45",79.440002,79.940002,79.160004,79.339996,5386500,70.075737
"46",79.489998,79.790001,78.800003,79.129997,4255400,69.890282
"47",79.720001,80.629997,79.300003,80.330002,5118200,70.95015
"48",80.32,81.089996,80.18,81.019997,6082600,71.559578
"49",80.949997,81.209999,80.620003,81.089996,4271400,71.621414
"50",81.419998,81.949997,80.959999,81.82,3668800,72.266167
"51",81.989998,82.18,81.379997,81.709999,4195600,72.169014
"52",82.239998,82.440002,81.440002,82.199997,9231700,72.601791
"53",81.989998,82.269997,81.540001,81.589996,4383000,72.063026
"54",81.93,82.080002,79.669998,79.75,6221000,70.437874
"55",80.089996,80.790001,79.580002,80.690002,4307300,71.26812
"56",80.690002,81.040001,80.230003,80.669998,3335200,71.25045
"57",81.919998,82.050003,80.43,80.589996,4100300,71.179787
"58",79.949997,80.82,79.709999,80.529999,3260800,71.126801
"59",80.300003,80.989998,80.220001,80.610001,3577900,71.197456
"60",80.349998,80.660004,80.260002,80.489998,2811600,71.091461
"61",80.230003,81.080002,80.230003,81.040001,3372800,71.577263
"62",80.790001,81.150002,80.540001,80.559998,3760900,71.153297
"63",80.870003,81.5,79.790001,80.360001,4563900,70.976669
"64",80.110001,80.669998,80.110001,80.599998,2761500,71.188622
"65",80.599998,81.18,79.980003,80.080002,3547900,70.729347
"66",79.980003,80.370003,79.400002,80.099998,4177700,70.747017
"67",80.300003,80.919998,80.080002,80.529999,2686800,71.126801
"68",80.419998,80.760002,79.919998,80.129997,3314700,70.773499
