"","TMUS.Open","TMUS.High","TMUS.Low","TMUS.Close","TMUS.Volume","TMUS.Adjusted"
"1",58.099998,58.91,57.75,58.32,3004100,58.32
"2",58.360001,59.459999,58.040001,58.82,5540600,58.82
"3",58.77,59.419998,57.080002,57.610001,5427200,57.610001
"4",57.869999,58.139999,56.639999,56.77,4776100,56.77
"5",56.57,56.990002,56.27,56.669998,3329700,56.669998
"6",55.720001,58.84,55.299999,58.740002,5457800,58.740002
"7",58.540001,58.939999,57.279999,57.459999,4718200,57.459999
"8",57.400002,57.5,56.57,57.150002,2286300,57.150002
"9",57.25,57.849998,56.689999,57.189999,1973700,57.189999
"10",57.25,58.139999,56.889999,57.049999,4114900,57.049999
"11",57.540001,58.849998,57.389999,58.66,5317500,58.66
"12",58.52,60.639999,58.439999,60.07,6036400,60.07
"13",60.540001,60.73,59.509998,59.619999,3911100,59.619999
"14",60.77,60.860001,60.110001,60.240002,3560500,60.240002
"15",60.009998,60.57,59.619999,60.220001,3903000,60.220001
"16",60.200001,60.990002,59.84,60.740002,4003100,60.740002
"17",61.110001,63.639999,61.099998,63.369999,12440100,63.369999
"18",63.68,63.68,61.68,62.419998,6294900,62.419998
"19",61.91,62.080002,60.59,61.130001,5359500,61.130001
"20",61.25,62.619999,61.189999,62.27,4502200,62.27
"21",62.259998,63.650002,62.240002,63.259998,8937500,63.259998
"22",62.889999,62.959999,60.419998,61.150002,6004400,61.150002
"23",61.25,61.709999,60.810001,61.360001,5141000,61.360001
"24",61.130001,61.380001,60.889999,60.959999,3761900,60.959999
"25",61.029999,62.049999,60.610001,61.889999,3369800,61.889999
"26",61.5,62.619999,61.330002,61.889999,5555100,61.889999
"27",61.709999,62.419998,61.709999,62.25,3171500,62.25
"28",62.16,62.540001,61.400002,62.389999,3829700,62.389999
"29",60.59,61,60.029999,60.900002,11670100,60.900002
"30",61.240002,62.84,59.509998,61.599998,17976400,61.599998
"31",61.470001,61.799999,60.73,61.299999,9362400,61.299999
"32",61.189999,61.400002,60.32,60.610001,3852100,60.610001
"33",60.540001,65.410004,59.889999,63.919998,13430300,63.919998
"34",63.41,63.610001,62.330002,63.200001,5579100,63.200001
"35",63.27,63.470001,62.619999,63.080002,2655100,63.080002
"36",63.220001,63.349998,61.950001,62.07,5342200,62.07
"37",62.099998,62.580002,61.720001,62.209999,4570800,62.209999
"38",61.310001,62.18,60.790001,62.169998,6179800,62.169998
"39",62.25,62.889999,61.700001,62.529999,4297900,62.529999
"40",62.66,62.970001,62.189999,62.34,3777300,62.34
"41",62.200001,62.860001,61.669998,62.540001,3688100,62.540001
"42",62.220001,63.610001,62,63.560001,4355200,63.560001
"43",63.16,63.5,62.509998,62.84,3363700,62.84
"44",62.529999,62.869999,61.380001,61.630001,3738800,61.630001
"45",61.419998,62.200001,61.360001,61.41,4697200,61.41
"46",61.48,61.68,60.830002,61.139999,6050300,61.139999
"47",61.580002,61.869999,60.880001,61.48,4446000,61.48
"48",61.509998,61.98,61.119999,61.84,3604200,61.84
"49",61.799999,62.040001,61.139999,61.349998,2309600,61.349998
"50",61.610001,63.080002,61.439999,62.990002,5470700,62.990002
"51",63.09,63.189999,62.07,62.389999,2882700,62.389999
"52",62.990002,63.790001,62.650002,63.5,4563000,63.5
"53",63.389999,63.549999,62.75,63.110001,2092700,63.110001
"54",62.98,63.43,62.34,62.470001,3416400,62.470001
"55",62.68,63.580002,62.490002,63.27,4034500,63.27
"56",63.139999,63.700001,62.889999,63.119999,2169100,63.119999
"57",63.540001,64.760002,63.259998,64.169998,4322700,64.169998
"58",63.919998,64.279999,63.650002,64.220001,2596000,64.220001
"59",64,64.419998,63.639999,64.230003,3404100,64.230003
"60",64.389999,65.080002,63.970001,64.739998,3681700,64.739998
"61",64.75,65.209999,64.290001,65.129997,2953600,65.129997
"62",64.949997,65.349998,64.18,64.589996,4431800,64.589996
"63",64.199997,64.32,62.970001,63.549999,4087700,63.549999
"64",63.32,63.939999,63.259998,63.68,2605300,63.68
"65",63.759998,64,63.380001,63.5,2957800,63.5
"66",62.349998,63.330002,62.220001,63.240002,6160000,63.240002
"67",63.27,64.150002,63.139999,63.580002,2507400,63.580002
"68",63.889999,64.260002,62.380001,63.889999,2386200,63.889999
"69",63.84,64.019997,63.450001,63.93,2524400,63.93
"70",63.77,64,63.5,63.919998,1549200,63.919998
"71",64.150002,64.360001,63.700001,64.040001,2275300,64.040001
"72",64.5,64.970001,64.209999,64.940002,2387800,64.940002
"73",64.82,65.330002,64.580002,64.610001,1977800,64.610001
"74",65.050003,65.510002,64.82,65.129997,3405600,65.129997
"75",65.209999,65.410004,64.779999,64.809998,2612100,64.809998
"76",65.239998,65.239998,64.529999,64.699997,4858300,64.699997
"77",65.029999,65.970001,64.970001,65.93,5564500,65.93
"78",66,67.449997,65.260002,67.349998,6728300,67.349998
"79",67.690002,67.760002,67.139999,67.580002,4727300,67.580002
"80",67.660004,68.190002,67.5,67.739998,2909600,67.739998
"81",67.790001,67.870003,66.970001,67.269997,3814200,67.269997
"82",67.830002,68.400002,67.449997,68.309998,4259200,68.309998
"83",68.559998,68.879997,66.57,66.940002,3769200,66.940002
"84",66.82,67.139999,65.089996,65.349998,6369400,65.349998
"85",65.480003,65.629997,64.910004,65.480003,3368600,65.480003
"86",65.790001,66.489998,65.32,66.489998,2707300,66.489998
"87",66.839996,67.07,65.830002,66.150002,3889700,66.150002
"88",65.980003,66.059998,65.160004,65.5,3383500,65.5
"89",66.940002,67.629997,65.940002,66,6144600,66
"90",66.059998,66.309998,65.169998,65.809998,3044700,65.809998
"91",66.830002,66.870003,65.25,65.550003,3731400,65.550003
"92",65.610001,65.849998,65.010002,65.690002,3484100,65.690002
"93",65.650002,66.279999,65.5,65.910004,3436900,65.910004
"94",65.440002,66.440002,63.810001,63.91,6304700,63.91
"95",63.75,66.269997,63.630001,65.720001,4936300,65.720001
