"","IPGP.Open","IPGP.High","IPGP.Low","IPGP.Close","IPGP.Volume","IPGP.Adjusted"
"441",155.779999,156.809998,155.110001,155.5,647800,155.5
"442",155.970001,158.190002,154.800003,157.419998,601900,157.419998
"443",156.860001,156.860001,152.929993,154.020004,1098900,154.020004
"444",140.070007,142.490005,132.279999,132.759995,4046500,132.759995
"445",131.660004,138.529999,130.320007,135.429993,1505100,135.429993
"446",135.699997,136.449997,133.639999,134.770004,911600,134.770004
"447",134,134.490005,130.220001,131.75,1080200,131.75
"448",129.869995,134.460007,129.809998,131.860001,1112100,131.860001
"449",135.880005,138,135.139999,137.580002,899400,137.580002
"450",137.130005,137.529999,135.119995,135.690002,525800,135.690002
"451",137.309998,141.119995,135.800003,140.380005,580200,140.380005
"452",140.949997,141.850006,138.169998,139.940002,524900,139.940002
"453",139.330002,139.330002,136.580002,138.570007,666800,138.570007
"454",137.380005,138.360001,130.800003,132.259995,843700,132.259995
"455",132.270004,133.550003,129.460007,130.800003,1196600,130.800003
"456",127.610001,133.330002,126.57,132.289993,809600,132.289993
"457",132.240005,133.100006,129.550003,129.630005,691900,129.630005
"458",132.490005,134.940002,131.009995,133.309998,653400,133.309998
"459",130.679993,137.559998,129.220001,134.759995,865800,134.759995
"460",137.630005,140.509995,129.5,131.330002,1233800,131.330002
"461",108.510002,142.220001,107.589996,141.800003,2199800,141.800003
"462",143.259995,144.270004,130.789993,133.550003,1540600,133.550003
"463",134.179993,142.800003,134.179993,141.690002,1019100,141.690002
"464",143.389999,146.720001,139.080002,145.830002,849600,145.830002
"465",145.880005,145.880005,138.160004,141.179993,629600,141.179993
"466",140.770004,144.610001,140.339996,141.389999,585700,141.389999
"467",143,143.419998,139.449997,143.149994,513700,143.149994
"468",142.399994,144.630005,140.029999,140.990005,525900,140.990005
"469",140.029999,140.029999,135.839996,137.789993,506300,137.789993
"470",135.490005,136.690002,126.82,129.110001,753300,129.110001
"471",130.080002,137.039993,130.020004,132.850006,636200,132.850006
"472",132.449997,136.830002,131.399994,134.949997,1068900,134.949997
"473",133.690002,140.389999,133.690002,138.75,601700,138.75
"474",136.75,140.5,135.449997,138.479996,494000,138.479996
"475",138.419998,138.479996,135.440002,136.130005,636500,136.130005
"476",132.449997,136.720001,132.050003,132.949997,676500,132.949997
"477",135.240005,136.679993,132.570007,134.039993,341400,134.039993
"478",133.399994,139.169998,131.899994,137.740005,246000,137.740005
"479",138.789993,141.600006,136.729996,141.130005,547700,141.130005
"480",140.759995,142.169998,138.600006,140.850006,531900,140.850006
"481",141.710007,143.979996,136.600006,143.639999,366600,143.639999
"482",143.270004,144.869995,138.509995,141.289993,436800,141.289993
"483",141.300003,142.75,139.710007,142.149994,565600,142.149994
"484",146.419998,150.860001,145.520004,148.169998,631900,148.169998
"485",146.940002,148.440002,136.649994,137.220001,438000,137.220001
"486",133.779999,134.75,128.889999,131.380005,996700,131.380005
"487",131.529999,132.009995,123.550003,124.349998,562800,124.349998
"488",123.260002,124.790001,119.839996,123.099998,538200,123.099998
"489",125.529999,127.800003,119.940002,121.709999,484500,121.709999
"490",123.720001,125.300003,122.080002,122.300003,419800,122.300003
"491",123.019997,124.389999,119.419998,120.199997,546400,120.199997
"492",118.75,120.949997,117.900002,117.989998,605800,117.989998
"493",117.209999,119.120003,113.059998,117.199997,685800,117.199997
"494",118.330002,120.779999,115.349998,115.529999,841400,115.529999
"495",115.080002,118.010002,111.480003,112.790001,647700,112.790001
"496",112.379997,115.459999,111.339996,114.379997,782400,114.379997
"497",115.239998,116.32,106.760002,107.709999,994700,107.709999
"498",107,110.779999,104.639999,105.650002,349200,105.650002
"499",106.290001,114.400002,106.25,114.230003,525000,114.230003
"500",111.82,115.150002,109.580002,115.129997,577700,115.129997
"501",115.900002,117.699997,113.739998,115,489000,115
"502",115.75,117.050003,111.43,113.290001,300900,113.290001
"503",110.610001,117.669998,110.550003,114.760002,569200,114.760002
"504",112.269997,112.269997,107.519997,108.599998,594000,108.599998
"505",111.050003,114.849998,108.940002,114.720001,285800,114.720001
"506",115.050003,118.269997,114.139999,116.809998,425600,116.809998
"507",118.669998,123.800003,117.940002,120.800003,567500,120.800003
"508",121.5,128.979996,121.5,126.269997,822900,126.269997
"509",125.599998,128.75,125.239998,128.520004,453800,128.520004
"510",127.980003,129.350006,125.93,127.879997,414500,127.879997
"511",126.900002,128.229996,124.489998,127.110001,324300,127.110001
"512",127.540001,128.130005,125.599998,125.900002,347100,125.900002
"513",126.269997,129.220001,126.269997,128.339996,263300,128.339996
"514",127.919998,130.350006,126.25,129.210007,310900,129.210007
"515",130.410004,133.679993,129.509995,132.509995,413700,132.509995
"516",131.869995,132.039993,126.699997,128.050003,448000,128.050003
"517",128.720001,129.300003,124.839996,126.169998,429900,126.169998
"518",126.669998,132.759995,126,130.570007,623200,130.570007
"519",132.160004,136.539993,131.809998,135.300003,365100,135.300003
"520",132.699997,136.160004,132.039993,132.679993,348200,132.679993
"521",133.75,134.949997,131.360001,131.470001,281000,131.470001
"522",132.360001,133.800003,127.959999,133.25,462800,133.25
"523",133.460007,134.179993,130.679993,133,506000,133
"524",133.419998,137.039993,133.100006,136.929993,602400,136.929993
"525",136.660004,137.259995,134.529999,136.619995,227300,136.619995
"526",136.880005,138.139999,135.850006,137.639999,236700,137.639999
"527",137.649994,141.889999,137.649994,141.389999,421500,141.389999
"528",140.169998,140.449997,136.089996,136.770004,332500,136.770004
"529",135.610001,138.800003,134.759995,138.800003,441200,138.800003
"530",139,139.320007,136.580002,137.25,610900,137.25
"531",137.479996,150.369995,134,147.149994,1325100,147.149994
"532",147.449997,149.990005,144.800003,149.389999,864200,149.389999
"533",149.410004,152.380005,147.539993,149.559998,904100,149.559998
"534",150.830002,155.449997,150.100006,154.880005,770700,154.880005
"535",153.919998,154.729996,151.160004,153,642800,153
"536",153.639999,154.690002,152.059998,153.220001,214600,153.220001
"537",153.059998,155.009995,152.899994,154.050003,413000,154.050003
"538",154.990005,156.550003,153.979996,156.429993,267400,156.429993
"539",158.220001,162.229996,158.190002,161.179993,691600,161.179993
"540",160.509995,161.979996,158.949997,159.580002,321100,159.580002
"541",159.050003,160.139999,156.270004,157.830002,372700,157.830002
"542",156.929993,156.929993,154.199997,155.029999,387800,155.029999
"543",155.960007,158.240005,155.110001,156.679993,238600,156.679993
"544",157.800003,159.770004,154.789993,156.360001,322400,156.360001
"545",156.179993,157.800003,154.190002,156.080002,231800,156.080002
"546",155.740005,155.740005,152.179993,152.350006,269200,152.350006
"547",152.039993,152.039993,147.539993,147.990005,390600,147.990005
"548",145.339996,148.419998,144.479996,148.089996,232600,148.089996
"549",148.25,151.699997,148,151.320007,429400,151.320007
"550",152.199997,153.389999,150.529999,152.160004,306000,152.160004
"551",152.990005,155.490005,152.350006,153.899994,242600,153.899994
"552",153.490005,154.139999,149.110001,149.509995,460700,149.509995
"553",150.199997,155.990005,150.190002,153.610001,702800,153.610001
"554",153.669998,154.039993,149.320007,149.5,312400,149.5
"555",150.740005,154.639999,149.600006,151.720001,350900,151.720001
"556",151.520004,152.850006,147.550003,147.649994,297900,147.649994
"557",148.169998,153.899994,147.820007,153.089996,420500,153.089996
"558",151.850006,152.199997,144.470001,144.770004,404300,144.770004
"559",144.080002,145.279999,142,144.740005,377900,144.740005
"560",146.850006,150.919998,146.809998,148.279999,419200,148.279999
"561",148.740005,150.889999,145.470001,147.860001,601900,147.860001
"562",148.210007,151.149994,147.289993,148.169998,402500,148.169998
"563",149.690002,152.199997,148.539993,151.779999,509200,151.779999
"564",153.440002,162.419998,153.410004,162.089996,688200,162.089996
"565",161.610001,163.5,159.589996,162.270004,465800,162.270004
"566",164.089996,170.320007,164.089996,166.559998,569700,166.559998
"567",166.149994,169.710007,166.149994,167.600006,523100,167.600006
"568",168.860001,170,165.889999,167.029999,328500,167.029999
"569",167.279999,169.600006,165.419998,168.960007,477900,168.960007
"570",167.600006,168.460007,164.050003,164.660004,361300,164.660004
"571",165.029999,166.929993,164.130005,166.570007,320900,166.570007
"572",164.860001,167.5,164.699997,166.320007,334800,166.320007
"573",168,169.119995,166.679993,168.919998,444800,168.919998
"574",168.639999,170.320007,167.309998,169.229996,355700,169.229996
"575",170.369995,172.130005,169.5,172.029999,339000,172.029999
"576",173.559998,174.610001,170.470001,173.759995,453500,173.759995
"577",173.259995,175.809998,172.110001,175.479996,281000,175.479996
"578",179.509995,182.169998,174,176.550003,491900,176.550003
"579",177.169998,179.860001,176.460007,178.690002,436800,178.690002
"580",178.660004,181.860001,177.740005,181.630005,545800,181.630005
"581",180.699997,180.699997,173.360001,173.690002,707900,173.690002
"582",173.080002,174.130005,169.589996,173.800003,711200,173.800003
"583",173.289993,175.029999,171.960007,173.009995,464000,173.009995
"584",167.550003,177.919998,162.789993,174.729996,1022300,174.729996
"585",172.100006,176.080002,170.089996,170.839996,550300,170.839996
"586",170.309998,173.770004,168.160004,169.789993,632600,169.789993
"587",170.910004,172,168.919998,171.490005,579300,171.490005
"588",165,166.660004,161.100006,161.509995,871300,161.509995
"589",160.029999,161.210007,154.690002,158.559998,647700,158.559998
"590",157.449997,161.220001,155.669998,158.630005,483800,158.630005
"591",155.270004,155.639999,149.610001,153.619995,802200,153.619995
"592",152.619995,154.520004,149.160004,153.690002,379000,153.690002
"593",142.860001,148.039993,142.270004,142.410004,667700,142.410004
"594",144.110001,147.889999,143.5,145.860001,474900,145.860001
"595",143.740005,147.720001,143.740005,145.580002,472900,145.580002
"596",145.520004,145.520004,137.949997,138.009995,833700,138.009995
"597",135.880005,139.720001,133.789993,134.050003,900200,134.050003
"598",131.679993,131.710007,128.479996,130.080002,814400,130.080002
"599",131.919998,135.369995,131.919998,134.080002,573000,134.080002
"600",133.050003,135.339996,133,133.809998,414000,133.809998
"601",130.800003,132.729996,129.009995,130.490005,566600,130.490005
"602",131.899994,132.479996,130.949997,131.009995,322400,131.009995
"603",131.330002,131.710007,129.300003,129.649994,561500,129.649994
"604",128.869995,130.210007,125.959999,129.509995,606800,129.509995
"605",129.520004,131.460007,127.480003,128.460007,245300,128.460007
"606",126.419998,126.989998,124.849998,125.169998,388600,125.169998
"607",125.529999,127.760002,124.910004,126.599998,544700,126.599998
"608",129.039993,131.669998,127.360001,131.539993,291600,131.539993
"609",132.899994,133.669998,127.989998,130.410004,358200,130.410004
"610",130.770004,131.330002,128.589996,130.649994,300900,130.649994
"611",131.490005,132.559998,129.850006,131.800003,478100,131.800003
"612",133.369995,135.610001,132.080002,132.919998,358000,132.919998
"613",135.559998,136.960007,135.100006,136.089996,481700,136.089996
"614",135.679993,136.139999,131.289993,133.169998,480600,133.169998
"615",134.130005,138.309998,134.039993,137.309998,449400,137.309998
"616",135.929993,135.929993,130.309998,131.940002,439500,131.940002
"617",131.929993,133.940002,130.860001,132.389999,247400,132.389999
"618",134.710007,139.229996,134.009995,138.399994,566600,138.399994
"619",139.419998,141.240005,138.520004,140.690002,449600,140.690002
"620",144.809998,146.649994,142.600006,144.610001,419600,144.610001
"621",143.610001,146.889999,143.330002,146.479996,578700,146.479996
"622",146.479996,148.429993,145.990005,146.160004,312800,146.160004
"623",146.660004,146.660004,143.880005,143.889999,465300,143.889999
"624",145.539993,148.75,143.919998,148.179993,263500,148.179993
"625",149.259995,151.279999,148.259995,150.520004,329100,150.520004
"626",151.740005,155.110001,151.740005,154.25,983500,154.25
"627",162.5,166.490005,155.350006,156.660004,590900,156.660004
"628",155.850006,156.580002,153.600006,154.589996,364900,154.589996
"629",155,157.910004,153.570007,155.720001,737400,155.720001
"630",154.020004,154.470001,148.360001,149,473900,149
"631",147.410004,147.979996,140.610001,141.229996,694800,141.229996
"632",140.270004,142.039993,139.910004,140.929993,559700,140.929993
"633",142.139999,143.300003,140.479996,141.919998,801800,141.919998
"634",142.729996,142.729996,138.059998,138.169998,610100,138.169998
"635",139.25,141.779999,138.940002,140.669998,344900,140.669998
"636",140.899994,141.240005,134.179993,135.100006,637700,135.100006
"637",135.320007,135.820007,130.550003,132.860001,608300,132.860001
"638",132.449997,133.320007,130.899994,130.970001,528300,130.970001
"639",130.830002,130.929993,128.339996,130.690002,591700,130.690002
"640",131.059998,133.149994,130.520004,131.600006,444500,131.600006
"641",132.490005,135.699997,132.220001,134.979996,694300,134.979996
"642",136.139999,140.660004,136,140.490005,524200,140.490005
"643",139.470001,143.830002,139.449997,143.679993,427000,143.679993
"644",143.429993,143.429993,140.360001,141.130005,492200,141.130005
"645",142.259995,143.720001,140.5,141.190002,330300,141.190002
"646",140.559998,141.020004,137.270004,139.419998,696500,139.419998
"647",132.479996,143.610001,129.509995,137.220001,881600,137.220001
"648",136.880005,137.259995,130.389999,131.009995,627000,131.009995
"649",130.009995,130.960007,123.209999,125.970001,959800,125.970001
"650",123.470001,125.029999,118,118.5,951800,118.5
"651",115.349998,118.650002,113.669998,118.059998,929600,118.059998
"652",120.18,123,118.290001,120.059998,468500,120.059998
"653",117.25,119.480003,116.220001,118.970001,593900,118.970001
"654",120.440002,124.830002,120.010002,124.739998,541600,124.739998
"655",123.879997,124.559998,120.239998,121.709999,329300,121.709999
"656",120.120003,120.629997,117.75,118.620003,350000,118.620003
"657",118.589996,123.709999,117.43,121.980003,368500,121.980003
"658",118.760002,119.410004,115.699997,116.449997,471000,116.449997
"659",116.800003,117.699997,115.339996,116.620003,383300,116.620003
"660",117.220001,119.900002,117.220001,119.419998,439900,119.419998
"661",122.879997,125.440002,121.57,124.160004,492000,124.160004
"662",123.540001,125.290001,122.559998,123.18,388500,123.18
"663",124.529999,126.099998,123.150002,124.239998,298100,124.239998
"664",125.169998,125.739998,123.099998,124.669998,262400,124.669998
"665",123.25,123.580002,116.169998,118.260002,518500,118.260002
"666",120.699997,121.160004,117.220001,117.919998,522700,117.919998
"667",119.120003,119.800003,115.900002,116.519997,336600,116.519997
"668",115.980003,118.379997,115.209999,117.900002,277500,117.900002
"669",120.389999,123.150002,120.040001,122.620003,318600,122.620003
"670",123.239998,124.019997,121.889999,123.730003,378200,123.730003
"671",122.080002,122.080002,117.190002,117.260002,502300,117.260002
"672",119.870003,125.139999,119.599998,124.690002,509000,124.690002
"673",127.910004,135.899994,127.120003,134.369995,675600,134.369995
"674",134.949997,135.509995,132.410004,133.509995,487500,133.509995
"675",135.199997,138.580002,134.009995,138.429993,414100,138.429993
"676",137.389999,142.820007,136.300003,142.770004,474600,142.770004
"677",144.089996,148.979996,141.600006,148.869995,664600,148.869995
"678",149.169998,150,146.039993,146.820007,396100,146.820007
"679",147.440002,148.410004,145.800003,146.339996,318600,146.339996
"680",145.330002,146.389999,143.440002,145.460007,234500,145.460007
"681",144.850006,144.850006,141.649994,141.869995,236800,141.869995
"682",141.529999,141.529999,136.949997,139.190002,401300,139.190002
"683",138.75,139.449997,136.279999,137.050003,289800,137.050003
"684",137.270004,138.289993,132.759995,133.080002,454300,133.080002
"685",131.990005,135.139999,131.330002,133.830002,352600,133.830002
"686",135.350006,135.350006,129.300003,129.910004,337000,129.910004
"687",130.399994,134.509995,128.639999,134.220001,385900,134.220001
"688",134.389999,134.529999,132.270004,134.080002,227100,134.080002
"689",134.679993,135.770004,132.270004,132.830002,201800,132.830002
"690",134.199997,136,133,135.600006,272700,135.600006
"691",137.179993,138.779999,131.440002,132.360001,313000,132.360001
"692",130.119995,130.580002,126.769997,128.919998,461200,128.919998
"693",128.899994,129.740005,126.690002,128.779999,345300,128.779999
"694",129.270004,132.270004,125.019997,131.820007,340500,131.820007
"695",130.860001,132.820007,130.270004,131.679993,296800,131.679993
"696",129.259995,129.869995,124.550003,124.720001,401000,124.720001
"697",126.269997,128.220001,125.440002,127.080002,273000,127.080002
"698",127,131.419998,127,129.960007,418500,129.960007
"699",133.860001,137.429993,133.160004,136.009995,414800,136.009995
"700",130.729996,130.729996,125.160004,125.400002,614200,125.400002
"701",125.870003,132.990005,125.529999,131.839996,476700,131.839996
"702",131.770004,132.570007,128.589996,130.089996,319000,130.089996
"703",130.979996,135.860001,130.929993,134.949997,272600,134.949997
"704",134.350006,135.179993,132.960007,134.759995,239300,134.759995
"705",136.389999,138.190002,135.190002,136.740005,385800,136.740005
"706",137.130005,139.850006,135.869995,139.649994,288600,139.649994
"707",138.759995,139.220001,135.75,136.929993,346900,136.929993
"708",138.449997,139.690002,137.559998,139.100006,192600,139.100006
"709",139.350006,143.460007,139.270004,143.070007,276300,143.070007
"710",144.699997,146.460007,143.720001,143.830002,445400,143.830002
"711",130,134.149994,122.739998,124.449997,1633800,124.449997
"712",125.010002,133.960007,122.970001,133.559998,1002900,133.559998
"713",133.710007,134.710007,130.259995,134.279999,577800,134.279999
"714",134.649994,139.789993,134.649994,139.690002,549300,139.690002
"715",142.360001,145.979996,141.080002,145.509995,592400,145.509995
"716",145.729996,153.509995,145.729996,153.100006,821300,153.100006
"717",152.410004,152.410004,147.350006,148.539993,623900,148.539993
"718",150.610001,152.470001,147.779999,148.009995,421200,148.009995
"719",147.759995,148.580002,145.779999,147.25,384900,147.25
"720",146.009995,146.660004,142.710007,142.789993,389700,142.789993
"721",142.720001,143.729996,139.960007,140.899994,415500,140.899994
"722",140.169998,141.309998,138.839996,139.820007,343300,139.820007
"723",139.089996,140.429993,138.699997,139.160004,257800,139.160004
"724",140.699997,142.490005,139.550003,140.850006,362900,140.850006
"725",140.070007,140.979996,136,136.520004,357700,136.520004
"726",137.889999,138.130005,136.190002,137.550003,328000,137.550003
"727",136.100006,138.509995,135.639999,137.139999,345700,137.139999
"728",137.169998,138.889999,136.309998,138.529999,274700,138.529999
"729",138.509995,139.740005,137.059998,139.419998,244700,139.419998
"730",140.649994,142.869995,139.740005,142.779999,392700,142.779999
"731",142.089996,143.639999,140.389999,140.850006,243500,140.850006
"732",141.029999,144.970001,141.029999,144.820007,302800,144.820007
"733",144.270004,144.820007,141.979996,142.089996,206500,142.089996
"734",142.949997,144.5,138.949997,139.259995,396600,139.259995
"735",136.309998,139.789993,134.429993,139.570007,340200,139.570007
"736",141.600006,144.220001,141.600006,143.25,334800,143.25
"737",142.25,142.600006,138.429993,140.169998,366000,140.169998
"738",142.190002,143.550003,141.619995,141.979996,302400,141.979996
"739",141.940002,141.990005,137.320007,137.380005,296700,137.380005
"740",137.509995,139.399994,136.429993,136.809998,391700,136.809998
"741",137.380005,141.649994,137.380005,138.639999,254100,138.639999
"742",138.850006,143.979996,137.550003,143.199997,918500,143.199997
"743",143.139999,146.949997,141.529999,144.619995,488000,144.619995
"744",146,148.789993,145.089996,145.779999,348400,145.779999
"745",146.5,148.889999,145.389999,148.720001,313700,148.720001
"746",148.820007,149.910004,146.830002,147.389999,471500,147.389999
"747",148.009995,148.259995,145.860001,146.289993,335900,146.289993
"748",147.770004,148,142.339996,142.970001,654300,142.970001
"749",143.649994,144.960007,142.860001,144.639999,261900,144.639999
"750",144.940002,144.940002,143.759995,144.649994,125200,144.649994
"751",145,146.520004,144.449997,146.149994,185700,146.149994
"752",146.559998,146.869995,143.639999,143.919998,223000,143.919998
"753",143.850006,144.130005,141.330002,143.419998,232400,143.419998
"754",142.630005,145.320007,142.630005,144.919998,231400,144.919998
"755",146.990005,147.600006,144.789993,146.479996,487500,146.479996
"756",143.479996,144.960007,140.399994,141.820007,311300,141.820007
"757",140.399994,143.619995,138.479996,143.270004,468600,143.270004
"758",144.220001,145.369995,143,144.100006,292000,144.100006
"759",143.229996,144.850006,140.039993,144.050003,520700,144.050003
"760",145.460007,145.5,139.529999,139.639999,461500,139.639999
"761",140.339996,140.580002,135.119995,135.270004,580100,135.270004
"762",135.610001,137.759995,133.029999,137.080002,550100,137.080002
"763",137.470001,140.320007,137.470001,139.210007,424700,139.210007
"764",138.720001,141.880005,138.380005,139.75,429700,139.75
"765",141.190002,146.210007,141.039993,145.020004,434300,145.020004
"766",145.710007,147.539993,145.240005,145.949997,390300,145.949997
"767",144.460007,145.589996,143.710007,144.850006,282800,144.850006
"768",145.490005,147.850006,145.490005,146.210007,307200,146.210007
"769",145.669998,147.130005,143.970001,146.839996,251200,146.839996
"770",147.889999,148.630005,143.440002,144.330002,331900,144.330002
"771",139.529999,139.529999,134.009995,134.669998,428500,134.669998
"772",136.309998,137.979996,134.710007,136.690002,419800,136.690002
"773",135.610001,136.960007,129.970001,130.070007,456300,130.070007
"774",129.210007,131.460007,126.760002,131.130005,561500,131.130005
"775",130.050003,130.929993,127.410004,127.669998,609300,127.669998
"776",129.289993,132.919998,127.93,132.809998,386900,132.809998
"777",135.720001,140.520004,135.720001,140.289993,350100,140.289993
"778",143.199997,143.199997,139,140.410004,299800,140.410004
"779",141.759995,143.639999,138.5,141.449997,311200,141.449997
"780",139.699997,139.699997,133.360001,133.550003,436300,133.550003
"781",132.779999,138.169998,132.100006,138.169998,372300,138.169998
"782",139.860001,145,139.860001,140.75,378700,140.75
