"","BDX.Open","BDX.High","BDX.Low","BDX.Close","BDX.Volume","BDX.Adjusted"
"998",246.449997,249.630005,246.009995,248.699997,1172500,246.207306
"999",248.449997,253.229996,247,252.089996,2750700,249.563339
"1000",249.360001,250.399994,245.270004,247.860001,938600,245.375732
"1001",247.410004,248.479996,245.229996,245.899994,941100,243.435379
"1002",247.080002,247.229996,244.179993,244.25,919500,241.801926
"1003",244.899994,249.25,244.899994,247.990005,440000,245.50444
"1004",248.800003,249.869995,247.289993,248.149994,644500,245.662827
"1005",249.410004,250.75,247.279999,248.350006,817000,245.86084
"1006",248.610001,249.339996,246.589996,246.679993,667300,244.207565
"1007",247.229996,250.779999,246.759995,250.220001,697600,247.712082
