"","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume","GPN.Adjusted"
"1",69.980003,70.949997,69.040001,70.5,1640300,69.80632
"2",70.690002,73.129997,70.440002,73.129997,1769700,72.410431
"3",72.769997,73.940002,72.769997,73.419998,1741400,72.697578
"4",73.550003,74.610001,73.220001,74.449997,1581600,73.717453
"5",78.400002,80.879997,78.059998,79.790001,3860200,79.004898
"6",80.260002,80.449997,77.860001,77.879997,2196700,77.113693
"7",77.330002,78.410004,77.209999,78.230003,1330000,77.460251
"8",77.809998,77.959999,76.720001,77.599998,1660300,76.836449
"9",77.470001,78.080002,77.239998,77.739998,1104700,76.97506
"10",77.349998,78.129997,77.18,78.040001,1204600,77.272118
"11",78.279999,79.360001,78.139999,78.620003,1759800,77.846428
"12",79.160004,79.620003,78.75,79.389999,2011900,78.608833
"13",79.470001,79.839996,78.760002,79.080002,1443000,78.301888
"14",78.870003,79.07,77.809998,78.389999,1192600,77.618683
"15",78.389999,79.099998,78.239998,79.029999,953900,78.252388
"16",79.279999,79.540001,77.970001,78.279999,1260300,77.509758
"17",77.699997,78.029999,76.709999,76.800003,1292700,76.044334
"18",77.580002,77.980003,76.860001,77.440002,1222900,76.678024
"19",77.099998,77.889999,75.879997,77.809998,1287600,77.044411
"20",77.709999,77.709999,76.650002,77.279999,790500,76.5196
"21",77.589996,77.849998,76.440002,77.050003,1188600,76.29187
"22",76.629997,77.099998,76.029999,76.720001,1062600,75.965103
"23",77.290001,79.290001,77.139999,78.599998,2023500,77.826599
"24",78.050003,78.5,77.620003,78.18,931400,77.410759
"25",78.129997,79.379997,77.849998,78.699997,1376200,77.925636
"26",78.540001,79.779999,78.059998,79.07,1002500,78.301933
"27",78.970001,79.330002,78.110001,78.620003,1103500,77.856331
"28",78.470001,78.989998,78.25,78.470001,947600,77.707756
"29",78.830002,78.910004,78.220001,78.220001,767700,77.46019
"30",78.150002,79.300003,77.970001,79.209999,858100,78.440575
"31",78.800003,79.029999,78.349998,78.959999,647100,78.192993
"32",78.900002,79.029999,77.510002,77.669998,822000,76.915535
"33",77.599998,77.970001,76.879997,77.949997,1752200,77.192833
"34",78.07,79.080002,78.029999,78.849998,903300,78.084076
"35",78.779999,79.300003,78.290001,78.699997,920900,77.935539
"36",79.089996,79.089996,77.599998,78.209999,1291500,77.450302
"37",77.980003,78.970001,77.379997,78.970001,1145800,78.202904
"38",79.209999,80,79.129997,79.900002,1463900,79.123878
"39",79.599998,80.419998,79.150002,79.690002,1982900,78.915932
"40",80.419998,81,79.32,79.449997,2212700,78.67823
"41",79.220001,79.269997,78.07,78.269997,1257700,77.509712
"42",78.330002,80.959999,78.260002,80.610001,2220600,79.826988
"43",80.360001,80.510002,79.18,80.209999,1363800,79.430855
"44",80.080002,81.559998,79.910004,80.889999,1773800,80.104263
"45",80.900002,81.260002,80.230003,80.269997,1165000,79.490273
"46",80.290001,80.650002,79.190002,79.669998,937100,78.896111
"47",79.75,80.279999,78.790001,79.139999,1306900,78.371254
"48",79.050003,79.779999,78.879997,79.669998,734300,78.896111
"49",79.629997,80,78.800003,79.07,597400,78.301933
"50",79.330002,79.330002,78.150002,78.730003,1400700,77.96524
"51",78.839996,79.709999,78.540001,79.699997,1018900,78.925819
"52",79.93,80.269997,79.620003,80.029999,1107400,79.252602
"53",80.029999,80.029999,79.25,79.379997,867500,78.608932
"54",79.779999,79.830002,78.169998,78.25,997100,77.489899
"55",78.290001,79.330002,78.209999,79.07,597700,78.301933
"56",78.82,79.839996,78.589996,78.940002,1014500,78.173218
"57",79.260002,79.470001,78.269997,78.419998,1567900,77.658249
"58",77.709999,78.389999,77.309998,78.120003,1366000,77.361176
