"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"1",91.790001,92,90.919998,91.230003,5020900,71.032211
"2",90.529999,91.120003,90.120003,90.419998,6695000,70.401527
"3",90.690002,91.760002,90.529999,91.129997,4840100,70.95433
"4",91.389999,91.959999,90.730003,91.839996,3826100,71.507141
"5",91.089996,91.440002,90.830002,91.309998,3529300,71.094482
"6",91.660004,91.660004,90.309998,90.519997,4203400,70.479393
"7",90.650002,90.959999,90.330002,90.440002,3603500,70.417099
"8",90.449997,90.860001,90.25,90.510002,3000700,70.471588
"9",90.419998,90.699997,89.970001,90.400002,3054600,70.385948
"10",90.629997,92.559998,90.150002,92.360001,6363300,71.912033
"11",92.599998,93.519997,92.540001,93.489998,5236800,72.791847
"12",93.360001,93.970001,93.230003,93.849998,5563300,73.072128
"13",94.129997,94.68,94.07,94.57,5628700,73.632721
"14",94.610001,94.809998,94.32,94.760002,3350300,73.780685
"15",94.919998,95.940002,94.879997,95.779999,4945300,74.574852
"16",95.669998,96.970001,95.489998,96.389999,5353000,75.049797
"17",96.559998,96.889999,96.260002,96.360001,3524500,75.026443
"18",96.580002,96.839996,95.830002,96.32,3055200,74.995308
"19",96.510002,96.519997,95.629997,95.959999,3403200,74.715012
"20",96.110001,96.389999,95.75,96.129997,4173400,74.847374
"21",95.610001,97,95.199997,95.949997,5263800,74.707207
"22",97.93,99.32,97.25,98.839996,6169600,76.95739
"23",99.18,101.43,99.099998,101.110001,6655200,78.724823
"24",100.830002,100.839996,99.919998,100,5905700,77.860558
"25",100,101.779999,99.940002,101.629997,5450100,79.129692
"26",101.449997,102.989998,101.389999,102.629997,4881500,79.908302
"27",102.330002,102.910004,101.730003,102.769997,3125800,80.017311
"28",102.32,102.839996,101.790001,102.629997,3412700,79.908302
"29",102.809998,103.129997,102.199997,102.730003,2886500,79.98616
"30",102.669998,102.889999,101.790001,102.580002,3311900,79.86937
"31",102.290001,103.040001,101.769997,102.93,3396000,80.141884
"32",102.900002,103.129997,102.32,102.989998,4888600,80.188622
"33",102.93,103.730003,102.769997,103.660004,5093000,80.710258
"34",103.370003,104.75,103.050003,104.559998,4570200,81.411011
"35",104.489998,104.870003,103.800003,104.529999,3660500,81.387657
"36",104.949997,106.669998,104.760002,106.519997,4286100,82.937073
"37",106.440002,107.769997,105.800003,107.720001,5549700,83.871399
"38",107.529999,108.900002,107.230003,108.699997,5557300,84.634422
"39",108.309998,109.989998,108.300003,109.349998,7336600,85.140518
"40",109,110.300003,108.68,110.220001,5140700,85.817909
"41",110,110.300003,109.519997,109.800003,4419500,85.490906
"42",109.610001,110.25,109.269997,110.209999,3722400,85.810143
"43",109.809998,110.169998,109.459999,109.730003,7192100,85.436394
"44",109.519997,110.639999,109.5,110.550003,3929100,86.07486
"45",110.190002,110.5,109.389999,109.720001,3681100,85.428596
"46",109.980003,110.5,109.709999,110.279999,3465900,85.864647
"47",110.5,110.709999,110.099998,110.540001,5141600,86.067062
"48",110.669998,111.099998,110.389999,111.019997,3166300,86.440796
"49",110.720001,111.379997,110.419998,110.769997,3518600,86.24614
"50",111,112.760002,110.959999,112.419998,3665600,87.530838
"51",112.800003,112.949997,112.029999,112.699997,4002000,87.748856
"52",113.199997,114.459999,112.730003,113,8831000,87.98243
"53",113.040001,114.110001,113,114.010002,5682600,88.768845
"54",113.300003,114.650002,113.190002,113.489998,6947200,89.177429
"55",113.900002,114.099998,112.849998,113,5343100,88.792397
"56",112.830002,113.809998,112.68,112.949997,4522100,88.753105
"57",112.32,112.32,110.010002,111.790001,6601600,87.841621
"58",111.230003,112.57,110.800003,112.379997,4521600,88.305229
"59",112.139999,112.949997,111.589996,112.800003,4000900,88.635262
"60",112.739998,113.529999,112.470001,113.400002,3613200,89.106705
"61",113.160004,114.059998,112.870003,113.519997,2968100,89.201004
"62",113.540001,113.720001,112.870003,112.900002,3790700,88.713821
"63",112.910004,113.400002,112.550003,112.910004,3333400,88.721695
"64",113.169998,113.669998,113.040001,113.449997,7336000,89.146004
"65",113.5,114.059998,113.059998,113.190002,4072800,88.941711
"66",113.379997,113.769997,112.379997,112.589996,4358900,88.470245
"67",112.860001,114.019997,112.830002,113.599998,5636900,89.26387
"68",113.599998,113.970001,112.830002,113.050003,4973500,88.831688
"69",113.480003,113.68,113,113.419998,3587100,89.122421
