"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"1",62.48,63.34,61.880001,62.580002,4199000,56.723545
"2",62.75,63.619999,62.610001,63.470001,2615300,57.530251
"3",63.509998,64,62.889999,63.799999,2474400,57.829369
"4",63.639999,63.77,63.119999,63.32,2725700,57.394291
"5",63.119999,63.150002,61.720001,62.650002,3964000,56.787003
"6",62.549999,62.560001,61.080002,61.209999,3908100,55.48175
"7",61.349998,61.77,61,61.459999,2438000,55.708363
"8",61.68,61.849998,61.110001,61.689999,2158800,55.91684
"9",61.669998,62.119999,61.599998,61.990002,1466600,56.188759
"10",61.950001,62.560001,61.77,62.32,1934700,56.487869
"11",62.529999,62.93,62.209999,62.740002,1908700,56.868572
"12",62.610001,62.790001,61.84,62.34,2175000,56.506001
"13",62.66,63.080002,61.869999,62.57,2192200,56.714474
"14",62.5,62.5,61.540001,61.75,1651400,55.97121
"15",61.919998,62.509998,61.560001,62.360001,1949600,56.524139
"16",62.509998,62.830002,62.310001,62.630001,1845100,56.768867
"17",62.650002,62.66,61.669998,61.709999,2172200,55.934963
"18",61.720001,62.799999,61.48,62.77,1325300,56.895763
"19",62.57,62.82,62.049999,62.57,1795200,56.714474
"20",62.619999,62.990002,62.209999,62.790001,2315400,56.913887
"21",62.560001,64.540001,62.279999,64.300003,2789800,58.282585
"22",64.300003,65.550003,64.019997,65.18,3505000,59.080227
"23",65.540001,66.089996,64.940002,65.389999,4047100,59.270573
"24",67,67.139999,62.099998,63.130001,9131200,57.222084
"25",63.41,66.279999,63.150002,64.650002,6440000,58.599834
"26",64.580002,65.209999,64.440002,65.050003,3491600,58.962391
"27",65.050003,65.940002,64.739998,65.389999,2736000,59.270573
"28",65.480003,65.489998,64.75,65.059998,2686000,58.971447
"29",65.279999,65.470001,65,65.300003,1748000,59.188999
"30",65,65.459999,64.690002,65,2001600,58.917068
"31",65.010002,65.43,64.809998,65.330002,2342900,59.216183
"32",65.239998,65.360001,63.849998,64.900002,3815000,58.826435
"33",64.709999,65.400002,64.279999,65.260002,2850500,59.152737
"34",65.370003,65.870003,63.16,63.310001,6414500,57.385231
"35",63.349998,64.010002,62.639999,63.220001,4537300,57.303654
"36",63.259998,63.59,62.490002,62.82,2389500,56.941086
"37",62.439999,63.25,62.119999,62.68,2895600,56.814182
"38",62.630001,62.82,62.02,62.360001,2888500,56.727768
"39",62.200001,62.93,62.16,62.560001,2875200,56.909706
"40",62.630001,64.32,62.599998,64.199997,3966200,58.401577
"41",64.360001,64.360001,63.029999,63.099998,2810000,57.400936
"42",63.080002,63.639999,62.709999,63.599998,2265400,57.85577
"43",61.700001,62.299999,61.009998,61.990002,4862000,56.391178
"44",61.84,62.560001,61.759998,61.889999,3232600,56.300217
"45",62.02,62.799999,61.700001,61.919998,2702000,56.327499
"46",62.139999,62.389999,61.939999,62.290001,1495900,56.664089
"47",62.389999,63.66,62.389999,63.549999,2478000,57.810287
