"","LIN.Open","LIN.High","LIN.Low","LIN.Close","LIN.Volume","LIN.Adjusted"
"279",145.289993,150.630005,144.699997,149.479996,3116200,139.669785
"280",150.869995,154.979996,150.5,153.75,3099700,143.659546
"281",152.729996,154.449997,152.080002,153.830002,1402800,143.734283
"282",152.25,156.240005,152,155.070007,1622000,144.892929
"283",156.270004,156.309998,153.119995,155.800003,1634200,145.575012
"284",154.550003,155.130005,153.199997,153.610001,1589400,143.528748
"285",152.25,154.259995,151.639999,153.600006,2590500,143.519409
"286",153.470001,155.740005,152.740005,152.740005,1834100,142.715836
"287",153.869995,154.960007,153.139999,153.669998,1627100,143.584793
"288",154.309998,155.740005,152.550003,155.619995,1593400,145.406815
"289",155.440002,155.979996,153.660004,155.830002,1018600,145.603058
"290",154.899994,155.320007,153.550003,154,1239400,143.893158
"291",154.149994,154.5,149.660004,149.75,1541700,139.922058
"292",149.210007,150.080002,146.589996,147.919998,1918000,138.212143
"293",147.240005,149.979996,146.649994,149.429993,1420600,139.623047
"294",148.809998,153.419998,148.509995,152.740005,1852900,142.715836
"295",153.059998,154.669998,151.770004,153.649994,1470000,144.345764
"296",152.550003,155.800003,152.309998,155.100006,1821700,145.707962
"297",155.740005,158.089996,155.440002,157.880005,2190900,148.319626
"298",157.949997,160.179993,157.149994,160.089996,1340300,150.395767
"299",162.649994,163.470001,160.119995,161.110001,1787800,151.354004
"300",161.880005,161.990005,159.070007,160.369995,1678500,150.658813
"301",160.940002,161.240005,157.479996,157.539993,1611600,148.000183
"302",157.589996,158.429993,155.550003,155.669998,1491600,146.243423
"303",154.649994,155.339996,153.149994,154.320007,2276000,144.975189
"304",150.259995,152.309998,148.550003,149.580002,2058400,140.522232
"305",150.580002,151.139999,149.869995,150.220001,837700,141.123459
"306",150.600006,152.880005,149.990005,151.710007,826700,142.523239
"307",150.059998,150.669998,145.899994,146.089996,1351300,137.243561
"308",146.850006,147.550003,142.139999,142.550003,1232100,133.917938
"309",145,146.460007,143.669998,146.110001,1068200,137.262314
"310",146.179993,147.149994,143.149994,144.110001,856500,135.383453
"311",144.449997,144.820007,141.360001,142.160004,1236200,133.551529
"312",140.660004,145.360001,140.259995,144.300003,1461000,135.561935
