"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"1",88.550003,89.599998,87.790001,88.870003,3441100,81.667137
"2",89.129997,90.769997,89.129997,90.300003,2630900,82.981232
"3",89.839996,89.93,87.599998,88.379997,2223900,81.21685
"4",88.769997,89.18,88.089996,88.599998,1795800,81.419014
"5",88.220001,88.400002,87.400002,87.440002,2122800,80.353035
"6",87.809998,89.370003,87.440002,88.980003,3141200,81.768234
"7",88.989998,89.25,88.010002,89.139999,1885100,81.915268
"8",88.720001,88.849998,86.779999,87.889999,2064300,80.766571
"9",88.419998,89.739998,88.419998,88.849998,2327800,81.648735
"10",88.199997,88.199997,86.050003,86.370003,2192300,79.369774
"11",86.940002,87.32,85.769997,87.279999,1706400,80.206001
"12",87.370003,87.589996,86.339996,86.720001,1696700,79.691399
"13",86.720001,88,86.690002,87.339996,1684500,80.261131
"14",87.050003,87.779999,86.510002,86.870003,2821000,79.829239
"15",87.519997,89.139999,86.989998,88.730003,2711800,81.538498
"16",87.830002,88.830002,87.120003,88.379997,5304100,81.21685
"17",88.5,89.720001,87.82,89.709999,3004700,82.439049
"18",89.959999,90,88.93,89.150002,2195200,81.924438
"19",89.150002,89.150002,87.379997,88.809998,3550400,81.611992
"20",88.279999,88.660004,86.68,87.389999,2880400,80.307083
"21",88.099998,88.949997,87.230003,87.510002,2263100,80.417366
"22",86.739998,87,85.839996,86.339996,2147700,79.342194
"23",87.940002,88.080002,86.660004,87.919998,2891200,80.794128
"24",87.349998,88.400002,87.18,87.620003,1430600,80.518448
"25",88.099998,88.419998,87.199997,88.110001,3514000,80.968742
"26",87.599998,87.910004,87.050003,87.540001,2052600,80.444923
"27",87.139999,88.699997,87.110001,88.540001,1809200,81.737381
"28",88.889999,88.889999,88.089996,88.400002,1617300,81.608131
"29",88.769997,89.580002,88.709999,89.029999,1791300,82.18972
"30",89.010002,90.510002,88.699997,90.18,2148200,83.251366
"31",90.489998,91.360001,89.610001,90.93,2297700,83.943756
"32",90.980003,91.25,89.82,90.510002,1801000,83.556
"33",90.339996,92.040001,90.080002,91.809998,4044700,84.756119
"34",91.699997,93.57,91.610001,92.849998,3825200,85.716232
"35",92.419998,93.239998,92.089996,92.889999,1821400,85.753151
"36",93.25,93.519997,92.889999,93.410004,2143000,86.233192
"37",92.529999,92.800003,91.769997,92.610001,2252300,85.494675
"38",92.389999,93.720001,92.059998,93.660004,1730400,86.464005
"39",93.040001,93.93,92.989998,93.860001,3122400,86.648643
"40",95,96.919998,94.809998,96.120003,3387900,88.734993
"41",96.209999,96.330002,94.279999,94.330002,1625900,87.08252
"42",94.190002,94.639999,93.330002,93.940002,2539200,86.722488
"43",93.5,93.68,92.849998,93,1936800,85.854698
"44",93.07,93.339996,92.489998,92.82,1641300,85.688545
"45",94.019997,94.43,92.279999,92.400002,2028600,85.300797
"46",92.769997,93.349998,91.849998,92.110001,1653500,85.033081
"47",92.82,93,91.57,92.190002,1644300,85.106941
"48",92.199997,92.410004,91.650002,91.790001,1830200,84.737671
"49",91.360001,91.779999,90.779999,91.75,1730800,84.700745
"50",91.010002,91.959999,89.129997,89.919998,3179000,83.011337
"51",90.379997,91.089996,89.959999,90.209999,1781900,83.27906
"52",90.43,90.699997,88.010002,88.230003,3388300,81.45118
"53",88.110001,88.230003,86.580002,86.779999,2802000,80.112595
"54",87.099998,87.099998,83.339996,83.650002,4559000,77.223061
"55",83.080002,84.440002,82.150002,83.68,3133700,77.250763
"56",83.599998,85.059998,83.230003,83.779999,2671200,77.343071
"57",83.989998,84.519997,83.18,83.800003,1966100,77.361549
"58",81.93,82.870003,81.32,82.129997,4282100,75.819855
"59",82.010002,84.629997,81.900002,84.169998,3789300,77.703125
"60",84.889999,85.190002,84.029999,84.68,2488400,78.173943
"61",84.82,87.260002,84.519997,87.139999,4081700,80.444923
"62",86.669998,87.239998,86.279999,86.660004,2661900,80.001823
"63",86.879997,86.910004,84.669998,85.800003,3158800,79.207878
"64",85.379997,85.900002,85.120003,85.260002,1840300,78.709358
"65",86.580002,86.620003,83.980003,84.129997,2483700,77.666199
"66",83.93,84.75,82.550003,84.230003,4378900,77.758522
"67",83.25,84.330002,82.790001,83.540001,2767300,77.121536
"68",83.550003,83.82,82.529999,82.769997,2463300,76.410683
"69",82.400002,83.110001,81.620003,83.089996,2351200,76.706093
"70",82.639999,83.169998,82.029999,82.419998,2317100,76.087578
"71",82.050003,82.959999,80.900002,81.019997,3400100,74.795143
"72",80.580002,83.029999,80.050003,83,3759400,76.623024
"73",82.550003,83.220001,81.160004,81.900002,3119400,75.607521
"74",82.43,82.919998,81.580002,81.910004,2157800,75.61676
"75",82.330002,84.050003,82.330002,83.720001,2945300,77.287697
"76",83.639999,83.959999,82.650002,82.669998,2524900,76.318382
"77",84.629997,85.050003,84.139999,84.68,2897700,78.173943
"78",85.370003,86.029999,85.220001,85.580002,3480200,79.004791
"79",82,84.260002,81.989998,83.059998,7440300,76.678391
"80",83.190002,83.620003,82.260002,82.309998,3611600,75.986023
"81",81.43,82.169998,79.910004,80.379997,6153800,74.204315
"82",81.169998,81.989998,80.760002,81.57,3555300,75.302887
"83",81.580002,82.470001,80.970001,82.459999,3046100,76.124496
"84",82.080002,82.82,81.779999,82.489998,2456600,76.152199
"85",83.019997,83.209999,82.169998,82.489998,3176200,76.152199
"86",82.879997,82.989998,82,82.269997,2326600,75.949097
"87",82.339996,82.410004,81.839996,82.120003,1760800,75.810631
"88",82.199997,82.809998,81.82,82.32,2786100,75.995262
"89",82.019997,82.440002,81.529999,81.669998,2831700,75.39521
"90",80.989998,81.279999,79.660004,80.160004,3771600,74.36544
"91",79.830002,80.360001,78.690002,79.400002,3953300,73.660378
"92",80.010002,81.550003,80.010002,81.150002,2563500,75.283852
"93",81.309998,81.419998,80.559998,80.690002,1985200,74.857109
"94",80.690002,80.690002,78.169998,78.470001,3149600,72.797607
"95",78.459999,80.139999,78.339996,79.269997,5927100,73.53978
"96",79.57,81.099998,79.25,80.269997,2796300,74.467491
"97",80.730003,80.93,79.279999,79.629997,2404800,73.873749
"98",79.690002,80.68,79.110001,80.339996,1995100,74.532425
"99",80.349998,80.349998,79.75,79.919998,1582300,74.142769
"100",79.900002,80.510002,79.18,79.510002,2122400,73.762428
"101",79.5,80.110001,79.080002,79.790001,2365600,74.022171
"102",79.400002,79.589996,78.230003,78.279999,2361700,72.621338
"103",78.389999,78.389999,76.050003,76.919998,4272400,71.35965
"104",77.459999,77.970001,76.809998,77.919998,3298700,72.287354
"105",77.419998,78.339996,76.910004,78.040001,2529400,72.398682
"106",78.050003,78.830002,77.779999,78.330002,2017300,72.667732
"107",77.769997,78.43,77.099998,78.269997,2507300,72.612045
"108",78.519997,79.519997,78.209999,78.900002,2442400,73.19651
"109",78.900002,80.160004,78.790001,79.419998,2328600,73.678932
"110",80.07,80.419998,79.309998,80.07,3484200,74.281952
"111",80.150002,80.959999,79.610001,80.169998,2638200,74.374725
"112",80.5,80.919998,79.849998,80.57,2690700,74.745819
"113",79.459999,80.199997,78.459999,80.089996,2858400,74.300514
"114",79.610001,81.550003,79.489998,81.349998,3871300,75.469398
"115",81.459999,81.650002,80.93,81.309998,3266400,75.432304
"116",81.730003,81.949997,81.290001,81.730003,3232200,75.821945
"117",81.629997,81.75,81.089996,81.220001,2695800,75.348824
"118",81.300003,81.300003,80.690002,80.879997,2602300,75.033394
"119",80.730003,80.830002,80.07,80.389999,2241000,74.578819
"120",80.75,80.779999,79.370003,79.519997,3163900,73.771706
"121",79.889999,80.839996,79.620003,80.589996,2149000,74.764366
"122",80.849998,82.239998,80.760002,81.379997,2045500,75.497246
