"","CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted"
"1",290.23999,291.440002,282.540009,285.769989,1697700,285.769989
"2",286.980011,292.079987,284.230011,291.549988,1632500,291.549988
"3",289.75,297.130005,289.730011,296.170013,1711900,296.170013
"4",296.119995,298.790009,294.459991,298.160004,1101300,298.160004
"5",297.200012,297.940002,294.709991,296.26001,1719500,296.26001
"6",296.660004,300.149994,293.459991,298.200012,1510100,298.200012
"7",297.450012,300.040009,296.100006,299.540009,1238000,299.540009
"8",298.049988,298.23999,294.559998,297.190002,1415400,297.190002
"9",297.309998,300.070007,296.890015,298.429993,1023500,298.429993
"10",294.019989,306.369995,292.839996,306.140015,3907500,306.140015
"11",306.149994,307.320007,302.089996,303.690002,1220600,303.690002
"12",302.929993,307.76001,301.279999,306.130005,1140400,306.130005
"13",307.640015,309.179993,306.160004,308.440002,1327000,308.440002
"14",307.200012,309.850006,306.170013,308.700012,1762400,308.700012
"15",309.73999,310.209991,307.01001,308.350006,1058800,308.350006
"16",309.149994,311.200012,307.160004,310.309998,1114700,310.309998
"17",333.369995,341.5,324.809998,333.149994,12359700,333.149994
"18",332.920013,334.119995,316.959991,323.549988,2748900,323.549988
"19",323.480011,325.26001,316.98999,324.799988,2103500,324.799988
"20",322.649994,325.269989,321.029999,323.950012,1005900,323.950012
"21",323.850006,327.01001,321.940002,326.850006,944000,326.850006
"22",325.640015,326.839996,324.190002,324.410004,842500,324.410004
"23",325.429993,329.100006,324.119995,328.709991,1105800,328.709991
"24",327.829987,328.279999,319.179993,322.600006,2395700,322.600006
"25",322.980011,325.390015,321.329987,323.369995,1892100,323.369995
"26",323.549988,327.5,323.200012,325.730011,982700,325.730011
"27",325.839996,326.459991,321.23999,325.070007,1224600,325.070007
"28",325.070007,325.980011,321.609985,324.559998,1035100,324.559998
"29",325,325.119995,319.399994,323.019989,1708100,323.019989
"30",321.910004,323.779999,320.26001,322,1091500,322
"31",321.850006,326.179993,320.019989,325.179993,1380200,325.179993
"32",320,327.329987,317.019989,324.459991,2050800,324.459991
"33",323.869995,327.100006,319.720001,326.549988,1532200,326.549988
"34",324.299988,326.970001,321.51001,325.149994,1283800,325.149994
"35",323.299988,326.119995,322.459991,325.140015,1475200,325.140015
"36",326.089996,326.100006,321.170013,324.429993,1530200,324.429993
"37",324.380005,327.309998,322.720001,326.75,1160200,326.75
"38",326.920013,328.700012,324.910004,326.730011,918200,326.730011
"39",326.029999,326.779999,320.25,323.059998,1292900,323.059998
"40",325.76001,328.100006,321.660004,325.170013,1493000,325.170013
"41",324.679993,324.679993,321.829987,323.950012,897000,323.950012
"42",323.570007,323.570007,320.51001,322.320007,1130500,322.320007
"43",321.26001,324.540009,319.450012,323.769989,765500,323.769989
"44",323.910004,327.040009,322.359985,323.23999,1093500,323.23999
"45",323.170013,325.079987,321.679993,322.600006,1029200,322.600006
"46",322.869995,326.100006,321.429993,323.140015,921400,323.140015
"47",325.570007,325.809998,322.73999,323.480011,728500,323.480011
"48",323.190002,325.559998,323,324.339996,732500,324.339996
"49",323.690002,326.160004,323.630005,324.640015,551600,324.640015
"50",324.839996,326.890015,323.820007,325.380005,1125000,325.380005
"51",324.690002,326.820007,323.339996,323.720001,725000,323.720001
"52",324.950012,326.269989,322.480011,325.809998,1451000,325.809998
"53",326.059998,326.309998,322.429993,324.98999,752800,324.98999
"54",325.230011,326.269989,319.980011,320.660004,801100,320.660004
"55",321.440002,322.26001,318.929993,321.200012,803300,321.200012
"56",320.5,326.75,319.5,323.619995,1001500,323.619995
"57",324.940002,327.73999,323.640015,325.350006,1442000,325.350006
"58",323.73999,325.76001,319.609985,323.140015,1168900,323.140015
"59",322.049988,325.730011,320.600006,324.079987,1190300,324.079987
"60",323.899994,327.119995,323.279999,325.940002,810800,325.940002
"61",325.130005,328.549988,322.579987,328.119995,850600,328.119995
"62",326.730011,330.910004,326.029999,327.320007,1050200,327.320007
"63",327.5,330.809998,325.019989,328.269989,1121600,328.269989
"64",328.399994,334,326.959991,331.519989,1618900,331.519989
"65",332.209991,338.75,329.549988,331.98999,1535100,331.98999
"66",331.75,336.959991,330.549988,336.799988,1638100,336.799988
