"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume","DLR.Adjusted"
"1",98.889999,99.389999,98.029999,99.360001,1412600,84.564789
"2",99.43,103.43,99.129997,102.510002,2490700,87.245728
"3",102.290001,105.32,101.769997,105.239998,2819800,89.569206
"4",104.889999,105.230003,103.690002,104.040001,1262300,88.54789
"5",103.620003,103.870003,102.019997,102.800003,1494300,87.492538
"6",103.010002,103.279999,101.970001,102.360001,1230000,87.118057
"7",102.169998,103.290001,101.949997,102.199997,935600,86.981888
"8",102.040001,103.209999,101.57,102.5,1058500,87.237198
"9",102.239998,102.940002,102.089996,102.290001,718700,87.058487
"10",102.889999,103.769997,102.5,103.339996,1413000,87.952126
"11",102.940002,105,102.849998,104.629997,1854500,89.050034
"12",103.779999,104.900002,103.099998,104.75,983100,89.152176
"13",105.099998,106.400002,105.07,105.800003,1526800,90.04583
"14",105.699997,106.389999,105.519997,106.050003,990300,90.258598
"15",106.089996,107.720001,105.769997,107.349998,1175600,91.365021
"16",107.300003,108,106.5,107.389999,1302400,91.399063
"17",107.589996,108.349998,107,107.57,1296000,91.552284
"18",107.760002,107.800003,105.93,106.43,849100,90.582008
"19",106.540001,106.540001,105.760002,106.419998,774000,90.573502
"20",106.589996,108.07,106.589996,107.629997,1303900,91.603317
"21",107.470001,107.760002,106.220001,106.400002,1019900,90.55648
"22",106.699997,107.5,106.220001,106.870003,955700,90.95649
"23",107.720001,109,107.389999,107.75,964100,91.705437
"24",107.370003,107.610001,105.540001,106.889999,1446500,90.973518
"25",107.010002,107.809998,106.580002,107.139999,663200,91.186302
"26",107.269997,108.540001,106.629997,107.75,868100,91.705437
"27",107.75,108.18,106.660004,107.769997,712800,91.722481
"28",107.720001,108.080002,106.18,107.199997,1801600,91.23735
"29",107.650002,107.970001,107,107.239998,1115900,91.271393
"30",107.199997,107.199997,105,105.300003,1837500,89.620285
"31",104.860001,104.860001,103.440002,104.43,2573500,88.879807
"32",104.739998,105.589996,102.82,103.139999,2274200,87.781906
"33",105.07,106,101.699997,104.150002,2336800,88.641518
"34",104.150002,104.970001,103.879997,104.720001,1520200,89.126656
"35",104.610001,105.800003,103.230003,103.699997,1317300,88.258537
"36",104.099998,106.07,103.540001,105.830002,1299500,90.071342
"37",105.970001,108.410004,105.550003,107.830002,1403700,91.773544
"38",108.029999,108.440002,107.459999,107.610001,671000,91.586304
"39",107.629997,108.43,106.870003,108,1348600,91.918236
"40",107.43,108.550003,106.269997,108.040001,1229500,91.952263
"41",108.040001,108.629997,106.440002,107.360001,908300,91.373535
"42",107.18,108.540001,106.660004,108.330002,794400,92.199097
"43",108,108.160004,106.940002,107.699997,666800,91.66291
"44",107.25,108.220001,106.849998,107.480003,642100,91.47567
"45",107.209999,107.209999,104.290001,104.379997,1769900,88.83725
"46",104.309998,104.949997,103.239998,103.980003,1428000,88.496834
"47",103.980003,105.879997,103.389999,103.900002,870900,88.428726
"48",103.330002,103.489998,101.849998,103.160004,1121500,88.591911
"49",103.150002,103.160004,102.110001,102.400002,862300,87.939232
"50",103,104.769997,103,104.510002,2187900,89.751259
"51",104.400002,104.849998,102.949997,103.410004,1157900,88.806625
"52",103.599998,104.279999,102.879997,102.889999,1790700,88.360054
"53",102.949997,104.379997,102.940002,103.730003,1261900,89.081429
"54",104.110001,105,103.349998,103.459999,885300,88.849533
"55",104.099998,104.879997,103.449997,104.629997,970600,89.854309
"56",104.610001,105.82,104.160004,104.900002,762900,90.086205
"57",105.110001,105.519997,103.669998,103.739998,1230600,89.090012
"58",103.550003,103.940002,102.190002,102.800003,678300,88.282745
"59",103,103.639999,102.220001,103.5,664600,88.883881
"60",103.459999,105.5,103.379997,105.370003,1140300,90.489807
"61",105.010002,105.75,104.540001,105.440002,791600,90.549934
"62",105.129997,106.669998,105.029999,106.389999,1157200,91.365776
"63",106.400002,106.620003,105.169998,106.190002,896100,91.194023
"64",106.199997,106.449997,105.550003,105.879997,695600,90.92778
"65",105.790001,107.779999,105.57,106.879997,831600,91.786575
"66",106.970001,108.32,106.339996,108.230003,933700,92.94593
"67",108.129997,109.410004,107.800003,108.699997,887000,93.349548
"68",108.660004,109.550003,108.400002,109.300003,953500,93.864815
"69",109.389999,109.800003,108.669998,109.419998,637000,93.967888
"70",109.440002,110,109.019997,109.919998,797400,94.397263
"71",109.919998,110.110001,109.360001,109.610001,577800,94.131042
"72",109.949997,111.25,109.559998,111.239998,689100,95.530861
"73",111.110001,112.330002,110.910004,112,1423000,96.183525
"74",112,113.139999,111.639999,113.019997,1158000,97.059502
"75",113.029999,113.580002,112.620003,113.279999,1058400,97.282776
"76",113.169998,113.720001,112.720001,112.879997,823500,96.939278
"77",113.269997,113.68,111.260002,111.949997,1425500,96.140587
"78",112.199997,112.629997,111.900002,112.089996,633400,96.260811
"79",111.900002,111.940002,111.099998,111.220001,789900,95.513695
"80",111.220001,113.550003,111.220001,113.290001,1106000,97.291374
"81",113,115.470001,112.75,114.839996,1891500,98.622482
"82",115.199997,115.349998,113.709999,114.260002,1287600,98.12439
"83",114.419998,114.5,112.400002,112.769997,1129900,96.844788
"84",113.370003,113.370003,111.480003,111.510002,986500,95.762733
"85",111.43,111.910004,110.25,111.870003,1154800,96.071899
"86",112.050003,113.870003,112.050003,113.809998,650800,97.73793
"87",114.169998,114.260002,112.610001,113.540001,691900,97.506065
"88",113.699997,114.599998,113.169998,114,823600,97.901093
"89",113.949997,114.910004,113.709999,114.43,656500,98.270386
"90",114.120003,114.470001,113.360001,113.669998,610600,97.617706
"91",113.639999,115.309998,113.449997,115.080002,683000,98.828583
"92",114.989998,116.080002,114.75,115.959999,774100,99.58432
"93",115.830002,115.970001,114.620003,115.220001,593100,98.948814
"94",113.559998,115.980003,112.68,115.209999,1186600,98.940208
"95",115.209999,115.209999,113.360001,114.660004,852600,98.467896
"96",114.699997,115.910004,114.139999,114.839996,813200,98.622482
"97",115.18,116.629997,114.449997,115.879997,992200,99.515617
"98",116.239998,116.57,115.830002,116.190002,697200,99.781837
"99",116.32,117.760002,116.32,117.169998,708800,100.623436
"100",117.360001,119.459999,116.800003,118.760002,828700,101.988899
"101",118.860001,119.139999,116.959999,117.809998,502800,101.173065
"102",117.360001,118.559998,117.349998,118,580900,101.33622
"103",118.120003,118.93,117.419998,118.190002,1146300,101.49939
"104",118.18,118.5,117.470001,117.800003,1283500,101.164467
"105",118.290001,119.769997,118.190002,119.769997,780900,102.856277
"106",119.720001,119.919998,118.459999,118.959999,741900,102.160652
"107",119.010002,120.040001,118.459999,118.830002,569400,102.049026
"108",118.900002,119.5,117.769997,118.019997,994900,101.353386
"109",118.019997,118.949997,115.099998,116.75,1058800,100.262749
"110",113.949997,117.989998,111.669998,113.32,7069000,97.317123
"111",113.279999,114.720001,110.870003,114.699997,3072300,98.502228
"112",113.800003,115.389999,113.099998,115.360001,1704100,99.87886
"113",116.57,118.699997,115.339996,117.449997,2163600,101.6884
"114",117,118.540001,116.529999,117.75,1226000,101.948128
"115",118.019997,118.18,115.959999,116.610001,1832000,100.961128
"116",117.470001,117.470001,115.459999,116.550003,1312500,100.909187
"117",116.589996,117.830002,116.32,117.639999,1237900,101.852882
"118",117.529999,119.169998,117.470001,119.080002,1373800,103.099655
"119",119.139999,120.690002,118.300003,120.419998,1802000,104.259827
"120",120.269997,121.5,120.080002,120.540001,2166400,104.363731
"121",120.989998,121.529999,119.790001,120.150002,1573600,104.026077
"122",119.870003,120,116.580002,116.639999,1524300,100.987106
"123",116.889999,117.07,114.699997,115.360001,1460900,99.87886
"124",114.919998,115.150002,111.849998,112.93,1749600,97.774971
"125",112.760002,113.57,112.349998,112.949997,1977200,97.79229
"126",113.540001,113.779999,111.940002,113.309998,684700,98.103973
"127",113.169998,113.730003,110.339996,111,1375200,96.103981
"128",110.540001,110.93,108.730003,109.360001,1125600,94.684059
"129",109.699997,111,109.349998,110.150002,879300,95.368057
"130",110.389999,111.260002,110.019997,110.059998,1242500,95.290123
"131",109.989998,110.639999,109.029999,109.599998,1065100,94.891853
"132",110.389999,112.230003,109.980003,112,1116800,96.969772
"133",111.949997,112.790001,111.379997,112.5,1203000,97.402679
"134",113.220001,114.199997,112.099998,112.43,948200,97.342072
"135",112.139999,112.779999,111.580002,112.709999,1225000,97.584496
"136",112.589996,113.459999,112.269997,113.010002,939400,97.844254
"137",112.559998,113.18,111.480003,112.349998,1257300,97.272804
"138",112.5,113.120003,112.040001,112.110001,1201600,97.065002
"139",112.089996,112.739998,111.769997,112.459999,608800,97.36805
"140",112.5,113.650002,112.010002,113.25,711700,98.052032
"141",113.400002,113.400002,111.889999,112.440002,762400,97.350754
"142",112.389999,113.5,112.110001,113.32,634900,98.112625
"143",113.32,114.669998,112.379997,114.150002,1508100,98.831238
"144",114.110001,114.889999,112.199997,113.18,1406300,97.991432
"145",113,115.440002,112.699997,115.339996,1521000,99.861549
"146",115.449997,118.239998,115.410004,117.589996,2193700,101.809601
"147",117.550003,117.559998,116.150002,117.129997,1230900,101.411346
"148",117.110001,117.199997,115.050003,115.75,1043700,100.216537
"149",115.709999,116.43,114.900002,115.199997,795200,99.740326
"150",115.199997,115.370003,114.120003,114.559998,673300,99.186211
"151",114.32,114.57,113.389999,113.769997,825100,98.502243
"152",114,114.620003,113.440002,114.410004,656900,99.056343
"153",114.080002,114.529999,112.82,112.849998,1471700,97.705696
"154",113.040001,113.169998,110.669998,111.82,1282700,96.813942
"155",112.540001,115.129997,112.300003,114.849998,1019800,99.437302
"156",114.720001,115.160004,113.580002,115.129997,716400,99.679733
"157",115.139999,116.839996,115.010002,116.489998,902400,100.857216
"158",116.379997,116.870003,115.300003,115.489998,910900,99.991425
"159",115.169998,115.470001,113.889999,114.860001,802500,99.445976
"160",115,116.800003,114.690002,116.440002,717900,100.813919
"161",116.459999,118.07,116.190002,117.629997,806000,101.844215
"162",117.589996,118.580002,117.040001,118.139999,702700,102.285789
"163",118.379997,118.860001,117.650002,117.940002,1034700,102.11264
"164",118.620003,118.800003,117.57,118.139999,646600,102.285789
"165",118.290001,118.889999,116.900002,117.57,793200,101.792297
"166",117.550003,118,116.769997,117.370003,859000,101.619156
"167",117.120003,118.059998,117.029999,118.059998,500800,102.216537
"168",118.300003,119,117.889999,118.339996,1093400,102.458961
"169",118.419998,118.419998,117.239998,117.709999,702300,101.913506
"170",117.739998,119.239998,117.089996,119.18,1011800,103.186234
"171",119.449997,120.209999,118.459999,119.690002,1199000,103.627792
"172",119.970001,122.129997,119.459999,121.43,1552000,105.134293
"173",120.709999,121.220001,120.010002,120.629997,960200,104.441658
"174",121.769997,127.230003,121.769997,126.040001,2940000,109.125633
"175",125.900002,126.510002,123.809998,124.779999,2026300,108.034721
"176",124.470001,124.699997,120.010002,121.540001,4572600,105.229523
"177",120.849998,121.050003,118.5,120.93,2744600,105.508713
"178",120.790001,121.089996,117,117.589996,9754100,102.59465
"179",117.720001,118.029999,116.169998,117.099998,2023700,102.167107
"180",117.209999,117.449997,115.650002,117.260002,2015800,102.306732
"181",117.650002,117.75,114.150002,114.949997,1728700,100.291298
"182",115.139999,117.620003,115.010002,116.230003,2074300,101.408066
"183",116.400002,116.550003,113.900002,114.510002,2041000,99.907425
"184",114.510002,114.739998,113.75,114.220001,1335500,99.654388
"185",114.199997,114.330002,113.209999,113.290001,1418900,98.842987
"186",113.040001,115.260002,112.139999,115.25,1886700,100.55304
"187",114.779999,116.18,114.440002,116.160004,1341500,101.347
"188",115.839996,118.599998,115.790001,118.330002,2152900,103.240273
"189",118.660004,119.300003,118.169998,118.459999,1485400,103.353691
"190",118.330002,118.559998,116.360001,116.5,1060100,101.643631
"191",116.18,117.080002,115.07,117.050003,1654800,102.123489
"192",117.050003,118.440002,116.260002,118.410004,1388400,103.310074
"193",118.099998,118.389999,117.089996,118.220001,1224500,103.144295
"194",118.209999,119.330002,118.110001,118.959999,685100,103.789917
"195",119.230003,120.720001,118.879997,119.760002,1121500,104.487923
"196",119.739998,121.169998,119.470001,120.620003,1057000,105.238251
"197",121.199997,122.779999,120.809998,122.75,972700,107.096626
"198",123,123.18,121.389999,121.779999,1026200,106.25032
"199",121.510002,122.190002,121.169998,121.739998,1243600,106.215424
"200",121.580002,123.139999,121.459999,122.720001,1202000,107.070442
"201",122.510002,123.940002,122.330002,123.849998,900900,108.056343
"202",123.07,123.989998,122.5,123.879997,800400,108.082535
"203",124,124.160004,123,123.389999,774100,107.655006
"204",122.160004,123.580002,120.059998,120.220001,1610000,104.889275
"205",120.339996,121.589996,119.779999,121.190002,1214800,105.735565
"206",121.010002,123.5,121.010002,122.980003,1794400,107.297295
"207",122.849998,123.5,115.599998,115.809998,2865400,101.041618
"208",115.620003,117.099998,114.510002,116.550003,1380400,101.687263
"209",116.550003,118.5,116.459999,117.589996,970700,102.59465
"210",117.739998,118.550003,116.849998,118.440002,961100,103.336258
"211",118.849998,118.849998,116.860001,116.940002,934100,102.027534
"212",117.290001,119.300003,116.970001,118.769997,1412800,103.624146
"213",118.150002,119.650002,117.610001,119.059998,765600,103.87719
"214",119.669998,122.080002,119.669998,121.830002,992200,106.293945
"215",121.559998,122.019997,120.480003,122.010002,1131200,106.450996
"216",121.980003,123.989998,121.400002,123.5,1454100,107.750999
"217",123.169998,123.379997,122.099998,122.239998,732800,106.651672
"218",121.860001,121.949997,120.480003,120.849998,988900,105.438896
"219",121.209999,123.839996,120.68,122.699997,1012800,107.052994
"220",122.279999,123.419998,121.660004,122.720001,1065500,107.070442
"221",123.099998,123.269997,119.989998,120.150002,689500,104.828194
"222",120.169998,121.25,119.610001,120.269997,1364900,104.932884
"223",119.75,120,117.839996,118.110001,800900,103.048355
"224",118.099998,118.610001,117.339996,117.410004,909000,102.437599
"225",117.629997,118.489998,117.059998,118.279999,1217800,103.196648
"226",118.360001,118.68,117,117.209999,688800,102.263115
"227",117.349998,117.900002,116.559998,117.540001,359200,102.551033
"228",117.870003,118.32,117.379997,118.059998,1177300,103.004707
"229",117.919998,118.940002,117.540001,118.529999,1198900,103.414772
"230",118.349998,118.660004,115.900002,116.989998,1799800,102.071152
"231",117.400002,118.089996,116.480003,116.699997,3501800,101.818138
"232",117.110001,118.82,116.199997,118.809998,1108600,103.659065
"233",118.690002,118.800003,110.489998,110.589996,2484900,96.487282
"234",110.489998,113.75,110.089996,113.019997,1828100,98.607422
"235",112.57,113.889999,112.160004,112.639999,1001100,98.275887
"236",112.739998,114.889999,111.779999,114.139999,1210900,99.584602
"237",114.82,115.830002,114.300003,114.809998,1077000,100.169144
"238",114.709999,115.089996,113.550003,114.949997,860300,100.291298
"239",114.839996,115.440002,113.480003,114.900002,1110200,100.247681
"240",115.139999,115.93,115.019997,115.309998,1226000,100.6054
"241",114.209999,115.629997,114.080002,115.269997,765100,101.388214
"242",116.129997,116.169998,114.330002,114.459999,2215500,100.675758
"243",115.010002,115.260002,114.040001,114.099998,910700,100.359116
"244",114.339996,114.610001,111.660004,111.779999,1450500,98.318497
"245",111.279999,111.779999,110.07,110.419998,1620000,97.122284
"246",110.529999,110.879997,109.190002,109.309998,988700,96.145958
"247",110.459999,111.389999,109.57,110.980003,1270800,97.614868
"248",111.059998,112.32,110.389999,111.589996,648700,98.151382
"249",111.839996,113.519997,111.800003,112.5,920000,98.951797
"250",112.400002,114.07,112.349998,114.029999,1010000,100.297531
"251",114.300003,114.709999,113.809998,113.900002,690900,100.183197
"252",114.040001,114.209999,111.980003,112.660004,1224400,99.092552
"253",113.190002,115.080002,113.099998,113.690002,1472800,99.998489
"254",113.510002,113.809998,112.010002,112.279999,1458500,98.758286
"255",112.879997,113.709999,112.589996,113,1066900,99.391586
"256",113,114.699997,112.989998,114.150002,834700,100.403107
"257",114.260002,114.550003,112.5,112.599998,947300,99.039764
"258",112.629997,112.709999,109,109.540001,1650600,96.348274
"259",109.839996,109.989998,107.230003,107.940002,1714600,94.940956
"260",107.389999,107.870003,104.720001,105.779999,1907400,93.041069
"261",106.510002,109.730003,106.480003,107.480003,1889100,94.536354
"262",107.099998,107.830002,104.519997,107.010002,2365700,94.122955
"263",106.260002,107.57,105.900002,106.959999,1839500,94.078972
"264",107.239998,107.5,106.099998,107.300003,1467500,94.378036
"265",107.389999,109.349998,107.110001,109.339996,1565800,96.17234
"266",109.480003,111.639999,108.620003,111.110001,1445500,97.729202
"267",111.110001,111.419998,110.25,110.849998,1021700,97.500496
"268",110.739998,111.889999,110.620003,111.410004,1156800,97.993073
"269",111.629997,112.050003,110.980003,111.650002,1375500,98.204163
"270",112.43,112.43,107.309998,107.370003,1413200,94.439598
"271",107.019997,107.699997,106.410004,106.559998,1471000,93.727142
"272",106.75,112.07,106.75,111.949997,2538100,98.468025
"273",111.959999,112.230003,107.449997,107.980003,1784900,94.976135
"274",106.720001,108.029999,105.400002,107.709999,1562400,94.738647
"275",107.25,108.910004,104.330002,104.330002,1868000,91.765701
"276",103.360001,105.080002,101.099998,104.5,2238500,91.915215
"277",104.230003,106.699997,103.910004,104.169998,1335700,91.624947
"278",104.169998,104.489998,98.910004,98.959999,2088800,87.042412
"279",99.5,102.919998,98.279999,102.209999,1988000,89.901016
"280",102.809998,105.07,100,105.050003,2390100,92.399002
"281",104.830002,105.599998,103.339996,105.120003,1618000,92.460556
"282",104.889999,105.57,103.099998,105.269997,1726300,92.592499
"283",105.440002,105.779999,103.080002,105.449997,2392400,92.750801
"284",102.309998,105.349998,101.18,102.199997,2253600,89.892212
"285",101.410004,102.43,99.370003,99.580002,1999900,87.587738
"286",99.550003,99.550003,97.040001,97.949997,2908500,86.15403
"287",98.010002,101.25,98.010002,100.830002,2092300,88.687195
"288",101.25,102.769997,100.260002,102.199997,1441200,89.892212
"289",102.489998,102.93,101.059998,101.580002,1300600,89.346886
"290",101.589996,102.349998,99.269997,100.300003,2287900,88.221024
"291",100.910004,101.620003,99.620003,100.639999,1629900,88.520073
"292",100.050003,101.239998,98.43,98.900002,1298000,86.989624
"293",98.470001,98.489998,96.559998,98.220001,1461600,86.391518
"294",97.540001,100.790001,97.470001,100.360001,1153200,88.273796
"295",100.370003,101.900002,100.169998,101.18,1059700,88.995056
"296",100.989998,103.290001,100.730003,103.059998,1699400,90.648643
"297",103.029999,103.82,102.139999,103.720001,1257400,91.229164
"298",103.75,104.169998,101.900002,103.139999,1162000,90.719002
"299",103.669998,105.120003,103.529999,104.349998,1670200,91.783287
"300",104.720001,105.949997,104.660004,105.660004,1425100,92.935532
"301",105.139999,105.699997,104.57,105.470001,1606000,93.663757
"302",105.68,105.889999,104.68,105.330002,839000,93.539406
"303",105.120003,106.610001,104.839996,106.370003,1502600,94.46299
"304",106.309998,106.370003,104,104.75,1269500,93.02433
"305",104.82,105.470001,104.449997,104.970001,882300,93.219719
"306",104.779999,105.300003,102.989998,103.370003,1308400,91.798813
"307",102.980003,104.919998,102.379997,102.910004,1394200,91.390305
"308",103.330002,104.290001,102.010002,102.300003,1603800,90.848587
"309",103.029999,103.339996,101.019997,102.099998,979300,90.670982
"310",102.440002,104.360001,101.309998,102.709999,1055400,91.212692
"311",103.349998,105.260002,103.309998,105.040001,1035300,93.281868
"312",105.089996,105.860001,104.629997,105.379997,1097500,93.583809
"313",105.559998,105.669998,102,102.93,955700,91.408073
"314",102.970001,103.589996,101.730003,103.019997,847300,91.487999
"315",102.480003,104.970001,102.139999,104.599998,777000,92.891129
"316",104.639999,105.389999,103.540001,105.209999,639200,93.432854
"317",105.290001,106.059998,103.940002,104.300003,839600,92.624718
"318",104.389999,105.989998,104.080002,104.379997,746400,92.695755
"319",104.68,105.010002,102.699997,103.480003,906200,91.8965
"320",103.419998,105.440002,103.239998,104.550003,1243100,92.846733
"321",104.760002,104.760002,100.5,100.989998,1519600,89.685226
"322",101.339996,102.57,101.339996,102.440002,754100,90.972923
"323",102.830002,103.709999,102.029999,103.190002,696500,91.638962
"324",103.480003,105.760002,102.660004,104.510002,772200,92.811203
"325",104.610001,105.07,103.959999,104.120003,490000,92.464867
"326",103.889999,103.889999,102.139999,103.169998,712100,91.621216
"327",103.32,103.93,102.099998,102.32,729000,90.866341
"328",102.269997,103.110001,101.480003,101.790001,991100,90.395668
"329",102.199997,102.400002,100.910004,101.410004,1062200,90.058228
"330",101.290001,101.82,100.769997,101.470001,801700,90.111488
