"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"1",129.169998,130.380005,128.199997,129.070007,960800,129.070007
"2",129.550003,130.160004,128.929993,130.100006,1180000,130.100006
"3",129.669998,130.789993,128.149994,129.110001,842800,129.110001
"4",128.990005,129.690002,128.639999,129.339996,737100,129.339996
"5",129.440002,130.990005,129.440002,130.729996,715000,130.729996
"6",130.979996,132.630005,130.330002,132.059998,658000,132.059998
"7",132.410004,135.919998,132.380005,134.940002,1656600,134.940002
"8",134.649994,134.889999,133.449997,134.649994,718300,134.649994
"9",134.309998,135.990005,134.119995,134.330002,670500,134.330002
"10",133.929993,134.410004,132.660004,133.990005,556100,133.990005
"11",134.690002,135.270004,133.839996,134.389999,781900,134.389999
"12",133.960007,134,132.559998,132.740005,641500,132.740005
"13",132.929993,133.419998,131.929993,132.399994,525800,132.399994
"14",131.779999,132.910004,131.589996,132.539993,879900,132.539993
"15",132.380005,133.179993,131.479996,133.039993,538600,133.039993
"16",133.240005,135.779999,132.940002,135.089996,1227400,135.089996
"17",135.089996,135.600006,133.820007,133.830002,874600,133.830002
"18",134.279999,134.880005,133.139999,133.630005,748400,133.630005
"19",132.919998,133.25,131.440002,132.5,575000,132.5
"20",132.479996,134.339996,131.369995,134.210007,832400,134.210007
"21",134.699997,136.679993,134.630005,136.369995,765300,136.369995
"22",136.070007,136.589996,135.429993,136.490005,684300,136.490005
"23",136.470001,137.860001,136.279999,137.690002,501900,137.690002
"24",135.660004,135.660004,128,129.860001,3670300,129.860001
"25",129.630005,130.690002,129.419998,130.600006,933400,130.600006
"26",131,131.839996,130.490005,131.490005,645900,131.490005
"27",131.490005,134.070007,130.289993,133.830002,917400,133.830002
"28",133.839996,135.759995,133.649994,135.009995,1091000,135.009995
"29",135.169998,136.639999,134.669998,134.929993,797700,134.929993
"30",135.190002,136.210007,134.139999,135.880005,748700,135.880005
"31",135.179993,137.190002,134.100006,136.369995,1009500,136.369995
