"","FRT.Open","FRT.High","FRT.Low","FRT.Close","FRT.Volume","FRT.Adjusted"
"1",142.919998,143.440002,141.509995,143.399994,518600,120.838448
"2",143.610001,144.589996,143.190002,144.220001,410100,121.529449
"3",143.089996,145.479996,142.029999,145.289993,451000,122.431114
"4",144.729996,145.800003,144.029999,144.490005,414000,121.756973
"5",144.940002,145.009995,142.539993,142.679993,365000,120.23172
"6",142.410004,142.479996,140.789993,141.190002,394300,118.976166
"7",141.009995,141.869995,139.600006,139.770004,309400,117.779587
"8",139.770004,140.649994,138.889999,140.619995,329400,118.495834
"9",140.089996,140.880005,139.339996,140.179993,300700,118.125053
"10",140.690002,141.5,140.580002,141.289993,378400,119.060425
"11",141.559998,141.720001,140.360001,141.529999,289100,119.262665
"12",141,141,138.979996,139.25,279000,117.341385
"13",139.389999,140.820007,139.25,140.720001,313200,118.580124
"14",140.210007,142,140.210007,141.720001,259400,119.422783
"15",141.740005,142.419998,140.380005,140.960007,411300,118.782349
"16",141.119995,141.580002,140.009995,140.770004,414800,118.622246
"17",140.850006,141.619995,140.289993,140.800003,295000,118.64753
"18",141.279999,141.279999,139.169998,139.690002,279500,117.712166
"19",139.050003,139.889999,138.350006,139.139999,320000,117.248718
"20",139.440002,140.75,139.330002,140.429993,1552200,118.335701
"21",139.729996,140.479996,137.039993,137.5,557900,115.866737
"22",137.75,140.119995,137.710007,140.110001,434200,118.066086
"23",140.820007,141.25,139.270004,139.940002,325100,117.922798
"24",139.910004,140.5,139.350006,139.789993,253300,117.796432
"25",140.190002,140.679993,139.110001,139.679993,314600,117.70372
"26",139.740005,140.690002,139.399994,140.330002,297600,118.251457
"27",140.470001,142.080002,140.020004,142.020004,283500,119.675591
"28",141.600006,142.990005,141.539993,142.960007,251600,120.467697
"29",143.320007,143.320007,141.539993,142.949997,347100,120.459259
"30",142.119995,143,140.009995,141.080002,512100,118.883476
"31",140.100006,140.839996,139.130005,139.979996,489300,117.956551
"32",140.339996,141.5,140.149994,140.5,304700,118.394691
"33",140.910004,141.199997,139.259995,140.660004,378100,118.529556
"34",140.509995,142.679993,140.160004,142.5,440700,120.080048
"35",142.270004,143.240005,140.619995,141.550003,350600,119.279533
"36",142.210007,142.770004,141.320007,142.399994,357500,119.995773
"37",142.669998,142.669998,141.320007,142.339996,332500,119.945229
"38",142.690002,143.789993,141.600006,142.220001,362900,119.844109
"39",142.330002,142.330002,140.119995,140.729996,418500,118.588547
"40",139.889999,140,138.300003,138.970001,626900,117.105438
"41",138.369995,138.550003,136.199997,136.759995,584800,115.243134
"42",137.119995,137.179993,134.080002,135.020004,549400,113.776901
"43",135.009995,135.009995,134,134.300003,416000,113.170212
"44",134.389999,134.770004,132.910004,133.389999,323000,112.403351
"45",132.649994,133.149994,130.160004,130.5,540100,109.968063
"46",130.559998,131.240005,127.290001,127.440002,523000,107.389488
"47",126.459999,128.179993,126.019997,126.980003,659300,107.831078
"48",128.580002,128.580002,126.989998,128.320007,597700,108.969017
"49",128,130.059998,127.610001,129.619995,654000,110.072952
"50",129.899994,133.589996,129.619995,133.020004,527100,112.960228
"51",132.699997,133.360001,132.240005,133,555000,112.943245
"52",133.720001,134.899994,132.910004,134.75,1347700,114.429329
"53",134.710007,135.5,133.869995,134.440002,545800,114.166107
"54",134.380005,135.089996,133.710007,134.669998,691300,114.361397
"55",134.679993,135.580002,131.910004,133.110001,658700,113.036644
"56",133,135.919998,132.809998,134.729996,485300,114.412346
"57",134.759995,135.520004,134.410004,134.800003,395600,114.471802
"58",134.470001,135.869995,132.259995,132.740005,675200,112.72245
"59",132.729996,133.550003,131.360001,133.259995,519000,113.16404
"60",132.970001,133.699997,132.429993,133.149994,491400,113.07061
"61",132.940002,133.539993,132.009995,133.339996,289900,113.231956
"62",133.339996,134,132.360001,133.5,416900,113.367836
"63",133.5,134.850006,133.419998,133.839996,405900,113.656555
"64",133.619995,134.270004,133,133.110001,345200,113.036644
"65",133.429993,133.839996,132.710007,133.110001,278400,113.036644
"66",132.770004,133.699997,132.229996,133.110001,341600,113.036644
"67",133.080002,133.559998,132.449997,132.729996,393100,112.713951
"68",132.669998,134.309998,132.320007,133.949997,347700,113.749985
"69",134,135.789993,133.940002,135.080002,410700,114.709572
"70",134.529999,135.380005,134.389999,134.869995,424100,114.531258
"71",135.059998,135.279999,134.380005,134.740005,344000,114.42086
"72",134.820007,136.470001,134.820007,136.449997,318700,115.872978
"73",136.350006,137.229996,136.210007,137.050003,347800,116.382515
"74",137.179993,138.119995,136.759995,137.479996,334700,116.747627
"75",137.660004,137.660004,136.380005,137.220001,288100,116.526863
"76",137.059998,137.289993,135.919998,136.179993,304600,115.643669
"77",136.789993,136.899994,132.410004,133.75,483300,113.580109
"78",133.869995,134.720001,133.25,134.610001,366100,114.310425
"79",134.240005,134.779999,132.460007,132.559998,731800,112.56958
"80",132.559998,134.210007,132.559998,133.160004,488700,113.079102
"81",132.660004,132.899994,130.089996,130.889999,670700,111.151428
"82",131.229996,133.190002,130.029999,133.160004,503000,113.079102
"83",133.270004,135.520004,132.729996,133.809998,640000,113.631096
"84",134.039993,134.089996,131.660004,132.300003,599700,112.348808
"85",133.630005,135.5,128.600006,131.399994,811800,111.584526
"86",131.470001,133.149994,131.25,132.779999,404200,112.756416
"87",132.940002,133.449997,130.190002,130.440002,366800,110.769302
"88",130.630005,130.679993,129.210007,130.550003,395400,110.862717
"89",130.509995,132.330002,129.940002,132,379200,112.094048
"90",131.479996,131.479996,129.139999,129.720001,411700,110.157875
"91",129.610001,129.759995,125.269997,125.43,835900,106.514809
"92",125.370003,127.370003,125.029999,126.57,618700,107.482895
"93",126.440002,126.440002,122.459999,122.459999,927600,103.992699
"94",122.120003,123.860001,121.730003,122.970001,729700,104.425797
"95",123.050003,124.510002,121.870003,124.290001,710700,105.546738
"96",124.529999,127.120003,123.589996,125.589996,750500,106.650688
"97",125.75,126.709999,124.919998,126.480003,847900,107.406494
"98",126.610001,126.980003,125.330002,125.709999,532300,106.752579
"99",125.779999,127.93,125.720001,127.400002,471200,108.187737
"100",127.739998,128.600006,126.959999,127.379997,418100,108.170753
"101",127.449997,127.480003,125.519997,126.32,406900,107.270607
"102",126.089996,126.220001,123.790001,123.82,524800,105.147598
"103",123.989998,124.510002,122.260002,122.739998,1898400,104.230484
"104",122.550003,124.75,122.129997,124.290001,524600,105.546738
"105",125.290001,125.980003,122.989998,123.370003,541400,104.765472
"106",122.879997,123.029999,121.269997,121.730003,557200,103.372795
"107",121.849998,123.029999,120.5,122.18,427000,103.754921
"108",122.410004,125.620003,122.290001,124.989998,570400,106.141167
"109",124.989998,125.389999,122.730003,122.879997,589900,104.349365
"110",122.919998,125.199997,122.07,124.68,623200,105.877914
"111",124.550003,127.110001,124.550003,126.940002,577300,107.797127
"112",126.620003,128.690002,125.809998,127.879997,744500,108.595345
"113",128.940002,128.970001,126.349998,126.989998,387200,107.839569
"114",126.339996,128.809998,126.339996,128.320007,480200,108.969017
"115",128.589996,128.710007,124.779999,125.370003,935900,106.46386
"116",125.150002,125.639999,124.120003,125.190002,744500,106.31102
"117",123.93,125.300003,122.57,123.839996,535600,105.994324
"118",124.050003,124.309998,122.760002,123.330002,460400,105.557831
"119",123.059998,124.510002,122.529999,124.190002,404900,106.293884
"120",124.339996,126.190002,123.480003,125.050003,1539600,107.029999
"121",125.470001,129,125.470001,127.720001,605500,109.315216
"122",127.150002,128.240005,126.980003,127.440002,453400,109.075562
"123",127.739998,129,127.43,128.130005,517400,109.666145
"124",128.080002,129.139999,126.889999,127.709999,500500,109.306656
"125",128.229996,128.479996,125.970001,126.389999,403700,108.176857
"126",127.089996,129.380005,126.870003,129.039993,274000,110.444992
"127",129.110001,129.190002,125.720001,126.260002,603900,108.065605
"128",125.93,126.709999,124.959999,125.379997,436000,107.312408
"129",125.470001,126.730003,125.169998,126.279999,341300,108.082718
"130",126.639999,126.720001,124.699997,124.760002,471300,106.781754
"131",124.739998,125.550003,122.970001,124.839996,422400,106.85022
"132",125.949997,127.699997,125.18,125.410004,439200,107.338089
"133",125.419998,126.989998,125.32,126.669998,322900,108.416527
"134",127.330002,128.809998,126.830002,128.270004,418800,109.785957
"135",128.119995,129.570007,127.879997,129.009995,323200,110.419304
"136",128.809998,129.300003,127.690002,128.710007,454900,110.162567
"137",128.929993,129.949997,128.380005,129.929993,384900,111.206726
"138",130.240005,131.160004,129.740005,130,348900,111.266647
"139",130.860001,131.210007,129.149994,130.479996,326600,111.677483
"140",130.740005,131.309998,128.869995,131.259995,410900,112.345078
"141",131.190002,132.240005,130.369995,132.130005,483900,113.089729
"142",132.25,133.509995,131.660004,132.699997,387600,113.577606
"143",132.559998,135.570007,131.759995,135.029999,437400,115.571838
"144",135.029999,135.589996,132.440002,132.809998,459800,113.671722
"145",133.119995,133.119995,131.179993,132.630005,761000,113.51767
"146",132.949997,135.119995,132.279999,134.399994,598500,115.032608
"147",134.080002,134.080002,132.130005,132.839996,434700,113.697395
"148",132.690002,134.039993,131.800003,132.979996,448200,113.81723
"149",132.880005,134.869995,132.479996,133.639999,409200,114.382118
"150",133.630005,134.139999,132.820007,133.410004,251900,114.185272
"151",133.160004,134.009995,131.570007,132.589996,338600,113.483444
"152",132.880005,133.509995,132,132.75,354900,113.620384
"153",132.449997,133,131.679993,132.039993,313100,113.01268
"154",131.839996,132.089996,129.119995,129.399994,364800,110.75312
"155",129.210007,131.580002,128.130005,131.059998,414200,112.173904
"156",131.350006,131.350006,128.570007,129.270004,514900,110.641869
"157",129.419998,130.460007,129.380005,129.649994,493500,110.967094
"158",129.479996,130.020004,128.550003,128.550003,519000,110.025612
"159",128.220001,128.220001,125.870003,126.959999,1342200,108.664726
"160",126.949997,128.660004,126.400002,128.100006,465800,109.640465
"161",128.240005,128.710007,126.800003,126.860001,433400,108.57914
"162",126.720001,127.989998,126.510002,127.580002,420900,109.195404
"163",127.959999,129.729996,126.690002,126.860001,587200,108.57914
"164",127.050003,128.600006,126.389999,128.320007,419100,109.828758
"165",128.289993,128.539993,125.18,125.410004,379800,107.338089
"166",125.360001,126.040001,124.529999,125.709999,373700,107.594849
"167",125.550003,126.540001,123.919998,126.540001,276400,108.305244
"168",126.870003,127.389999,126.099998,126.93,507300,108.639046
"169",127.129997,128.919998,126.529999,128.199997,342300,109.726021
"170",128.220001,129.070007,126.910004,127.639999,341000,109.246735
"171",128.020004,130.100006,127.660004,129.320007,395300,110.684647
"172",129.929993,131.5,129.110001,130.449997,678900,111.65181
"173",130.199997,130.820007,129.199997,129.380005,403200,110.736023
"174",129.649994,130.339996,129.440002,130.25,379500,111.480652
"175",130.229996,131.199997,128.089996,128.690002,301800,110.145439
"176",128.869995,128.929993,127.529999,128.270004,365900,109.785957
"177",128.270004,131.050003,128.039993,130.970001,331400,112.09687
"178",130.380005,130.979996,129.75,130,659900,111.266647
"179",130,130.080002,127.160004,127.510002,338200,109.135475
"180",127.639999,128.089996,125.239998,125.379997,592800,107.312408
"181",125.379997,125.809998,124.230003,124.629997,335400,106.670502
"182",124.050003,124.599998,123.529999,123.849998,295400,106.860306
"183",123.900002,124.629997,122.940002,123.139999,192800,106.247711
"184",123.459999,125.32,123.459999,124.800003,325400,107.68
"185",124.989998,126.059998,124.400002,125.080002,408300,107.921593
"186",124.739998,124.739998,122.599998,123.980003,767700,106.972481
"187",123.730003,124.550003,123.169998,124.449997,479000,107.378006
"188",124.059998,125.160004,123.580002,124.209999,325500,107.170921
"189",124.5,124.650002,123.489998,124.029999,304000,107.015617
"190",124.110001,124.639999,123.339996,124.610001,253400,107.516052
"191",124.669998,125.18,123.910004,125.129997,192200,107.964706
"192",125.43,126.779999,125.199997,126.089996,234000,108.793037
"193",125.290001,125.790001,124.18,125.68,296100,108.439278
"194",125.800003,126.419998,125.470001,126.110001,221700,108.810272
"195",126.419998,127.029999,126.050003,126.75,276100,109.362488
"196",126.809998,127.940002,126.809998,127.82,209500,110.285706
"197",127.690002,128.630005,126.839996,128.509995,447300,110.88105
"198",128.899994,130.720001,127.879997,129.679993,598200,111.890556
"199",129.199997,130.149994,128.479996,128.809998,420000,111.139893
"200",128.610001,129.800003,128.320007,129.630005,319600,111.847404
"201",129.690002,130.199997,127.209999,128.529999,529400,110.8983
"202",128.699997,128.979996,126.959999,127.230003,285700,109.776649
"203",127.230003,127.230003,125.339996,125.800003,311300,108.542801
"204",126.389999,126.650002,125.150002,126.610001,251500,109.241699
"205",126.470001,126.910004,124.290001,124.900002,420700,107.766266
"206",124.82,124.970001,122.080002,123.269997,335100,106.359871
"207",123.989998,123.989998,120.07,121.730003,687100,105.031136
"208",121.040001,122.139999,119.540001,121.449997,362500,104.789536
"209",121.440002,121.989998,120.309998,120.980003,485000,104.384033
"210",120.849998,121.239998,119.370003,120.519997,755800,103.987106
"211",120.629997,121.860001,119.860001,121.699997,488000,105.005241
"212",122.269997,128.220001,122.25,128.100006,630100,110.527298
"213",127.360001,127.660004,125.730003,126.559998,614400,109.198547
"214",126.510002,127.5,126.400002,126.919998,400500,109.509163
"215",127.010002,129.330002,127.010002,128.610001,406300,110.967339
"216",128.830002,130.139999,128.199997,128.869995,288800,111.191666
"217",129.289993,132.479996,128.910004,131.440002,515900,113.409111
"218",131.380005,132.259995,131.179993,132.009995,374400,113.900925
"219",132.539993,133.889999,130.490005,130.889999,530500,112.934563
"220",130.509995,131.809998,130.309998,131.809998,458900,113.728371
"221",131.800003,132.5,130.990005,131.589996,319000,113.538536
"222",130.839996,132.690002,130.839996,131.899994,405500,113.806023
"223",131.490005,133.429993,131.490005,132.5,427900,114.323715
"224",132.600006,132.740005,131.240005,131.240005,482600,113.236542
"225",131.839996,131.960007,131.190002,131.600006,353600,113.547188
"226",131.210007,132.710007,131.210007,131.75,278200,113.676582
"227",132.149994,132.820007,131.320007,131.919998,111600,113.823265
"228",131.710007,131.830002,130.580002,130.690002,237700,112.762009
"229",131.199997,131.570007,129.910004,131.119995,476000,113.132988
"230",131.190002,132.850006,130.889999,132.100006,426700,113.978584
"231",132.350006,133.229996,131.830002,132.210007,578000,114.073494
