"","XYL.Open","XYL.High","XYL.Low","XYL.Close","XYL.Volume","XYL.Adjusted"
"424",77.889999,78.769997,77.029999,78.669998,1396800,75.865288
"425",79,80.489998,78.790001,79.900002,1286900,77.051437
"426",79.620003,79.970001,78.900002,79.800003,843700,76.955009
"427",79.800003,80.449997,79.639999,80.019997,911000,77.16716
"428",80.82,81.32,80.120003,80.779999,862100,77.900063
"429",80.730003,81.18,80.459999,80.93,750700,78.044724
"430",81.029999,81.669998,80.769997,81.540001,820500,78.632965
"431",81.480003,81.919998,80.82,81.870003,832900,78.951202
"432",81.989998,82.440002,81.290001,81.339996,759900,78.440086
"433",81.68,82.279999,81.050003,81.389999,749000,78.488327
"434",81.57,82.169998,80.830002,81.220001,1156800,78.324387
"435",81.089996,81.089996,79.900002,80.059998,874000,77.205734
"436",80.260002,80.489998,79.690002,80.139999,735400,77.282867
"437",80.220001,80.809998,80.029999,80.139999,559700,77.282867
"438",80.389999,81.18,80.099998,80.290001,691000,77.427544
"439",80.279999,80.940002,79.699997,79.870003,731000,77.022514
"440",80.660004,80.959999,80.059998,80.639999,534200,77.765053
"441",80.540001,81.080002,80.040001,80.410004,666800,77.543259
"442",79.980003,80.830002,79.410004,80.610001,1216800,77.73613
"443",80.330002,80.849998,79.669998,80.290001,817700,77.427544
"444",80.309998,80.57,78.470001,79.309998,834600,76.482468
"445",77.800003,78.400002,77.220001,77.739998,965500,74.968445
"446",77.540001,77.82,74.349998,74.419998,1859400,71.7668
"447",74.099998,74.199997,72.07,72.139999,1400200,69.568092
"448",71.739998,72.089996,69,69.040001,1715900,66.578621
"449",70.099998,70.940002,68.440002,69.769997,1898200,67.282585
"450",69.550003,70.18,69.199997,69.720001,1042600,67.234367
"451",70.580002,71.800003,70.120003,71.75,1100200,69.191994
"452",71.580002,72.099998,70.669998,71.339996,882900,68.7966
"453",70.860001,71.339996,69.400002,69.889999,1112700,67.398308
"454",70.32,70.32,68.910004,69.269997,878500,66.800407
"455",69.410004,69.730003,68.699997,69.349998,811400,66.877571
"456",67.889999,68.93,67.120003,68.360001,1617900,65.922859
"457",68.519997,68.949997,65.849998,65.93,1612400,63.579487
"458",66.419998,67.269997,65.959999,66.849998,1303000,64.466675
"459",65.959999,67.379997,65.330002,66.519997,1196000,64.148438
"460",67.660004,68.25,64.75,65.699997,1592100,63.357697
"461",67.019997,68.080002,63.709999,65.129997,1948900,62.80801
"462",65.449997,66.540001,65,65.580002,1957700,63.446545
"463",65.970001,69.010002,65.580002,68.75,1501000,66.513405
"464",69.389999,69.650002,67.82,68.019997,1232600,65.807152
"465",68.349998,68.830002,67.290001,68.510002,1260700,66.281227
"466",68.459999,70.07,68.260002,69.849998,1326900,67.577621
